time,pH,pCO2 Air,pCO2 Seawater,Seawater Temperature,Salinity,East Winds,North Winds,Air Temperature,Surface Temperature,Surface Salinity
2017-05-25 00:00,8.040,412.474,410.337,8.264,33.787,0.379,-7.113,11.570,-5.000,0.000
2017-05-25 01:00,8.041,412.283,408.811,8.246,33.792,0.821,-6.823,11.587,-5.000,0.000
2017-05-25 02:00,8.058,412.560,390.908,8.238,33.794,1.303,-6.779,11.419,-5.000,0.000
2017-05-25 03:00,8.070,412.459,376.109,8.260,33.790,0.975,-6.316,11.294,-5.000,0.000
2017-05-25 04:00,8.054,412.364,378.122,8.286,33.784,1.183,-5.785,11.247,-5.000,0.000
2017-05-25 05:00,8.068,410.957,373.084,8.311,33.779,0.234,-5.324,10.885,-5.000,0.000
2017-05-25 06:00,8.062,410.652,385.676,8.324,33.776,1.278,-6.002,10.911,-5.000,0.000
2017-05-25 07:00,8.051,410.569,404.749,8.282,33.784,0.702,-5.623,11.011,-5.000,0.000
2017-05-25 08:00,8.051,410.013,389.928,8.280,33.784,0.599,-5.562,10.951,-5.000,0.000
2017-05-25 09:00,8.068,409.992,386.634,8.304,33.780,-0.328,-4.570,10.952,-5.000,0.000
2017-05-25 10:00,8.073,410.057,376.259,8.239,33.793,-0.529,-3.898,10.934,-5.000,0.000
2017-05-25 11:00,8.052,410.103,401.613,8.184,33.803,-0.838,-4.589,10.802,-5.000,0.000
2017-05-25 12:00,8.048,410.237,385.824,8.102,33.819,-1.451,-5.556,10.643,-5.000,0.000
2017-05-25 13:00,8.074,411.699,399.267,8.113,33.816,-0.645,-5.553,10.770,-5.000,0.000
2017-05-25 14:00,8.041,412.538,403.930,8.149,33.809,-0.849,-4.807,10.894,-5.000,0.000
2017-05-25 15:00,8.063,414.617,385.473,8.206,33.798,-0.859,-4.558,10.851,-5.000,0.000
2017-05-25 16:00,8.068,416.373,372.777,8.154,33.808,-0.334,-4.903,10.762,-5.000,0.000
2017-05-25 17:00,8.093,411.693,350.003,7.771,33.875,0.148,-5.589,11.035,-5.000,0.000
2017-05-25 18:00,8.098,409.390,349.686,7.861,33.859,1.189,-6.186,11.150,-5.000,0.000
2017-05-25 19:00,8.104,408.951,347.089,8.012,33.835,1.747,-6.549,11.227,-5.000,0.000
2017-05-25 20:00,8.108,408.148,345.243,8.068,33.827,1.662,-6.429,11.554,-5.000,0.000
2017-05-25 21:00,8.112,407.416,346.568,8.068,33.829,1.769,-6.854,11.757,-5.000,0.000
2017-05-25 22:00,8.077,406.720,345.746,7.963,33.847,2.015,-7.791,11.892,-5.000,0.000
2017-05-25 23:00,8.094,406.841,355.091,8.053,33.827,1.483,-8.276,11.988,-5.000,0.000
2017-05-26 00:00,8.093,406.745,352.834,8.113,33.818,1.099,-8.190,12.149,-5.000,0.000
2017-05-26 01:00,8.104,406.810,340.475,8.224,33.798,0.966,-7.757,12.230,-5.000,0.000
2017-05-26 02:00,8.115,407.082,336.290,8.208,33.801,0.270,-7.580,12.059,-5.000,0.000
2017-05-26 03:00,8.114,406.888,333.988,8.120,33.816,0.370,-7.240,11.730,-5.000,0.000
2017-05-26 04:00,8.122,406.921,327.881,8.043,33.830,0.572,-6.764,11.564,-5.000,0.000
2017-05-26 05:00,8.109,407.417,338.349,8.106,33.818,0.933,-6.362,11.566,-5.000,0.000
2017-05-26 06:00,8.101,407.117,357.767,8.161,33.809,0.370,-6.284,11.562,-5.000,0.000
2017-05-26 07:00,8.082,407.189,360.057,8.185,33.805,0.357,-4.747,11.500,-5.000,0.000
2017-05-26 08:00,8.079,407.222,366.660,8.227,33.797,0.462,-5.222,11.454,-5.000,0.000
2017-05-26 09:00,8.073,407.557,372.920,8.269,33.790,-0.288,-6.028,11.340,-5.000,0.000
2017-05-26 10:00,8.076,407.376,373.658,8.309,33.783,-1.071,-4.595,11.132,-5.000,0.000
2017-05-26 11:00,8.066,410.905,380.746,8.333,33.778,-0.960,-4.648,10.920,-5.000,0.000
2017-05-26 12:00,8.064,412.870,383.654,8.364,33.771,-1.031,-5.500,10.807,-5.000,0.000
2017-05-26 13:00,8.064,417.827,382.309,8.370,33.770,-1.134,-4.977,10.984,-5.000,0.000
2017-05-26 14:00,8.074,420.632,373.059,8.342,33.776,0.095,-4.319,10.960,-5.000,0.000
2017-05-26 15:00,8.081,425.017,369.478,8.361,33.771,0.230,-5.190,11.086,-5.000,0.000
2017-05-26 16:00,8.085,421.609,371.952,8.350,33.774,0.043,-4.495,11.249,-5.000,0.000
2017-05-26 17:00,8.079,411.212,363.869,8.366,33.771,0.808,-4.052,11.579,-5.000,0.000
2017-05-26 18:00,8.099,410.189,347.841,8.366,33.770,1.376,-5.591,11.586,-5.000,0.000
2017-05-26 19:00,8.122,408.628,336.973,8.348,33.776,2.148,-6.555,10.960,-5.000,0.000
2017-05-26 20:00,8.105,407.940,346.517,8.370,33.771,1.055,-6.788,11.389,-5.000,0.000
2017-05-26 21:00,8.111,408.147,345.514,8.391,33.765,0.618,-7.225,11.671,-5.000,0.000
2017-05-26 22:00,8.110,408.146,343.035,8.428,33.755,0.393,-7.065,11.885,-5.000,0.000
2017-05-26 23:00,8.114,406.616,339.745,8.452,33.750,0.898,-7.906,12.664,-5.000,0.000
2017-05-27 00:00,8.116,406.558,332.285,8.447,33.753,0.664,-8.021,12.851,-5.000,0.000
2017-05-27 01:00,8.121,406.199,331.725,8.424,33.760,0.876,-7.689,12.945,-5.000,0.000
2017-05-27 02:00,8.130,406.660,320.441,8.400,33.766,1.611,-7.778,12.951,-5.000,0.000
2017-05-27 03:00,8.156,406.503,284.607,8.386,33.769,1.554,-7.566,12.614,-5.000,0.000
2017-05-27 04:00,8.150,406.333,291.705,8.385,33.769,0.756,-7.070,12.276,-5.000,0.000
2017-05-27 05:00,8.119,406.537,287.084,8.384,33.768,0.661,-6.864,12.080,-5.000,0.000
2017-05-27 06:00,8.124,406.766,300.293,8.371,33.771,0.232,-5.356,11.902,-5.000,0.000
2017-05-27 07:00,8.125,406.986,322.092,8.317,33.781,0.467,-1.261,11.675,-5.000,0.000
2017-05-27 08:00,8.112,407.032,310.165,8.304,33.784,1.359,0.074,11.905,-5.000,0.000
2017-05-27 09:00,8.124,407.039,306.459,8.326,33.779,0.413,-0.342,11.933,-5.000,0.000
2017-05-27 10:00,8.113,407.832,316.058,8.369,33.770,-0.497,-0.094,11.584,-5.000,0.000
