time,Max Wave Height,Peak Wave Period,Wind Speed,Current Speed,Barometric Pressure,Precipitation,Rain,Rain2
2018-01-01 00:00:00,3.94,7.4,9.467,0.187,1020.948,44.195,0.004,
2018-01-01 01:00:00,2.62,6.3,8.754,0.234,1020.95,44.164,0.01,
2018-01-01 02:00:00,3.17,7.1,9.301,0.267,1020.924,44.139,0.015,
2018-01-01 03:00:00,2.54,5.7,9.075,0.343,1021.428,44.115,0,
2018-01-01 04:00:00,2.82,7.1,8.879,0.368,1021.148,44.079,0.009,
2018-01-01 05:00:00,2.01,5.7,9.229,0.364,1020.885,44.05,0.022,
2018-01-01 06:00:00,3.24,6.3,8.966,0.344,1021.219,44.017,0.001,
2018-01-01 07:00:00,3.04,7.4,9.359,0.315,1021.332,43.992,0.014,
2018-01-01 08:00:00,2.97,6.7,8.872,0.294,1021.276,43.964,0.011,
2018-01-01 09:00:00,2.49,7.1,9.112,0.274,1020.871,43.932,0.007,
2018-01-01 10:00:00,2.87,7.1,8.748,0.208,1021.466,43.891,0.003,
2018-01-01 11:00:00,2.48,6.5,8.7,0.175,1021.879,43.864,0.013,
2018-01-01 12:00:00,3.33,7.1,9.121,0.145,1022.219,43.842,0.029,
2018-01-01 13:00:00,2.51,6.9,9.225,0.095,1022.756,43.804,0.008,
2018-01-01 14:00:00,3.03,6.7,9.97,0.105,1023.028,43.775,0,
2018-01-01 15:00:00,2.49,6.1,10.05,0.249,1023.25,43.763,0.033,
2018-01-01 16:00:00,3.04,5.6,10.054,0.32,1022.689,43.727,0,
2018-01-01 17:00:00,3.01,6.3,9.985,0.349,1022.225,43.696,0.009,
2018-01-01 18:00:00,3,7.4,10.322,0.383,1022.042,43.662,0.01,
2018-01-01 19:00:00,2.94,6.7,10.428,0.372,1022.197,43.637,0.03,
2018-01-01 20:00:00,2.7,6.9,10.398,0.351,1022.464,43.591,0.016,
2018-01-01 21:00:00,3.65,6.1,9.793,0.368,1022.777,43.565,0.014,
2018-01-01 22:00:00,3.88,6.9,10.386,0.346,1023.193,43.522,0.001,
2018-01-01 23:00:00,4.01,7.4,10.513,0.34,1023.754,43.492,0,
2018-01-02 00:00:00,2.86,7.7,11.672,0.285,1024.278,43.458,0.01,
2018-01-02 01:00:00,3.77,6.9,12.605,0.31,1024.804,43.411,0.001,
2018-01-02 02:00:00,4.41,7.7,11.22,0.377,1025.141,43.383,0.025,
2018-01-02 03:00:00,3.7,6.7,10.127,0.344,1025.265,43.344,0.007,
2018-01-02 04:00:00,3.95,6.5,8.381,0.286,1024.951,43.324,0.026,
2018-01-02 05:00:00,3.59,7.4,8.133,0.269,1024.316,43.296,0.011,
2018-01-02 06:00:00,3.32,6.9,9.221,0.223,1024.123,43.276,0.006,
