time,temperature01,temperature14,temperature15,Eq Count,Eq Magnitude
2018-06-01,4.2536106,4.1427956,3.165417,110,0.6353636363636365
2018-06-02,4.4697776,4.3284426,3.1176772,38,0.6142105263157895
2018-06-03,4.443817,3.99543,3.0448194,50,0.5797999999999999
2018-06-04,4.4398355,4.1646295,3.1286545,28,0.6292857142857143
2018-06-05,4.5157895,4.261697,3.230867,28,0.5892857142857144
2018-06-06,4.5001388,4.205445,3.2514288,82,0.598780487804878
2018-06-07,4.6758432,3.9597764,2.9507024,81,0.6548148148148151
2018-06-08,4.581213,4.1300983,3.0810406,35,0.5599999999999997
2018-06-09,4.66391,4.2692084,3.1874123,45,0.5551111111111113
2018-06-10,4.5432434,3.3517625,2.6611836,65,0.5335384615384615
2018-06-11,4.2286625,3.45564,2.7936335,21,0.5342857142857144
2018-06-12,4.3048253,3.9951081,3.0083034,40,0.57925
2018-06-13,4.1203127,3.7759356,2.955635,44,0.6743181818181819
2018-06-14,4.204862,3.4751782,2.7956746,46,0.5658695652173913
2018-06-15,4.264123,4.2045236,3.1618633,3,1.13
2018-06-16,4.3011255,3.9093416,3.024509,14,0.7778571428571428
2018-06-17,4.308187,4.0583844,3.1614263,4,0.665
2018-06-18,4.326855,3.811655,3.128881,5,0.514
2018-06-19,4.692111,3.7733965,2.9513476,2,0.75
2018-06-20,4.835567,3.594065,2.842546,0,
2018-06-21,4.7308774,3.7436597,2.9563222,1,0.28
2018-06-22,4.3851867,3.8402736,3.1478221,2,0.47
2018-06-23,4.479593,4.2775764,3.326515,6,0.8033333333333333
2018-06-24,4.482923,3.7538173,3.010731,2,0.37
2018-06-25,4.4349236,3.814381,3.072198,0,
2018-06-26,4.455739,3.8736029,3.0920272,7,0.767142857142857
2018-06-27,4.414329,4.173686,3.1651852,2,0.925
2018-06-28,4.441162,4.2886224,3.2583501,0,
2018-06-29,4.595745,4.1501365,3.1438646,0,
2018-06-30,4.4906135,4.14029,3.1587744,0,
2018-07-01,4.4706297,3.8826354,3.0583248,1,0.48
