date,Washington Chl-a,Washington Nitrate,Irminger Chl-a,Irminger Nitrate
2018-04-01 00:00:00,2.756,4.758,2.644,10.024
2018-04-01 02:00:00,2.646,4.712,2.363,10.294
2018-04-01 04:00:00,2.368,3.774,2.601,10.121
2018-04-01 06:00:00,2.263,3.447,2.824,9.977
2018-04-01 08:00:00,2.416,4.362,3.007,9.756
2018-04-01 10:00:00,2.150,4.407,2.874,9.756
2018-04-01 12:00:00,2.634,4.444,3.042,9.669
2018-04-01 14:00:00,2.827,4.262,3.440,9.829
2018-04-01 16:00:00,2.073,3.834,3.767,9.695
2018-04-01 18:00:00,2.287,3.498,4.298,9.498
2018-04-01 20:00:00,1.609,3.524,3.639,9.239
2018-04-01 22:00:00,1.601,4.251,4.555,9.194
2018-04-02 00:00:00,2.190,3.988,4.107,9.526
2018-04-02 02:00:00,1.984,3.731,4.820,9.214
2018-04-02 04:00:00,1.670,4.078,4.957,9.265
2018-04-02 06:00:00,1.529,4.162,4.087,8.885
2018-04-02 08:00:00,1.476,4.342,4.668,8.951
2018-04-02 10:00:00,1.166,4.087,4.692,8.739
2018-04-02 12:00:00,1.662,4.324,4.622,8.791
2018-04-02 14:00:00,1.674,4.093,5.343,8.905
2018-04-02 16:00:00,1.371,4.923,5.511,9.132
2018-04-02 18:00:00,1.137,2.501,6.634,9.046
2018-04-02 20:00:00,1.448,3.727,6.560,8.894
2018-04-02 22:00:00,1.496,4.341,5.023,8.674
2018-04-03 00:00:00,1.733,4.096,4.616,8.704
2018-04-03 02:00:00,1.585,4.299,5.019,8.676
2018-04-03 04:00:00,0.924,4.267,5.698,9.232
2018-04-03 06:00:00,1.065,3.989,5.062,9.093
2018-04-03 08:00:00,1.303,4.225,5.296,9.226
2018-04-03 10:00:00,1.154,4.356,5.078,8.671
2018-04-03 12:00:00,1.150,4.206,5.444,8.525
2018-04-03 14:00:00,1.117,4.117,5.043,8.468
2018-04-03 16:00:00,1.359,4.368,4.817,7.981
2018-04-03 18:00:00,1.351,4.534,4.017,7.771
2018-04-03 20:00:00,0.895,4.032,4.193,7.923
2018-04-03 22:00:00,1.214,4.029,5.191,8.350
2018-04-04 00:00:00,1.412,3.831,4.754,8.250
2018-04-04 02:00:00,0.964,3.795,4.118,8.214
2018-04-04 04:00:00,0.742,3.740,4.099,8.058
2018-04-04 06:00:00,0.948,3.628,4.157,8.063
2018-04-04 08:00:00,1.065,3.763,4.813,8.053
2018-04-04 10:00:00,1.170,3.798,4.060,8.020
2018-04-04 12:00:00,0.956,3.878,4.594,8.129
2018-04-04 14:00:00,0.948,3.790,3.814,8.221
2018-04-04 16:00:00,0.980,3.721,2.890,8.291
2018-04-04 18:00:00,0.976,3.753,2.360,8.187
2018-04-04 20:00:00,1.065,3.796,2.469,8.151
2018-04-04 22:00:00,0.762,3.935,2.356,8.187
2018-04-05 00:00:00,0.898,3.760,2.864,8.118
2018-04-05 02:00:00,0.952,3.680,2.484,8.069
2018-04-05 04:00:00,0.932,3.672,3.865,8.078
2018-04-05 06:00:00,0.916,3.668,4.013,8.021
2018-04-05 08:00:00,0.912,3.711,4.528,8.174
2018-04-05 10:00:00,0.791,3.740,4.817,8.192
2018-04-05 12:00:00,0.726,3.681,5.187,8.118
2018-04-05 14:00:00,0.766,3.708,5.000,8.032
2018-04-05 16:00:00,0.791,3.684,5.090,7.964
2018-04-05 18:00:00,0.936,3.597,4.427,7.928
2018-04-05 20:00:00,0.932,3.528,4.122,7.953
2018-04-05 22:00:00,0.875,3.631,3.744,7.683
2018-04-06 00:00:00,0.948,3.585,4.021,7.944
2018-04-06 02:00:00,0.839,3.627,4.906,7.864
2018-04-06 04:00:00,0.791,3.654,4.555,7.428
2018-04-06 06:00:00,0.811,3.628,4.629,7.288
2018-04-06 08:00:00,0.843,3.621,4.891,7.195
2018-04-06 10:00:00,0.766,3.621,4.910,7.083
2018-04-06 12:00:00,0.742,3.605,4.384,7.123
2018-04-06 14:00:00,0.887,3.574,3.896,7.143
2018-04-06 16:00:00,0.561,3.593,4.969,7.644
2018-04-06 18:00:00,0.524,3.620,4.501,7.536
2018-04-06 20:00:00,0.399,3.606,4.368,7.624
2018-04-06 22:00:00,0.403,3.543,4.551,7.969
2018-04-07 00:00:00,0.532,3.561,4.812,7.602
2018-04-07 02:00:00,0.613,3.658,1.782,7.574
2018-04-07 04:00:00,0.710,3.625,1.927,6.930
2018-04-07 06:00:00,0.702,3.629,2.488,6.875
2018-04-07 08:00:00,0.516,3.628,3.331,6.434
2018-04-07 10:00:00,0.561,3.611,3.026,6.614
2018-04-07 12:00:00,0.577,3.483,2.344,7.665
2018-04-07 14:00:00,0.714,3.528,2.301,6.924
2018-04-07 16:00:00,0.702,3.462,2.465,6.129
2018-04-07 18:00:00,0.549,3.475,2.371,6.434
2018-04-07 20:00:00,0.617,3.454,1.505,7.052
2018-04-07 22:00:00,0.819,3.462,2.360,7.518
2018-04-08 00:00:00,0.819,3.533,1.700,7.609
2018-04-08 02:00:00,0.742,3.762,1.186,7.808
2018-04-08 04:00:00,0.714,3.682,0.983,7.844
2018-04-08 06:00:00,0.710,3.566,1.002,7.703
2018-04-08 08:00:00,0.718,3.582,1.115,7.664
2018-04-08 10:00:00,0.754,3.559,1.295,7.578
2018-04-08 12:00:00,0.722,3.486,1.053,8.078
2018-04-08 14:00:00,0.722,3.516,0.975,7.863
2018-04-08 16:00:00,0.835,3.547,0.839,7.946
2018-04-08 18:00:00,0.887,3.555,0.511,7.896
2018-04-08 20:00:00,0.815,3.547,0.484,7.869
2018-04-08 22:00:00,0.682,3.549,0.464,10.405
2018-04-09 00:00:00,0.986,3.906,0.661,10.378
2018-04-09 02:00:00,0.847,4.380,1.096,10.803
2018-04-09 04:00:00,0.811,4.303,1.291,11.201
2018-04-09 06:00:00,0.883,4.213,1.361,11.184
2018-04-09 08:00:00,0.839,4.324,1.268,11.145
2018-04-09 10:00:00,0.920,4.018,1.236,11.180
2018-04-09 12:00:00,0.899,3.847,1.182,11.093
2018-04-09 14:00:00,0.859,3.771,1.162,10.944
2018-04-09 16:00:00,1.012,3.569,1.151,10.903
2018-04-09 18:00:00,1.436,3.637,2.032,11.124
2018-04-09 20:00:00,1.662,4.055,2.024,11.030
2018-04-09 22:00:00,1.315,3.605,1.966,11.069
2018-04-10 00:00:00,1.367,3.821,2.133,11.118
2018-04-10 02:00:00,1.238,3.650,3.342,10.923
2018-04-10 04:00:00,1.299,3.498,4.754,11.270
2018-04-10 06:00:00,1.629,3.821,4.590,10.741
2018-04-10 08:00:00,1.581,3.763,4.976,10.585
2018-04-10 10:00:00,1.492,3.778,4.902,10.485
2018-04-10 12:00:00,1.367,3.668,3.452,10.569
2018-04-10 14:00:00,1.371,3.522,2.020,10.605
2018-04-10 16:00:00,1.335,3.578,2.211,10.646
2018-04-10 18:00:00,1.008,3.484,1.997,10.734
2018-04-10 20:00:00,0.899,3.472,1.853,10.664
2018-04-10 22:00:00,1.291,3.457,1.966,10.120
2018-04-11 00:00:00,1.835,3.571,2.024,9.800
2018-04-11 02:00:00,1.497,3.503,2.521,9.463
2018-04-11 04:00:00,1.202,3.659,2.219,9.665
2018-04-11 06:00:00,1.125,3.664,2.024,9.320
2018-04-11 08:00:00,1.238,3.603,2.009,9.031
2018-04-11 10:00:00,1.307,3.565,1.985,8.217
2018-04-11 12:00:00,1.275,3.480,2.098,8.589
2018-04-11 14:00:00,1.214,3.588,2.126,8.593
2018-04-11 16:00:00,1.275,3.431,2.250,8.505
2018-04-11 18:00:00,1.472,3.594,1.903,8.721
2018-04-11 20:00:00,1.621,3.547,1.564,9.467
2018-04-11 22:00:00,1.779,3.582,1.568,9.799
2018-04-12 00:00:00,1.694,3.600,2.360,9.727
2018-04-12 02:00:00,1.513,3.561,2.453,9.647
2018-04-12 04:00:00,1.549,3.479,2.734,9.569
2018-04-12 06:00:00,1.363,3.491,2.960,9.604
2018-04-12 08:00:00,1.222,3.512,2.282,9.671
2018-04-12 10:00:00,1.141,3.626,2.434,9.674
2018-04-12 12:00:00,0.980,3.743,2.371,9.682
2018-04-12 14:00:00,1.057,3.666,2.383,9.881
2018-04-12 16:00:00,1.053,3.829,2.547,9.654
2018-04-12 18:00:00,0.577,3.786,2.679,9.892
2018-04-12 20:00:00,0.472,3.990,2.422,9.805
2018-04-12 22:00:00,0.585,3.764,2.488,9.824
2018-04-13 00:00:00,1.287,3.566,2.757,10.162
2018-04-13 02:00:00,1.373,3.340,3.299,9.648
2018-04-13 04:00:00,1.323,3.328,3.721,9.562
2018-04-13 06:00:00,1.162,3.328,4.594,9.659
2018-04-13 08:00:00,1.069,3.351,5.129,9.603
2018-04-13 10:00:00,1.016,3.381,6.033,9.735
2018-04-13 12:00:00,1.049,3.355,6.345,9.457
2018-04-13 14:00:00,1.097,3.350,7.036,9.239
2018-04-13 16:00:00,1.133,3.325,6.068,9.273
2018-04-13 18:00:00,1.363,3.354,5.632,9.196
2018-04-13 20:00:00,1.508,3.394,6.505,9.179
2018-04-13 22:00:00,1.912,3.369,6.466,9.306
2018-04-14 00:00:00,1.670,3.344,6.903,9.216
2018-04-14 02:00:00,1.484,3.319,7.149,9.159
2018-04-14 04:00:00,1.222,3.495,7.367,9.305
2018-04-14 06:00:00,1.170,3.778,6.224,9.238
2018-04-14 08:00:00,1.101,3.752,6.536,9.363
2018-04-14 10:00:00,0.847,3.921,5.093,9.571
2018-04-14 12:00:00,0.908,3.757,4.836,9.879
2018-04-14 14:00:00,1.000,3.741,4.976,10.047
2018-04-14 16:00:00,0.952,3.716,5.647,10.071
2018-04-14 18:00:00,0.996,3.679,7.164,9.843
2018-04-14 20:00:00,1.109,3.606,7.675,9.652
2018-04-14 22:00:00,1.206,3.602,7.566,9.558
2018-04-15 00:00:00,1.174,3.577,8.849,9.432
2018-04-15 02:00:00,1.183,3.648,7.231,9.324
2018-04-15 04:00:00,1.198,3.609,8.654,9.397
2018-04-15 06:00:00,1.125,3.490,9.099,9.084
2018-04-15 08:00:00,0.928,3.827,9.325,8.943
2018-04-15 10:00:00,0.891,3.854,9.797,8.823
2018-04-15 12:00:00,1.145,3.559,8.412,8.762
2018-04-15 14:00:00,1.601,3.317,8.416,8.611
2018-04-15 16:00:00,1.629,3.390,8.639,8.586
2018-04-15 18:00:00,0.976,3.727,8.771,8.774
2018-04-15 20:00:00,0.976,3.720,7.570,8.745
2018-04-15 22:00:00,1.327,3.622,7.036,8.842
2018-04-16 00:00:00,1.331,3.711,7.605,8.540
2018-04-16 02:00:00,1.291,3.592,6.026,8.563
2018-04-16 04:00:00,1.335,3.696,6.509,8.698
2018-04-16 06:00:00,1.016,3.841,6.310,9.060
2018-04-16 08:00:00,1.206,3.666,7.937,9.074
2018-04-16 10:00:00,1.097,3.765,5.249,9.064
2018-04-16 12:00:00,0.807,4.177,3.116,8.640
2018-04-16 14:00:00,1.242,4.328,4.411,8.051
2018-04-16 16:00:00,1.763,4.167,5.733,7.672
2018-04-16 18:00:00,1.331,4.037,6.618,7.566
2018-04-16 20:00:00,1.311,3.915,5.000,7.494
2018-04-16 22:00:00,1.371,3.868,5.503,7.544
2018-04-17 00:00:00,1.351,3.852,4.118,7.708
2018-04-17 02:00:00,1.334,3.759,4.244,7.512
2018-04-17 04:00:00,1.109,3.748,5.168,7.026
2018-04-17 06:00:00,1.141,3.796,4.349,7.043
2018-04-17 08:00:00,1.073,3.829,4.563,7.047
2018-04-17 10:00:00,1.250,3.769,3.760,7.092
2018-04-17 12:00:00,1.412,3.797,3.713,7.070
2018-04-17 14:00:00,1.767,3.730,3.927,7.159
2018-04-17 16:00:00,1.779,3.636,3.042,7.125
2018-04-17 18:00:00,1.936,3.590,4.115,7.204
2018-04-17 20:00:00,2.557,3.582,3.432,7.530
2018-04-17 22:00:00,2.811,3.564,3.892,7.822
2018-04-18 00:00:00,2.759,3.598,3.920,7.928
2018-04-18 02:00:00,2.384,3.629,3.424,7.741
2018-04-18 04:00:00,2.202,3.696,3.085,8.130
2018-04-18 06:00:00,1.972,3.681,3.225,7.373
2018-04-18 08:00:00,2.222,3.709,2.379,6.235
2018-04-18 10:00:00,2.593,3.720,5.834,5.775
2018-04-18 12:00:00,2.464,3.717,7.484,6.056
2018-04-18 14:00:00,2.541,3.795,7.820,6.278
2018-04-18 16:00:00,2.763,3.746,7.375,6.236
2018-04-18 18:00:00,2.864,3.852,7.976,6.075
2018-04-18 20:00:00,3.513,4.400,7.745,6.026
2018-04-18 22:00:00,2.509,4.452,8.186,6.103
2018-04-19 00:00:00,3.336,4.629,6.907,6.414
2018-04-19 02:00:00,2.351,4.064,6.462,6.556
2018-04-19 04:00:00,1.509,4.025,4.841,6.937
2018-04-19 06:00:00,1.859,4.154,5.156,7.156
2018-04-19 08:00:00,2.331,4.727,4.477,7.355
2018-04-19 10:00:00,1.771,4.405,4.738,7.559
2018-04-19 12:00:00,1.420,4.565,4.750,7.703
2018-04-19 14:00:00,3.404,4.350,4.200,7.931
2018-04-19 16:00:00,2.142,4.213,4.493,8.097
2018-04-19 18:00:00,2.226,4.012,3.299,8.088
2018-04-19 20:00:00,3.198,4.046,3.611,8.073
2018-04-19 22:00:00,4.626,4.453,4.828,7.901
2018-04-20 00:00:00,3.194,3.998,5.105,7.732
2018-04-20 02:00:00,1.686,3.257,5.565,7.613
2018-04-20 04:00:00,3.969,4.228,6.439,7.803
2018-04-20 06:00:00,3.884,4.303,6.170,7.792
2018-04-20 08:00:00,2.775,3.900,6.852,7.995
2018-04-20 10:00:00,3.953,4.303,7.016,8.350
2018-04-20 12:00:00,4.094,4.038,6.607,8.772
2018-04-20 14:00:00,2.952,4.028,6.513,8.610
2018-04-20 16:00:00,2.585,3.793,6.361,9.299
2018-04-20 18:00:00,2.416,4.192,7.913,9.393
2018-04-20 20:00:00,1.811,4.098,8.210,7.946
2018-04-20 22:00:00,2.424,3.894,7.519,7.741
2018-04-21 00:00:00,4.320,4.217,6.700,7.764
2018-04-21 02:00:00,3.812,4.390,5.788,8.037
2018-04-21 04:00:00,3.303,3.926,5.999,7.498
2018-04-21 06:00:00,2.009,4.388,6.790,7.317
2018-04-21 08:00:00,1.424,3.947,8.568,7.392
2018-04-21 10:00:00,2.420,4.081,8.007,8.022
2018-04-21 12:00:00,2.771,4.273,4.423,8.224
2018-04-21 14:00:00,3.098,4.250,4.505,8.669
2018-04-21 16:00:00,3.356,4.249,4.212,8.008
2018-04-21 18:00:00,3.586,4.151,4.688,7.923
2018-04-21 20:00:00,3.638,4.379,5.905,7.928
2018-04-21 22:00:00,4.029,4.043,4.505,7.694
2018-04-22 00:00:00,3.319,4.201,4.719,7.661
2018-04-22 02:00:00,2.924,4.090,3.713,7.657
2018-04-22 04:00:00,2.589,4.082,3.471,7.865
2018-04-22 06:00:00,2.513,4.007,3.179,7.928
2018-04-22 08:00:00,2.839,4.235,3.058,7.928
2018-04-22 10:00:00,2.823,4.266,3.210,7.887
2018-04-22 12:00:00,2.989,4.109,2.933,7.816
2018-04-22 14:00:00,3.077,4.138,3.490,7.751
2018-04-22 16:00:00,3.206,4.255,3.537,7.850
2018-04-22 18:00:00,3.352,4.352,4.009,8.007
2018-04-22 20:00:00,3.408,4.145,4.029,7.924
2018-04-22 22:00:00,3.553,4.250,3.818,7.785
2018-04-23 00:00:00,3.682,4.330,3.393,7.408
2018-04-23 02:00:00,2.489,4.337,3.229,7.399
2018-04-23 04:00:00,2.042,4.186,4.484,7.838
2018-04-23 06:00:00,1.908,4.287,4.076,7.890
2018-04-23 08:00:00,2.045,4.242,4.563,8.008
2018-04-23 10:00:00,2.093,4.206,3.935,7.290
2018-04-23 12:00:00,2.049,4.253,4.115,7.171
2018-04-23 14:00:00,2.045,4.172,3.089,7.602
2018-04-23 16:00:00,1.295,4.202,1.712,8.204
2018-04-23 18:00:00,1.053,4.156,0.835,8.248
2018-04-23 20:00:00,1.049,4.146,0.503,8.153
2018-04-23 22:00:00,1.218,4.065,0.406,8.207
2018-04-24 00:00:00,1.581,4.078,0.281,8.265
2018-04-24 02:00:00,1.250,3.920,0.507,7.539
2018-04-24 04:00:00,1.488,4.037,1.287,7.088
2018-04-24 06:00:00,1.291,4.036,1.599,7.630
2018-04-24 08:00:00,1.190,4.180,1.045,7.811
2018-04-24 10:00:00,1.166,4.250,1.693,7.665
2018-04-24 12:00:00,1.182,4.055,1.057,7.811
2018-04-24 14:00:00,1.436,3.959,1.147,7.666
