time,Endurance Chlorophyll,Endurance DO,Endurance Water Temp,Endurance Salinity,Pioneer Chlorophyll,Pioneer DO,Pioneer Water Temp,Pioneer Salinity,Pioneer Water Temp2
2016-06-01,0.512,250.869,14.444,30.678,0.572,260.317,15.453,34.548,
2016-06-02,0.440,248.819,14.518,30.767,0.687,266.686,15.245,33.950,
2016-06-03,0.438,250.135,14.616,30.870,0.678,260.106,16.038,34.032,
2016-06-04,0.518,251.853,14.345,31.033,0.749,262.907,15.818,33.946,
2016-06-05,0.588,248.915,14.669,30.964,0.718,258.297,16.285,34.210,
2016-06-06,0.518,247.204,14.997,30.706,0.640,247.197,17.409,34.201,
2016-06-07,0.576,244.693,14.703,30.810,0.547,242.335,18.281,34.506,
2016-06-08,0.663,243.777,14.609,30.965,0.682,245.404,17.558,34.091,
2016-06-09,0.473,244.112,14.504,31.023,0.881,264.177,14.094,33.196,
2016-06-10,0.419,243.339,14.349,31.200,0.905,261.050,14.256,33.222,
2016-06-11,0.470,241.929,14.619,30.984,0.823,266.138,13.948,33.030,
2016-06-12,0.510,244.496,14.603,31.084,0.729,264.930,14.150,32.974,
2016-06-13,0.714,246.775,14.101,31.245,0.891,268.219,13.606,32.710,
2016-06-14,0.566,242.668,14.641,30.537,0.948,265.198,13.474,32.809,
2016-06-15,0.499,241.314,14.825,30.358,0.942,267.028,13.500,32.882,
2016-06-16,0.438,239.437,14.871,30.413,1.317,270.795,13.458,32.931,
2016-06-17,0.392,238.119,15.176,30.388,1.113,270.320,13.700,33.024,
2016-06-18,0.483,236.623,15.504,30.440,0.666,265.866,14.439,33.048,
2016-06-19,0.541,236.989,15.756,30.551,0.494,264.794,14.817,33.007,
2016-06-20,0.503,238.827,15.356,30.881,0.503,265.725,15.089,33.060,
2016-06-21,0.518,240.505,15.597,30.708,0.611,257.381,16.180,33.170,
2016-06-22,0.543,243.240,15.022,31.245,0.716,252.858,16.425,33.092,
2016-06-23,0.451,244.161,15.123,31.447,0.771,250.067,16.896,33.234,
2016-06-24,0.366,241.423,15.007,31.441,0.662,249.732,17.020,33.338,
2016-06-25,0.353,241.187,15.135,31.553,0.564,249.174,17.261,33.240,
2016-06-26,0.511,242.075,15.111,31.299,0.472,248.920,17.364,33.188,
2016-06-27,0.505,244.320,14.694,31.127,0.548,252.673,17.290,33.094,
2016-06-28,0.476,250.427,13.583,31.678,0.783,259.142,17.008,33.046,
2016-06-29,0.477,250.225,13.407,31.822,0.893,263.014,16.905,33.021,
2016-06-30,1.391,266.200,12.829,31.965,0.701,257.367,17.719,33.173,
2016-07-01,4.678,278.435,12.280,32.078,0.526,252.165,18.376,33.324,
2016-07-02,6.614,288.517,12.051,32.132,0.627,258.733,17.882,33.257,
2016-07-03,4.258,286.986,12.820,31.986,0.585,242.675,19.159,33.378,
2016-07-04,2.662,264.951,13.427,31.851,0.551,236.128,19.626,33.613,
2016-07-05,4.438,269.887,12.948,31.792,0.649,233.210,20.044,33.757,
2016-07-06,2.388,271.396,13.176,31.838,0.577,232.614,20.145,33.555,
2016-07-07,1.408,267.159,13.772,31.676,0.524,242.184,19.681,33.409,
2016-07-08,0.825,249.123,15.828,31.003,0.538,240.947,19.857,33.353,
2016-07-09,0.603,236.307,16.288,31.122,0.632,231.484,19.893,33.619,
2016-07-10,0.566,237.959,15.794,31.348,0.562,213.703,20.098,33.746,
2016-07-11,0.596,241.610,15.879,31.483,0.434,193.649,20.835,33.901,
2016-07-12,0.476,244.670,15.778,31.389,0.368,185.817,21.229,34.071,
2016-07-13,0.661,238.864,16.315,31.226,0.329,198.677,21.697,33.877,
2016-07-14,0.426,235.074,16.211,31.672,0.356,210.711,21.803,33.935,
2016-07-15,0.629,240.469,15.423,31.846,0.278,202.127,22.594,34.183,
2016-07-16,0.771,243.767,15.333,31.842,0.263,192.722,23.115,34.348,
2016-07-17,0.735,248.450,15.614,31.780,0.254,187.140,23.374,34.673,
2016-07-18,0.753,246.814,16.039,31.753,0.227,195.059,23.437,34.891,
2016-07-19,0.545,241.984,16.464,31.774,0.267,199.013,23.730,34.219,
2016-07-20,0.712,243.876,16.592,31.753,0.304,198.266,23.523,33.951,
2016-07-21,0.533,239.131,17.195,31.713,0.304,203.508,23.184,33.615,
2016-07-22,0.560,238.425,17.272,31.634,0.251,209.680,23.474,33.509,
2016-07-23,0.425,236.260,17.394,31.515,0.314,210.061,23.493,33.491,
2016-07-24,0.574,239.919,17.082,30.602,0.315,209.679,23.359,33.318,
2016-07-25,0.775,245.207,16.197,31.022,0.350,209.940,23.325,33.324,
2016-07-26,1.174,251.567,15.555,31.396,0.384,215.871,23.236,33.260,
2016-07-27,1.753,260.897,14.740,31.563,0.291,209.578,23.519,33.039,
2016-07-28,1.890,257.487,14.191,31.633,0.309,214.510,23.417,33.035,
2016-07-29,2.804,268.578,13.352,31.866,0.415,216.138,23.682,33.021,
2016-07-30,8.664,289.706,13.178,32.045,0.423,212.715,23.716,32.775,
2016-07-31,10.263,289.477,13.220,32.048,0.217,200.312,24.682,33.634,
2016-08-01,9.105,285.774,13.155,32.022,0.153,196.238,25.412,34.620,
2016-08-02,9.979,294.046,12.447,32.198,0.149,194.404,25.591,35.115,
2016-08-03,8.081,307.230,13.070,32.067,0.115,195.262,25.181,35.008,
2016-08-04,11.037,278.927,11.883,32.393,0.100,193.205,24.999,35.049,
2016-08-05,15.679,272.483,11.764,32.463,0.103,192.834,24.919,35.002,
2016-08-06,16.119,287.210,11.662,32.505,0.105,191.661,25.080,35.119,
2016-08-07,17.971,327.083,11.836,32.616,0.112,191.297,25.285,35.106,
2016-08-08,18.637,318.674,11.197,32.769,0.103,191.865,25.250,34.967,
2016-08-09,18.315,315.067,10.664,32.971,0.120,194.992,24.956,34.562,
2016-08-10,10.008,301.709,11.437,33.166,0.139,201.601,24.431,34.056,
2016-08-11,10.652,360.019,12.269,32.941,0.141,200.993,24.714,33.984,
2016-08-12,8.892,320.435,12.164,32.860,0.124,199.988,24.885,34.385,
2016-08-13,6.196,326.934,13.134,32.667,0.120,200.061,24.750,34.499,
2016-08-14,4.969,302.985,13.289,32.506,0.126,195.747,24.929,34.415,
2016-08-15,7.663,287.974,12.753,32.452,0.134,191.644,25.006,34.371,
2016-08-16,8.349,285.917,12.491,32.537,0.142,189.234,25.257,34.349,
2016-08-17,7.423,286.633,12.411,32.510,0.157,194.023,24.794,33.680,
2016-08-18,8.204,295.930,12.274,32.463,0.181,186.439,24.903,33.647,
2016-08-19,10.491,313.060,12.113,32.468,0.166,182.953,25.100,33.553,
2016-08-20,8.196,342.003,12.199,32.466,0.141,184.281,25.091,33.296,
2016-08-21,4.489,317.807,12.729,32.384,0.131,187.439,25.509,33.695,
2016-08-22,2.844,312.536,12.528,32.391,0.131,187.169,25.425,33.675,
2016-08-23,6.333,316.501,12.272,32.501,0.141,185.994,24.938,33.890,
2016-08-24,4.313,300.544,12.263,32.473,0.149,186.481,24.323,33.453,
2016-08-25,6.167,294.375,12.318,32.545,0.141,190.277,24.316,33.429,
2016-08-26,6.907,285.435,12.227,32.558,0.139,191.226,24.475,33.458,
2016-08-27,3.908,281.963,12.857,32.484,0.149,187.829,24.806,33.691,
2016-08-28,1.048,250.494,14.752,32.254,0.142,188.501,24.683,33.620,
2016-08-29,0.568,245.617,14.812,32.252,0.132,186.547,24.747,33.746,
2016-08-30,0.286,230.131,16.094,32.094,0.145,194.323,23.823,33.281,
2016-08-31,0.201,221.654,17.191,31.913,0.146,188.779,23.934,33.360,
2016-09-01,0.171,216.917,17.848,31.837,0.151,187.140,24.579,33.655,
2016-09-02,0.148,217.017,17.796,31.857,0.166,191.021,24.495,33.853,
2016-09-03,0.153,218.355,17.645,31.943,0.174,195.409,24.027,33.834,
2016-09-04,0.180,221.712,17.155,31.975,0.205,198.634,23.432,33.935,
2016-09-05,0.159,220.094,17.354,31.964,0.377,205.630,22.524,34.274,
2016-09-06,0.154,216.437,17.697,31.937,0.471,204.410,21.726,34.487,
2016-09-07,0.181,224.535,16.723,32.073,0.417,201.873,21.515,34.439,
2016-09-08,0.250,228.835,16.222,32.084,0.364,198.743,21.378,34.146,
2016-09-09,0.546,237.295,15.309,31.995,0.250,198.454,21.213,33.782,
2016-09-10,1.014,241.130,14.889,32.182,0.205,196.888,21.451,33.799,
2016-09-11,0.938,244.293,14.878,32.284,0.197,199.274,21.564,33.805,
2016-09-12,0.960,247.107,14.322,32.367,0.204,198.712,21.528,33.910,
2016-09-13,2.106,258.039,13.805,32.433,0.200,186.537,21.630,34.069,
2016-09-14,1.490,259.750,13.378,32.412,0.178,193.224,21.849,34.297,
2016-09-15,0.636,258.705,14.394,32.345,0.177,199.127,22.203,34.550,
2016-09-16,0.840,251.454,14.587,32.362,0.171,195.804,22.397,34.826,
2016-09-17,1.072,242.763,14.178,32.384,0.155,194.420,22.237,34.859,
2016-09-18,1.166,250.173,14.099,32.393,0.141,192.555,22.701,35.061,
2016-09-19,1.083,249.769,14.055,32.380,0.135,189.449,23.202,35.263,
2016-09-20,1.126,259.260,13.621,32.457,0.136,188.827,23.488,35.371,
2016-09-21,0.932,250.511,14.424,32.306,0.136,189.373,23.599,35.293,
2016-09-22,0.851,243.457,14.864,32.117,0.126,191.447,23.949,35.366,
2016-09-23,1.040,238.088,14.570,32.196,0.127,190.263,23.877,35.258,
2016-09-24,0.992,245.661,14.247,32.323,0.177,192.340,24.204,35.127,
2016-09-25,1.219,244.077,14.430,32.128,0.194,194.987,23.974,35.120,
2016-09-26,0.971,245.867,14.535,32.064,0.167,195.102,23.648,35.167,
2016-09-27,0.761,234.090,15.161,31.894,0.183,197.568,23.514,35.136,
2016-09-28,0.971,238.736,14.154,32.023,0.217,197.474,23.393,35.157,
2016-09-29,1.117,240.029,13.459,32.209,0.250,197.909,23.232,35.234,
2016-09-30,1.572,240.664,13.209,32.273,0.287,198.798,23.073,35.270,
2016-10-01,0.883,244.505,13.668,32.173,0.264,198.229,23.092,35.366,
2016-10-02,0.564,246.341,14.311,32.081,0.209,197.016,23.150,35.385,
2016-10-03,0.605,246.141,14.139,32.092,0.165,194.571,23.426,35.447,
2016-10-04,0.624,244.156,14.161,32.114,0.165,197.111,23.293,35.474,
2016-10-05,0.447,239.672,15.075,32.085,0.194,197.197,23.087,35.376,
2016-10-06,0.773,246.650,13.893,32.126,0.188,197.074,23.112,35.270,
2016-10-07,0.897,245.611,13.790,32.156,0.174,197.310,23.034,35.251,
2016-10-08,0.870,245.171,13.895,32.163,0.157,198.406,22.882,35.286,
2016-10-09,0.950,245.361,14.054,32.148,0.198,199.154,22.743,35.300,
2016-10-10,0.964,246.476,13.887,32.152,0.370,202.628,21.517,35.284,
2016-10-11,0.989,248.862,13.438,32.151,0.453,204.912,20.862,35.264,
2016-10-12,1.068,251.170,13.028,32.152,0.359,211.003,21.260,35.337,
2016-10-13,0.941,246.615,12.478,32.226,0.242,222.624,21.310,35.348,
2016-10-14,0.805,232.956,12.608,32.466,0.307,222.976,21.223,35.322,
2016-10-15,0.687,234.551,13.742,32.327,0.302,222.754,21.121,35.336,
2016-10-16,0.574,231.570,14.463,32.297,0.236,222.672,21.112,35.368,
2016-10-17,0.640,234.439,14.931,32.163,0.212,222.447,21.123,35.372,
2016-10-18,0.729,235.357,15.031,32.154,0.199,222.247,21.148,35.374,
2016-10-19,0.946,236.143,14.997,32.156,0.165,222.235,21.182,35.399,
2016-10-20,1.194,236.628,14.857,32.178,0.339,225.064,21.348,35.439,
2016-10-21,1.378,239.681,14.692,32.227,0.323,,,,
2016-10-22,1.545,243.085,14.518,32.290,0.393,227.019,20.829,34.991,
2016-10-23,1.512,242.469,14.366,32.349,0.438,216.817,21.260,35.530,
2016-10-24,1.308,240.912,14.061,32.446,0.497,215.596,21.073,35.619,
2016-10-25,0.939,238.749,14.287,32.354,0.691,214.443,21.051,35.676,
2016-10-26,0.756,240.188,14.644,32.188,0.762,212.761,21.402,35.740,
2016-10-27,0.730,241.261,14.675,32.205,0.734,216.609,20.905,35.696,
2016-10-28,0.589,239.672,15.130,32.278,0.590,220.344,20.273,35.580,
2016-10-29,0.626,242.136,14.954,32.228,0.600,219.312,20.228,35.639,
2016-10-30,0.903,240.226,14.416,32.289,0.579,219.595,20.499,35.639,
2016-10-31,0.775,240.419,14.389,32.288,0.625,219.903,20.411,35.658,
2016-11-01,0.758,243.150,14.425,32.313,0.644,220.439,20.416,35.688,
2016-11-02,1.261,242.469,14.251,32.465,0.830,223.369,20.190,35.693,
2016-11-03,1.300,248.984,14.396,32.435,0.874,223.947,20.241,35.699,
