time,CE07 pCO2 Atm,CE07 pCO2 Sea,CE07 CO2 Flux,CE07 SST,CE07 Sal,CE07 Wind,CP03 pCO2 Atm,CP03 pCO2 Sea,CP03 CO2 Flux,CP03 SST,CP03 Sal,CP03 Wind,CE02 pCO2 Atm,CE02 pCO2 Sea,CE02 CO2 Flux,CE02 SST,CE02 Sal,CE02 Wind
2018-01-03,,,,,,,421.387,388.156,-0.076,9.850,33.235,9.398,423.414,377.862,-0.043,10.921,32.705,5.737
2018-01-07,,,,,,,428.350,390.355,-0.136,9.851,33.554,11.438,419.565,369.900,-0.052,10.942,32.703,5.592
2018-01-11,,,,,,,422.050,383.796,-0.048,9.371,33.557,6.709,416.723,357.071,-0.071,10.747,32.658,6.484
2018-01-15,,,,,,,420.817,380.066,-0.060,9.102,33.499,7.330,423.377,344.198,-0.063,10.715,32.663,4.836
2018-01-19,,,,,,,421.112,381.457,-0.050,6.318,32.757,6.799,416.622,377.169,-0.060,11.036,32.719,7.790
2018-01-23,,,,,,,423.282,386.021,-0.030,6.917,32.902,5.394,418.322,379.726,-0.071,11.070,32.670,8.684
2018-01-27,,,,,,,415.177,368.144,-0.057,5.817,32.724,6.353,418.261,383.729,-0.063,11.058,32.674,8.083
2018-01-31,,,,,,,415.829,381.759,-0.061,6.560,32.909,8.026,421.425,372.382,-0.029,11.041,32.669,4.488
2018-02-04,,,,,,,416.046,386.568,-0.058,6.677,32.989,8.205,420.095,350.538,-0.032,10.992,32.227,3.921
2018-02-08,,,,,,,419.441,356.783,-0.058,6.063,32.929,5.582,424.915,339.697,-0.017,10.788,31.342,2.247
2018-02-12,,,,,,,413.832,344.338,-0.077,5.905,32.839,6.291,424.238,363.922,,10.503,31.647,2.803
2018-02-16,,,,,,,414.413,336.018,-0.075,5.854,32.834,5.728,422.479,335.717,-0.104,10.267,32.149,5.513
2018-02-20,,,,,,,415.179,341.142,-0.086,6.024,32.825,6.415,422.715,327.039,-0.145,9.668,31.160,6.929
2018-02-24,,,,,,,418.910,352.184,-0.080,6.249,32.839,6.564,423.569,294.056,-0.188,9.200,30.943,6.990
2018-02-28,,,,,,,417.179,391.750,-0.020,6.532,32.955,5.224,419.166,287.123,-0.142,8.946,30.818,6.013
2018-03-04,,,,,,,409.412,390.164,-0.069,6.682,33.148,11.537,420.033,330.614,-0.094,9.274,31.739,6.215
2018-03-08,,,,,,,412.685,391.233,-0.039,6.848,33.418,8.304,420.552,334.316,-0.086,9.532,31.769,5.634
2018-03-12,,,,,,,410.894,381.188,-0.070,6.735,33.432,10.146,424.156,360.361,-0.016,10.061,32.116,3.937
2018-03-16,,,,,,,414.538,392.101,-0.069,6.470,33.332,10.740,420.364,340.034,-0.080,10.022,32.258,5.439
2018-03-20,,,,,,,412.554,392.610,-0.032,6.320,33.323,7.765,423.958,324.527,-0.078,10.010,32.246,4.736
2018-03-24,425.091,212.894,,9.138,23.837,5.152,415.738,392.634,-0.024,6.122,33.241,6.350,420.286,326.728,-0.128,9.895,32.201,6.289
2018-03-28,420.914,219.091,-0.168,9.120,25.048,5.116,428.006,399.330,-0.054,6.101,33.250,7.797,425.525,310.742,-0.092,9.968,32.165,4.999
2018-04-01,414.934,217.077,-0.179,9.602,26.326,5.224,430.313,407.464,-0.022,6.289,33.199,6.132,421.661,312.193,-0.109,9.997,31.827,5.570
2018-04-05,416.205,282.054,-0.110,9.599,29.344,4.877,429.049,414.441,-0.019,6.237,33.221,6.954,353.136,320.621,0.022,10.077,31.895,4.592
2018-04-09,413.160,325.042,-0.165,10.087,29.109,6.013,429.440,417.956,-0.011,6.368,33.221,5.833,318.889,321.800,-0.003,10.299,32.092,7.497
2018-04-13,410.944,342.309,-0.089,9.950,31.646,5.841,431.439,404.311,-0.031,6.710,33.233,6.963,318.004,316.673,-0.005,10.221,32.175,7.898
2018-04-17,412.545,320.496,-0.086,10.036,30.498,5.502,429.616,408.590,-0.061,6.385,33.169,10.722,314.021,313.719,-0.002,10.250,32.292,5.354
2018-04-21,416.551,255.366,-0.126,10.645,27.092,4.921,432.355,405.678,,,,,314.793,310.430,-0.005,10.919,31.574,6.107
2018-04-25,418.694,281.069,-0.103,11.402,28.982,4.717,431.007,373.217,-0.033,7.791,33.143,4.833,334.841,334.559,-0.001,10.701,31.997,4.992
2018-04-29,406.117,309.752,-0.035,11.653,30.021,3.417,426.523,401.198,-0.011,7.674,33.051,3.364,289.991,283.724,-0.004,11.290,30.949,4.452
2018-05-03,,,,,,,,,,,,,300.956,296.510,-0.004,11.039,31.063,4.896
2018-05-07,,,,,,,,,,,,,308.216,300.911,-0.003,11.643,30.278,3.867
2018-05-11,408.253,273.893,-0.106,12.713,29.025,5.031,,,,,,,290.572,283.497,-0.008,12.123,29.732,6.120
2018-05-15,413.359,234.863,-0.044,13.643,29.677,2.697,,,,,,,318.775,314.297,-0.002,12.323,29.999,4.060
2018-05-19,408.364,235.667,-0.050,13.207,30.986,2.906,,,,,,,259.799,235.041,-0.008,14.196,25.288,3.514
2018-05-23,406.504,259.283,-0.136,13.959,29.670,5.498,443.657,336.584,-0.017,9.346,33.010,2.258,318.868,310.868,-0.005,11.702,31.293,4.490
2018-05-27,407.116,210.696,-0.117,12.929,31.517,4.234,431.332,324.085,-0.110,11.191,32.440,6.116,336.299,326.127,-0.007,11.058,32.072,4.491
2018-05-31,408.094,218.413,-0.185,11.727,32.160,5.362,425.291,370.898,-0.021,14.367,32.724,3.754,427.502,432.911,-0.001,10.157,32.381,4.435
2018-06-04,408.156,152.016,-0.094,12.655,31.919,3.254,422.430,355.211,-0.087,13.482,33.025,6.312,280.854,251.534,-0.016,12.543,31.049,3.627
2018-06-08,402.429,229.304,-0.098,12.799,31.721,3.964,423.336,369.070,-0.021,13.576,32.913,3.429,281.425,243.175,-0.027,15.052,29.184,5.005
2018-06-12,407.500,259.352,-0.088,13.908,31.099,4.051,420.994,380.283,-0.022,14.533,33.016,4.195,271.010,234.688,-0.028,14.153,30.246,5.037
2018-06-16,405.184,240.850,-0.096,15.702,26.372,4.329,420.699,389.697,-0.020,15.345,32.947,4.330,334.324,309.965,-0.026,13.644,31.194,5.496
2018-06-20,403.445,210.435,-0.060,15.993,29.941,3.094,420.483,415.624,-0.002,16.818,32.831,3.763,333.455,289.939,-0.017,15.448,29.556,3.330
2018-06-24,401.819,186.780,-0.140,15.419,31.247,4.711,,,,,,,310.543,277.269,-0.029,14.344,30.626,4.968
2018-06-28,402.739,275.680,-0.027,14.176,31.577,3.995,,,,,,,362.279,338.568,-0.011,11.807,32.528,3.668
2018-07-02,400.951,246.197,-0.074,14.138,31.908,3.771,,,,,,,250.622,214.987,-0.023,13.434,32.064,4.389
2018-07-06,399.416,229.110,-0.095,14.007,32.162,3.710,,,,,,,331.874,283.450,-0.037,13.853,31.508,4.591
2018-07-10,397.046,226.106,-0.081,15.248,31.743,3.387,,,,,,,304.471,245.471,-0.044,16.238,30.106,4.793
2018-07-14,399.969,258.866,-0.117,15.198,32.158,4.731,,,,20.438,32.652,3.292,430.745,404.538,-0.010,10.392,33.047,4.821
2018-07-18,395.955,349.424,-0.023,13.921,32.029,3.759,,,,21.513,32.682,4.006,434.065,,-0.017,10.671,32.910,3.438
2018-07-22,389.850,311.764,-0.059,12.716,32.600,4.762,,,,20.627,32.744,5.162,430.946,493.392,-0.028,10.187,32.903,5.323
2018-07-26,392.164,313.720,-0.029,12.004,32.637,3.241,,,,22.211,33.263,5.112,433.262,426.364,-0.017,10.148,32.831,4.006
