time,CE02 pCO2 Atm,CE02 pCO2 Sea,CE02 CO2 Flux,CE02 SST,CE02 Sal,CE02 Wind,CE02 Chl,CE02 CDOM,CP01 pCO2 Atm,CP01 pCO2 Sea,CP01 CO2 Flux,CP01 SST,CP01 Sal,CP01 Wind,CP01 Chl,CP01 CDOM,CP03 pCO2 Atm,CP03 pCO2 Sea,CP03 CO2 Flux,CP03 SST,CP03 Sal,CP03 Wind,CP03 Chl,CP03 CDOM
2016-01-03,411.078,364.732,-0.075,10.152,30.817,7.785,1.129,2.692,403.561,366.435,-0.063,13.134,34.196,7.776,,,405.942,388.147,-0.027,11.871,33.539,7.742,0.903,2.589
2016-01-07,403.169,378.313,-0.028,11.089,32.152,6.526,1.194,1.959,407.261,362.923,-0.06,14.595,35.045,6.445,,,410.642,395.532,-0.018,11.299,33.435,6.075,0.68,2.526
2016-01-11,404.908,377.065,-0.035,10.905,32.026,6.88,0.944,1.971,399.831,370.973,-0.053,13.78,34.774,8.228,,,402.244,388.987,-0.019,11.247,33.529,7.625,0.76,2.521
2016-01-15,398.37,380.823,-0.029,11.22,32.077,7.968,0.957,1.905,400.759,370.958,-0.069,12.699,34.419,8.857,,,403.126,387.357,-0.031,10.983,33.603,8.52,0.678,2.587
2016-01-19,398.903,388.829,-0.015,11.327,32.229,7.523,0.93,1.82,402.644,370.002,-0.099,11.232,33.924,10.459,,,404.937,383.58,-0.065,9.601,33.162,10.066,0.911,2.919
2016-01-23,398.635,389.79,-0.011,11.308,32.241,6.723,0.984,1.782,402.049,370.7,-0.091,10.596,33.834,10.415,,,402.658,386.837,-0.03,9.622,33.417,9.889,0.652,2.643
2016-01-27,401.922,389.216,-0.018,11.375,32.328,7.213,1.161,1.711,404.014,372.197,-0.025,10.712,33.874,5.275,,,406.738,393.858,-0.009,8.535,33.159,5.222,0.584,2.685
2016-01-31,402.063,388.535,-0.01,11.246,32.231,5.512,1.215,1.732,402.316,370.608,-0.04,9.754,33.513,6.427,,,404.76,393.062,-0.015,7.606,32.922,6.468,0.551,2.87
2016-02-04,403.486,383.949,-0.034,10.987,31.614,8.029,1.093,2.055,402.359,368.839,-0.054,9.969,33.563,7.422,,,418.319,402.75,-0.019,7.509,32.858,6.404,0.644,2.773
2016-02-08,407.569,388.72,-0.013,11.172,31.959,4.978,0.944,1.844,401.667,372.873,-0.058,11.7,34.406,8.3,,,404.801,385.91,-0.031,8.634,33.186,7.735,0.648,2.617
2016-02-12,405.884,376.201,-0.027,11.234,31.606,5.59,1.289,1.977,402.753,375.642,-0.059,13.943,35.336,8.288,,,405.375,393.094,-0.026,8.805,33.324,7.695,0.648,2.622
2016-02-16,401.038,368.201,-0.036,11.239,32.104,6.457,1.687,1.764,411.154,367.939,-0.074,10.657,34.339,7.973,,,424.173,399.502,-0.135,7.606,33.155,8.218,0.576,2.589
2016-02-20,399.959,388.007,-0.023,11.299,32.41,8.332,1.061,1.652,406.512,368.29,-0.051,8.635,33.605,7.009,,,409.435,387.171,-0.042,7.779,33.199,6.7,0.736,2.301
2016-02-24,406.767,368.977,-0.017,11.334,32.184,3.954,1.522,1.689,400.65,374.583,-0.05,10.864,34.325,8.911,,,402.725,375.499,-0.043,8.005,33.14,7.587,0.996,2.418
2016-02-28,403.045,339.446,-0.075,11.457,32.029,6.717,2.061,1.742,401.422,371.691,-0.068,9.233,33.813,9.354,,,402.283,376.263,-0.055,8.174,33.261,8.969,0.811,2.538
2016-03-03,399.13,379.073,-0.043,11.412,32.395,9.133,1.001,1.635,402.389,360.691,-0.076,8.693,33.615,8.058,,,403.055,363.313,-0.065,8.391,33.387,7.646,1.073,2.334
2016-03-07,397.377,372.094,-0.036,11.367,32.35,7.386,1.186,1.631,406.216,366.565,-0.042,8.183,33.492,5.15,,,406.838,375.183,-0.034,7.243,33.053,4.769,0.838,2.21
2016-03-11,397.93,380.908,-0.05,11.337,32.345,9.442,0.986,1.651,405.065,370.134,-0.028,9.514,33.848,5.358,,,404.919,385.906,-0.013,7.524,33.012,4.872,0.855,2.334
