time,CE01 Salinity,CE01 Temperature,CE01 Pressure,CE01 Density,GI Salinity,GI Temperature,GI Pressure,GI Density,GP Salinity,GP Temperature,GP Pressure,GP Density,CP04 Salinity,CP04 Temperature,CP04 Pressure,CP04 Density,CE01 DenCS,CE01 DenCT,GI DenCS,GI DenCT,GP DenCS,GP DenCT,CP04 DenCS,CP04 DenCT,CE01 MeanS,CE01 MeanT,GI MeanS,GI MeanT,GP MeanS,GP MeanT,CP04 MeanS,CP04 MeanT
2018-07-01 00:00:00,33.789,8.892,7.483,1026.223,34.834,5.705,40.347,1027.647,32.412,8.233,40.053,1025.395,34.565,20.385,7.278,1024.365,1025.525,1025.918,1027.642,1027.612,1025.298,1024.966,1023.888,1025.022,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 01:00:00,33.794,8.709,7.466,1026.257,34.829,5.828,38.043,1027.617,32.418,7.985,39.901,1025.435,34.601,20.630,7.257,1024.327,1025.553,1025.922,1027.615,1027.597,1025.334,1024.971,1023.823,1025.050,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 02:00:00,33.766,9.006,7.552,1026.188,34.827,6.247,36.209,1027.553,32.408,8.840,39.733,1025.298,34.678,20.705,7.268,1024.365,1025.507,1025.900,1027.553,1027.587,1025.205,1024.962,1023.803,1025.108,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 03:00:00,33.729,9.383,7.488,1026.099,34.847,5.987,35.408,1027.598,32.438,7.677,39.376,1025.493,34.695,20.482,7.246,1024.438,1025.447,1025.871,1027.583,1027.599,1025.375,1024.984,1023.862,1025.121,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 04:00:00,33.742,9.252,7.433,1026.130,34.857,5.886,35.226,1027.618,32.423,8.074,39.092,1025.422,34.769,20.644,7.264,1024.450,1025.468,1025.881,1027.595,1027.606,1025.317,1024.971,1023.819,1025.178,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 05:00:00,33.771,8.886,7.535,1026.212,34.854,5.314,35.659,1027.689,32.425,8.705,38.971,1025.328,34.809,20.714,7.270,1024.462,1025.526,1025.904,1027.668,1027.606,1025.222,1024.972,1023.801,1025.209,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 06:00:00,33.789,8.717,7.392,1026.251,34.859,5.608,36.855,1027.662,32.421,8.909,39.432,1025.297,34.872,20.887,7.283,1024.464,1025.551,1025.917,1027.638,1027.615,1025.193,1024.971,1023.754,1025.258,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 07:00:00,33.758,9.103,7.501,1026.166,34.873,5.494,38.494,1027.695,32.417,8.218,39.645,1025.399,34.887,20.908,7.274,1024.469,1025.492,1025.894,1027.659,1027.634,1025.299,1024.969,1023.749,1025.269,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 08:00:00,33.791,8.671,7.558,1026.261,34.872,5.001,40.667,1027.764,32.408,9.426,39.910,1025.208,34.846,20.782,7.261,1024.472,1025.559,1025.920,1027.728,1027.644,1025.114,1024.963,1023.782,1025.237,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 09:00:00,33.794,8.646,7.568,1026.267,34.887,5.029,42.472,1027.781,32.418,9.212,40.154,1025.249,34.788,20.631,7.262,1024.469,1025.563,1025.922,1027.734,1027.663,1025.149,1024.972,1023.823,1025.193,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 10:00:00,33.799,8.623,7.545,1026.274,34.910,5.080,43.572,1027.798,32.412,9.413,40.602,1025.217,34.714,20.608,7.277,1024.419,1025.566,1025.926,1027.733,1027.687,1025.119,1024.969,1023.829,1025.136,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 11:00:00,33.805,8.542,7.495,1026.291,34.870,5.195,42.747,1027.749,32.396,9.434,40.562,1025.201,34.380,19.999,7.277,1024.326,1025.579,1025.930,1027.715,1027.652,1025.116,1024.957,1023.990,1024.880,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 12:00:00,33.798,8.562,7.485,1026.282,34.876,5.388,40.162,1027.719,32.411,9.254,40.400,1025.239,34.239,19.502,7.277,1024.348,1025.575,1025.925,1027.680,1027.645,1025.144,1024.967,1024.119,1024.772,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 13:00:00,33.771,8.789,7.501,1026.226,34.860,5.787,37.484,1027.644,32.407,8.675,39.968,1025.325,34.124,19.561,7.264,1024.245,1025.541,1025.904,1027.618,1027.620,1025.232,1024.962,1024.104,1024.684,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 14:00:00,33.725,8.915,7.450,1026.170,34.844,5.943,36.030,1027.605,32.425,8.719,39.230,1025.329,34.211,19.564,7.250,1024.311,1025.521,1025.868,1027.591,1027.600,1025.221,1024.973,1024.103,1024.751,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 15:00:00,33.585,9.977,7.487,1025.889,34.841,6.133,35.062,1027.574,32.453,8.420,38.778,1025.394,34.219,19.358,7.274,1024.369,1025.350,1025.759,1027.563,1027.593,1025.265,1024.993,1024.156,1024.757,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 16:00:00,33.759,8.980,7.511,1026.186,34.834,6.250,35.187,1027.553,32.410,9.204,38.301,1025.237,34.226,19.459,7.269,1024.349,1025.511,1025.895,1027.548,1027.588,1025.142,1024.957,1024.130,1024.762,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 17:00:00,33.783,8.728,7.519,1026.246,34.839,6.212,35.058,1027.561,32.427,7.896,38.225,1025.447,34.109,19.082,7.252,1024.356,1025.550,1025.914,1027.552,1027.591,1025.339,1024.970,1024.227,1024.673,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 18:00:00,33.790,8.485,7.484,1026.288,34.838,6.169,36.048,1027.571,32.458,8.429,38.326,1025.393,34.050,19.064,7.288,1024.316,1025.587,1025.919,1027.562,1027.595,1025.261,1024.995,1024.232,1024.628,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 19:00:00,33.807,8.343,7.429,1026.323,34.895,5.514,37.986,1027.708,32.410,8.072,38.541,1025.408,33.980,19.147,7.267,1024.241,1025.608,1025.932,1027.654,1027.649,1025.315,1024.958,1024.210,1024.574,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 20:00:00,33.768,8.703,7.521,1026.237,34.906,5.154,39.476,1027.767,32.431,9.050,39.218,1025.282,33.897,19.677,7.240,1024.041,1025.554,1025.902,1027.705,1027.665,1025.170,1024.978,1024.074,1024.510,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 21:00:00,33.796,8.471,7.477,1026.295,34.900,5.058,41.824,1027.785,32.412,9.344,39.340,1025.221,33.957,19.309,7.257,1024.182,1025.589,1025.923,1027.727,1027.671,1025.125,1024.963,1024.169,1024.556,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 22:00:00,33.751,8.875,7.474,1026.197,34.904,4.953,43.729,1027.809,32.404,9.648,39.922,1025.170,33.966,19.285,7.275,1024.195,1025.527,1025.888,1027.748,1027.683,1025.078,1024.960,1024.175,1024.563,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-01 23:00:00,33.695,9.317,7.513,1026.083,34.881,4.973,43.669,1027.788,32.394,9.646,40.318,1025.164,34.041,19.466,7.262,1024.207,1025.458,1025.845,1027.746,1027.664,1025.080,1024.954,1024.129,1024.621,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
2018-07-02 00:00:00,33.748,8.825,7.517,1026.203,34.881,5.657,41.445,1027.695,32.400,9.411,40.185,1025.205,34.188,20.191,7.261,1024.128,1025.535,1025.886,1027.653,1027.654,1025.118,1024.958,1023.940,1024.733,32.900,10.709,34.830,5.965,32.293,10.860,33.946,17.792
