time,GP Salinity,GP Temperature,GP Pressure,GP Density,CE06 Salinity,CE06 Temperature,CE06 Pressure,CE06 Density,CP04 Salinity,CP04 Temperature,CP04 Pressure,CP04 Density,GI Salinity,GI Temperature,GI Pressure,GI Density,GP DenCS,GP DenCT,GP DenCTS,CE06 DenCS,CE06 DenCT,CE06 DenCTS,CP04 DenCS,CP04 DenCT,CP04 DenCTS,GI DenCS,GI DenCT,GI DenCTS,GP MeanS,GP MeanT,CE06 MeanS,CE06 MeanT,CP04 MeanS,CP04 MeanT,GI MeanS,GI MeanT
2018-07-01 00:00,32.41,8.35,39.9,1025.376,31.99,13.78,1.07,1023.921,34.61,20.57,7.27,1024.352,34.83,5.93,38.2,1027.605,1025.307,1025.115,1025.049,1022.681,1024.179,1022.942,1023.763,1025.143,1024.555,1027.589,1027.659,1027.644,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-01 03:00,32.43,8.15,39.15,1025.414,32.02,13.79,1.07,1023.938,34.76,20.61,7.26,1024.45,34.85,5.73,35.43,1027.635,1025.333,1025.124,1025.045,1022.68,1024.198,1022.942,1023.753,1025.252,1024.555,1027.601,1027.664,1027.631,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-01 06:00,32.42,8.85,39.66,1025.301,32.02,13.74,1.04,1023.946,34.87,20.86,7.27,1024.468,34.87,5.37,38.67,1027.707,1025.23,1025.116,1025.048,1022.69,1024.196,1022.942,1023.687,1025.337,1024.555,1027.661,1027.691,1027.646,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-01 09:00,32.41,9.35,40.44,1025.222,32.03,13.52,1.06,1024.001,34.63,20.41,7.27,1024.404,34.89,5.1,42.93,1027.776,1025.155,1025.115,1025.051,1022.734,1024.207,1022.942,1023.806,1025.152,1024.555,1027.712,1027.728,1027.666,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-01 12:00,32.41,8.88,39.87,1025.297,32.06,13.29,1.09,1024.067,34.19,19.54,7.26,1024.301,34.86,5.71,37.89,1027.656,1025.226,1025.116,1025.049,1022.778,1024.228,1022.943,1024.034,1024.818,1024.555,1027.615,1027.682,1027.643,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-01 15:00,32.43,8.51,38.43,1025.359,32.03,13.52,1.08,1024,34.18,19.3,7.26,1024.358,34.84,6.2,35.1,1027.563,1025.277,1025.122,1025.042,1022.734,1024.205,1022.942,1024.096,1024.813,1024.555,1027.539,1027.651,1027.63,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-01 18:00,32.43,8.52,38.69,1025.361,32.03,13.71,1.09,1023.961,33.98,19.3,7.27,1024.2,34.88,5.61,37.84,1027.682,1025.276,1025.126,1025.043,1022.697,1024.204,1022.943,1024.097,1024.653,1024.555,1027.627,1027.697,1027.642,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-01 21:00,32.4,9.55,39.86,1025.185,32.06,13.75,1.09,1023.977,33.99,19.35,7.26,1024.195,34.9,4.99,43.07,1027.794,1025.121,1025.108,1025.049,1022.689,1024.229,1022.943,1024.083,1024.662,1024.555,1027.725,1027.733,1027.667,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-02 00:00,32.42,8.59,40.08,1025.344,32.1,13.75,1.1,1024.013,34.3,20.26,7.27,1024.192,34.86,5.92,38.94,1027.634,1025.272,1025.12,1025.05,1022.689,1024.264,1022.943,1023.845,1024.9,1024.555,1027.593,1027.687,1027.647,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-02 03:00,32.44,7.95,39.73,1025.458,32.1,13.65,1.09,1024.03,34.2,19.38,7.27,1024.35,34.85,6.24,35.12,1027.57,1025.365,1025.137,1025.048,1022.709,1024.261,1022.943,1024.076,1024.825,1024.555,1027.534,1027.664,1027.63,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-02 06:00,32.42,8.65,39.54,1025.338,32.11,13.5,1.08,1024.065,34.04,19.11,7.26,1024.295,34.85,6.06,36.53,1027.599,1025.26,1025.121,1025.047,1022.737,1024.267,1022.943,1024.146,1024.7,1024.555,1027.564,1027.67,1027.636,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-02 09:00,32.41,9.42,40.25,1025.212,32.16,13.19,1.07,1024.168,33.92,19.32,7.27,1024.147,34.84,6.3,40.57,1027.574,1025.143,1025.115,1025.05,1022.798,1024.308,1022.942,1024.091,1024.607,1024.555,1027.551,1027.676,1027.655,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-02 12:00,32.43,7.82,39.96,1025.469,32.28,12.65,1.08,1024.363,33.89,19.51,7.28,1024.082,34.84,6.4,38.33,1027.556,1025.384,1025.13,1025.049,1022.902,1024.398,1022.943,1024.043,1024.59,1024.555,1027.527,1027.671,1027.645,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-02 15:00,32.43,8.27,38.78,1025.402,32.4,12.37,1.05,1024.51,34.16,19.73,7.29,1024.227,34.85,6.46,35.17,1027.536,1025.314,1025.127,1025.044,1022.953,1024.493,1022.942,1023.986,1024.792,1024.555,1027.505,1027.659,1027.63,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-02 18:00,32.42,8.84,38.57,1025.304,32.39,12.61,1.09,1024.456,34.03,19.71,7.29,1024.139,34.84,6.5,36.46,1027.533,1025.226,1025.117,1025.043,1022.91,1024.483,1022.943,1023.992,1024.697,1024.555,1027.506,1027.661,1027.636,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-02 21:00,32.42,9.08,39.72,1025.268,32.37,12.76,1.11,1024.41,33.91,19.57,7.28,1024.076,34.84,6.48,40.81,1027.553,1025.194,1025.119,1025.048,1022.88,1024.468,1022.943,1024.027,1024.599,1024.555,1027.528,1027.678,1027.656,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-03 00:00,32.43,8.08,40.06,1025.434,32.43,12.85,1.08,1024.443,33.73,19.3,7.28,1024.014,34.85,6.56,39.05,1027.54,1025.347,1025.132,1025.05,1022.864,1024.517,1022.942,1024.097,1024.467,1024.555,1027.509,1027.676,1027.648,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-03 03:00,32.44,8.81,39.36,1025.326,32.4,12.74,1.07,1024.44,33.89,19.62,7.3,1024.052,34.85,6.56,35.05,1027.524,1025.235,1025.133,1025.046,1022.884,1024.493,1022.942,1024.013,1024.589,1024.555,1027.491,1027.66,1027.629,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-03 06:00,32.42,8.55,39.25,1025.352,32.3,12.59,1.09,1024.393,33.69,18.84,7.3,1024.099,34.85,6.55,35.75,1027.532,1025.275,1025.121,1025.046,1022.913,1024.418,1022.943,1024.214,1024.436,1024.555,1027.496,1027.666,1027.633,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-03 09:00,32.43,8.68,39.96,1025.339,32.2,12.18,1.08,1024.392,33.85,19.11,7.32,1024.151,34.85,6.55,38.7,1027.543,1025.258,1025.126,1025.049,1022.99,1024.338,1022.942,1024.145,1024.556,1024.555,1027.509,1027.678,1027.646,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-03 12:00,32.42,8.63,40.03,1025.34,32.25,11.85,1.06,1024.491,33.89,19.3,7.31,1024.131,34.85,6.49,38.38,1027.552,1025.266,1025.12,1025.049,1023.049,1024.376,1022.942,1024.097,1024.584,1024.555,1027.515,1027.679,1027.645,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-03 15:00,32.41,9.5,38.96,1025.192,32.42,11.93,1.04,1024.607,33.96,19.37,7.32,1024.171,34.86,6.43,35.52,1027.549,1025.125,1025.107,1025.045,1023.035,1024.507,1022.942,1024.078,1024.643,1024.555,1027.511,1027.668,1027.632,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-03 18:00,32.44,8.53,38.48,1025.361,32.14,13.08,1.05,1024.174,33.73,19.15,7.32,1024.05,34.86,6.44,36.39,1027.551,1025.273,1025.131,1025.042,1022.82,1024.294,1022.942,1024.135,1024.464,1024.555,1027.513,1027.671,1027.636,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-03 21:00,32.41,8.91,39.56,1025.287,32.13,14.16,1.05,1023.949,33.43,18.96,7.31,1023.871,34.86,6.43,41.59,1027.576,1025.221,1025.112,1025.047,1022.606,1024.284,1022.942,1024.182,1024.237,1024.555,1027.538,1027.696,1027.66,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-04 00:00,32.41,8.22,40.18,1025.393,32.23,13.99,1.04,1024.059,33.51,18.85,7.33,1023.961,34.85,6.44,41.75,1027.575,1025.328,1025.111,1025.05,1022.641,1024.36,1022.942,1024.212,1024.298,1024.555,1027.538,1027.695,1027.66,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-04 03:00,32.43,8.56,39.86,1025.361,32.35,12.7,1.01,1024.407,33.52,18.31,7.33,1024.101,34.85,6.54,36.13,1027.533,1025.276,1025.13,1025.049,1022.891,1024.453,1022.942,1024.346,1024.304,1024.555,1027.499,1027.667,1027.634,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
2018-07-04 06:00,32.42,8.87,39.37,1025.302,32.45,11.98,1,1024.622,33.59,18.85,7.32,1024.019,34.85,6.56,35.79,1027.528,1025.226,1025.118,1025.046,1023.025,1024.53,1022.942,1024.211,1024.358,1024.555,1027.494,1027.665,1027.633,32.33,9.99,30.4,12.43,33.85,17.45,34.81,5.49
