depth,int_ctd_pressure,seawater_temperature,practical_salinity,dissolved_oxygen,par,chl,site
1,1.148,10.708,32.643,226.578,351.190,1.468,gp05
3,2.982,10.718,32.643,226.412,163.087,1.640,gp05
5,5.053,10.706,32.644,226.529,140.036,1.807,gp05
7,6.916,10.719,32.644,226.304,97.419,1.858,gp05
9,9.037,10.710,32.645,226.565,91.793,1.991,gp05
11,11.065,10.721,32.645,226.636,67.408,2.085,gp05
13,13.038,10.711,32.646,226.629,61.597,2.125,gp05
15,15.040,10.709,32.646,226.728,45.947,2.144,gp05
17,17.059,10.707,32.646,226.668,37.333,2.165,gp05
19,19.025,10.683,32.647,226.668,31.778,2.181,gp05
21,20.940,10.627,32.649,226.863,25.428,2.066,gp05
23,22.915,10.526,32.653,227.279,20.313,2.047,gp05
25,24.976,10.369,32.660,227.953,18.952,2.013,gp05
27,27.001,10.181,32.668,228.612,14.779,2.133,gp05
29,28.954,9.971,32.673,229.229,11.654,2.001,gp05
31,30.940,9.785,32.680,229.652,11.892,1.772,gp05
33,32.997,9.607,32.684,229.867,9.145,1.791,gp05
35,35.020,9.369,32.695,229.886,8.127,1.586,gp05
37,36.999,9.142,32.705,230.035,6.772,1.441,gp05
39,38.989,8.798,32.721,230.424,5.497,1.220,gp05
41,41.033,8.456,32.733,231.017,4.778,0.955,gp05
43,43.045,8.135,32.743,231.735,4.030,0.773,gp05
45,45.001,7.957,32.747,231.827,3.539,0.700,gp05
47,47.026,7.690,32.755,232.328,3.283,0.629,gp05
49,48.967,7.602,32.756,232.290,2.763,0.571,gp05
51,51.018,7.543,32.756,231.987,2.492,0.562,gp05
53,53.040,7.456,32.758,231.711,2.039,0.535,gp05
55,55.018,7.352,32.761,231.634,1.970,0.521,gp05
57,56.991,7.266,32.763,231.496,1.630,0.510,gp05
59,59.027,7.208,32.765,231.330,1.403,0.492,gp05
61,61.003,7.120,32.767,231.223,1.252,0.480,gp05
63,62.991,7.056,32.771,231.072,1.199,0.487,gp05
65,64.932,6.940,32.778,230.980,1.059,0.491,gp05
67,66.958,6.898,32.778,230.882,0.917,0.479,gp05
69,69.024,6.840,32.779,230.671,0.995,0.456,gp05
71,70.997,6.765,32.781,230.444,0.884,0.432,gp05
73,73.015,6.711,32.782,230.438,0.770,0.422,gp05
75,75.011,6.648,32.786,230.200,0.708,0.415,gp05
77,76.994,6.615,32.788,229.994,0.626,0.408,gp05
79,79.022,6.589,32.790,229.690,0.613,0.387,gp05
81,81.048,6.571,32.792,229.396,0.579,0.368,gp05
83,83.045,6.532,32.793,229.077,0.547,0.350,gp05
85,84.978,6.521,32.795,228.904,0.512,0.366,gp05
87,87.002,6.509,32.800,228.676,0.451,0.321,gp05
89,88.989,6.467,32.813,228.117,0.526,0.304,gp05
91,90.955,6.464,32.821,227.830,0.432,0.288,gp05
93,92.983,6.410,32.842,227.162,0.451,0.262,gp05
95,95.065,6.334,32.873,226.323,0.453,0.243,gp05
97,97.042,6.275,32.904,225.146,0.324,0.223,gp05
99,99.058,6.210,32.938,223.350,0.351,0.206,gp05
101,101.074,6.168,32.960,221.522,0.331,0.193,gp05
103,102.985,6.109,33.014,218.967,0.327,0.193,gp05
105,104.944,6.062,33.076,216.848,0.309,0.167,gp05
107,107.010,6.006,33.168,212.699,0.290,0.168,gp05
109,109.064,5.946,33.233,208.149,0.286,0.147,gp05
111,111.013,5.909,33.294,204.669,0.273,0.141,gp05
113,113.001,5.859,33.416,200.543,0.244,0.137,gp05
115,114.999,5.817,33.504,195.185,0.202,0.130,gp05
117,116.999,5.783,33.562,189.347,0.193,0.127,gp05
119,118.987,5.746,33.595,183.651,0.183,0.117,gp05
121,120.983,5.703,33.633,179.340,0.160,0.110,gp05
123,122.963,5.675,33.653,174.630,0.169,0.115,gp05
125,124.988,5.651,33.684,171.622,0.168,0.110,gp05
127,127.001,5.620,33.707,168.641,0.150,0.104,gp05
129,129.055,5.591,33.719,165.659,0.154,0.099,gp05
131,131.028,5.565,33.730,163.200,0.139,0.105,gp05
133,133.000,5.536,33.735,160.838,0.136,0.094,gp05
135,134.993,5.512,33.738,158.894,0.135,0.103,gp05
137,137.007,5.489,33.743,156.747,0.121,0.097,gp05
139,138.952,5.452,33.748,154.881,0.124,0.098,gp05
141,141.018,5.430,33.752,153.232,0.124,0.095,gp05
143,143.011,5.403,33.756,150.933,0.118,0.098,gp05
145,144.966,5.371,33.761,149.005,0.113,0.099,gp05
147,146.967,5.354,33.762,146.999,0.114,0.091,gp05
149,148.964,5.333,33.764,144.846,0.110,0.097,gp05
151,151.009,5.317,33.767,143.262,0.109,0.090,gp05
153,152.969,5.286,33.767,141.477,0.107,0.090,gp05
155,155.006,5.261,33.768,140.131,0.109,0.093,gp05
157,157.019,5.233,33.769,138.703,0.107,0.094,gp05
159,159.005,5.210,33.771,137.342,0.105,0.090,gp05
161,161.006,5.187,33.773,136.003,0.105,0.093,gp05
163,162.959,5.162,33.774,134.420,0.102,0.091,gp05
165,165.012,5.150,33.777,132.891,0.099,0.092,gp05
167,166.946,5.123,33.779,131.387,0.098,0.089,gp05
169,169.037,5.094,33.782,129.780,0.099,0.096,gp05
171,171.004,5.067,33.784,127.963,0.097,0.094,gp05
173,173.028,5.053,33.786,126.620,0.097,0.092,gp05
175,175.053,5.027,33.788,124.810,0.095,0.098,gp05
177,177.037,5.021,33.792,123.201,0.095,0.091,gp05
179,178.986,5.002,33.794,121.683,0.095,0.101,gp05
181,181.036,4.972,33.796,120.153,0.094,0.093,gp05
183,182.979,4.959,33.799,118.566,0.092,0.087,gp05
185,184.947,4.940,33.799,117.015,0.094,0.091,gp05
187,186.956,4.907,33.798,116.160,0.094,0.090,gp05
189,189.003,4.879,33.801,114.730,0.093,0.094,gp05
191,191.021,4.860,33.802,113.467,0.092,0.090,gp05
193,192.985,4.842,33.804,112.135,0.093,0.094,gp05
195,195.034,4.834,33.805,110.850,0.092,0.088,gp05
197,196.991,4.826,33.808,109.591,0.091,0.088,gp05
199,199.015,4.819,33.809,108.547,0.092,0.090,gp05
201,200.978,4.811,33.813,107.361,0.092,0.088,gp05
203,202.985,4.798,33.816,106.464,0.091,0.093,gp05
205,204.726,4.769,33.818,105.245,0.091,0.089,gp05
5,5.674,17.097,31.381,234.051,168.925,0.361,rs01
7,6.994,16.985,31.409,234.267,121.581,0.380,rs01
9,8.981,16.850,31.462,234.671,86.052,0.397,rs01
11,10.999,16.718,31.515,234.945,63.129,0.434,rs01
13,13.001,16.555,31.555,235.173,46.636,0.513,rs01
15,14.991,16.418,31.592,235.349,44.266,0.571,rs01
17,17.004,15.805,31.674,236.446,25.070,0.638,rs01
19,18.998,15.134,31.763,238.675,18.312,0.602,rs01
21,21.004,14.324,31.883,242.022,14.253,0.516,rs01
23,23.011,13.423,32.019,246.852,10.579,0.433,rs01
25,24.877,12.704,32.158,252.411,9.740,0.390,rs01
