time,Pressure (psi),Depth (m),Temperature
2015-03-15 00:00,2252.8692,1509.8737,2.8108168
2015-03-15 00:15,2252.9791,1509.8722,2.8088844
2015-03-15 00:30,2253.1041,1509.8799,2.8084476
2015-03-15 00:45,2253.2119,1509.8761,2.8102054
2015-03-15 01:00,2253.3264,1509.8779,2.8089492
2015-03-15 01:15,2253.4365,1509.8789,2.8152205
2015-03-15 01:30,2253.539,1509.8777,2.8253902
2015-03-15 01:45,2253.64,1509.8794,2.8324624
2015-03-15 02:00,2253.7283,1509.8773,2.8379233
2015-03-15 02:15,2253.8175,1509.8813,2.8390579
2015-03-15 02:30,2253.8958,1509.884,2.8260606
2015-03-15 02:45,2253.9572,1509.8819,2.8202162
2015-03-15 03:00,2254.0155,1509.8849,2.8286029
2015-03-15 03:15,2254.0548,1509.8823,2.8430258
2015-03-15 03:30,2254.0935,1509.887,2.8303043
2015-03-15 03:45,2254.1047,1509.8809,2.8253687
2015-03-15 04:00,2254.1098,1509.8782,2.8246902
2015-03-15 04:15,2254.1195,1509.8859,2.8205891
2015-03-15 04:30,2254.0985,1509.8804,2.8304527
2015-03-15 04:45,2254.0753,1509.8801,2.8272154
2015-03-15 05:00,2254.0395,1509.8773,2.8140834
2015-03-15 05:15,2253.9971,1509.8759,2.8071334
2015-03-15 05:30,2253.954,1509.8789,2.8064523
2015-03-15 05:45,2253.9074,1509.8834,2.8085566
2015-03-15 06:00,2253.852,1509.8854,2.8134734
2015-03-15 06:15,2253.781,1509.879,2.8154316
2015-03-15 06:30,2253.7193,1509.8802,2.8165021
2015-03-15 06:45,2253.6519,1509.878,2.8222778
2015-03-15 07:00,2253.5861,1509.876,2.8266839
2015-03-15 07:15,2253.5265,1509.8766,2.8256785
2015-03-15 07:30,2253.4667,1509.8745,2.8246599
2015-03-15 07:45,2253.4156,1509.8747,2.8265163
2015-03-15 08:00,2253.3684,1509.8735,2.8331659
2015-03-15 08:15,2253.3292,1509.8723,2.8414196
