pressure_bin,time,seawater_temperature,practical_salinity,dissolved_oxygen,chlorophyll_a,pco2_seawater,month,day
9,2018-01-15,10.247,32.429,312.344,1.048,,1,15
11,2018-01-15,10.249,32.430,312.045,1.062,,1,15
13,2018-01-15,10.252,32.431,311.024,1.072,,1,15
15,2018-01-15,10.252,32.431,310.866,1.072,,1,15
17,2018-01-15,10.254,32.431,310.565,1.075,,1,15
19,2018-01-15,10.255,32.431,310.347,1.070,,1,15
21,2018-01-15,10.255,32.431,310.257,1.076,,1,15
23,2018-01-15,10.257,32.432,309.916,1.080,,1,15
25,2018-01-15,10.257,32.432,310.302,1.089,461.195,1,15
27,2018-01-15,10.258,32.432,310.043,1.082,,1,15
29,2018-01-15,10.259,32.432,309.658,1.082,,1,15
31,2018-01-15,10.260,32.432,309.268,1.077,,1,15
33,2018-01-15,10.265,32.431,308.356,1.090,452.430,1,15
35,2018-01-15,10.257,32.432,309.762,1.086,,1,15
37,2018-01-15,10.257,32.433,309.431,1.081,447.163,1,15
39,2018-01-15,10.257,32.433,308.965,1.071,,1,15
41,2018-01-15,10.257,32.434,308.807,1.064,,1,15
43,2018-01-15,10.260,32.433,308.134,1.070,448.502,1,15
45,2018-01-15,10.251,32.436,309.639,1.052,438.160,1,15
47,2018-01-15,10.246,32.438,308.580,1.023,,1,15
49,2018-01-15,10.236,32.442,308.026,0.971,,1,15
51,2018-01-15,10.219,32.452,306.955,0.893,442.183,1,15
53,2018-01-15,10.204,32.462,305.480,0.838,,1,15
55,2018-01-15,10.170,32.476,305.913,0.792,448.987,1,15
57,2018-01-15,10.095,32.508,302.384,0.662,,1,15
59,2018-01-15,9.988,32.545,298.698,0.553,,1,15
61,2018-01-15,9.861,32.582,295.475,0.448,,1,15
63,2018-01-15,9.839,32.584,294.502,0.452,463.861,1,15
65,2018-01-15,9.578,32.658,289.158,0.272,,1,15
67,2018-01-15,9.402,32.697,285.470,0.226,467.714,1,15
69,2018-01-15,9.047,32.776,278.026,0.158,,1,15
71,2018-01-15,8.823,32.820,273.990,0.133,,1,15
73,2018-01-15,8.887,32.808,275.846,0.136,495.923,1,15
75,2018-01-15,8.584,32.875,268.912,0.110,,1,15
77,2018-01-15,8.589,32.868,271.411,0.111,507.646,1,15
79,2018-01-15,8.384,32.927,264.690,0.103,,1,15
81,2018-01-15,8.293,32.954,262.245,0.099,,1,15
83,2018-01-15,8.282,32.963,260.068,0.099,543.605,1,15
85,2018-01-15,8.199,33.002,257.695,0.091,,1,15
