time,GI Model SST,GI 30m,GI 40m,GI 60m,GI 90m,GI 130m,GI 180m,GI 250m,GI 350m,GI 500m,GI 750m,GI 1000m,GI Model Wind Speed,GI Model Irradiance,GP Model SST,GP 30m,GP 40m,GP 60m,GP 90m,GP 130m,GP 180m,GP 250m,GP 350m,GP 500m,GP 750m,GP 1000m,GP Model Wind Speed,GP Model Irradiance,GI MLD,GP MLD,GI chl
2014-01-05,4.428,,,,,,,,,,,,13.590,7.009,8.746,9.268,9.269,9.262,8.327,5.080,4.478,4.037,3.942,3.798,3.417,2.949,10.291,26.839,,90.994,
2014-01-12,4.278,,,,,,,,,,,,9.185,10.433,8.535,9.046,9.043,9.024,8.845,5.079,4.428,4.072,3.964,3.808,3.428,2.951,10.687,28.709,,18.807,
2014-01-19,4.295,,,,,,,,,,,,9.761,14.396,8.330,8.443,8.430,8.374,8.115,4.936,4.383,3.943,3.937,3.816,3.418,2.941,11.888,29.500,,93.589,
2014-01-26,4.196,,,,,,,,,,,,11.020,18.613,8.511,8.537,8.530,8.467,7.966,4.978,4.263,3.798,3.843,3.754,3.413,2.935,12.068,32.546,,87.285,
2014-02-02,4.096,,,,,,,,,,,,8.672,22.644,8.456,8.643,8.640,8.626,8.570,5.045,4.127,3.735,3.740,3.741,3.411,2.934,7.616,54.528,,19.054,
2014-02-09,3.991,,,,,,,,,,,,12.589,31.667,8.187,8.643,8.645,8.645,8.629,5.263,4.351,3.681,3.716,3.737,3.409,2.942,9.336,54.408,,22.232,
2014-02-16,3.901,,,,,,,,,,,,10.532,43.942,8.045,8.400,8.398,8.376,8.233,5.005,4.409,3.754,3.731,3.730,3.402,2.935,9.084,76.886,,21.379,
2014-02-23,3.828,,,,,,,,,,,,10.386,51.705,7.563,7.791,7.776,7.734,7.510,4.951,4.430,3.704,3.734,3.725,3.370,2.928,9.683,74.871,,96.991,
2014-03-02,4.012,,,,,,,,,,,,11.251,58.910,7.669,8.085,8.082,8.074,7.950,5.050,4.567,3.759,3.731,3.725,3.370,2.928,8.933,85.267,,24.812,
2014-03-09,3.832,,,,,,,,,,,,12.321,90.669,7.629,8.114,8.115,8.114,8.101,5.037,4.616,4.084,3.743,3.739,3.397,2.936,11.328,82.144,,25.080,
2014-03-16,3.920,,,,,,,,,,,,9.822,84.269,7.472,8.023,8.025,8.025,8.016,5.167,4.545,4.155,3.957,3.773,3.414,2.935,11.715,113.553,,28.201,
2014-03-23,3.883,,,,,,,,,,,,10.604,102.414,7.122,7.804,7.804,7.800,7.761,5.054,4.499,3.891,3.987,3.895,3.419,2.932,9.553,112.035,,31.428,
