time,30m Temp, 90m Temp, 350m Temp, 1000m Temp, 30m Density, 90m Density, 350m Density, 1000m Density, 30m Potential Density, 90m Potential Density, 350m Potential Density, 1000m Potential Density, Model Wind Speed, Model Air Temp
2014-09-21,8.20975807549907,4.856795613478331,4.007837396124467,3.721466540070864,1027.219599230495,1028.0492378704398,1029.3507059155606,1032.4141108855883,1027.0919920145989,1027.6325524660888,1027.7100100917798,1027.7405910068321,6.536046,8.338715
2014-09-28,7.868329687881914,4.883987668422538,4.026345189714058,3.7264156157606463,1027.2830626796238,1028.043943691826,1029.34316195545,1032.4091154073274,1027.161239311102,1027.6316850409412,1027.708415359739,1027.7405092995655,10.551082,7.0698853
2014-10-05,7.059964423228932,5.207110577928948,4.155881184832827,3.717852116000051,1027.43299544438,1028.0336988548218,1029.3361894330917,1032.4085170921312,1027.3113985861853,1027.622313148302,1027.702810065301,1027.7393916232836,12.375975,5.2745667
2014-10-12,6.77680554512619,5.0488933984822655,4.130832952276532,3.7585018492144413,1027.4366580845824,1028.0256579076197,1029.3308008309916,1032.4033100913105,1027.322549853605,1027.6222556081102,1027.7052839311236,1027.7422413985764,6.8262215,6.3146667
2014-10-19,6.6491004853333955,5.2162522241249025,4.02741454241204,3.686232484939615,1027.4778248752539,1027.993547117905,1029.3371267560433,1032.4052816705794,1027.361523514591,1027.5892913379503,1027.7084656385643,1027.7397017339179,11.426603,5.1504517
2014-10-26,6.271931587436549,5.271920475796644,4.116375058800196,3.7391712429140007,1027.5335041440953,1028.000272625526,1029.3335175767234,1032.407154061935,1027.4163971399862,1027.5943565289347,1027.7046109337139,1027.7415027524746,8.186101,4.0663757
2014-11-02,5.87755527604437,5.5248586938716535,4.177762954318756,3.7493020754547652,1027.5890649543321,1027.951481711896,1029.3246759923527,1032.3997573236854,1027.4770105321384,1027.551213769718,1027.701599635331,1027.7389708452977,10.096648,3.628479
2014-11-09,5.731965279370719,5.713701349577216,4.150431830762472,3.7092753925241158,1027.6195182210317,1027.9119511740162,1029.3272304712286,1032.403340393413,1027.5059009377237,1027.5102116010153,1027.7024606278865,1027.7395683101986,8.760494,3.8235168
2014-11-16,5.6061242083399705,5.601612879250133,4.134075315901832,3.6348626660080083,1027.621319372745,1027.9112846140492,1029.3256539421677,1032.4010445228362,1027.5101667611893,1027.5116964939998,1027.7034791757446,1027.7375738474475,14.059366,4.5203857
2014-11-23,5.337236494482777,5.339849538015745,4.078983989968189,3.693454790094717,1027.6519536044154,1027.938374141842,1029.3268238917437,1032.4035879089902,1027.5422097779597,1027.539767353254,1027.7053043290073,1027.7422092916831,12.1133585,3.3861694
2014-11-30,5.089366278156629,5.094533704359618,4.039745676406714,3.6772931607721375,1027.6974445309752,1027.9838026620243,1029.3314258137912,1032.4057006919963,1027.5842205305198,1027.5812308197062,1027.7060608694987,1027.7400298409557,12.214955,2.286316
2014-12-07,4.729394309565632,4.73074160819918,4.05554611926036,3.6816148480304953,1027.7620723509224,1028.046684400182,1029.3372966953636,1032.4114607989438,1027.6421829414014,1027.6369573693303,1027.7056697405592,1027.7397129192816,16.950983,1.4194031
2014-12-14,4.5583932512952785,4.563446133236518,4.182386140269175,3.681229570955651,1027.781945941746,1028.064677908991,1029.322327511138,1032.4037693779308,1027.6687318306351,1027.6615164812265,1027.698787336748,1027.738355472633,15.133924,0.94589233
2014-12-21,4.371995923091534,4.379803612325056,4.245499061439206,3.679714874223084,1027.802106022448,1028.0840064750705,1029.3187350244077,1032.4047434600627,1027.6897931241288,1027.681197728092,1027.6962981338995,1027.7390908976904,13.190626,0.37384033
2014-12-28,4.365853860892669,4.3713916549157394,4.208230835678746,3.6093826331845555,1027.808827649744,1028.0906854322086,1029.319908626029,1032.4038935887284,1027.6979773652163,1027.6893297478498,1027.698749871118,1027.7371396311098,9.160089,2.4932556
2015-01-04,4.374131387119248,4.373997965853287,4.257019966838681,3.7255518709927467,1027.80920848169,1028.0897314273461,1029.3194511197519,1032.4004973020335,1027.7020870250658,1027.6923497455603,1027.7021356358428,1027.740103968504,12.38688,1.1904297
2015-01-11,4.141876719508097,4.150554167671209,4.162744260091223,3.5898856689782925,1027.8307808952297,1028.1100161445054,1029.3318538847338,1032.403646118915,1027.7193288987517,1027.7080094454427,1027.7098723697777,1027.7355707410584,17.186289,-0.46066284
2015-01-18,3.9543967798713013,3.960378474953766,3.967934311873191,3.5981309779473403,1027.8383905321891,1028.1184070375225,1029.3430385162865,1032.4025957640665,1027.728667120579,1027.7176104203688,1027.7206722753851,1027.7360617994786,10.507001,0.51812744
2015-01-25,3.9054087706394474,3.913164821352101,3.934988970539764,3.6040153470370564,1027.8435599105026,1028.1233620114199,1029.3472085515957,1032.403074561531,1027.734054979419,1027.7225941373176,1027.7247525665825,1027.736176815316,13.631148,0.21490479
2015-02-01,3.912707972032762,3.9139247609841203,3.861541092836155,3.6134269647329456,1027.865158294731,1028.1443542281345,1029.3711027462505,1032.4222532088327,1027.7356974760883,1027.723769404572,1027.728258230101,1027.737064246404,11.0986805,0.20211792
2015-02-08,4.1134966064551115,4.09661144113594,3.9108201841636054,3.653224490912742,1027.8380075065077,1028.1170462248754,1029.35174464634,1032.4035633416102,1027.7252220166724,1027.7131494113028,1027.725732460048,1027.7349381281126,11.930869,2.607666
2015-02-15,4.346804769335409,4.352673361594695,4.300238928526645,3.7459007151635224,1027.8008594598284,1028.0794812597965,1029.33046240395,1032.4005598221086,1027.6868227530413,1027.675134983689,1027.7072196106906,1027.7336068461927,10.999537,-2.1254272
2015-02-22,3.7312692488021315,3.73326900798901,3.7090245871318914,3.691938617664471,1027.8565853908917,1028.1327314763641,1029.3591619046044,1032.4047995398412,1027.7487303527992,1027.7333440492898,1027.7363774264468,1027.7418060771954,13.320979,-0.8841553
2015-03-01,3.675792351795854,3.683284613376636,3.7037560026464442,3.6872562004255216,1027.859838922252,1028.1355714529047,1029.3607348877763,1032.402519119154,1027.7502731211696,1027.7341837552622,1027.7360970263157,1027.737387956927,10.787783,-1.0968323
2015-03-08,3.706457544717285,3.7074021343506667,3.699012776565504,3.6943451787794395,1027.8704067098809,1028.1458132800608,1029.3713965392035,1032.4120736063562,1027.7518733236475,1027.7356758951526,1027.7381555169798,1027.7390576403905,16.88685,-0.6831665
2015-03-15,3.7955270267125405,3.796877944598635,3.7387645920829597,3.6659714403721453,1027.873885073484,1028.1486391391063,1029.3751994056836,1032.4185037478444,1027.7537902253673,1027.7371837131227,1027.7405304967226,1027.743242691111,15.401723,-2.2167969
2015-03-22,3.753283377862818,3.747749661399393,3.7156330603955503,3.671966036417354,1027.8585792619897,1028.1361635078283,1029.365948617391,1032.4111988546513,1027.7495147434674,1027.7357597500802,1027.742039841195,1027.7464786063745,10.075866,1.895813
2015-03-29,3.723429759162665,3.7247815003549825,3.7096567342224205,3.6790299001036173,1027.8602789746556,1028.1353696900312,1029.3663511059542,1032.4157006032547,1027.7483855174949,1027.7317970415638,1027.7393959899741,1027.7478920495564,13.89705,0.27920532
