date,Salinity,Air Temperature,Sea Surface Temperature,Rain Rate
3/1/15 0:00,NaN,NaN,NaN,NaN
3/1/15 1:00,NaN,NaN,NaN,NaN
3/1/15 2:00,NaN,NaN,NaN,NaN
3/1/15 3:00,NaN,NaN,NaN,NaN
3/1/15 4:00,NaN,NaN,NaN,NaN
3/1/15 5:00,NaN,NaN,NaN,NaN
3/1/15 6:00,NaN,NaN,NaN,NaN
3/1/15 7:00,NaN,NaN,NaN,NaN
3/1/15 8:00,NaN,NaN,NaN,NaN
3/1/15 9:00,NaN,NaN,NaN,NaN
3/1/15 10:00,NaN,NaN,NaN,NaN
3/1/15 11:00,NaN,NaN,NaN,NaN
3/1/15 12:00,NaN,NaN,NaN,NaN
3/1/15 13:00,NaN,NaN,NaN,NaN
3/1/15 14:00,NaN,NaN,NaN,NaN
3/1/15 15:00,NaN,NaN,NaN,NaN
3/1/15 16:00,NaN,NaN,NaN,NaN
3/1/15 17:00,NaN,NaN,NaN,NaN
3/1/15 18:00,NaN,NaN,NaN,NaN
3/1/15 19:00,NaN,NaN,NaN,NaN
3/1/15 20:00,NaN,NaN,NaN,NaN
3/1/15 21:00,NaN,NaN,NaN,NaN
3/1/15 22:00,NaN,NaN,NaN,NaN
3/1/15 23:00,NaN,NaN,NaN,NaN
3/2/15 0:00,NaN,NaN,NaN,NaN
3/2/15 1:00,NaN,NaN,NaN,NaN
3/2/15 2:00,NaN,NaN,NaN,NaN
3/2/15 3:00,NaN,NaN,NaN,NaN
3/2/15 4:00,NaN,NaN,NaN,NaN
3/2/15 5:00,NaN,NaN,NaN,NaN
3/2/15 6:00,NaN,NaN,NaN,NaN
3/2/15 7:00,NaN,NaN,NaN,NaN
3/2/15 8:00,NaN,NaN,NaN,NaN
3/2/15 9:00,NaN,NaN,NaN,NaN
3/2/15 10:00,NaN,NaN,NaN,NaN
3/2/15 11:00,NaN,NaN,NaN,NaN
3/2/15 12:00,NaN,NaN,NaN,NaN
3/2/15 13:00,NaN,NaN,NaN,NaN
3/2/15 14:00,NaN,NaN,NaN,NaN
3/2/15 15:00,NaN,NaN,NaN,NaN
3/2/15 16:00,NaN,NaN,NaN,NaN
3/2/15 17:00,NaN,NaN,NaN,NaN
3/2/15 18:00,NaN,NaN,NaN,NaN
3/2/15 19:00,NaN,NaN,NaN,NaN
3/2/15 20:00,NaN,NaN,NaN,NaN
3/2/15 21:00,NaN,NaN,NaN,NaN
3/2/15 22:00,NaN,NaN,NaN,NaN
3/2/15 23:00,NaN,NaN,NaN,NaN
3/3/15 0:00,NaN,NaN,NaN,NaN
3/3/15 1:00,NaN,NaN,NaN,NaN
3/3/15 2:00,NaN,NaN,NaN,NaN
3/3/15 3:00,NaN,NaN,NaN,NaN
3/3/15 4:00,NaN,NaN,NaN,NaN
3/3/15 5:00,NaN,NaN,NaN,NaN
3/3/15 6:00,NaN,NaN,NaN,NaN
3/3/15 7:00,NaN,NaN,NaN,NaN
3/3/15 8:00,NaN,NaN,NaN,NaN
3/3/15 9:00,NaN,NaN,NaN,NaN
3/3/15 10:00,NaN,NaN,NaN,NaN
3/3/15 11:00,NaN,NaN,NaN,NaN
3/3/15 12:00,NaN,NaN,NaN,NaN
3/3/15 13:00,NaN,NaN,NaN,NaN
3/3/15 14:00,NaN,NaN,NaN,NaN
3/3/15 15:00,NaN,NaN,NaN,NaN
3/3/15 16:00,NaN,NaN,NaN,NaN
3/3/15 17:00,NaN,NaN,NaN,NaN
3/3/15 18:00,NaN,NaN,NaN,NaN
3/3/15 19:00,NaN,NaN,NaN,NaN
3/3/15 20:00,NaN,NaN,NaN,NaN
3/3/15 21:00,NaN,NaN,NaN,NaN
3/3/15 22:00,NaN,NaN,NaN,NaN
3/3/15 23:00,NaN,NaN,NaN,NaN
3/4/15 0:00,NaN,NaN,NaN,NaN
3/4/15 1:00,NaN,NaN,NaN,NaN
3/4/15 2:00,NaN,NaN,NaN,NaN
3/4/15 3:00,NaN,NaN,NaN,NaN
3/4/15 4:00,NaN,NaN,NaN,NaN
3/4/15 5:00,NaN,NaN,NaN,NaN
3/4/15 6:00,NaN,NaN,NaN,NaN
3/4/15 7:00,NaN,NaN,NaN,NaN
3/4/15 8:00,NaN,NaN,NaN,NaN
3/4/15 9:00,NaN,NaN,NaN,NaN
3/4/15 10:00,NaN,NaN,NaN,NaN
3/4/15 11:00,NaN,NaN,NaN,NaN
3/4/15 12:00,NaN,NaN,NaN,NaN
3/4/15 13:00,NaN,NaN,NaN,NaN
3/4/15 14:00,NaN,NaN,NaN,NaN
3/4/15 15:00,NaN,NaN,NaN,NaN
3/4/15 16:00,NaN,NaN,NaN,NaN
3/4/15 17:00,NaN,NaN,NaN,NaN
3/4/15 18:00,NaN,NaN,NaN,NaN
3/4/15 19:00,NaN,NaN,NaN,NaN
3/4/15 20:00,NaN,NaN,NaN,NaN
3/4/15 21:00,NaN,NaN,NaN,NaN
3/4/15 22:00,NaN,NaN,NaN,NaN
3/4/15 23:00,NaN,NaN,NaN,NaN
3/5/15 0:00,NaN,NaN,NaN,NaN
3/5/15 1:00,NaN,NaN,NaN,NaN
