time,ph_seawater,depth,site
2019-01-01T02:12:06Z,7.73,192.787,CE04OSPS
2019-01-01T04:27:06Z,7.737,193.396,CE04OSPS
2019-01-01T06:37:06Z,7.746,192.979,CE04OSPS
2019-01-01T08:34:13Z,8.065,16.991,CE04OSPS
2019-01-01T08:41:16Z,8.071,26.1,CE04OSPS
2019-01-01T08:48:17Z,8.065,36.08,CE04OSPS
2019-01-01T08:55:17Z,8.06,45.78,CE04OSPS
2019-01-01T09:02:18Z,8.058,55.484,CE04OSPS
2019-01-01T09:09:19Z,8.039,65.775,CE04OSPS
2019-01-01T09:16:21Z,8.025,76.002,CE04OSPS
2019-01-01T09:23:22Z,8.016,86.13,CE04OSPS
2019-01-01T09:30:23Z,7.973,96.176,CE04OSPS
2019-01-01T09:37:24Z,7.911,106.848,CE04OSPS
2019-01-01T09:44:28Z,7.859,117.82,CE04OSPS
2019-01-01T09:53:24Z,7.771,139.175,CE04OSPS
2019-01-01T10:02:24Z,7.748,161.285,CE04OSPS
2019-01-01T10:12:46Z,7.737,192.174,CE04OSPS
2019-01-01T12:57:06Z,7.723,192.943,CE04OSPS
2019-01-01T15:17:05Z,7.719,193.821,CE04OSPS
2019-01-01T17:32:05Z,7.715,193.9,CE04OSPS
2019-01-01T19:57:05Z,7.731,193.07,CE04OSPS
2019-01-01T21:54:15Z,8.06,16.197,CE04OSPS
2019-01-01T22:01:16Z,8.063,25.606,CE04OSPS
2019-01-01T22:08:19Z,8.062,35.275,CE04OSPS
2019-01-01T22:15:19Z,8.063,45.12,CE04OSPS
2019-01-01T22:22:21Z,8.062,54.975,CE04OSPS
2019-01-01T22:29:23Z,8.049,65.077,CE04OSPS
2019-01-01T22:36:26Z,8.038,74.975,CE04OSPS
2019-01-01T22:43:26Z,8.011,85.479,CE04OSPS
2019-01-01T22:50:29Z,7.947,95.894,CE04OSPS
2019-01-01T22:57:31Z,7.898,106.654,CE04OSPS
2019-01-01T23:04:31Z,7.841,117.052,CE04OSPS
2019-01-01T23:13:31Z,7.811,138.678,CE04OSPS
2019-01-01T23:22:30Z,7.747,160.863,CE04OSPS
2019-01-01T23:32:51Z,7.727,191.519,CE04OSPS
2019-01-02T02:11:53Z,7.715,192.203,CE04OSPS
2019-01-02T04:27:06Z,7.714,193.039,CE04OSPS
2019-01-02T06:37:06Z,7.721,193.171,CE04OSPS
2019-01-02T08:34:13Z,8.062,17.566,CE04OSPS
2019-01-02T08:41:16Z,8.058,26.541,CE04OSPS
2019-01-02T08:48:16Z,8.061,36.303,CE04OSPS
2019-01-02T08:55:16Z,8.063,45.949,CE04OSPS
2019-01-02T09:02:19Z,8.06,55.829,CE04OSPS
2019-01-02T09:09:18Z,8.062,65.833,CE04OSPS
2019-01-02T09:16:21Z,8.028,75.828,CE04OSPS
2019-01-02T09:23:23Z,8.007,86.058,CE04OSPS
2019-01-02T09:30:23Z,7.975,96.524,CE04OSPS
2019-01-02T09:37:26Z,7.875,107.108,CE04OSPS
2019-01-02T09:44:28Z,7.828,117.629,CE04OSPS
2019-01-02T09:53:25Z,7.792,139.393,CE04OSPS
2019-01-02T10:02:23Z,7.738,161.46,CE04OSPS
2019-01-02T10:12:45Z,7.72,192.324,CE04OSPS
2019-01-02T12:57:06Z,7.712,192.7,CE04OSPS
2019-01-02T15:17:06Z,7.711,193.569,CE04OSPS
2019-01-02T17:32:05Z,7.715,193.838,CE04OSPS
2019-01-02T19:57:06Z,7.725,193.003,CE04OSPS
2019-01-02T21:54:14Z,8.068,17.265,CE04OSPS
2019-01-02T22:01:16Z,8.068,26.617,CE04OSPS
2019-01-02T22:08:19Z,8.071,35.916,CE04OSPS
2019-01-02T22:15:18Z,8.07,45.217,CE04OSPS
2019-01-02T22:22:21Z,8.066,55.022,CE04OSPS
2019-01-02T22:29:23Z,8.061,65.36,CE04OSPS
2019-01-02T22:36:22Z,8.056,75.245,CE04OSPS
2019-01-02T22:43:24Z,8.046,85.199,CE04OSPS
2019-01-02T22:50:25Z,7.959,95.547,CE04OSPS
2019-01-02T22:57:26Z,7.933,106.117,CE04OSPS
2019-01-02T23:04:27Z,7.882,116.813,CE04OSPS
2019-01-02T23:13:26Z,7.84,138.435,CE04OSPS
