date,pressure,pH,index
2016-01-01 02:00:00,197.855,7.75725,1
2016-01-01 10:00:00,151.812,6.86843,1
2016-01-01 13:00:00,64.4813,7.37275,1
2016-01-01 17:00:00,21.7467,7.32018,1
2016-01-01 21:00:00,91.8005,8.14595,1
2016-01-02 02:00:00,197.933,7.07248,2
2016-01-02 08:00:00,77.39,6.91309,2
2016-01-02 11:00:00,88.0135,7.90175,2
2016-01-02 14:00:00,86.5668,5.70377,2
2016-01-03 00:00:00,27.0504,7.87873,3
2016-01-03 03:00:00,151.389,6.69077,3
2016-01-03 04:00:00,88.9503,7.61216,3
2016-01-03 08:00:00,76.8541,7.94192,3
2016-01-03 14:00:00,88.0545,6.89966,3
2016-01-03 18:00:00,197.857,7.75726,3
2016-01-04 01:00:00,116.612,7.51159,4
2016-01-04 03:00:00,151.453,7.12169,4
2016-01-04 05:00:00,197.74,7.2847,4
2016-01-04 06:00:00,36.0967,5.93898,4
2016-01-05 00:00:00,26.5286,7.2991,5
2016-01-05 17:00:00,24.3663,8.07909,5
2016-01-06 02:00:00,197.174,7.69317,6
2016-01-06 07:00:00,197.761,6.63983,6
2016-01-06 19:00:00,64.4494,7.76041,6
2016-01-06 22:00:00,196.612,7.4919,6
2016-01-07 01:00:00,157.871,8.10572,7
2016-01-07 05:00:00,198.313,6.65009,7
2016-01-07 09:00:00,197.603,7.62107,7
2016-01-07 10:00:00,151.08,7.81721,7
2016-01-07 19:00:00,63.8361,7.15429,7
2016-01-07 21:00:00,91.4545,7.37739,7
2016-01-08 10:00:00,151.065,7.43212,8
2016-01-08 20:00:00,198.327,6.09458,8
2016-01-08 22:00:00,196.917,7.95849,8
2016-01-09 02:00:00,196.056,6.91416,9
2016-01-09 03:00:00,149.882,7.25033,9
2016-01-09 07:00:00,198.308,6.8062,9
2016-01-09 09:00:00,197.913,7.02678,9
2016-01-09 11:00:00,88.9053,7.32911,9
2016-01-09 16:00:00,198.245,6.60076,9
2016-01-09 17:00:00,23.6166,8.19803,9
2016-01-09 18:00:00,199.054,7.61127,9
2016-01-10 02:00:00,195.924,7.16195,10
2016-01-10 05:00:00,197.167,7.82365,10
2016-01-10 12:00:00,197.587,7.00477,10
2016-01-10 13:00:00,62.8507,7.40392,10
2016-01-10 23:00:00,181.804,6.87191,10
2016-01-11 01:00:00,115.265,7.46071,11
2016-01-11 09:00:00,198.393,7.39171,11
2016-01-11 14:00:00,100.891,7.76904,11
2016-01-11 23:00:00,182.191,7.56476,11
2016-01-12 01:00:00,115.468,5.52657,12
2016-01-12 07:00:00,197.673,7.60709,12
2016-01-12 09:00:00,198.359,7.59026,12
2016-01-12 11:00:00,89.6364,7.08551,12
2016-01-12 15:00:00,197.101,7.4724,12
2016-01-12 22:00:00,198.26,7.85366,12
2016-01-13 00:00:00,62.3581,7.68376,13
2016-01-13 02:00:00,196.553,7.52588,13
2016-01-13 22:00:00,198.59,7.35678,13
2016-01-14 03:00:00,150.119,7.56023,14
2016-01-14 17:00:00,21.165,7.38398,14
2016-01-14 19:00:00,63.9163,6.63239,14
2016-01-15 05:00:00,196.222,7.10808,15
2016-01-15 09:00:00,197.987,7.41888,15
2016-01-15 21:00:00,92.0288,8.21203,15
2016-01-16 00:00:00,28.8622,8.01085,16
2016-01-16 03:00:00,150.787,7.90905,16
2016-01-16 06:00:00,34.5531,8.17345,16
2016-01-16 10:00:00,152.785,7.66138,16
2016-01-16 12:00:00,198.752,7.21437,16
2016-01-16 16:00:00,197.491,8.07958,16
2016-01-17 01:00:00,198.571,5.95465,17
2016-01-17 15:00:00,198.69,8.20378,17
2016-01-17 20:00:00,197.078,7.35574,17
2016-01-17 23:00:00,182.244,6.99964,17
2016-01-18 01:00:00,117.252,7.86576,18
2016-01-18 09:00:00,197.145,7.61658,18
2016-01-18 13:00:00,67.7399,7.6076,18
2016-01-18 18:00:00,197.594,7.09601,18
2016-01-18 19:00:00,63.0913,7.29299,18
2016-01-19 00:00:00,59.165,7.7905,19
2016-01-19 02:00:00,199.006,7.33428,19
2016-01-19 06:00:00,35.5715,7.7469,19
2016-01-19 09:00:00,197.095,7.81765,19
2016-01-19 11:00:00,90.8663,7.13864,19
2016-01-19 19:00:00,63.312,7.28487,19
2016-01-20 02:00:00,198.259,6.64003,20
2016-01-20 14:00:00,89.4447,7.06546,20
2016-01-21 00:00:00,28.1638,7.19967,21
2016-01-21 01:00:00,115.829,7.78289,21
2016-01-21 04:00:00,112.836,7.47841,21
2016-01-21 07:00:00,197.988,8.17127,21
2016-01-21 12:00:00,197.655,7.95336,21
2016-01-21 17:00:00,49.9357,7.92448,21
2016-01-22 06:00:00,48.635,7.25178,22
2016-01-22 09:00:00,197.769,7.43353,22
2016-01-22 14:00:00,104.58,7.45729,22
2016-01-22 16:00:00,198.988,8.10796,22
2016-01-23 10:00:00,151.273,6.4923,23
2016-01-24 00:00:00,28.7788,7.66523,24
2016-01-24 19:00:00,67.8639,7.49319,24
2016-01-25 09:00:00,199.328,7.16204,25
2016-01-26 01:00:00,115.969,6.73743,26
2016-01-26 05:00:00,197.471,6.41142,26
2016-01-26 07:00:00,198.527,7.61274,26
2016-01-26 08:00:00,78.8997,6.84366,26
2016-01-26 09:00:00,197.94,8.19198,26
2016-01-26 14:00:00,86.8446,7.86903,26
2016-01-26 16:00:00,197.467,5.71494,26
2016-01-26 19:00:00,65.8985,7.42343,26
2016-01-26 21:00:00,94.3689,6.54576,26
2016-01-28 00:00:00,40.8321,7.87967,28
2016-01-28 07:00:00,198.446,7.11786,28
2016-01-28 10:00:00,152.723,7.12249,28
2016-01-28 19:00:00,64.667,6.86812,28
2016-01-28 21:00:00,94.0584,7.6847,28
2016-01-28 22:00:00,200.555,7.05426,28
2016-01-29 02:00:00,197.066,6.80377,29
2016-01-29 08:00:00,79.381,6.32141,29
2016-01-29 11:00:00,198.94,8.04954,29
2016-01-29 19:00:00,64.9401,8.1532,29
2016-01-30 03:00:00,150.531,6.68111,30
2016-01-30 13:00:00,65.4229,7.19932,30
2016-01-30 14:00:00,187.52,7.55708,30
2016-01-30 15:00:00,197.332,7.6509,30
2016-01-31 09:00:00,197.02,6.47494,31
2016-01-31 19:00:00,63.1845,7.89935,31
2016-01-31 21:00:00,91.526,6.86082,31
2016-01-31 22:00:00,196.61,6.85295,31
2016-02-01 04:00:00,88.8519,7.7456,32
2016-02-01 05:00:00,196.936,7.59408,32
2016-02-01 06:00:00,34.9308,8.09424,32
2016-02-01 08:00:00,76.7444,6.87435,32
2016-02-01 16:00:00,197.771,7.87303,32
2016-02-01 17:00:00,22.506,8.40891,32
2016-02-01 18:00:00,197.093,8.05126,32
2016-02-01 19:00:00,62.5849,7.96969,32
2016-02-01 20:00:00,196.514,7.81554,32
2016-02-01 21:00:00,90.5436,7.9327,32
2016-02-01 22:00:00,196.268,7.73562,32
2016-02-01 23:00:00,181.36,7.66828,32
2016-02-02 00:00:00,28.4766,8.24896,33
2016-02-02 01:00:00,116.509,7.98189,33
2016-02-02 02:00:00,197.675,7.74947,33
2016-02-02 03:00:00,151.138,8.30553,33
2016-02-02 04:00:00,89.2138,7.41806,33
2016-02-02 05:00:00,197.304,8.18195,33
2016-02-02 06:00:00,35.5734,7.85333,33
2016-02-02 07:00:00,197.054,7.71312,33
2016-02-02 08:00:00,76.7757,7.61376,33
2016-02-02 09:00:00,196.697,7.92192,33
2016-02-02 10:00:00,150.844,7.75522,33
2016-02-02 11:00:00,88.9922,7.82821,33
2016-02-02 12:00:00,197.754,9.31244,33
2016-02-02 13:00:00,63.5651,7.81058,33
2016-02-02 14:00:00,87.8996,7.76871,33
2016-02-02 15:00:00,198.21,7.8765,33
2016-02-02 16:00:00,198.008,8.39207,33
2016-02-02 17:00:00,22.5903,7.801,33
2016-02-02 18:00:00,197.324,8.05636,33
2016-02-02 19:00:00,62.3362,7.8683,33
2016-02-02 20:00:00,196.567,7.85133,33
2016-02-02 21:00:00,90.6051,7.85939,33
2016-02-02 22:00:00,196.316,7.88182,33
2016-02-02 23:00:00,181.027,7.77568,33
2016-02-03 00:00:00,26.8291,7.81194,34
2016-02-03 01:00:00,115.831,7.82039,34
2016-02-03 02:00:00,197.288,7.8776,34
2016-02-03 03:00:00,151.036,7.78672,34
2016-02-03 04:00:00,88.9806,7.88431,34
2016-02-03 05:00:00,197.516,7.88658,34
2016-02-03 06:00:00,35.3722,7.8572,34
2016-02-03 07:00:00,197.145,7.8699,34
