date,pressure,pH,index
2016-01-01 00:00:00,178.376,7.83356,1
2016-01-01 01:00:00,23.3265,7.78838,1
2016-01-01 03:00:00,193.026,8.13233,1
2016-01-01 04:00:00,146.758,7.84283,1
2016-01-01 05:00:00,82.4063,7.83859,1
2016-01-01 06:00:00,192.507,7.2225,1
2016-01-01 07:00:00,30.7199,7.80178,1
2016-01-01 08:00:00,192.166,7.71656,1
2016-01-01 09:00:00,72.6574,7.7176,1
2016-01-01 10:00:00,192.674,7.2176,1
2016-01-01 11:00:00,147.357,7.86664,1
2016-01-01 12:00:00,83.5886,7.75368,1
2016-01-01 13:00:00,193.853,7.79366,1
2016-01-01 14:00:00,59.4563,7.94612,1
2016-01-01 15:00:00,81.207,7.338,1
2016-01-01 16:00:00,193.5,7.42031,1
2016-01-01 17:00:00,193.579,7.33896,1
2016-01-01 18:00:00,18.473,8.07181,1
2016-01-01 19:00:00,192.813,7.86779,1
2016-01-01 20:00:00,58.1386,7.7159,1
2016-01-01 21:00:00,192.494,7.88372,1
2016-01-01 22:00:00,87.2468,7.82905,1
2016-01-01 23:00:00,192.556,7.73466,1
2016-01-02 00:00:00,178.308,7.63018,2
2016-01-02 01:00:00,22.4532,7.60452,2
2016-01-02 02:00:00,111.614,7.58095,2
2016-01-02 03:00:00,193.278,7.63581,2
2016-01-02 04:00:00,146.921,7.44508,2
2016-01-02 05:00:00,82.3223,7.60645,2
2016-01-02 06:00:00,192.71,7.41707,2
2016-01-02 07:00:00,30.9243,7.84024,2
2016-01-02 08:00:00,192.306,7.73995,2
2016-01-02 09:00:00,72.324,8.1692,2
2016-01-02 10:00:00,192.27,7.78007,2
2016-01-02 11:00:00,147.294,7.59941,2
2016-01-02 12:00:00,83.3443,7.8303,2
2016-01-02 13:00:00,193.775,7.53534,2
2016-01-02 14:00:00,59.6691,7.25944,2
2016-01-02 15:00:00,81.2701,7.51868,2
2016-01-02 16:00:00,193.828,7.90953,2
2016-01-02 17:00:00,193.865,7.85791,2
2016-01-02 18:00:00,17.6307,7.41194,2
2016-01-02 19:00:00,192.945,8.32988,2
2016-01-02 20:00:00,58.4192,7.49373,2
2016-01-02 21:00:00,192.514,7.7585,2
2016-01-02 22:00:00,86.861,7.59853,2
2016-01-02 23:00:00,191.911,7.62579,2
2016-01-03 00:00:00,177.795,7.92237,3
2016-01-03 01:00:00,22.4249,7.42613,3
2016-01-03 02:00:00,111.438,7.90081,3
2016-01-03 03:00:00,193.221,8.08473,3
2016-01-03 04:00:00,146.776,8.35266,3
2016-01-03 05:00:00,79.0425,8.06068,3
2016-01-03 06:00:00,192.884,7.49117,3
