date,pCO2,pH
2015-10-13 18:00:00,358.932,8.11502
2015-10-13 20:00:00,341.575,8.12927
2015-10-13 21:00:00,343.075,8.1239
2015-10-13 22:00:00,342.003,8.13086
2015-10-13 23:00:00,348.521,8.03609
2015-10-14 00:00:00,352.99,7.84158
2015-10-14 01:00:00,351.511,8.17193
2015-10-14 02:00:00,353.163,8.14049
2015-10-14 03:00:00,356.418,8.10602
2015-10-14 04:00:00,343.538,8.09101
2015-10-14 05:00:00,338.105,8.09205
2015-10-14 06:00:00,343.003,8.1013
2015-10-14 07:00:00,344.344,8.10008
2015-10-14 08:00:00,338.121,8.10306
2015-10-14 09:00:00,344.43,8.10723
2015-10-14 10:00:00,345.793,8.10905
2015-10-14 11:00:00,346.414,8.11401
2015-10-14 12:00:00,345.387,8.11133
2015-10-14 13:00:00,347.6,8.1025
2015-10-14 14:00:00,351.053,8.09993
2015-10-14 15:00:00,364.814,8.09001
2015-10-14 16:00:00,357.963,8.08918
2015-10-14 17:00:00,358.074,8.09222
2015-10-14 18:00:00,353.655,8.08875
2015-10-14 19:00:00,350.08,8.09497
2015-10-14 20:00:00,342.162,8.09472
2015-10-14 21:00:00,344.876,8.10002
2015-10-14 22:00:00,344.347,8.10107
2015-10-14 23:00:00,340.18,8.10444
2015-10-15 00:00:00,335.142,8.11241
2015-10-15 01:00:00,331.571,8.12301
2015-10-15 02:00:00,329.712,8.12032
2015-10-15 03:00:00,329.562,8.12266
2015-10-15 04:00:00,329.501,8.10684
2015-10-15 05:00:00,330.287,8.10679
2015-10-15 06:00:00,332.769,8.10463
2015-10-15 07:00:00,331.768,8.10825
2015-10-15 08:00:00,328.675,8.12576
2015-10-15 09:00:00,335.456,8.11463
2015-10-15 10:00:00,336.67,8.12287
2015-10-15 11:00:00,337.023,8.12354
2015-10-15 12:00:00,336.932,8.12448
2015-10-15 13:00:00,336.631,8.12255
2015-10-15 14:00:00,338.617,8.13258
2015-10-15 15:00:00,341.759,8.11895
2015-10-15 16:00:00,345.806,8.1152
2015-10-15 17:00:00,347.95,8.10315
2015-10-15 18:00:00,347.539,8.11599
2015-10-15 19:00:00,347.927,8.10747
2015-10-15 20:00:00,341.539,8.11791
2015-10-15 21:00:00,345.806,8.11513
2015-10-15 22:00:00,344.535,8.11251
2015-10-15 23:00:00,343.254,8.11659
2015-10-16 00:00:00,340.942,8.11712
2015-10-16 01:00:00,338.29,8.12256
2015-10-16 02:00:00,338.23,8.1186
2015-10-16 03:00:00,338.831,8.11827
