date,pCO2,pH
2015-12-14 21:00:00,332.215,8.07709
2015-12-14 22:00:00,332.115,8.06922
2015-12-14 23:00:00,332.519,8.06666
2015-12-15 00:00:00,331.975,8.0641
2015-12-15 01:00:00,331.511,8.08266
2015-12-15 02:00:00,331.221,8.0729
2015-12-15 03:00:00,331.863,8.07982
2015-12-15 04:00:00,334.971,8.07
2015-12-15 05:00:00,332.373,8.07275
2015-12-15 06:00:00,330.723,8.07331
2015-12-15 07:00:00,330.752,8.07352
2015-12-15 08:00:00,330.895,8.07302
2015-12-15 09:00:00,330.628,8.07319
2015-12-15 10:00:00,330.667,8.07355
2015-12-15 11:00:00,332.314,8.06934
2015-12-15 12:00:00,331.967,8.06915
2015-12-15 13:00:00,332.68,8.07636
2015-12-15 14:00:00,329.742,8.07713
2015-12-15 15:00:00,330.378,8.08368
2015-12-15 16:00:00,331.578,8.04802
2015-12-15 17:00:00,331.63,8.07278
2015-12-15 18:00:00,331.175,8.07594
2015-12-15 19:00:00,331.434,8.06887
2015-12-15 20:00:00,333.354,8.08038
2015-12-15 21:00:00,336.423,8.08126
2015-12-15 22:00:00,338.89,8.0692
2015-12-15 23:00:00,336.501,8.07068
2015-12-16 00:00:00,336.84,8.06918
2015-12-16 01:00:00,336.641,8.0716
2015-12-16 02:00:00,335.733,8.07169
2015-12-16 03:00:00,336.005,8.06939
2015-12-16 04:00:00,334.806,8.07007
2015-12-16 05:00:00,333.618,8.07138
2015-12-16 06:00:00,334.017,8.07081
2015-12-16 08:00:00,333.308,8.08081
2015-12-16 09:00:00,333.448,8.06472
2015-12-16 12:00:00,332.32,8.07462
2015-12-16 14:00:00,330.546,8.03049
2015-12-16 15:00:00,330.028,8.0699
2015-12-16 16:00:00,333.317,8.06942
2015-12-16 17:00:00,330.468,8.07037
2015-12-16 18:00:00,329.323,8.07278
2015-12-16 19:00:00,329.104,8.07145
2015-12-16 20:00:00,327.564,8.07126
2015-12-16 21:00:00,327.922,8.07126
2015-12-16 22:00:00,328.539,8.06881
2015-12-16 23:00:00,327.564,8.07345
2015-12-17 00:00:00,327.076,8.07506
2015-12-17 01:00:00,330.627,8.07123
2015-12-17 02:00:00,327.969,8.06952
2015-12-17 03:00:00,329.353,8.06582
2015-12-17 04:00:00,332.559,8.06011
2015-12-17 05:00:00,330.946,8.06682
2015-12-17 06:00:00,330.05,8.06858
2015-12-17 07:00:00,329.592,8.06495
2015-12-17 08:00:00,328.191,8.05583
2015-12-17 09:00:00,328.947,8.0432
2015-12-17 10:00:00,332.536,8.07179
2015-12-17 11:00:00,328.551,8.06813
2015-12-17 12:00:00,328.076,8.07591
2015-12-17 13:00:00,327.718,8.06786
2015-12-17 14:00:00,326.04,8.05156
2015-12-17 15:00:00,327.48,8.06623
2015-12-17 16:00:00,327.531,8.07782
2015-12-17 17:00:00,325.786,8.06513
2015-12-17 18:00:00,325.776,8.06744
2015-12-17 19:00:00,330.428,8.06341
2015-12-17 20:00:00,326.609,8.09035
2015-12-17 21:00:00,326.304,8.06952
2015-12-17 22:00:00,325.997,8.06661
2015-12-17 23:00:00,326.284,8.06906
2015-12-18 00:00:00,325.838,8.0668
2015-12-18 01:00:00,324.996,8.06906
2015-12-18 02:00:00,326.046,8.06685
2015-12-18 03:00:00,325.583,8.06846
2015-12-18 04:00:00,329.424,8.07098
2015-12-18 05:00:00,325.772,8.07123
2015-12-18 06:00:00,325.961,8.06496
2015-12-18 07:00:00,326.554,8.06402
2015-12-18 08:00:00,326.158,8.06439
2015-12-18 09:00:00,327.006,8.07394
2015-12-18 10:00:00,326.601,8.06483
2015-12-18 11:00:00,326.964,8.06358
2015-12-18 12:00:00,327.18,8.06977
2015-12-18 13:00:00,329.653,8.07273
2015-12-18 14:00:00,325.417,8.06341
2015-12-18 15:00:00,326.146,8.06603
2015-12-18 16:00:00,326.008,8.06872
2015-12-18 17:00:00,326.462,8.07063
2015-12-18 18:00:00,327.589,8.07011
2015-12-18 19:00:00,326.129,8.06943
2015-12-18 20:00:00,326.158,8.06994
2015-12-18 21:00:00,326.098,8.05796
2015-12-18 22:00:00,330.639,8.07475
2015-12-18 23:00:00,325.803,8.07409
2015-12-19 00:00:00,324.757,8.04659
2015-12-19 01:00:00,322.724,8.07358
2015-12-19 02:00:00,321.757,8.06804
2015-12-19 03:00:00,322.224,8.0562
2015-12-19 04:00:00,323.141,8.06589
2015-12-19 05:00:00,323.949,8.04166
2015-12-19 06:00:00,324.619,8.06207
2015-12-19 07:00:00,328.971,8.06363
2015-12-19 08:00:00,324.648,8.06031
2015-12-19 09:00:00,325.033,8.07708
2015-12-19 10:00:00,325.931,8.08216
2015-12-19 11:00:00,326,8.04792
2015-12-19 12:00:00,326.197,8.06586
2015-12-19 13:00:00,325.132,8.06879
2015-12-19 14:00:00,323.516,8.05649
2015-12-19 15:00:00,325.27,8.05458
2015-12-19 16:00:00,329.091,8.06824
2015-12-19 17:00:00,324.856,8.07061
2015-12-19 18:00:00,325.142,8.06944
2015-12-19 19:00:00,323.32,8.06814
2015-12-19 20:00:00,323.497,8.07029
2015-12-19 21:00:00,324.137,8.06269
2015-12-19 22:00:00,323.586,8.07183
2015-12-19 23:00:00,321.736,8.07236
2015-12-20 00:00:00,321.608,8.07189
2015-12-20 01:00:00,326.609,8.06901
2015-12-20 02:00:00,321.618,8.06472
2015-12-20 03:00:00,322.11,8.06227
2015-12-20 04:00:00,322.218,8.06328
2015-12-20 05:00:00,322.346,8.06261
2015-12-20 06:00:00,324.196,8.05103
