time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-04-25T07:53:05.710Z,41.2586667,-123.7706667,32.69,2.92,md,34,91,0.2146,0.14,nc,nc72793611,2017-04-26T04:38:02.459Z,"36km NE of Westhaven-Moonstone, California",earthquake,0.28,0.48,0.188,36,reviewed,nc,nc
2017-04-25T02:07:23.620Z,41.2046667,-124.9046667,24.48,2.85,md,26,247,0.767,0.1,nc,nc72793516,2017-04-26T01:44:02.095Z,"69km WNW of Westhaven-Moonstone, California",earthquake,0.79,10.1,0.214,32,reviewed,nc,nc
2017-04-21T05:25:55.570Z,40.5163333,-124.4028333,16.45,2.64,md,21,237,0.06436,0.12,nc,nc72791626,2017-04-24T04:35:23.129Z,"13km WSW of Ferndale, California",earthquake,0.6,0.37,0.124,33,reviewed,nc,nc
2017-04-16T14:25:07.930Z,40.2855,-127.2421667,4.62,3.33,ml,40,320,2.227,0.41,nc,nc72789561,2017-04-21T10:34:02.368Z,"254km W of Ferndale, California",earthquake,22.13,31.61,0.163,7,reviewed,nc,nc
2017-04-15T19:06:43.970Z,44.4392,-124.6165,36.68,2.7,ml,,140,0.393,0.86,us,us10008hyg,2017-05-19T21:29:41.040Z,"43km W of Waldport, Oregon",earthquake,1.8,7.4,0.203,12,reviewed,uw,uw
2017-04-15T14:48:35.220Z,44.4357,-124.6193,37.67,3.9,mb,,130,0.394,1.18,us,us10008hwk,2017-05-20T13:48:14.040Z,"43km W of Waldport, Oregon",earthquake,3.2,8,0.154,11,reviewed,uw,us
2017-04-14T09:12:21.830Z,40.4313333,-124.462,23.4,2.52,md,17,262,0.1048,0.1,nc,nc72788676,2017-04-15T02:35:01.622Z,"23km SW of Ferndale, California",earthquake,0.69,0.38,0.23,30,reviewed,nc,nc
2017-04-12T01:45:05.820Z,43.4224,-126.8669,10,4.2,mb,,181,2.073,0.9,us,us10008guf,2017-05-01T23:19:55.383Z,"202km W of Bandon, Oregon",earthquake,8,1.9,0.066,63,reviewed,us,us
2017-04-09T23:41:39.360Z,41.2123333,-124.435,15.26,2.81,md,29,218,0.4998,0.15,nc,nc72786936,2017-04-11T02:16:02.948Z,"33km NW of Westhaven-Moonstone, California",earthquake,0.97,0.75,0.249,23,reviewed,nc,nc
2017-04-08T19:25:14.860Z,40.3493333,-124.665,25.27,2.71,md,25,276,0.2801,0.08,nc,nc72786466,2017-04-11T00:09:04.493Z,"42km SW of Ferndale, California",earthquake,0.66,1.18,0.125,21,reviewed,nc,nc
