time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-05-16T09:11:57.930Z,43.5525,-127.4226,10,3.4,ml,,158,2.357,0.75,us,us100029r3,2015-07-23T01:04:02.040Z,"249km WNW of Bandon, Oregon",earthquake,7.1,1.9,0.064,32,reviewed,us,us
2015-05-16T17:48:47.410Z,40.309,-125.6796667,4.716,2.77,md,19,331,1.066,0.26,nc,nc72450296,2017-02-07T20:10:05.136Z,"123km WSW of Ferndale, California",earthquake,14.78,12.52,0.125,34,reviewed,nc,nc
2015-05-17T10:26:47.450Z,43.8672,-127.838,10,3,ml,,250,2.741,0.8,us,us100029yd,2015-07-23T01:04:05.040Z,"289km WNW of Bandon, Oregon",earthquake,7.4,2,0.064,32,reviewed,us,us
2015-05-17T10:47:23.184Z,41.8266,-119.673,6.8072,3.2,ml,7,127.47,0.158,0.1182,nn,nn00494669,2015-07-23T01:04:05.040Z,"68km SE of Lakeview, Oregon",earthquake,3.6668,5.5018,0.13,7,reviewed,nn,nn
2015-05-19T19:40:19.910Z,40.4163333,-125.2553333,22.42,2.98,ml,48,248,0.7468,0.28,nc,nc72451891,2017-02-07T20:41:52.870Z,"85km WSW of Ferndale, California",earthquake,2.75,8.61,0.25,14,reviewed,nc,nc
2015-05-20T21:41:35.750Z,44.8053333,-126.0076667,14.808,2.51,md,16,340,1.628,0.64,uw,uw61019346,2016-07-22T19:51:35.020Z,off the coast of Oregon,earthquake,18.92,50.11,0.232,2,reviewed,uw,uw
2015-05-22T07:40:46.120Z,43.4784,-127.1432,10,4.1,mb,,177,2.142,0.78,us,us10002bbm,2015-07-29T01:35:32.040Z,"225km W of Bandon, Oregon",earthquake,8.3,1.9,0.078,45,reviewed,us,us
2015-05-23T13:08:30.170Z,40.2901667,-124.5073333,19.581,2.71,ml,31,242,0.173,0.13,nc,nc72454136,2017-02-07T21:22:40.780Z,"37km SSW of Ferndale, California",earthquake,0.78,0.23,0.268,16,reviewed,nc,nc
2015-05-26T10:17:35.820Z,40.6508333,-124.712,19.72,4.34,mw,85,215,0.2919,0.21,nc,nc72455721,2017-03-17T23:36:51.567Z,"38km WNW of Ferndale, California",earthquake,0.66,0.59,,4,reviewed,nc,nc
2015-06-01T06:52:41.340Z,44.4584,-129.8114,10,5.8,mww,,63,4.278,0.91,us,us20002kxa,2016-11-10T21:47:48.217Z,Off the coast of Oregon,earthquake,8,1.8,,,reviewed,us,us
2015-06-01T06:54:10.800Z,44.1977,-129.8272,10,5.2,mb,,167,4.207,1.46,us,us20002pax,2015-08-08T00:49:39.040Z,Off the coast of Oregon,earthquake,8.9,1.9,0.093,38,reviewed,us,us
2015-06-01T06:56:18.100Z,44.3346,-129.4604,10,4.1,ml,,266,3.999,1.2,us,us20002pbh,2015-08-08T00:49:39.040Z,Off the coast of Oregon,earthquake,5.3,2,0.097,14,reviewed,us,us
2015-06-01T06:57:07.620Z,44.5262,-129.7728,10,4.2,ml,,202,4.275,1.19,us,us20002pbg,2015-08-08T00:49:39.040Z,Off the coast of Oregon,earthquake,12.7,2,0.105,12,reviewed,us,us
2015-06-01T07:01:21.050Z,44.5147,-129.7408,10,4.3,mb,,197,4.25,0.9,us,us20002kxd,2015-08-08T00:49:39.040Z,Off the coast of Oregon,earthquake,10.3,2,0.082,42,reviewed,us,us
2015-06-01T07:19:22.050Z,44.3837,-129.516,10,3.9,mb,,197,4.053,0.95,us,us20002pbf,2015-08-08T00:49:40.040Z,Off the coast of Oregon,earthquake,10.3,2,0.132,15,reviewed,us,us
