Date,MJ03D X-tilt,MJ03D Y-tilt,MJ03E X-tilt,MJ03E Y-tilt,MJ03F X-tilt,MJ03F Y-tilt
1/15/15 0:00,271.423,43.808,-11.767,-29.254,129.537,-33.393
1/15/15 1:00,271.298,43.769,-11.16,-29.415,129.933,-33.594
1/15/15 2:00,271.542,43.789,-11.959,-29.165,130.172,-32.99
1/15/15 3:00,271.865,43.878,-12.326,-29.5,129.946,-33.552
1/15/15 4:00,271.368,44.159,-11.926,-29.166,130.138,-33.353
1/15/15 5:00,271.723,44.279,-12.343,-29.368,130.11,-34.247
1/15/15 6:00,271.318,43.998,-12.608,-28.399,129.439,-33.062
1/15/15 7:00,271.269,43.89,-14.514,-28.599,128.314,-33.011
1/15/15 8:00,271.279,43.572,-15.647,-28.42,128.996,-33.847
1/15/15 9:00,271.5,43.37,-16.294,-28.677,129.664,-33.964
1/15/15 10:00,271.649,43.616,-16.129,-28.773,129.759,-33.868
1/15/15 11:00,270.787,43.565,-14.539,-30.224,129.876,-33.793
1/15/15 12:00,271.021,43.218,-13.64,-29.963,129.584,-33.02
1/15/15 13:00,271.882,43.007,-14.565,-29.636,129.543,-33.002
1/15/15 14:00,271.22,42.869,-14.647,-29.834,130.011,-34.139
1/15/15 15:00,271.489,42.724,-16.005,-28.819,129.628,-33.636
1/15/15 16:00,271.081,42.317,-17.619,-28.596,129.259,-33.744
1/15/15 17:00,271.049,42.076,-18.692,-28.559,129.193,-33.315
1/15/15 18:00,270.535,42.275,-20.282,-27.776,129.332,-33.399
1/15/15 19:00,269.897,41.785,-21.946,-27.601,129.729,-34.996
1/15/15 20:00,269.103,41.068,-23.852,-27.201,129.988,-33.411
1/15/15 21:00,268.744,40.67,-22.445,-27.688,130.422,-34.46
1/16/15 19:41,717.183,206.888,-463.622,99.266,340.884,-108.516
1/16/15 20:00,368.917,-57.144,-199.978,-8.348,26.237,-460.386
1/16/15 21:00,266.634,10.54,-80.952,-21.419,108.979,-270.167
1/16/15 22:00,258.353,29.088,-57.873,-25.612,178.329,-158.521
1/16/15 23:00,259.943,36.86,-43.127,-27.015,188.578,-116.256
1/17/15 0:00,263.554,40.952,-35.62,-27.539,196.411,-95.949
1/17/15 1:00,265.89,43.857,-29.911,-29.315,200.072,-85.762
1/17/15 2:00,268.596,45.049,-24.019,-30.907,200.701,-80.699
1/17/15 3:00,270.589,45.951,-19.174,-31.301,200.407,-77.585
1/17/15 4:00,271.817,46.249,-13.964,-32.215,199.427,-74.957
1/17/15 5:00,272.862,46.843,-9.704,-32.998,197.794,-72.883
1/17/15 6:00,274.196,46.785,-6.891,-32.805,196.347,-71.719
1/17/15 7:00,274.522,47.698,-5.484,-32.488,193.935,-69.618
1/17/15 8:00,274.5,47.297,-4.602,-33.046,191.883,-67.865
1/17/15 9:00,272.708,47.049,-2.929,-33.189,191.467,-66.579
1/17/15 10:00,270.066,45.056,-4.004,-32.701,190.691,-65.61
1/17/15 11:00,270.319,44.094,-3.869,-33.406,188.953,-62.806
1/17/15 12:00,271.153,43.689,-4.653,-32.964,187.483,-62.135
1/17/15 13:00,272.228,44.122,-4.485,-32.896,186.026,-61.116
1/17/15 14:00,272.132,44.914,-4.561,-33.298,184.485,-60.584
1/17/15 15:00,271.935,43.373,-3.854,-33.083,182.817,-60.242
1/17/15 16:00,273.095,42.891,-4.876,-33.072,181.638,-60.575
1/17/15 17:00,274.77,42.654,-8.165,-31.916,180.856,-59.746
1/17/15 18:00,276.025,42.994,-9.903,-31.554,179.278,-58.928
1/17/15 19:00,276.479,43.179,-11.784,-30.302,177.815,-58.153
1/17/15 20:00,276.743,43.666,-12.151,-29.619,176.4,-58.016
1/17/15 21:00,276.771,44.429,-10.811,-30.972,175.151,-57.828
1/17/15 22:00,277.952,45.089,-10.203,-30.927,174.533,-57.812
1/17/15 23:00,279.129,46.056,-11.385,-30.859,173.812,-57.371
1/18/15 0:00,279.962,46.948,-12.367,-30.788,173.147,-56.727
1/18/15 1:00,281.204,47.813,-11.91,-31.666,172.41,-56.51
1/18/15 2:00,281.673,48.716,-10.819,-31.725,171.94,-56.364
1/18/15 3:00,281.144,49.36,-10.029,-31.996,171.055,-55.739
1/18/15 4:00,281.35,48.758,-8.997,-32.033,170.648,-55.919
1/18/15 5:00,281.467,49.187,-8.306,-31.971,169.033,-56.102
1/18/15 6:00,281.199,48.276,-7.257,-31.815,167.937,-55.365
1/18/15 7:00,280.627,48.639,-7.224,-32.325,166.95,-55.323
1/18/15 8:00,279.601,47.862,-6.625,-31.736,165.628,-54.936
1/18/15 9:00,279.963,47.155,-7.44,-30.989,165.09,-54.329
