Date,ID Depth,EC Depth,CC Depth
1/15/15 0:00,1512.6874,1501.3723,1509.9614
1/15/15 1:00,1512.6841,1501.3731,1509.9629
1/15/15 2:00,1512.691,1501.3797,1509.9675
1/15/15 3:00,1512.6773,1501.3701,1509.9556
1/15/15 4:00,1512.6662,1501.3547,1509.9445
1/15/15 5:00,1512.661,1501.3495,1509.9396
1/15/15 6:00,1512.6679,1501.3594,1509.948
1/15/15 7:00,1512.6803,1501.3771,1509.9586
1/15/15 8:00,1512.6927,1501.3893,1509.973
1/15/15 9:00,1512.6885,1501.3811,1509.9714
1/15/15 10:00,1512.6832,1501.3804,1509.9674
1/15/15 11:00,1512.6924,1501.3914,1509.979
1/15/15 12:00,1512.6861,1501.3886,1509.971
1/15/15 13:00,1512.6933,1501.3811,1509.9714
1/15/15 14:00,1512.6911,1501.3752,1509.959
1/15/15 15:00,1512.6775,1501.3673,1509.9504
1/15/15 16:00,1512.6796,1501.3612,1509.9525
1/15/15 17:00,1512.6798,1501.3636,1509.9519
1/15/15 18:00,1512.6805,1501.3621,1509.9523
1/15/15 19:00,1512.6872,1501.3643,1509.9515
1/15/15 20:00,1512.6842,1501.3613,1509.9554
1/15/15 21:00,1512.6817,1501.3682,1509.9587
1/16/15 20:00,1512.6615,1501.3625,1509.9469
1/16/15 21:00,1512.6892,1501.3711,1509.9621
1/16/15 22:00,1512.6986,1501.3779,1509.9691
1/16/15 23:00,1512.6906,1501.3718,1509.9634
1/17/15 0:00,1512.6957,1501.3783,1509.9725
1/17/15 1:00,1512.7075,1501.3899,1509.9815
1/17/15 2:00,1512.717,1501.3979,1509.9779
1/17/15 3:00,1512.7094,1501.3947,1509.9773
1/17/15 4:00,1512.693,1501.3793,1509.9655
1/17/15 5:00,1512.6883,1501.3702,1509.9594
1/17/15 6:00,1512.6855,1501.3685,1509.9644
1/17/15 7:00,1512.6973,1501.381,1509.9624
1/17/15 8:00,1512.7001,1501.3802,1509.9617
1/17/15 9:00,1512.6984,1501.382,1509.9674
1/17/15 10:00,1512.6983,1501.3806,1509.9665
1/17/15 11:00,1512.71,1501.3896,1509.9747
1/17/15 12:00,1512.7097,1501.3919,1509.9787
1/17/15 13:00,1512.7215,1501.4044,1509.9891
1/17/15 14:00,1512.717,1501.3984,1509.9851
1/17/15 15:00,1512.6998,1501.3867,1509.9782
1/17/15 16:00,1512.7,1501.384,1509.9613
1/17/15 17:00,1512.6943,1501.3799,1509.9696
1/17/15 18:00,1512.7,1501.3837,1509.9704
1/17/15 19:00,1512.6941,1501.3762,1509.9677
1/17/15 20:00,1512.688,1501.3707,1509.9551
1/17/15 21:00,1512.6844,1501.3682,1509.9635
1/17/15 22:00,1512.6846,1501.3687,1509.956
1/17/15 23:00,1512.6911,1501.3705,1509.9575
1/18/15 0:00,1512.6951,1501.3756,1509.9622
1/18/15 1:00,1512.6983,1501.3813,1509.9656
1/18/15 2:00,1512.7017,1501.3816,1509.9736
1/18/15 3:00,1512.7053,1501.388,1509.9784
1/18/15 4:00,1512.6956,1501.3736,1509.9689
1/18/15 5:00,1512.6893,1501.3716,1509.9666
1/18/15 6:00,1512.6912,1501.3788,1509.9604
1/18/15 7:00,1512.6877,1501.3662,1509.9581
1/18/15 8:00,1512.6787,1501.365,1509.9469
1/18/15 9:00,1512.6749,1501.3561,1509.9477
1/18/15 10:00,1512.6731,1501.3522,1509.9487
1/18/15 11:00,1512.6885,1501.3675,1509.957
1/18/15 12:00,1512.6847,1501.3691,1509.963
1/18/15 13:00,1512.6994,1501.3778,1509.9614
1/18/15 14:00,1512.6912,1501.3734,1509.9592
1/18/15 15:00,1512.6913,1501.3729,1509.9679
1/18/15 16:00,1512.6926,1501.3688,1509.9608
1/18/15 17:00,1512.6845,1501.3647,1509.9543
1/18/15 18:00,1512.6785,1501.3694,1509.9519
1/18/15 19:00,1512.6859,1501.3706,1509.9558
1/18/15 20:00,1512.681,1501.3672,1509.9588
1/18/15 21:00,1512.6816,1501.3661,1509.9536
1/18/15 22:00,1512.6827,1501.368,1509.9483
1/18/15 23:00,1512.6805,1501.3603,1509.9476
1/19/15 0:00,1512.6906,1501.3726,1509.9658
1/19/15 1:00,1512.7094,1501.3919,1509.9851
1/19/15 2:00,1512.7007,1501.4041,1509.9915
1/19/15 3:00,1512.7004,1501.4003,1509.9923
1/19/15 4:00,1512.7048,1501.3876,1509.9801
1/19/15 5:00,1512.7027,1501.3814,1509.9807
1/19/15 6:00,1512.708,1501.387,1509.9747
1/19/15 7:00,1512.6972,1501.3796,1509.974
1/19/15 8:00,1512.7006,1501.3824,1509.9622
1/19/15 9:00,1512.6889,1501.3703,1509.9571
1/19/15 10:00,1512.6839,1501.365,1509.9512
1/19/15 11:00,1512.6875,1501.3688,1509.9648
1/19/15 12:00,1512.6991,1501.3793,1509.9659
1/19/15 13:00,1512.7121,1501.3957,1509.9714
1/19/15 14:00,1512.7066,1501.387,1509.9728
1/19/15 15:00,1512.7007,1501.3823,1509.9676
1/19/15 16:00,1512.7031,1501.3844,1509.9638
1/19/15 17:00,1512.6883,1501.3748,1509.9591
1/19/15 18:00,1512.7011,1501.3793,1509.9623
1/19/15 19:00,1512.6941,1501.3768,1509.9536
1/19/15 20:00,1512.6802,1501.3642,1509.9523
1/19/15 21:00,1512.6754,1501.3602,1509.9491
1/19/15 22:00,1512.6769,1501.3572,1509.9314
1/19/15 23:00,1512.6615,1501.3462,1509.9338
1/20/15 0:00,1512.6661,1501.3461,1509.9355
1/20/15 1:00,1512.6842,1501.3628,1509.9397
1/20/15 2:00,1512.6944,1501.3709,1509.9562
1/20/15 3:00,1512.6975,1501.3783,1509.9595
1/20/15 4:00,1512.6929,1501.3737,1509.9626
1/20/15 5:00,1512.6946,1501.3763,1509.9669
1/20/15 6:00,1512.6921,1501.3745,1509.9656
1/20/15 7:00,1512.6891,1501.3721,1509.952
1/20/15 8:00,1512.6847,1501.3679,1509.9558
1/20/15 9:00,1512.6861,1501.3663,1509.9517
1/20/15 10:00,1512.6932,1501.3759,1509.9641
1/20/15 11:00,1512.6953,1501.3774,1509.9611
1/20/15 12:00,1512.6978,1501.3785,1509.9687
1/20/15 13:00,1512.6943,1501.371,1509.9615
1/20/15 14:00,1512.6947,1501.3746,1509.9663
1/20/15 15:00,1512.6992,1501.3767,1509.9649
1/20/15 16:00,1512.7016,1501.3824,1509.9655
1/20/15 17:00,1512.7033,1501.3794,1509.9671
1/20/15 18:00,1512.7011,1501.3832,1509.9651
1/20/15 19:00,1512.6986,1501.3808,1509.9671
1/20/15 20:00,1512.6975,1501.3786,1509.9693
1/20/15 21:00,1512.6901,1501.3732,1509.9631
1/20/15 22:00,1512.6877,1501.3705,1509.9585
1/20/15 23:00,1512.6868,1501.3735,1509.9582
1/21/15 0:00,1512.6918,1501.3731,1509.9522
1/21/15 1:00,1512.6964,1501.376,1509.9686
1/21/15 2:00,1512.699,1501.3813,1509.9684
1/21/15 3:00,1512.7069,1501.3916,1509.9743
1/21/15 4:00,1512.7047,1501.3884,1509.9753
1/21/15 5:00,1512.701,1501.3838,1509.9689
1/21/15 6:00,1512.7007,1501.382,1509.965
1/21/15 7:00,1512.6992,1501.3805,1509.9691
1/21/15 8:00,1512.7011,1501.3841,1509.9726
1/21/15 9:00,1512.6873,1501.3733,1509.9579
1/21/15 10:00,1512.682,1501.3655,1509.9475
1/21/15 11:00,1512.6863,1501.3638,1509.9524
1/21/15 12:00,1512.6995,1501.3789,1509.9589
1/21/15 13:00,1512.6951,1501.3776,1509.9607
1/21/15 14:00,1512.6973,1501.3775,1509.9656
1/21/15 15:00,1512.6961,1501.3731,1509.9568
1/21/15 16:00,1512.6904,1501.3701,1509.9548
1/21/15 17:00,1512.6881,1501.3693,1509.9517
1/21/15 18:00,1512.6925,1501.3764,1509.9607
1/21/15 19:00,1512.6925,1501.3746,1509.9631
1/21/15 20:00,1512.6942,1501.3766,1509.9613
1/21/15 21:00,1512.6887,1501.3712,1509.9553
1/21/15 22:00,1512.6931,1501.3759,1509.9563
1/21/15 23:00,1512.6924,1501.3724,1509.9537
1/22/15 0:00,1512.6994,1501.3807,1509.9631
1/22/15 1:00,1512.7015,1501.3768,1509.9635
1/22/15 2:00,1512.7037,1501.382,1509.969
1/22/15 3:00,1512.7119,1501.3911,1509.9714
1/22/15 4:00,1512.7114,1501.389,1509.9728
1/22/15 5:00,1512.7121,1501.3889,1509.9765
1/22/15 6:00,1512.7035,1501.3909,1509.9766
1/22/15 7:00,1512.6973,1501.3886,1509.9794
1/22/15 8:00,1512.7053,1501.3862,1509.973
1/22/15 9:00,1512.7023,1501.3833,1509.9666
1/22/15 10:00,1512.6956,1501.3736,1509.9594
1/22/15 11:00,1512.6929,1501.3689,1509.9568
1/22/15 12:00,1512.6951,1501.3749,1509.9604
1/22/15 13:00,1512.6931,1501.3782,1509.9666
1/22/15 14:00,1512.6973,1501.3795,1509.9542
1/22/15 15:00,1512.6901,1501.3702,1509.9517
1/22/15 16:00,1512.6811,1501.3616,1509.9473
1/22/15 17:00,1512.6798,1501.3584,1509.9433
1/22/15 18:00,1512.6798,1501.3604,1509.9423
1/22/15 19:00,1512.6975,1501.3759,1509.9567
1/22/15 20:00,1512.6942,1501.3744,1509.9529
1/22/15 21:00,1512.6952,1501.3756,1509.9576
1/22/15 22:00,1512.6964,1501.3767,1509.9545
1/22/15 23:00,1512.7035,1501.3839,1509.9673
1/23/15 0:00,1512.6997,1501.3742,1509.9733
1/23/15 1:00,1512.7076,1501.3875,1509.9666
1/23/15 2:00,1512.7086,1501.3859,1509.9737
1/23/15 3:00,1512.72,1501.3956,1509.9797
1/23/15 4:00,1512.733,1501.4075,1509.9905
1/23/15 5:00,1512.7349,1501.411,1509.9969
1/23/15 6:00,1512.7233,1501.4021,1509.9888
1/23/15 7:00,1512.7205,1501.399,1509.9873
1/23/15 8:00,1512.7156,1501.3947,1509.9884
1/23/15 9:00,1512.7165,1501.3899,1509.9772
1/23/15 10:00,1512.7065,1501.388,1509.9693
1/23/15 11:00,1512.6907,1501.3704,1509.9634
1/23/15 12:00,1512.6828,1501.3622,1509.9446
1/23/15 13:00,1512.681,1501.3576,1509.9354
1/23/15 14:00,1512.6701,1501.3489,1509.9306
1/23/15 15:00,1512.6634,1501.342,1509.9289
1/23/15 16:00,1512.6594,1501.336,1509.9208
1/23/15 17:00,1512.6684,1501.344,1509.9367
1/23/15 18:00,1512.6642,1501.3485,1509.9345
1/23/15 19:00,1512.6732,1501.3573,1509.9435
1/23/15 20:00,1512.676,1501.3612,1509.9459
1/23/15 21:00,1512.6784,1501.3596,1509.947
1/23/15 22:00,1512.6889,1501.3654,1509.9502
1/23/15 23:00,1512.678,1501.3569,1509.9484
1/24/15 0:00,1512.6885,1501.3643,1509.9469
1/24/15 1:00,1512.7004,1501.3779,1509.9597
1/24/15 2:00,1512.7048,1501.3807,1509.9655
1/24/15 3:00,1512.708,1501.386,1509.9741
1/24/15 4:00,1512.7101,1501.384,1509.9722
1/24/15 5:00,1512.7088,1501.3838,1509.9688
1/24/15 6:00,1512.7184,1501.3951,1509.9853
1/24/15 7:00,1512.7297,1501.3982,1509.98
1/24/15 8:00,1512.7114,1501.3888,1509.9757
1/24/15 9:00,1512.7204,1501.3949,1509.9795
1/24/15 10:00,1512.7118,1501.3935,1509.9824
1/24/15 11:00,1512.7038,1501.3872,1509.9695
1/24/15 12:00,1512.6993,1501.3893,1509.9728
1/24/15 13:00,1512.6935,1501.3846,1509.9751
1/24/15 14:00,1512.6942,1501.372,1509.955
1/24/15 15:00,1512.6967,1501.3736,1509.9464
1/24/15 16:00,1512.6827,1501.3566,1509.9413
1/24/15 17:00,1512.6818,1501.3551,1509.9384
1/24/15 18:00,1512.6793,1501.355,1509.9405
1/24/15 19:00,1512.6741,1501.3566,1509.9497
1/24/15 20:00,1512.6716,1501.3604,1509.941
1/24/15 21:00,1512.6743,1501.3616,1509.9405
1/24/15 22:00,1512.6625,1501.3591,1509.9459
1/24/15 23:00,1512.6709,1501.3678,1509.9512
1/25/15 0:00,1512.6837,1501.3791,1509.9645
1/25/15 1:00,1512.6813,1501.3782,1509.9699
1/25/15 2:00,1512.7012,1501.3952,1509.9845
1/25/15 3:00,1512.715,1501.4053,1509.9827
1/25/15 4:00,1512.7207,1501.4137,1509.9956
1/25/15 5:00,1512.7327,1501.4198,1510.0003
1/25/15 6:00,1512.7236,1501.4118,1509.9964
1/25/15 7:00,1512.7294,1501.421,1510.0004
1/25/15 8:00,1512.7229,1501.4164,1509.9969
1/25/15 9:00,1512.7164,1501.4122,1510.0033
1/25/15 10:00,1512.7164,1501.4097,1509.9972
1/25/15 11:00,1512.7068,1501.4017,1509.9845
1/25/15 12:00,1512.7135,1501.3926,1509.9743
1/25/15 13:00,1512.7083,1501.3877,1509.9688
1/25/15 14:00,1512.7,1501.3859,1509.9632
1/25/15 15:00,1512.6941,1501.3717,1509.9497
1/25/15 16:00,1512.6837,1501.3629,1509.9401
1/25/15 17:00,1512.68,1501.3562,1509.9452
1/25/15 18:00,1512.6755,1501.3564,1509.9417
1/25/15 19:00,1512.6836,1501.3684,1509.9477
1/25/15 20:00,1512.6813,1501.3619,1509.9384
1/25/15 21:00,1512.6823,1501.3637,1509.945
1/25/15 22:00,1512.6648,1501.3466,1509.9322
1/25/15 23:00,1512.6771,1501.3563,1509.9432
1/26/15 0:00,1512.6846,1501.3627,1509.9507
1/26/15 1:00,1512.701,1501.3856,1509.9749
1/26/15 2:00,1512.7028,1501.3921,1509.9802
1/26/15 3:00,1512.7029,1501.3955,1509.9925
1/26/15 4:00,1512.7045,1501.3983,1509.9907
1/26/15 5:00,1512.7172,1501.4122,1509.9944
1/26/15 6:00,1512.7216,1501.4117,1510.0036
1/26/15 7:00,1512.7336,1501.4125,1509.9989
1/26/15 8:00,1512.7291,1501.4079,1509.9946
1/26/15 9:00,1512.7219,1501.4,1509.9971
1/26/15 10:00,1512.727,1501.4037,1509.9917
1/26/15 11:00,1512.7227,1501.4032,1509.992
1/26/15 12:00,1512.7143,1501.3911,1509.9729
1/26/15 13:00,1512.712,1501.3875,1509.9736
1/26/15 14:00,1512.6979,1501.3853,1509.9707
1/26/15 15:00,1512.69,1501.3705,1509.9643
1/26/15 16:00,1512.6819,1501.3609,1509.9483
1/26/15 17:00,1512.678,1501.353,1509.9482
1/26/15 18:00,1512.6761,1501.3548,1509.9419
1/26/15 19:00,1512.6811,1501.3608,1509.9416
1/26/15 20:00,1512.6733,1501.3512,1509.9444
1/26/15 21:00,1512.674,1501.3566,1509.9439
1/26/15 22:00,1512.6605,1501.3388,1509.9306
