time,latitude,longitude,depth,mag
2015-04-23T00:10:14Z,45.95494,-129.99216,1.153,0.3
2015-04-23T00:32:24Z,45.9682,-129.98798,1.65,0.5
2015-04-23T00:45:18Z,45.94753,-129.98296,1.39,0.3
2015-04-23T01:02:53Z,45.94735,-129.98447,1.368,1.3
2015-04-23T01:05:11Z,45.93804,-129.97671,1.75,0.2
2015-04-23T01:05:29Z,45.94763,-129.9819,1.533,0.3
2015-04-23T01:05:40Z,45.94651,-129.98544,1.075,0.1
2015-04-23T01:07:54Z,45.94739,-129.98401,1.193,0.2
2015-04-23T01:11:15Z,45.96505,-130.04064,2.126,0.4
2015-04-23T01:13:34Z,45.95409,-129.99171,1.243,0.1
2015-04-23T01:16:34Z,45.94756,-129.98366,1.388,0.5
2015-04-23T01:28:21Z,45.94858,-130.01949,1.016,0
2015-04-23T01:30:11Z,45.9437,-130.01836,1.164,0.1
2015-04-23T01:55:32Z,45.93577,-129.98317,1.56,0
2015-04-23T01:57:21Z,45.91991,-129.98143,1.502,0.1
2015-04-23T02:17:19Z,45.95612,-130.03612,1.441,0.5
2015-04-23T02:26:09Z,45.94386,-130.01771,0.976,0.2
2015-04-23T02:45:18Z,45.92721,-130.00038,1.112,0.4
2015-04-23T02:45:36Z,45.94735,-129.98398,1.185,0.1
2015-04-23T02:51:20Z,45.94713,-129.98414,1.13,0.5
2015-04-23T03:00:38Z,45.954,-129.99098,1.102,0.5
2015-04-23T03:05:05Z,45.92801,-129.97457,1.102,0.3
2015-04-23T03:33:56Z,45.95463,-129.98352,1.578,0.2
2015-04-23T03:42:39Z,45.92524,-129.98139,1.356,0
2015-04-23T04:33:55Z,45.94915,-130.02298,1.29,1.1
2015-04-23T04:34:33Z,45.95103,-129.98698,1.381,0.1
2015-04-23T04:49:42Z,45.95848,-129.97228,2.851,0.2
2015-04-23T04:50:47Z,45.95271,-129.98064,1.638,0.2
2015-04-23T04:50:51Z,45.9512,-129.98274,1.594,0.4
2015-04-23T04:54:31Z,45.95148,-129.98352,1.533,0.3
2015-04-23T05:18:14Z,45.95802,-129.98975,1.631,0.8
2015-04-23T05:34:10Z,45.94215,-130.01782,0.841,0.2
2015-04-23T06:12:45Z,45.9354,-129.97713,1.489,0.3
2015-04-23T06:17:43Z,45.94764,-130.01986,0.837,0.2
2015-04-23T06:54:29Z,45.95619,-130.01784,1.318,0.3
2015-04-23T07:04:35Z,45.93376,-130.01592,1.003,0.2
2015-04-23T07:21:18Z,45.94291,-130.01762,1.212,0.4
2015-04-23T07:36:48Z,45.94882,-129.98775,1.412,0.9
2015-04-23T07:44:55Z,45.9483,-129.98775,1.17,0.4
2015-04-23T07:45:13Z,45.9493,-129.98604,1.464,0.6
2015-04-23T09:29:50Z,45.94262,-130.01683,0.727,0.2
2015-04-23T10:51:08Z,45.95938,-129.98706,1.305,0.2
2015-04-23T11:15:41Z,45.94533,-129.98587,0.773,0.1
2015-04-23T11:19:08Z,45.95741,-129.99201,0.751,0.3
2015-04-23T11:27:03Z,45.94467,-130.01957,1.021,0.2
2015-04-23T11:36:07Z,45.93832,-130.01803,1.183,0.2
2015-04-23T11:47:19Z,45.95765,-129.99273,0.857,0.2
2015-04-23T12:04:18Z,45.93817,-130.02033,1.566,1.3
2015-04-23T12:44:33Z,46.00984,-130.02113,0.48,0.7
2015-04-23T12:57:54Z,45.92825,-129.97586,1.699,0.5
2015-04-23T13:06:29Z,45.93659,-130.02286,1.331,0.6
2015-04-23T13:06:38Z,45.93829,-130.01452,0.678,0.1
2015-04-23T13:11:55Z,45.92383,-129.97714,1.147,0.3
2015-04-23T13:25:54Z,45.92587,-129.98428,1.083,0.2
2015-04-23T13:59:23Z,45.94564,-129.98581,0.866,0
2015-04-23T14:14:03Z,45.941,-130.0139,0.767,0
2015-04-23T14:20:02Z,45.94809,-130.01972,1.251,0.3
2015-04-23T14:20:40Z,45.94857,-130.02335,1.546,0.5
2015-04-23T14:22:28Z,45.97064,-129.99159,0.904,0.2
2015-04-23T14:28:22Z,45.94962,-130.01766,0.974,0.1
2015-04-23T14:29:41Z,45.95248,-129.99485,0.87,0.1
2015-04-23T14:30:16Z,45.94526,-129.98711,0.991,0.4
