Date,Offset Depth (m),Threshold
10/8/97,3.1317,3.3
10/9/97,3.1682,3.3
10/10/97,3.168,3.3
10/11/97,3.1514,3.3
10/12/97,3.1504,3.3
10/13/97,3.1556,3.3
10/14/97,3.1656,3.3
10/15/97,3.1531,3.3
10/16/97,3.1327,3.3
10/17/97,3.1285,3.3
10/18/97,3.1373,3.3
10/19/97,3.1355,3.3
10/20/97,3.1327,3.3
10/21/97,3.1387,3.3
10/22/97,3.1455,3.3
10/23/97,3.1543,3.3
10/24/97,3.1555,3.3
10/25/97,3.1556,3.3
10/26/97,3.1628,3.3
10/27/97,3.1821,3.3
10/28/97,3.192,3.3
10/29/97,3.1855,3.3
10/30/97,3.1593,3.3
10/31/97,3.1614,3.3
11/1/97,3.1707,3.3
11/2/97,3.1766,3.3
11/3/97,3.17,3.3
11/4/97,3.163,3.3
11/5/97,3.1725,3.3
11/6/97,3.1899,3.3
11/7/97,3.1843,3.3
11/8/97,3.1915,3.3
11/9/97,3.2118,3.3
11/10/97,3.2279,3.3
11/11/97,3.2249,3.3
11/12/97,3.2098,3.3
11/13/97,3.2219,3.3
11/14/97,3.2341,3.3
11/15/97,3.2268,3.3
11/16/97,3.226,3.3
11/17/97,3.246,3.3
11/18/97,3.2336,3.3
11/19/97,3.2418,3.3
11/20/97,3.2588,3.3
11/21/97,3.2305,3.3
11/22/97,3.2478,3.3
11/23/97,3.2628,3.3
11/24/97,3.2345,3.3
11/25/97,3.2133,3.3
11/26/97,3.2496,3.3
11/27/97,3.2703,3.3
11/28/97,3.2476,3.3
11/29/97,3.2281,3.3
11/30/97,3.2191,3.3
12/1/97,3.2318,3.3
12/2/97,3.2281,3.3
12/3/97,3.2233,3.3
12/4/97,3.2209,3.3
12/5/97,3.2228,3.3
12/6/97,3.2288,3.3
12/7/97,3.2515,3.3
12/8/97,3.2639,3.3
12/9/97,3.2539,3.3
12/10/97,3.2374,3.3
12/11/97,3.2264,3.3
12/12/97,3.2258,3.3
12/13/97,3.2076,3.3
12/14/97,3.2075,3.3
12/15/97,3.2123,3.3
12/16/97,3.2236,3.3
12/17/97,3.2388,3.3
12/18/97,3.2471,3.3
12/19/97,3.2457,3.3
12/20/97,3.2708,3.3
12/21/97,3.2747,3.3
12/22/97,3.2642,3.3
12/23/97,3.2457,3.3
12/24/97,3.2612,3.3
12/25/97,3.2804,3.3
12/26/97,3.2448,3.3
12/27/97,3.2393,3.3
12/28/97,3.235,3.3
12/29/97,3.252,3.3
12/30/97,3.2576,3.3
12/31/97,3.2607,3.3
1/1/98,3.2662,3.3
1/2/98,3.2836,3.3
1/3/98,3.2891,3.3
1/4/98,3.3008,3.3
1/5/98,3.2904,3.3
1/6/98,3.2806,3.3
1/7/98,3.2968,3.3
1/8/98,3.2894,3.3
1/9/98,3.2806,3.3
1/10/98,3.2802,3.3
1/11/98,3.2856,3.3
1/12/98,3.2955,3.3
1/13/98,3.2853,3.3
1/14/98,3.2731,3.3
1/15/98,3.2832,3.3
1/16/98,3.2905,3.3
1/17/98,3.2869,3.3
1/18/98,3.3079,3.3
1/19/98,3.3055,3.3
1/20/98,3.2889,3.3
1/21/98,3.2881,3.3
1/22/98,3.2914,3.3
1/23/98,3.29,3.3
1/24/98,3.2523,3.3
1/25/98,3.3702,3.3
1/26/98,2.1818,3.3
1/27/98,1.147,3.3
1/28/98,0.69946,3.3
1/29/98,0.43628,3.3
1/30/98,0.26257,3.3
1/31/98,0.11975,3.3
2/1/98,0.061035,3.3
2/2/98,0.046264,3.3
2/3/98,0.023803,3.3
2/4/98,0.0019526,3.3
2/5/98,0.022216,3.3
2/6/98,0.033569,3.3
2/7/98,0.053222,3.3
2/8/98,0.079101,3.3
2/9/98,0.085693,3.3
2/10/98,0.08374,3.3
2/11/98,0.11218,3.3
2/12/98,0.10657,3.3
2/13/98,0.12659,3.3
2/14/98,0.12732,3.3
2/15/98,0.14136,3.3
2/16/98,0.13831,3.3
2/17/98,0.15796,3.3
2/18/98,0.15222,3.3
2/19/98,0.1449,3.3
2/20/98,0.14148,3.3
2/21/98,0.15088,3.3
2/22/98,0.17004,3.3
2/23/98,0.17712,3.3
2/24/98,0.17297,3.3
2/25/98,0.17786,3.3
2/26/98,0.1831,3.3
2/27/98,0.20801,3.3
2/28/98,0.22546,3.3
3/1/98,0.20727,3.3
