time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-08-12T20:40:34.040Z,41.7515,-125.7963333,5,2.52,md,8,322,1.258,0.67,uw,uw61065626,2015-08-13T04:44:08.991Z,"129km WSW of Brookings, Oregon",earthquake,6.67,56.45,0.184,5,reviewed,uw,uw
2015-08-10T17:04:33.820Z,43.583,-126.9725,10,4.2,mb,,196,2.054,0.98,us,us100030uf,2015-11-06T18:06:24.040Z,"214km WNW of Bandon, Oregon",earthquake,8.5,2,0.112,22,reviewed,us,us
2015-08-04T19:57:31.090Z,41.8538333,-125.9423333,5,2.55,md,7,315,1.328,0.21,uw,uw61049282,2015-08-05T04:00:07.027Z,"139km W of Brookings, Oregon",earthquake,4.55,19.52,0.15,5,reviewed,uw,uw
2015-07-26T18:22:01.130Z,44.0096,-128.3876,10,3.9,mb,,218,3.163,0.69,us,us1000328r,2015-10-22T20:05:01.040Z,"Off the coast of Oregon",earthquake,10.4,2,0.512,1,reviewed,us,us
2015-07-19T18:46:43.440Z,45.2948333,-126.9828333,4.04,2.63,md,12,323,2.481,0.51,uw,uw61043782,2016-07-22T19:53:44.870Z,"off the coast of Oregon",earthquake,7.01,31.61,0.061,2,reviewed,uw,uw
2015-07-19T18:46:17.920Z,44.5594,-128.8542,10,3.8,mb,,198,3.965,1.01,us,us20002yje,2015-10-14T21:05:45.040Z,"Off the coast of Oregon",earthquake,5.1,2,0.123,17,reviewed,us,us
2015-07-09T17:53:04.800Z,43.4123,-127.2241,10,2.7,ml,,252,2.182,0.83,us,us20002wcp,2015-10-09T20:19:09.040Z,"230km W of Bandon, Oregon",earthquake,10.7,2,0.066,30,reviewed,us,us
2015-06-28T17:04:21.130Z,44.0575,-128.0285,10,3,ml,,180,2.938,1.25,us,us10002m7w,2015-09-02T22:37:23.040Z,"Off the coast of Oregon",earthquake,7.3,1.9,0.077,22,reviewed,us,us
2015-06-28T10:04:38.560Z,43.9719,-128.0426,16.31,4.2,mb,,191,3.457,0.73,us,us20002x7t,2015-09-02T22:37:22.040Z,"Off the coast of Oregon",earthquake,10.3,7.5,0.11,23,reviewed,us,us
2015-06-28T10:01:10.830Z,43.8182,-128.258,10,3.2,ml,,210,3.014,0.75,us,us10002m6x,2015-09-02T22:37:22.040Z,"Off the coast of Oregon",earthquake,9.6,2,0.077,22,reviewed,us,us
2015-06-27T09:54:47.130Z,43.8112,-128.3514,10,3.2,ml,,211,3.077,1.01,us,us20002wsy,2015-09-02T22:37:21.040Z,"Off the coast of Oregon",earthquake,10.1,2,0.077,22,reviewed,us,us
2015-06-27T09:48:47.240Z,44.0261,-128.2626,10,3,ml,,204,3.084,0.79,us,us20002wt3,2015-09-02T22:37:21.040Z,"Off the coast of Oregon",earthquake,6.1,2,0.101,13,reviewed,us,us
2015-06-27T08:56:42.480Z,43.7969,-128.4087,10,3.1,ml,,217,3.112,0.9,us,us20002wsx,2015-09-02T22:37:21.040Z,"Off the coast of Oregon",earthquake,12,2,0.091,16,reviewed,us,us
2015-06-27T07:37:49.680Z,43.8339,-128.1439,10,3.1,ml,,200,2.94,0.81,us,us10002m1y,2015-09-02T22:37:21.040Z,"Off the coast of Oregon",earthquake,7.1,1.9,0.077,22,reviewed,us,us
2015-06-22T16:33:28.340Z,43.9915,-126.2062,10,2.8,ml,,233,2.166,0.56,us,us10002kwg,2016-07-22T19:52:40.380Z,"168km WNW of Barview, Oregon",earthquake,10.5,2,0.064,32,reviewed,us,us
2015-06-03T13:25:30.540Z,44.5162,-129.8376,10,4,mb,,203,4.315,0.58,us,us20002lm4,2015-08-08T00:50:15.040Z,"Off the coast of Oregon",earthquake,4.7,2,0.149,12,reviewed,us,us
2015-06-03T13:21:43.550Z,44.4836,-129.7393,10,3.1,ml,,288,4.238,0.66,us,us20002lm3,2015-08-08T00:50:15.040Z,"Off the coast of Oregon",earthquake,6.4,2,0.115,10,reviewed,us,us
2015-06-02T03:14:03.110Z,44.1858,-131.1226,10,3.8,mb,,213,5.107,0.58,us,us20002l5t,2015-08-08T00:49:55.040Z,"Off the coast of Oregon",earthquake,14.2,2,0.292,3,reviewed,us,us
2015-06-02T03:11:24.070Z,44.7791,-129.8706,10,4.2,mb,,192,4.436,0.76,us,us20002l5r,2015-08-08T00:49:55.040Z,"Off the coast of Oregon",earthquake,10.1,1.9,0.065,65,reviewed,us,us
2015-06-02T02:50:45.190Z,44.4553,-130.1501,10,3.9,mb,,203,4.506,0.47,us,us20002l5g,2015-08-08T00:49:55.040Z,"Off the coast of Oregon",earthquake,11.3,2,0.132,15,reviewed,us,us
2015-06-02T02:20:46.040Z,44.5566,-130.1262,10,3.6,mb,,272,4.523,0.45,us,us20002l5d,2015-08-08T00:49:54.040Z,"Off the coast of Oregon",earthquake,12.2,2,0.353,2,reviewed,us,us
2015-06-01T20:11:30.610Z,44.4971,-129.9582,10,5.9,mww,,104,4.39,0.86,us,us20002l3n,2016-12-09T05:47:16.339Z,"Off the coast of Oregon",earthquake,8.1,1.8,,,reviewed,us,us
2015-06-01T14:46:34.680Z,44.4861,-129.827,10,4.4,mb,,190,4.298,0.79,us,us20002l1f,2015-08-08T00:49:46.040Z,"Off the coast of Oregon",earthquake,9.4,1.9,0.07,58,reviewed,us,us
2015-06-01T10:46:27.260Z,44.5389,-129.6521,10,5.4,mww,,169,4.2,1.42,us,us20002l01,2016-11-10T21:47:48.757Z,"Off the coast of Oregon",earthquake,8.6,1.9,,,reviewed,us,us
2015-06-01T10:20:23.430Z,44.4954,-129.7375,10,4.1,mb,,205,4.599,1.2,us,us20002kzx,2015-08-08T00:49:42.040Z,"Off the coast of Oregon",earthquake,9.5,2,0.14,14,reviewed,us,us
2015-06-01T10:13:45.700Z,44.4799,-129.8273,10,4,mb,,206,4.296,1.01,us,us20002kzn,2015-08-08T00:49:42.040Z,"Off the coast of Oregon",earthquake,10.7,2,0.212,6,reviewed,us,us
2015-06-01T07:19:40.350Z,44.3151,-129.8029,10,4.2,mb,,197,4.225,1.16,us,us20002w92,2015-08-08T00:49:40.040Z,"Off the coast of Oregon",earthquake,10.4,2,0.128,17,reviewed,us,us
2015-06-01T07:19:22.050Z,44.3837,-129.516,10,3.9,mb,,197,4.053,0.95,us,us20002pbf,2015-08-08T00:49:40.040Z,"Off the coast of Oregon",earthquake,10.3,2,0.132,15,reviewed,us,us
