time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-04-26T15:26:59.120Z,40.4315,-125.3211667,19.711,2.86,md,18,299,0.7514,0.37,nc,nc72205920,2017-02-03T16:16:55.797Z,"91km W of Ferndale, California",earthquake,2.42,31.61,0.133,45,reviewed,nc,nc
2014-04-23T22:00:45.600Z,40.6383333,-125.4205,22.472,3.32,ml,71,260,0.8405,0.2,nc,nc72204275,2017-02-03T15:46:46.114Z,"98km W of Ferndale, California",earthquake,2.57,7.54,0.135,19,reviewed,nc,nc
2014-04-22T01:49:38.260Z,40.7781667,-125.1463333,23.554,2.82,md,28,270,0.6856,0.21,nc,nc72203305,2017-02-03T15:28:24.765Z,"77km WNW of Ferndale, California",earthquake,2.65,16.28,0.244,29,reviewed,nc,nc
2014-04-14T17:49:00.780Z,40.2163333,-125.1238333,4.151,2.69,md,22,293,0.6505,0.28,nc,nc72199220,2017-02-03T14:31:19.802Z,"83km WSW of Ferndale, California",earthquake,1.88,1.04,0.166,46,reviewed,nc,nc
2014-04-14T10:29:57.380Z,40.5651667,-125.166,10.649,2.6,md,33,308,0.6369,0.18,nc,nc72199020,2017-02-03T14:28:13.706Z,"76km W of Ferndale, California",earthquake,3.03,31.61,0.146,27,reviewed,nc,nc
2014-04-13T06:46:36.610Z,42.2505,-124.7628333,18.384,2.16,ml,7,282,0.7822,0.65,uw,uw60740546,2016-07-22T19:27:24.160Z,"30km WSW of Gold Beach, Oregon",earthquake,3.72,3.42,0.189,2,reviewed,uw,uw
2014-04-12T04:12:51.040Z,40.4373333,-125.3495,24.348,3.05,ml,30,272,0.7721,0.27,nc,nc72198050,2017-02-03T14:11:29.330Z,"93km W of Ferndale, California",earthquake,1.55,20.24,0.335,15,reviewed,nc,nc
2014-04-08T22:04:37.330Z,40.4125,-125.181,5.65,2.65,md,17,298,0.6901,0.26,nc,nc72196100,2017-02-03T13:47:08.328Z,"79km WSW of Ferndale, California",earthquake,12.2,10.55,0.185,38,reviewed,nc,nc
2014-04-06T09:40:54.650Z,43.09,-126.6384,10,2.9,ml,,235,2.56,1.07,us,usc000p7gl,2016-07-22T19:27:02.040Z,"178km WNW of Port Orford, Oregon",earthquake,,2,0.059,40,reviewed,us,us
2014-04-04T01:55:46.550Z,40.4413333,-125.8388333,21.302,2.75,md,25,291,1.145,0.27,nc,nc72193295,2017-02-03T13:04:28.315Z,"134km W of Ferndale, California",earthquake,7.08,14.14,0.21,17,reviewed,nc,nc
2014-04-03T00:09:39.140Z,40.3608333,-124.7231667,10.671,2.39,md,24,279,0.3162,0.22,nc,nc72192605,2017-02-03T12:54:38.184Z,"45km WSW of Ferndale, California",earthquake,0.8,1.01,0.106,18,reviewed,nc,nc
