time,44009 Wind Speed,44065 Wind Speed,44009 Wave Height,44065 Wave Height,44009 Air Pressure,44065 Air Pressure
2012-10-28 00:50:00+00:00,11.6,8.9,2.75,1.78,1010.5,1012.9
2012-10-28 01:50:00+00:00,12.2,8.3,2.73,1.69,1009.7,1012.5
2012-10-28 02:50:00+00:00,12.0,8.6,2.83,1.82,1008.9,1012.4
2012-10-28 03:50:00+00:00,11.0,8.1,,1.93,1009.4,1012.0
2012-10-28 04:50:00+00:00,11.4,9.3,3.31,2.01,1009.0,1011.7
2012-10-28 05:50:00+00:00,11.9,10.4,3.02,2.12,1007.9,1011.0
2012-10-28 06:50:00+00:00,12.5,10.7,3.3,2.12,1007.3,1011.2
2012-10-28 07:50:00+00:00,13.1,10.9,,2.42,1006.3,1010.2
2012-10-28 08:50:00+00:00,13.4,10.8,3.52,2.62,1006.2,1010.2
2012-10-28 09:50:00+00:00,14.2,11.2,3.92,2.6,1005.8,1009.7
2012-10-28 10:50:00+00:00,15.5,10.7,4.0,2.64,1005.1,1009.7
2012-10-28 11:50:00+00:00,15.4,11.5,4.12,2.73,1005.2,1009.6
2012-10-28 12:50:00+00:00,15.1,11.3,4.06,2.74,1005.1,1009.8
2012-10-28 13:50:00+00:00,15.1,11.8,4.22,2.79,1004.2,1009.6
2012-10-28 14:50:00+00:00,14.6,11.9,4.35,2.65,1004.2,1009.3
2012-10-28 15:50:00+00:00,15.3,12.4,4.61,2.9,1003.7,1008.0
2012-10-28 16:50:00+00:00,15.7,11.8,,2.88,,1006.7
2012-10-28 17:50:00+00:00,15.6,13.0,4.73,2.89,1001.3,1005.9
2012-10-28 18:50:00+00:00,16.7,12.2,,3.29,1000.1,1005.6
2012-10-28 19:50:00+00:00,16.6,13.4,5.09,3.16,999.3,1005.1
2012-10-28 20:50:00+00:00,16.9,13.6,5.0,3.46,998.8,1004.4
2012-10-28 21:50:00+00:00,,13.4,,3.58,,1004.0
2012-10-28 22:50:00+00:00,17.9,16.0,5.73,3.71,997.5,1003.5
2012-10-28 23:50:00+00:00,18.0,17.4,5.45,3.97,997.0,1002.7
2012-10-29 00:50:00+00:00,18.3,15.0,5.67,4.18,996.7,1002.7
