time,44009_air_pressure,44009_wave_height,44009_sea_surface_temperature,44009_wind_spd,44065_air_pressure,44065_wave_height,44065_sea_surface_temperature,44065_wind_spd
2011/08/20 00:50,1012.6,0.72,24.7,2.6,1013.8,0.65,23.4,5.5
2011/08/20 01:50,1013.4,0.74,24.7,1.4,1013,0.75,23.3,4.6
2011/08/20 02:50,1013.4,0.64,24.7,5,1012,0.57,23.3,2
2011/08/20 03:50,1012.8,0.64,24.7,2.4,1012.1,0.53,23.1,1.7
2011/08/20 04:50,1012.1,0.66,24.7,5.1,1012.6,0.51,23,1.8
2011/08/20 05:50,1012.5,0.6,24.8,3.5,1012.7,0.53,23,2.3
2011/08/20 06:50,1012.9,0.68,24.9,2.1,1012.8,0.5,23,2.3
2011/08/20 07:50,1013.2,0.62,24.9,4.5,1013,0.47,23,1.9
2011/08/20 08:50,1013.2,0.68,25,4.7,1013.2,0.49,22.9,3.6
2011/08/20 09:50,1013.7,0.69,25.1,3.9,1013.5,0.49,22.9,2.1
2011/08/20 10:50,1014.4,0.71,25.2,3.4,1014.1,0.51,22.9,1.7
2011/08/20 11:50,1014.8,0.72,25.2,2.3,1014.3,0.54,22.9,1.2
2011/08/20 12:50,1015.1,0.7,25.3,2.7,1014.7,0.5,23.2,3.6
2011/08/20 13:50,1015.7,0.72,25.4,3.6,1015.1,0.55,23.3,3.5
2011/08/20 14:50,1016.2,0.75,25.3,3.3,1015.2,0.57,23.6,2.5
2011/08/20 15:50,1015.9,0.68,25.4,2,1015.3,0.55,24,2.2
2011/08/20 16:50,1015.9,0.67,25.6,1,1014.7,0.58,24.4,2.4
2011/08/20 17:50,1016,0.71,26.2,1,1014.7,0.55,24.9,2.7
2011/08/20 18:50,1015.6,0.63,26.4,1.6,1014.7,0.59,25,2.7
2011/08/20 19:50,1015.1,0.64,26.5,1.7,1014.1,0.57,25,3
2011/08/20 20:50,1015.1,0.68,26.6,2.6,1014,0.61,24.8,4
2011/08/20 21:50,1015.1,0.74,26.1,4.4,1014.2,0.66,24.6,5.9
2011/08/20 22:50,1015,0.75,26.1,5,1014.2,0.68,24.2,5.8
2011/08/20 23:50,1015.3,0.71,25.8,4.6,1014.3,0.81,24,5.9
2011/08/21 00:50,1015.6,0.77,25.7,5,1014.6,0.83,23.9,5.1
