time,Wind Speed,Current Speed,Barometric Pressure,Precipitation,Air Temperature,Rain,Max Wave Height,Peak Wave Period,Significant Wave Height,Significant Wave Period
2018-01-01T00:00:00Z,9.47,0.19,1020.948,44.20,-4.48,0.00,3.94,7.4,2.39,6.7
2018-01-01T01:00:00Z,8.75,0.23,1020.950,44.16,-4.69,0.01,2.62,6.3,1.92,5.6
2018-01-01T02:00:00Z,9.30,0.27,1020.924,44.14,-5.07,0.02,3.17,7.1,2.22,6.4
2018-01-01T03:00:00Z,9.07,0.34,1021.428,44.11,-5.40,0.00,2.54,5.7,1.99,6.1
2018-01-01T04:00:00Z,8.88,0.37,1021.148,44.08,-5.30,0.01,2.82,7.1,1.94,6.1
2018-01-01T05:00:00Z,9.23,0.36,1020.885,44.05,-5.32,0.02,2.01,5.7,1.66,5.5
2018-01-01T06:00:00Z,8.97,0.34,1021.219,44.02,-5.41,0.00,3.24,6.3,2.1,6.2
2018-01-01T07:00:00Z,9.36,0.32,1021.332,43.99,-5.48,0.01,3.04,7.4,2.25,6.4
2018-01-01T08:00:00Z,8.87,0.29,1021.276,43.96,-5.72,0.01,2.97,6.7,2.48,6.4
2018-01-01T09:00:00Z,9.11,0.27,1020.871,43.93,-5.86,0.01,2.49,7.1,1.79,6.1
2018-01-01T10:00:00Z,8.75,0.21,1021.466,43.89,-6.04,0.00,2.87,7.1,2.2,6.5
2018-01-01T11:00:00Z,8.70,0.18,1021.879,43.86,-6.11,0.01,2.48,6.5,1.92,6
2018-01-01T12:00:00Z,9.12,0.15,1022.219,43.84,-6.00,0.03,3.33,7.1,2.34,6.1
2018-01-01T13:00:00Z,9.22,0.10,1022.756,43.80,-6.26,0.01,2.51,6.9,1.83,6.2
2018-01-01T14:00:00Z,9.97,0.10,1023.028,43.78,-6.47,0.00,3.03,6.7,2.03,5.9
2018-01-01T15:00:00Z,10.05,0.25,1023.250,43.76,-6.74,0.03,2.49,6.1,2.04,6
2018-01-01T16:00:00Z,10.05,0.32,1022.689,43.73,-6.82,0.00,3.04,5.6,2.19,5.7
2018-01-01T17:00:00Z,9.98,0.35,1022.225,43.70,-6.41,0.01,3.01,6.3,2.24,5.8
2018-01-01T18:00:00Z,10.32,0.38,1022.042,43.66,-6.28,0.01,3,7.4,2.17,6.4
2018-01-01T19:00:00Z,10.43,0.37,1022.197,43.64,-5.89,0.03,2.94,6.7,2.35,6.1
2018-01-01T20:00:00Z,10.40,0.35,1022.464,43.59,-5.56,0.02,2.7,6.9,2.05,6
2018-01-01T21:00:00Z,9.79,0.37,1022.777,43.56,-5.27,0.01,3.65,6.1,2.46,6.2
2018-01-01T22:00:00Z,10.39,0.35,1023.193,43.52,-4.92,0.00,3.88,6.9,2.45,6.2
2018-01-01T23:00:00Z,10.51,0.34,1023.754,43.49,-4.81,0.00,4.01,7.4,2.39,6.6
2018-01-02T00:00:00Z,11.67,0.29,1024.278,43.46,-4.91,0.01,2.86,7.7,2,6
2018-01-02T01:00:00Z,12.60,0.31,1024.804,43.41,-5.14,0.00,3.77,6.9,2.94,6.3
2018-01-02T02:00:00Z,11.22,0.38,1025.141,43.38,-4.99,0.02,4.41,7.7,2.77,6.3
2018-01-02T03:00:00Z,10.13,0.34,1025.265,43.34,-4.82,0.01,3.7,6.7,2.39,6.2
2018-01-02T04:00:00Z,8.38,0.29,1024.951,43.32,-4.68,0.03,3.95,6.5,2.53,6.5
2018-01-02T05:00:00Z,8.13,0.27,1024.316,43.30,-4.87,0.01,3.59,7.4,2.47,6.5
2018-01-02T06:00:00Z,9.22,0.22,1024.123,43.28,-4.42,0.01,3.32,6.9,2.21,6.5
2018-01-02T07:00:00Z,9.30,0.20,1024.138,43.24,-4.20,0.00,2.74,6.5,2.1,6.2
2018-01-02T08:00:00Z,9.17,0.15,1023.812,43.22,-3.87,0.01,3.18,5.7,1.98,5.8
2018-01-02T09:00:00Z,9.58,0.11,1023.657,43.18,-3.82,0.00,3.54,6.3,2.42,6.3
2018-01-02T10:00:00Z,10.35,0.07,1023.877,43.15,-3.81,0.00,2.77,6.1,2,6
2018-01-02T11:00:00Z,10.20,0.04,1024.350,43.13,-3.63,0.02,3.32,5.1,2.32,5.8
2018-01-02T12:00:00Z,10.57,0.12,1024.810,43.09,-3.84,0.00,3.65,6.9,2.54,6.3
2018-01-02T13:00:00Z,10.63,0.19,1025.568,43.07,-3.91,0.01,3.24,7.7,2.24,6.1
2018-01-02T14:00:00Z,11.10,0.27,1026.382,43.04,-4.22,0.01,2.71,6.7,2.15,6.1
2018-01-02T15:00:00Z,11.12,0.34,1026.627,43.00,-4.37,0.01,3.29,7.4,2.52,6.6
2018-01-02T16:00:00Z,10.57,0.33,1026.198,42.98,-4.40,0.01,3.35,8,2.29,6.3
2018-01-02T17:00:00Z,10.71,0.40,1025.638,42.94,-4.10,0.01,4.43,7.1,2.96,6.8
2018-01-02T18:00:00Z,10.00,0.43,1025.157,42.91,-3.73,0.00,4.26,7.7,3.25,6.8
2018-01-02T19:00:00Z,9.07,0.41,1025.508,42.88,-3.29,0.00,3.09,8,2.19,6.9
2018-01-02T20:00:00Z,8.85,0.38,1025.871,42.85,-2.50,0.01,3.74,8,2.52,6.9
2018-01-02T21:00:00Z,7.11,0.33,1025.719,42.84,-2.02,0.01,4.04,7.7,2.59,7.1
2018-01-02T22:00:00Z,6.05,0.28,1025.794,42.79,-1.83,0.06,3.21,6.7,2.39,6.7
2018-01-02T23:00:00Z,5.98,0.24,1025.807,42.79,-1.38,0.18,2.2,6.5,1.68,5.6
2018-01-03T00:00:00Z,6.49,0.19,1025.946,42.76,-0.65,0.09,1.98,7.1,1.63,6.3
2018-01-03T01:00:00Z,7.33,0.11,1025.714,42.71,0.44,0.09,1.95,6.9,1.5,5.8
2018-01-03T02:00:00Z,8.30,0.09,1025.518,42.69,1.27,0.09,2.44,6.7,1.64,5.8
2018-01-03T03:00:00Z,8.95,0.02,1025.154,42.64,2.01,0.00,2.12,6.9,1.61,5.5
2018-01-03T04:00:00Z,9.12,0.06,1024.981,42.65,2.34,0.03,2.64,5.9,1.94,5.4
2018-01-03T05:00:00Z,8.30,0.10,1024.988,42.63,2.05,0.03,2.2,6.7,1.68,5.6
2018-01-03T06:00:00Z,8.43,0.11,1025.243,42.61,1.83,0.02,2.27,6.7,1.75,5.3
2018-01-03T07:00:00Z,8.79,0.25,1025.627,42.60,1.66,0.04,2.47,6.1,1.46,5.5
2018-01-03T08:00:00Z,8.33,0.29,1025.520,42.58,1.53,0.06,2.82,6.7,1.93,5.8
2018-01-03T09:00:00Z,7.43,0.24,1025.293,42.57,1.35,0.04,2.13,4.8,1.57,5.8
2018-01-03T10:00:00Z,6.98,0.18,1025.549,42.55,1.33,0.00,2.81,6.7,1.65,6.2
2018-01-03T11:00:00Z,6.80,0.17,1025.869,42.55,1.66,0.06,2.3,7.1,1.69,6.2
2018-01-03T12:00:00Z,6.49,0.17,1026.198,42.54,1.82,0.02,2.16,7.1,1.52,6.4
2018-01-03T13:00:00Z,5.83,0.17,1026.499,42.51,2.20,0.01,2.77,7.1,1.63,6.3
2018-01-03T14:00:00Z,6.22,0.22,1026.962,42.50,2.41,0.03,1.76,7.1,1.47,5.9
2018-01-03T15:00:00Z,6.04,0.19,1026.649,42.51,2.87,0.03,2.52,6.9,1.49,6.1
2018-01-03T16:00:00Z,5.71,0.18,1025.749,42.49,3.17,0.02,2.17,6.7,1.59,5.8
2018-01-03T17:00:00Z,5.48,0.13,1025.169,42.48,3.52,0.02,2.47,5.7,1.36,5.4
2018-01-03T18:00:00Z,4.02,0.11,1024.412,42.48,3.76,0.03,1.29,6.7,1.1,5.6
2018-01-03T19:00:00Z,2.40,0.08,1023.640,42.48,4.06,0.01,1.85,5.6,1.11,5.3
2018-01-03T20:00:00Z,0.80,0.03,1022.700,42.48,3.79,0.02,1.12,5.6,0.91,5
2018-01-03T21:00:00Z,1.80,0.02,1022.013,42.48,3.86,0.00,1.27,6.3,0.91,5.6
2018-01-03T22:00:00Z,4.05,0.02,1022.185,42.49,4.68,0.03,1.5,6.1,0.97,5.8
2018-01-03T23:00:00Z,4.55,0.02,1021.377,42.47,5.37,0.00,1.33,5.7,0.88,5.4
2018-01-04T00:00:00Z,5.31,0.08,1020.239,42.47,6.02,0.01,1.37,5.7,0.83,5
2018-01-04T01:00:00Z,5.87,0.13,1019.730,42.46,6.46,0.01,1.21,5.3,0.67,4.4
2018-01-04T02:00:00Z,6.59,0.18,1018.569,42.44,7.09,0.02,0.91,3.5,0.67,4.2
2018-01-04T03:00:00Z,8.59,0.23,1016.513,42.41,7.49,0.01,1.15,4,0.87,4.1
2018-01-04T04:00:00Z,9.45,0.25,1014.386,42.41,8.17,0.03,1.61,4.4,1.04,4
2018-01-04T05:00:00Z,10.12,0.29,1011.754,42.40,8.78,0.01,1.67,4.7,1.19,4.5
2018-01-04T06:00:00Z,10.98,0.36,1008.887,42.39,9.01,0.02,2.01,5.6,1.47,4.7
2018-01-04T07:00:00Z,11.70,0.37,1005.882,42.38,9.31,0.00,3.75,5.7,1.95,5.2
2018-01-04T08:00:00Z,12.86,0.46,1002.238,42.36,9.12,0.01,2.93,5.9,2.07,5.6
2018-01-04T09:00:00Z,13.69,0.50,998.841,42.40,8.53,0.12,4.17,6.9,2.58,6.6
2018-01-04T10:00:00Z,15.90,0.49,993.652,42.82,8.08,0.57,5.08,7.4,3.37,6.5
2018-01-04T11:00:00Z,17.92,0.54,988.031,43.90,7.76,1.43,5.48,8.3,3.52,6.5
2018-01-04T12:00:00Z,18.35,0.50,983.621,45.48,7.57,1.53,5.55,8.7,4.08,7.3
2018-01-04T13:00:00Z,17.33,0.44,981.458,46.51,7.58,0.72,5.86,9.5,5.08,8.3
2018-01-04T14:00:00Z,16.64,0.40,978.789,46.89,7.81,0.39,8.09,9.5,5.95,8.8
2018-01-04T15:00:00Z,16.32,0.34,974.726,48.10,7.75,1.91,7.33,9.1,6.28,9.3
2018-01-04T16:00:00Z,15.45,0.27,970.386,49.68,7.28,0.97,6.34,11.1,5.29,9.8
2018-01-04T17:00:00Z,18.20,0.29,966.656,18.46,7.04,0.16,9,10.5,6.93,9.6
2018-01-04T18:00:00Z,19.04,0.40,965.428,1.86,6.31,0.08,9.44,12.5,6.12,10.1
2018-01-04T19:00:00Z,18.94,0.42,966.352,1.92,5.85,0.03,10.36,11.1,8.46,10.8
2018-01-04T20:00:00Z,17.83,0.44,969.383,1.93,5.39,0.01,9.88,11.8,7.73,10.3
2018-01-04T21:00:00Z,16.55,0.42,973.777,1.93,3.95,0.04,10.43,12.5,6.89,11
2018-01-04T22:00:00Z,16.47,0.41,977.792,2.06,2.83,0.20,8.45,11.8,6.81,10.4
2018-01-04T23:00:00Z,15.64,0.37,981.626,2.24,2.39,0.13,9.85,10.5,7.12,9.9
2018-01-05T00:00:00Z,15.72,0.35,984.737,2.32,1.81,0.08,11.08,10.5,8.45,9.7
2018-01-05T01:00:00Z,16.23,0.29,987.597,2.35,1.30,0.11,10.17,10.5,8.2,11
2018-01-05T02:00:00Z,15.83,0.19,989.832,2.38,1.27,0.11,10.92,9.5,7.9,10.5
2018-01-05T03:00:00Z,14.59,0.19,991.766,2.49,1.33,0.16,8.79,11.8,7.01,11.2
2018-01-05T04:00:00Z,13.77,0.17,993.214,2.49,1.45,0.04,9.94,11.1,7.39,10
2018-01-05T05:00:00Z,13.09,0.19,994.021,2.48,1.53,0.04,7.08,9.1,5.61,9.7
2018-01-05T06:00:00Z,12.28,0.22,994.494,2.48,1.02,0.10,7.68,10,5.8,10.1
2018-01-05T07:00:00Z,12.07,0.27,995.856,2.52,0.57,0.07,7.46,10,5.5,9.8
2018-01-05T08:00:00Z,12.32,0.42,996.780,2.52,-0.43,0.05,7.09,10,4.01,7.5
2018-01-05T09:00:00Z,12.86,0.39,997.493,2.53,-1.47,0.00,4.73,9.5,3.77,8
2018-01-05T10:00:00Z,13.30,0.31,998.274,2.51,-1.97,0.03,4.82,8.7,3.81,8.3
2018-01-05T11:00:00Z,13.83,0.26,999.262,2.49,-2.42,0.01,6.27,7.7,4.14,8
2018-01-05T12:00:00Z,14.64,0.19,1000.125,2.45,-2.95,0.00,7.56,10,5.08,8.9
2018-01-05T13:00:00Z,14.15,0.11,1001.146,2.44,-3.41,0.03,6.75,9.5,4.93,9
2018-01-05T14:00:00Z,14.25,0.11,1002.139,2.41,-3.82,0.02,7.62,10,5.84,8.9
2018-01-05T15:00:00Z,14.86,0.13,1002.867,2.39,-3.95,0.02,6.89,10,4.08,8.4
2018-01-05T16:00:00Z,14.99,0.21,1002.870,2.36,-4.07,0.03,5.56,10.5,4.27,8.5
2018-01-05T17:00:00Z,14.45,0.27,1002.953,2.32,-4.10,0.01,6.35,10,4.29,8.1
2018-01-05T18:00:00Z,15.50,0.36,1003.297,2.30,-4.10,0.03,5.22,10,3.88,8.1
2018-01-05T19:00:00Z,15.03,0.39,1004.082,2.25,-4.26,0.01,5.83,10.5,5.11,9.2
2018-01-05T20:00:00Z,15.19,0.43,1005.059,2.22,-4.53,0.02,7.04,11.1,4.99,8.1
2018-01-05T21:00:00Z,15.14,0.41,1006.060,2.20,-4.43,0.04,5.6,9.1,5.03,8.9
2018-01-05T22:00:00Z,15.46,0.39,1007.201,2.15,-4.31,0.00,6.09,8.3,4.77,8.8
2018-01-05T23:00:00Z,15.82,0.38,1008.238,2.12,-4.23,0.03,7.3,9.5,5.53,9.1
2018-01-06T00:00:00Z,17.01,0.34,1009.263,2.07,-4.38,0.01,6.98,10,6.05,9.6
2018-01-06T01:00:00Z,16.84,0.29,1009.897,2.06,-4.38,0.05,7.61,10,6.13,9.6
2018-01-06T02:00:00Z,16.63,0.26,1010.898,2.03,-4.51,0.02,7.27,10.5,4.97,8.7
2018-01-06T03:00:00Z,15.57,0.27,1011.369,1.99,-4.71,0.00,7.03,11.1,5.57,9.8
2018-01-06T04:00:00Z,14.90,0.29,1011.925,1.94,-4.93,0.01,8.76,10.5,6.25,10.2
2018-01-06T05:00:00Z,15.28,0.27,1012.512,1.92,-5.28,0.00,7.18,10,5.11,9.1
2018-01-06T06:00:00Z,14.73,0.30,1013.394,1.90,-5.28,0.01,8.03,10,5.51,9.1
2018-01-06T07:00:00Z,15.23,0.32,1014.033,1.86,-4.89,0.00,6.12,10,5.19,8.7
2018-01-06T08:00:00Z,14.38,0.28,1014.460,1.84,-5.18,0.06,7.18,10,5.55,9.3
2018-01-06T09:00:00Z,14.63,0.25,1014.935,1.83,-5.08,0.01,6.22,10,4.86,8.8
2018-01-06T10:00:00Z,14.54,0.25,1015.626,1.82,-5.12,0.04,8.67,8.3,5.48,8.5
2018-01-06T11:00:00Z,14.91,0.23,1015.843,1.81,-5.32,0.03,6.06,10,4.7,8.3
2018-01-06T12:00:00Z,14.71,0.20,1016.619,1.79,-5.62,0.01,6.63,7.7,4.37,8.1
2018-01-06T13:00:00Z,14.53,0.19,1017.487,1.76,-5.65,0.01,4.78,9.5,3.33,8.7
2018-01-06T14:00:00Z,13.44,0.23,1017.592,1.72,-5.75,0.01,7.43,9.5,5.14,8.9
2018-01-06T15:00:00Z,13.35,0.26,1017.708,1.71,-5.88,0.01,5.72,10,3.7,8.4
2018-01-06T16:00:00Z,12.79,0.28,1017.392,1.70,-5.86,0.03,5.2,9.1,3.89,7.9
2018-01-06T17:00:00Z,12.51,0.26,1017.182,1.67,-5.81,0.00,5.59,8,3.6,7.7
2018-01-06T18:00:00Z,12.37,0.26,1017.279,1.66,-5.84,0.00,6.26,9.1,4.45,7.8
2018-01-06T19:00:00Z,11.99,0.33,1017.753,1.62,-5.58,0.02,5.07,9.1,3.66,8
2018-01-06T20:00:00Z,11.90,0.28,1018.743,1.59,-5.79,0.02,5.46,9.5,3.1,7.4
2018-01-06T21:00:00Z,11.68,0.19,1019.345,1.57,-5.60,0.03,4.32,9.5,3.2,7.4
2018-01-06T22:00:00Z,11.34,0.15,1020.377,1.54,-5.46,0.03,3.88,7.4,2.92,7
2018-01-06T23:00:00Z,11.05,0.12,1021.314,1.51,-5.52,0.02,4.31,8.3,3.25,8.1
