month,pressure_bins,seawater_temperature,practical_salinity,density
1,17,11.07,34.55,1026.50
1,19,11.07,34.36,1026.35
1,21,10.62,34.15,1026.27
1,23,10.59,34.08,1026.24
1,25,11.01,34.33,1026.37
1,27,10.28,34.05,1026.28
1,29,10.38,34.09,1026.30
1,31,10.68,34.14,1026.30
1,33,10.86,34.28,1026.38
1,35,10.93,34.32,1026.42
1,37,11.09,34.30,1026.38
1,39,11.07,34.30,1026.39
1,41,11.25,34.37,1026.43
1,43,11.36,34.41,1026.45
1,45,11.37,34.44,1026.47
1,47,11.15,34.38,1026.47
1,49,11.38,34.43,1026.48
1,51,11.64,34.55,1026.53
1,53,11.62,34.54,1026.54
1,55,11.73,34.59,1026.56
1,57,11.68,34.59,1026.58
1,59,11.73,34.60,1026.59
1,61,11.88,34.65,1026.61
1,63,12.12,34.72,1026.63
1,65,12.17,34.75,1026.65
1,67,12.03,34.72,1026.66
1,69,12.31,34.80,1026.68
1,71,12.40,34.84,1026.70
1,73,12.45,34.86,1026.71
1,75,12.38,34.85,1026.73
1,77,12.56,34.91,1026.75
1,79,12.66,34.95,1026.77
1,81,12.76,34.99,1026.79
1,83,12.86,35.03,1026.81
1,85,12.94,35.06,1026.83
1,87,13.03,35.10,1026.85
1,89,13.12,35.14,1026.87
1,91,13.18,35.17,1026.89
1,93,13.23,35.20,1026.91
1,95,13.33,35.24,1026.93
1,97,13.42,35.28,1026.96
1,99,13.48,35.31,1026.98
1,101,13.56,35.35,1027.00
1,103,13.61,35.38,1027.02
1,105,13.67,35.41,1027.04
1,107,13.71,35.44,1027.06
1,109,13.76,35.46,1027.08
1,111,13.79,35.49,1027.10
1,113,13.85,35.52,1027.13
1,115,13.91,35.56,1027.15
1,117,13.91,35.56,1027.17
1,119,13.92,35.58,1027.19
1,121,13.94,35.60,1027.20
1,123,13.95,35.61,1027.22
1,125,13.92,35.61,1027.23
1,127,13.98,35.66,1027.27
1,129,13.97,35.67,1027.29
1,131,13.93,35.67,1027.31
1,133,13.93,35.67,1027.32
1,135,13.91,35.68,1027.34
1,137,13.91,35.69,1027.35
1,139,13.89,35.69,1027.37
1,141,13.87,35.69,1027.38
1,143,13.85,35.70,1027.40
1,145,13.83,35.71,1027.42
1,147,13.81,35.71,1027.43
1,149,13.79,35.71,1027.45
1,151,13.77,35.71,1027.46
1,153,13.72,35.71,1027.48
1,155,13.71,35.71,1027.49
1,157,13.65,35.71,1027.52
1,159,13.65,35.71,1027.52
1,161,13.58,35.72,1027.55
1,163,13.55,35.72,1027.56
1,165,13.49,35.71,1027.58
1,167,13.50,35.71,1027.59
1,169,13.44,35.71,1027.61
1,171,13.42,35.71,1027.62
1,173,13.37,35.71,1027.64
1,175,13.27,35.70,1027.66
1,177,13.29,35.70,1027.67
1,179,13.25,35.70,1027.68
1,181,13.21,35.69,1027.70
1,183,13.18,35.69,1027.71
1,185,13.08,35.68,1027.73
1,187,13.10,35.68,1027.74
1,189,12.94,35.67,1027.77
1,191,12.96,35.67,1027.78
1,193,12.92,35.66,1027.79
1,195,12.70,35.64,1027.82
1,197,12.80,35.65,1027.82
1,199,12.77,35.65,1027.83
1,201,12.74,35.64,1027.85
1,203,12.57,35.63,1027.87
1,205,12.61,35.63,1027.88
1,207,12.56,35.62,1027.89
1,209,12.49,35.62,1027.91
1,211,12.43,35.61,1027.92
1,213,12.36,35.60,1027.94
1,215,12.30,35.59,1027.96
1,217,12.24,35.58,1027.97
1,219,12.17,35.58,1027.99
1,221,12.10,35.57,1028.00
1,223,12.04,35.56,1028.02
1,225,11.98,35.55,1028.03
1,227,11.92,35.55,1028.05
1,229,11.85,35.54,1028.06
1,231,11.79,35.53,1028.08
1,233,11.74,35.52,1028.09
1,235,11.68,35.52,1028.11
1,237,11.62,35.51,1028.12
1,239,11.55,35.50,1028.14
1,241,11.49,35.49,1028.15
1,243,11.43,35.49,1028.17
1,245,11.38,35.48,1028.18
1,247,11.32,35.47,1028.20
1,249,11.25,35.46,1028.21
1,251,11.18,35.45,1028.23
1,253,11.13,35.45,1028.24
1,255,11.06,35.44,1028.26
1,257,11.01,35.43,1028.27
1,259,10.96,35.43,1028.28
1,261,10.91,35.42,1028.30
1,263,10.85,35.41,1028.31
1,265,10.80,35.41,1028.32
1,267,10.73,35.40,1028.34
1,269,10.67,35.39,1028.35
1,271,10.61,35.38,1028.37
1,273,10.55,35.38,1028.38
1,275,10.49,35.37,1028.40
1,277,10.43,35.36,1028.41
1,279,10.37,35.36,1028.43
1,281,10.31,35.35,1028.44
1,283,10.25,35.34,1028.45
1,285,10.19,35.34,1028.47
1,287,10.12,35.33,1028.49
1,289,10.07,35.32,1028.50
1,291,10.01,35.32,1028.51
1,293,9.95,35.31,1028.53
1,295,9.90,35.31,1028.54
1,297,9.85,35.30,1028.56
1,299,9.80,35.30,1028.57
1,301,9.74,35.29,1028.59
1,303,9.69,35.29,1028.60
1,305,9.64,35.28,1028.61
1,307,9.59,35.28,1028.63
1,309,9.54,35.27,1028.64
1,311,9.49,35.27,1028.66
1,313,9.44,35.26,1028.67
1,315,9.39,35.26,1028.68
1,317,9.35,35.26,1028.70
1,319,9.29,35.25,1028.71
1,321,9.24,35.25,1028.73
1,323,9.19,35.24,1028.74
1,325,9.14,35.24,1028.76
1,327,9.10,35.24,1028.77
1,329,9.06,35.23,1028.78
1,331,9.01,35.23,1028.80
1,333,8.96,35.23,1028.81
1,335,8.91,35.22,1028.83
1,337,8.86,35.22,1028.84
1,339,8.81,35.22,1028.86
1,341,8.77,35.21,1028.87
1,343,8.72,35.21,1028.89
1,345,8.67,35.21,1028.90
1,347,8.63,35.21,1028.92
1,349,8.59,35.20,1028.93
1,351,8.54,35.20,1028.94
1,353,8.50,35.20,1028.96
1,355,8.45,35.20,1028.97
1,357,8.41,35.19,1028.99
1,359,8.37,35.19,1029.00
1,361,8.33,35.19,1029.01
1,363,8.30,35.19,1029.03
1,365,8.26,35.18,1029.04
1,367,8.22,35.18,1029.05
1,369,8.19,35.18,1029.07
1,371,8.15,35.18,1029.08
1,373,8.11,35.18,1029.09
1,375,8.08,35.18,1029.11
1,377,8.04,35.17,1029.12
1,379,8.00,35.17,1029.13
1,381,7.97,35.17,1029.15
1,383,7.93,35.17,1029.16
1,385,7.90,35.17,1029.17
1,387,7.86,35.17,1029.19
1,389,7.83,35.16,1029.20
1,391,7.79,35.16,1029.21
1,393,7.77,35.16,1029.23
1,395,7.74,35.16,1029.24
1,397,7.70,35.16,1029.25
1,399,7.67,35.16,1029.27
1,401,7.64,35.16,1029.28
1,403,7.57,35.15,1029.30
1,405,7.50,35.15,1029.31
1,407,7.48,35.15,1029.33
1,409,7.47,35.15,1029.34
1,411,7.60,35.15,1029.33
2,17,13.91,35.59,1026.75
2,19,12.68,35.17,1026.67
2,21,11.94,34.92,1026.62
2,23,11.83,34.88,1026.60
2,25,12.05,34.97,1026.66
2,27,10.09,34.30,1026.49
2,29,10.53,34.45,1026.54
2,31,11.21,34.68,1026.61
2,33,11.10,34.65,1026.62
2,35,11.05,34.62,1026.62
2,37,11.29,34.70,1026.64
2,39,11.53,34.78,1026.67
2,41,11.24,34.69,1026.66
2,43,11.60,34.80,1026.70
2,45,11.54,34.79,1026.70
2,47,11.63,34.81,1026.71
2,49,11.62,34.81,1026.73
2,51,11.68,34.81,1026.73
2,53,11.82,34.87,1026.76
2,55,11.84,34.87,1026.76
2,57,11.99,34.93,1026.79
2,59,12.07,34.95,1026.79
2,61,12.09,34.95,1026.80
2,63,12.17,34.99,1026.83
2,65,12.12,34.96,1026.82
2,67,12.43,35.08,1026.86
2,69,12.37,35.05,1026.87
2,71,12.52,35.11,1026.89
2,73,12.49,35.09,1026.89
2,75,12.66,35.15,1026.91
2,77,12.71,35.17,1026.93
2,79,12.77,35.19,1026.94
2,81,12.83,35.21,1026.95
2,83,12.87,35.23,1026.97
2,85,12.91,35.24,1026.98
2,87,12.99,35.27,1026.99
