time,GI Salinity,GI Temperature,GI Pressure,GI Density,CP04 Salinity,CP04 Temperature,CP04 Pressure,CP04 Density,GI DenCS,GI DenCT,CP04 DenCS,CP04 DenCT,GI MeanS,GI MeanT,CP04 MeanS,CP04 MeanT
2018-01-01,34.87,4.20,39.03,1027.85,34.38,11.70,7.17,1026.20,1027.83,1027.72,1026.05,1025.36,34.86,5.27,34.19,15.75
2018-01-02,34.87,4.10,38.55,1027.85,34.09,10.87,7.22,1026.12,1027.84,1027.72,1026.20,1025.13,34.86,5.27,34.19,15.75
2018-01-03,34.87,4.17,38.27,1027.85,33.73,10.17,7.31,1025.97,1027.83,1027.72,1026.32,1024.86,34.86,5.27,34.19,15.75
2018-01-04,34.87,4.19,37.39,1027.84,34.05,10.80,6.72,1026.10,1027.83,1027.72,1026.21,1025.10,34.86,5.27,34.19,15.75
2018-01-05,34.87,4.13,37.55,1027.85,34.20,11.28,6.81,1026.14,1027.83,1027.72,1026.12,1025.22,34.86,5.27,34.19,15.75
2018-01-06,34.88,4.19,38.18,1027.85,33.87,10.56,7.06,1026.01,1027.83,1027.72,1026.25,1024.97,34.86,5.27,34.19,15.75
2018-01-07,34.87,4.31,38.01,1027.83,33.85,10.16,7.32,1026.07,1027.82,1027.72,1026.32,1024.95,34.86,5.27,34.19,15.75
2018-01-08,34.88,4.73,38.75,1027.80,34.31,10.61,7.24,1026.34,1027.77,1027.73,1026.24,1025.31,34.86,5.27,34.19,15.75
2018-01-09,34.89,4.66,37.74,1027.80,34.96,12.04,7.14,1026.59,1027.78,1027.73,1025.98,1025.81,34.86,5.27,34.19,15.75
2018-01-10,34.89,4.66,37.77,1027.80,34.91,11.77,7.36,1026.60,1027.78,1027.73,1026.03,1025.77,34.86,5.27,34.19,15.75
2018-01-11,34.89,4.63,37.67,1027.81,34.93,11.84,7.41,1026.60,1027.78,1027.73,1026.02,1025.78,34.86,5.27,34.19,15.75
2018-01-12,34.89,4.59,37.44,1027.81,34.89,11.74,7.26,1026.59,1027.78,1027.73,1026.04,1025.75,34.86,5.27,34.19,15.75
2018-01-13,34.89,4.49,37.66,1027.82,35.04,12.22,7.08,1026.61,1027.79,1027.73,1025.95,1025.86,34.86,5.27,34.19,15.75
2018-01-14,34.90,4.41,38.73,1027.84,34.97,11.92,7.33,1026.62,1027.81,1027.74,1026.01,1025.81,34.86,5.27,34.19,15.75
2018-01-15,34.89,4.23,39.46,1027.86,34.97,11.73,7.32,1026.65,1027.83,1027.74,1026.04,1025.81,34.86,5.27,34.19,15.75
2018-01-16,34.90,4.18,37.77,1027.86,35.09,12.25,7.35,1026.64,1027.83,1027.74,1025.94,1025.90,34.86,5.27,34.19,15.75
2018-01-17,34.90,4.10,40.03,1027.88,35.18,12.71,7.27,1026.63,1027.85,1027.75,1025.85,1025.98,34.86,5.27,34.19,15.75
2018-01-18,34.89,3.96,43.70,1027.91,34.61,11.29,7.18,1026.44,1027.88,1027.76,1026.12,1025.53,34.86,5.27,34.19,15.75
2018-01-19,34.89,3.96,41.59,1027.90,33.15,7.75,7.18,1025.89,1027.87,1027.75,1026.70,1024.41,34.86,5.27,34.19,15.75
2018-01-20,34.89,3.99,38.62,1027.88,33.03,7.42,7.15,1025.84,1027.85,1027.74,1026.75,1024.32,34.86,5.27,34.19,15.75
2018-01-21,34.90,4.09,38.29,1027.87,33.32,8.12,7.26,1025.97,1027.84,1027.74,1026.65,1024.54,34.86,5.27,34.19,15.75
2018-01-22,34.90,4.19,40.00,1027.87,33.35,8.44,7.33,1025.95,1027.84,1027.75,1026.60,1024.57,34.86,5.27,34.19,15.75
2018-01-23,34.88,3.87,38.11,1027.89,33.94,9.61,7.18,1026.22,1027.86,1027.73,1026.41,1025.02,34.86,5.27,34.19,15.75
2018-01-24,34.88,3.82,37.29,1027.88,33.98,9.72,7.08,1026.23,1027.87,1027.72,1026.40,1025.05,34.86,5.27,34.19,15.75
2018-01-25,34.88,3.80,37.17,1027.88,33.67,8.84,7.24,1026.14,1027.87,1027.72,1026.54,1024.81,34.86,5.27,34.19,15.75
2018-01-26,34.89,4.03,37.33,1027.87,33.74,8.96,7.40,1026.17,1027.84,1027.73,1026.52,1024.87,34.86,5.27,34.19,15.75
2018-01-27,34.89,4.02,37.26,1027.87,33.99,9.27,7.43,1026.32,1027.84,1027.73,1026.47,1025.06,34.86,5.27,34.19,15.75
2018-01-28,34.89,3.96,37.23,1027.88,33.92,9.29,7.31,1026.26,1027.85,1027.73,1026.47,1025.00,34.86,5.27,34.19,15.75
2018-01-29,34.90,3.98,37.20,1027.88,34.18,9.81,7.21,1026.38,1027.85,1027.73,1026.38,1025.21,34.86,5.27,34.19,15.75
2018-01-30,34.89,3.98,37.47,1027.88,34.38,10.27,6.99,1026.46,1027.85,1027.73,1026.30,1025.36,34.86,5.27,34.19,15.75
2018-01-31,34.89,3.95,37.54,1027.88,34.36,10.29,7.23,1026.44,1027.85,1027.73,1026.30,1025.34,34.86,5.27,34.19,15.75
2018-02-01,34.89,4.12,37.56,1027.87,34.41,10.52,7.10,1026.43,1027.83,1027.73,1026.26,1025.38,34.86,5.27,34.19,15.75
2018-02-02,34.90,4.63,38.30,1027.82,34.33,10.37,7.05,1026.40,1027.78,1027.74,1026.29,1025.32,34.86,5.27,34.19,15.75
2018-02-03,34.91,4.56,37.59,1027.83,34.12,9.74,7.25,1026.35,1027.79,1027.75,1026.39,1025.16,34.86,5.27,34.19,15.75
2018-02-04,34.91,4.57,37.53,1027.83,33.88,9.00,7.29,1026.28,1027.79,1027.74,1026.51,1024.98,34.86,5.27,34.19,15.75
2018-02-05,34.90,4.43,38.08,1027.84,33.73,8.67,7.06,1026.21,1027.80,1027.74,1026.57,1024.86,34.86,5.27,34.19,15.75
