time,month,pressure_bin,seawater_temperature,practical_salinity,density,site
2019-01-01,1,15,11.07,34.36,1026.36,CP
2019-01-01,1,25,10.26,34.06,1026.29,CP
2019-01-01,1,35,10.81,34.24,1026.37,CP
2019-01-01,1,45,11.20,34.38,1026.46,CP
2019-01-01,1,55,11.57,34.55,1026.56,CP
2019-01-01,1,65,11.95,34.69,1026.65,CP
2019-01-01,1,75,12.39,34.86,1026.73,CP
2019-01-01,1,85,12.83,35.03,1026.83,CP
2019-01-01,1,95,13.19,35.20,1026.93,CP
2019-01-01,1,105,13.52,35.36,1027.03,CP
2019-01-01,1,115,13.76,35.50,1027.14,CP
2019-01-01,1,125,13.85,35.59,1027.23,CP
2019-01-01,1,135,13.86,35.65,1027.33,CP
2019-01-01,1,145,13.81,35.69,1027.41,CP
2019-01-01,1,155,13.70,35.70,1027.49,CP
2019-01-01,1,165,13.53,35.71,1027.57,CP
2019-01-01,1,175,13.33,35.70,1027.65,CP
2019-01-01,1,185,13.11,35.68,1027.73,CP
2019-01-01,1,195,12.84,35.66,1027.81,CP
2019-01-01,1,205,12.67,35.64,1027.86,CP
2019-01-01,1,215,12.31,35.59,1027.96,CP
2019-01-01,1,225,11.98,35.55,1028.03,CP
2019-01-01,1,235,11.67,35.52,1028.11,CP
2019-01-01,1,245,11.37,35.48,1028.18,CP
2019-01-01,1,255,11.08,35.44,1028.25,CP
2019-01-01,1,265,10.81,35.41,1028.32,CP
2019-01-01,1,275,10.50,35.37,1028.40,CP
2019-01-01,1,285,10.21,35.34,1028.47,CP
2019-01-01,1,295,9.92,35.31,1028.54,CP
2019-01-01,1,305,9.66,35.28,1028.61,CP
2019-01-01,1,315,9.42,35.26,1028.68,CP
2019-01-01,1,325,9.18,35.24,1028.75,CP
2019-01-01,1,335,8.94,35.23,1028.82,CP
2019-01-01,1,345,8.71,35.21,1028.90,CP
2019-01-01,1,355,8.49,35.20,1028.97,CP
2019-01-01,1,365,8.30,35.19,1029.04,CP
2019-01-01,1,375,8.11,35.18,1029.10,CP
2019-01-01,1,385,7.93,35.17,1029.17,CP
2019-01-01,1,395,7.77,35.16,1029.24,CP
2019-01-01,1,405,7.53,35.15,1029.32,CP
2019-01-01,1,415,7.63,35.16,1029.32,CP
2019-02-01,2,15,12.68,35.17,1026.67,CP
2019-02-01,2,25,10.61,34.48,1026.53,CP
2019-02-01,2,35,11.24,34.69,1026.63,CP
2019-02-01,2,45,11.53,34.78,1026.70,CP
2019-02-01,2,55,11.87,34.88,1026.76,CP
2019-02-01,2,65,12.23,35.00,1026.83,CP
2019-02-01,2,75,12.63,35.14,1026.91,CP
2019-02-01,2,85,12.93,35.25,1026.98,CP
2019-02-01,2,95,13.11,35.32,1027.04,CP
2019-02-01,2,105,13.27,35.38,1027.10,CP
2019-02-01,2,115,13.41,35.45,1027.17,CP
2019-02-01,2,125,13.49,35.50,1027.24,CP
2019-02-01,2,135,13.54,35.55,1027.32,CP
2019-02-01,2,145,13.55,35.61,1027.40,CP
2019-02-01,2,155,13.46,35.65,1027.49,CP
2019-02-01,2,165,13.27,35.66,1027.59,CP
2019-02-01,2,175,13.01,35.66,1027.69,CP
2019-02-01,2,185,12.69,35.63,1027.78,CP
2019-02-01,2,195,12.45,35.61,1027.85,CP
2019-02-01,2,205,12.14,35.57,1027.92,CP
2019-02-01,2,215,11.80,35.53,1028.00,CP
2019-02-01,2,225,11.50,35.49,1028.08,CP
2019-02-01,2,235,11.21,35.45,1028.15,CP
2019-02-01,2,245,10.93,35.42,1028.22,CP
2019-02-01,2,255,10.66,35.39,1028.29,CP
2019-02-01,2,265,10.40,35.36,1028.36,CP
2019-02-01,2,275,10.15,35.33,1028.43,CP
2019-02-01,2,285,9.90,35.30,1028.50,CP
2019-02-01,2,295,9.69,35.28,1028.56,CP
2019-02-01,2,305,9.48,35.26,1028.63,CP
2019-02-01,2,315,9.28,35.25,1028.69,CP
2019-02-01,2,325,9.07,35.23,1028.76,CP
2019-02-01,2,335,8.85,35.22,1028.83,CP
2019-02-01,2,345,8.65,35.20,1028.90,CP
2019-02-01,2,355,8.48,35.19,1028.97,CP
2019-02-01,2,365,8.29,35.18,1029.04,CP
2019-02-01,2,375,8.11,35.18,1029.10,CP
2019-02-01,2,385,7.93,35.17,1029.17,CP
2019-02-01,2,395,7.76,35.16,1029.23,CP
2019-02-01,2,405,7.58,35.15,1029.31,CP
2019-02-01,2,415,7.48,35.15,1029.34,CP
2019-03-01,3,15,12.31,35.13,1026.72,CP
2019-03-01,3,25,9.90,34.35,1026.55,CP
2019-03-01,3,35,10.58,34.56,1026.65,CP
2019-03-01,3,45,11.48,34.85,1026.77,CP
2019-03-01,3,55,11.94,35.00,1026.84,CP
2019-03-01,3,65,12.48,35.17,1026.92,CP
2019-03-01,3,75,12.89,35.31,1026.99,CP
2019-03-01,3,85,13.10,35.39,1027.06,CP
2019-03-01,3,95,13.21,35.44,1027.12,CP
2019-03-01,3,105,13.27,35.47,1027.17,CP
2019-03-01,3,115,13.30,35.49,1027.23,CP
2019-03-01,3,125,13.31,35.52,1027.29,CP
2019-03-01,3,135,13.31,35.54,1027.35,CP
2019-03-01,3,145,13.31,35.57,1027.42,CP
2019-03-01,3,155,13.29,35.60,1027.49,CP
2019-03-01,3,165,13.23,35.62,1027.57,CP
2019-03-01,3,175,13.07,35.63,1027.65,CP
2019-03-01,3,185,12.89,35.63,1027.73,CP
