time,Salinity,Temperature,Chlorophyll_a,Nitrate,Longwave Irradiance,Shortwave Irradiance,Wind Speed
2016-01-01,,,,,,,6.12
2016-01-02,,,,,314.75,54.58,8.45
2016-01-03,,,,,303.35,67.28,8.93
2016-01-04,,,,,298.98,69.66,7.49
2016-01-05,,,,,292.04,79.52,9.90
2016-01-06,,,,,295.88,83.42,3.96
2016-01-07,,,,,305.54,71.71,3.19
2016-01-08,,,,,301.35,82.68,7.25
2016-01-09,,,,,298.40,85.10,7.63
2016-01-10,,,,,304.52,76.24,8.11
2016-01-11,,,,,309.62,71.20,10.45
2016-01-12,,,,,309.95,70.59,4.81
2016-01-13,,,,,310.91,69.60,12.09
2016-01-14,,,,,304.85,70.15,9.48
2016-01-15,,,,,307.93,62.79,4.44
2016-01-16,,,,,308.10,62.08,8.34
2016-01-17,,,,,304.96,73.65,6.25
2016-01-18,,,,,298.18,89.82,9.94
2016-01-19,,,,,295.56,90.02,12.34
2016-01-20,,,,,292.19,83.63,11.68
2016-01-21,,,,,290.60,87.62,7.99
2016-01-22,,,,,283.33,101.21,6.54
2016-01-23,,,,,284.72,107.38,12.57
2016-01-24,,,,,292.99,93.76,12.32
2016-01-25,,,,,293.18,86.88,3.83
2016-01-26,,,,,298.72,86.58,6.41
2016-01-27,,,,,290.82,103.71,6.55
2016-01-28,,,,,287.70,112.37,3.85
2016-01-29,,,,,296.56,105.79,4.83
2016-01-30,,,,,295.13,117.40,8.09
2016-01-31,,,,,293.24,122.87,6.65
2016-02-01,,,,,309.78,112.10,6.48
2016-02-02,,,,,314.04,101.17,4.13
2016-02-03,,,,,310.94,103.02,5.78
2016-02-04,,,,,308.57,98.25,6.11
2016-02-05,,,,,309.70,88.26,9.75
2016-02-06,,,,,313.94,70.98,6.14
2016-02-07,,,,,314.83,65.52,4.31
2016-02-08,,,,,303.53,70.49,13.34
2016-02-09,,,,,294.18,84.58,6.98
2016-02-10,,,,,300.47,74.57,4.22
2016-02-11,,,,,298.69,71.10,9.72
2016-02-12,,,,,291.00,77.07,8.03
2016-02-13,,,,,295.79,81.90,8.60
2016-02-14,,,,,293.54,90.95,12.32
2016-02-15,,,,,290.05,110.56,5.16
2016-02-16,,,,,286.02,118.69,8.48
2016-02-17,,,,,289.89,126.80,7.10
2016-02-18,,,,,295.43,139.05,7.33
2016-02-19,,,,,298.86,157.94,5.95
2016-02-20,,,,,292.02,157.27,7.56
2016-02-21,,,,,300.50,154.30,6.02
2016-02-22,,,,,311.74,139.26,5.42
2016-02-23,,,,,318.52,139.67,8.21
2016-02-24,,,,,308.36,145.42,7.10
2016-02-25,,,,,305.97,140.96,9.72
2016-02-26,,,,,305.94,134.08,11.44
2016-02-27,,,,,301.45,155.48,7.16
2016-02-28,,,,,295.40,147.48,7.91
2016-02-29,,,,,280.73,165.99,8.77
2016-03-01,,,,,284.62,145.15,7.21
2016-03-02,,,,,290.30,149.38,8.56
2016-03-03,,,,,287.93,161.62,7.20
2016-03-04,,,,,283.12,165.87,7.31
