time,Salinity,Temperature,Chlorophyll_a,Nitrate,Longwave Irradiance,Shortwave Irradiance
2019-01-01,34.00,11.14,1.09,4.27,335.79,61.20
2019-01-02,34.06,11.23,1.03,4.33,255.03,124.98
2019-01-03,33.87,10.71,1.25,4.29,308.84,37.77
2019-01-04,33.91,10.67,1.18,4.64,275.49,100.37
2019-01-05,33.85,10.60,1.24,4.72,344.65,21.04
2019-01-06,33.64,10.02,1.08,4.86,285.09,78.61
2019-01-07,33.70,9.89,1.04,5.01,225.43,266.96
2019-01-08,33.86,10.21,1.03,5.10,327.98,18.62
2019-01-09,33.78,10.02,0.89,5.56,311.55,113.21
2019-01-10,33.70,9.83,0.74,5.68,297.37,39.19
2019-01-11,33.34,8.90,0.65,5.78,264.04,85.02
2019-01-12,33.19,8.32,0.70,5.80,226.78,273.45
2019-01-13,33.17,8.21,0.66,5.90,281.29,51.17
2019-01-14,34.05,10.19,0.52,5.96,299.21,55.92
2019-01-15,34.63,11.54,0.44,5.25,239.66,254.30
2019-01-16,34.32,10.54,0.66,5.58,267.28,86.33
2019-01-17,34.13,10.00,0.73,5.56,253.96,169.06
2019-01-18,34.51,10.77,0.67,5.90,309.56,41.16
2019-01-19,34.49,11.02,0.68,5.99,312.56,54.09
2019-01-20,34.39,10.73,0.72,6.04,353.27,10.17
2019-01-21,34.48,10.91,0.48,6.55,272.81,55.36
2019-01-22,34.17,10.06,0.56,6.43,222.55,276.91
2019-01-23,34.08,9.92,0.63,6.31,279.66,82.69
2019-01-24,33.98,9.75,0.67,6.27,353.95,40.31
2019-01-25,34.03,9.85,0.67,6.22,287.56,50.83
2019-01-26,33.98,9.55,0.69,6.03,229.23,268.50
2019-01-27,33.52,8.21,0.99,6.07,261.16,167.12
2019-01-28,33.44,8.10,0.95,5.81,299.47,54.91
2019-01-29,33.66,8.69,0.85,6.12,285.88,105.61
2019-01-30,33.21,7.61,0.79,6.21,279.43,136.65
2019-01-31,33.76,8.89,0.88,6.58,248.30,108.30
2019-02-01,33.35,7.53,0.77,6.41,248.70,162.02
2019-02-02,,,,6.21,233.97,227.61
2019-02-03,,,,6.13,272.11,140.30
2019-02-04,,,,6.01,311.44,97.12
2019-02-05,,,,6.09,328.41,103.85
2019-02-06,,,,5.45,261.07,194.83
2019-02-07,,,,6.18,343.22,44.69
2019-02-08,,,,5.88,336.29,66.36
2019-02-09,,,,5.56,231.97,251.76
2019-02-10,,,,5.29,221.51,364.94
2019-02-11,,,,5.42,288.26,109.75
2019-02-12,,,,4.98,295.02,33.98
2019-02-13,,,,5.03,316.19,149.58
2019-02-14,,,,5.00,260.69,141.41
2019-02-15,,,,4.77,300.37,143.31
2019-02-16,,,,4.95,298.49,139.84
2019-02-17,,,,5.11,234.12,352.08
2019-02-18,,,,3.94,319.57,54.67
2019-02-19,,,,4.24,232.22,300.62
2019-02-20,,,,4.43,266.09,101.19
2019-02-21,,,,5.20,322.69,95.72
2019-02-22,,,,4.20,284.28,125.42
2019-02-23,,,,4.11,267.79,146.61
2019-02-24,,,,5.30,351.21,18.18
2019-02-25,,,,4.97,276.69,136.64
2019-02-26,,,,5.16,247.09,250.35
2019-02-27,,,,5.69,265.81,145.95
2019-02-28,,,,6.13,296.76,72.99
2019-03-01,,,,6.48,285.17,91.03
2019-03-02,,,,6.69,323.46,69.44
2019-03-03,,,,6.48,294.82,172.45
2019-03-04,,,,6.54,317.19,129.55
2019-03-05,,,,7.02,247.54,255.47
2019-03-06,,,,7.35,251.57,191.02
