time,Salinity,Temperature,Chlorophyll_a,Nitrate,Longwave Irradiance,Shortwave Irradiance,Wind Speed
2019-01-01,34,11.14,1.09,4.27,292.25,91.86,10.39
2019-01-02,34.06,11.23,1.03,4.33,294.89,80.33,6.35
2019-01-03,33.87,10.71,1.25,4.29,295.45,84.84,5.65
2019-01-04,33.91,10.67,1.18,4.64,290.05,98.7,6.52
2019-01-05,33.85,10.6,1.24,4.72,288.93,92.62,5.46
2019-01-06,33.64,10.02,1.08,4.86,297,90.94,8.9
2019-01-07,33.7,9.89,1.04,5.01,295.37,91.14,9.34
2019-01-08,33.86,10.21,1.03,5.1,293.73,88.95,6.51
2019-01-09,33.78,10.02,0.89,5.56,276.89,125.01,9.15
2019-01-10,33.7,9.83,0.74,5.68,276.35,121.09,10.45
2019-01-11,33.34,8.9,0.65,5.78,286.89,90.94,10.17
2019-01-12,33.19,8.32,0.7,5.8,274.27,124.61,7.41
2019-01-13,33.17,8.21,0.66,5.9,267.95,120.77,5.19
2019-01-14,34.05,10.19,0.52,5.96,261.74,139.32,10.72
2019-01-15,34.63,11.54,0.44,5.25,268.25,133.06,5.36
2019-01-16,34.32,10.54,0.66,5.58,280.5,101.72,6.56
2019-01-17,34.13,10,0.73,5.56,290.78,95.86,6.35
2019-01-18,34.51,10.77,0.67,5.9,287.01,95.78,5.62
2019-01-19,34.49,11.02,0.68,5.99,284.57,99.01,4.91
2019-01-20,34.39,10.73,0.72,6.04,286.34,98.49,8.32
2019-01-21,34.48,10.91,0.48,6.55,300.62,80.1,14.3
2019-01-22,34.17,10.06,0.56,6.43,297.48,81.48,12.58
2019-01-23,34.08,9.92,0.63,6.31,285.58,112.11,6.06
2019-01-24,33.98,9.75,0.67,6.27,272.42,134.53,10.13
2019-01-25,34.03,9.85,0.67,6.22,276.23,134.47,8.77
2019-01-26,33.98,9.55,0.69,6.03,285.27,110,5.91
2019-01-27,33.52,8.21,0.99,6.07,285.24,117.71,5.3
2019-01-28,33.44,8.1,0.95,5.81,270.15,127.42,6.96
2019-01-29,33.66,8.69,0.85,6.12,264.6,143.3,6.94
2019-01-30,33.21,7.61,0.79,6.21,265.27,137.46,7.78
2019-01-31,33.76,8.89,0.88,6.58,266.84,133.63,10.35
2019-02-01,33.35,7.53,0.77,6.41,268.55,139.66,7.87
2019-02-02,,,,6.21,274.62,139.41,6.54
2019-02-03,,,,6.13,272,147.72,5.23
2019-02-04,,,,6.01,285.56,138.63,2.58
2019-02-05,,,,6.09,298.08,124.97,2.72
2019-02-06,,,,5.45,297.79,128.42,5.44
2019-02-07,,,,6.18,290.56,160.51,5.79
2019-02-08,,,,5.88,287.25,162.31,4.64
2019-02-09,,,,5.56,282.48,152.33,10.8
2019-02-10,,,,5.29,290.35,145.87,6.73
2019-02-11,,,,5.42,278.56,159.68,4.34
2019-02-12,,,,4.98,273.43,170.68,8.2
2019-02-13,,,,5.03,282.93,154.69,8.77
2019-02-14,,,,5,284.73,152.85,10.31
2019-02-15,,,,4.77,289.21,144.98,6.14
2019-02-16,,,,4.95,280.23,183.07,6.32
2019-02-17,,,,5.11,273.08,176.16,4.72
2019-02-18,,,,3.94,281.94,169.63,6.15
2019-02-19,,,,4.24,279.64,167.08,8.92
2019-02-20,,,,4.43,275.25,168.04,5.02
2019-02-21,,,,5.2,291.98,120.34,8.28
2019-02-22,,,,4.2,285.85,132.05,5.52
2019-02-23,,,,4.11,287.98,124.87,4.83
2019-02-24,,,,5.3,287.94,131.27,8.26
2019-02-25,,,,4.97,284.23,128.02,13.85
2019-02-26,,,,5.16,284.36,123.11,11.3
2019-02-27,,,,5.69,292.31,112.08,6.4
2019-02-28,,,,6.13,284.26,134.12,6.69
2019-03-01,,,,6.48,290.04,133.11,6.22
2019-03-02,,,,6.69,290.11,133.84,10
2019-03-03,,,,6.48,288.07,140.28,4.01
2019-03-04,,,,6.54,281.93,172.58,9.17
2019-03-05,,,,7.02,275.04,200.69,6.38
2019-03-06,,,,7.35,267.67,225.27,8.66
2019-03-07,,,,7.25,269.84,205.11,8.49
2019-03-08,,,,7.19,265.98,221.29,4.95
2019-03-09,,,,7.17,265.68,185.42,3.5
2019-03-10,,,,7.08,263.66,210.63,8.93
2019-03-11,,,,7.13,272.69,195.88,6.19
2019-03-12,,,,7.14,285.96,177.5,7.95
2019-03-13,,,,7.01,288.9,,4.62
2019-03-14,,,,6.8,279.46,,3.19
2019-03-15,,,,6.68,269.98,,7.55
2019-03-16,,,,7.08,267.89,,7.69
2019-03-17,,,,6.64,268.59,,7.26
2019-03-18,,,,6.4,264.05,,5.8
2019-03-19,,,,6.49,264.62,,5.29
