Number,Volcano Name,Country,Location,Latitude,Longitude,Elevation (m),Type,Status,Last Known Eruption
1200-02-,Alligator Lake,Canada,Canada,60.42,-135.42,2217,Volcanic field,Holocene,U
1200-17-,Bridge River Cones,Canada,Canada,50.8,-123.4,2500,Volcanic field,Holocene,U
1200-11-,Crow Lagoon,Canada,Canada,54.7,-130.23,335,Pyroclastic cone,Holocene,U
1200-06-,Edziza,Canada,Canada,57.72,-130.63,2786,Stratovolcano,Radiocarbon,D6
1200-01-,Fort Selkirk,Canada,Canada,62.93,-137.38,1239,Volcanic field,Holocene,U
1200-19-,Garibaldi Lake,Canada,Canada,49.92,-123.03,2316,Volcanic field,Holocene,U
1200-20-,"Garibaldi, Mt.",Canada,Canada,49.85,-123,2678,Stratovolcano,Radiocarbon,D7
1200-04-,Heart Peaks,Canada,Canada,58.6,-131.97,2012,Shield volcano,Holocene,U
1200-08-,Hoodoo Mountain,Canada,Canada,56.78,-131.28,1820,Subglacial volcano,Holocene,U
1200-09-,Iskut-Unuk River Cones,Canada,Canada,56.58,-130.55,1880,Cinder cone,Radiocarbon,D3
1200-05-,Level Mountain,Canada,Canada,58.42,-131.35,2190,Shield volcano,Holocene,U
1200-18-,Meager,Canada,Canada,50.63,-123.5,2680,Complex volcano,Radiocarbon,D7
1200-12-,Milbanke Sound Group,Canada,Canada,52.5,-128.73,335,Cinder cone,Holocene,U
1200-14-,Nazko,Canada,Canada,52.9,-123.73,1230,Cinder cone,Radiocarbon,D7
1200-03-,Ruby Mountain,Canada,Canada,59.68,-133.32,1523,Cinder cone,Historical,D3
1200-13-,Satah Mountain,Canada,Canada,52.47,-124.7,1921,Volcanic field,Holocene,U
1200-16-,Silverthrone,Canada,Canada,51.43,-126.3,3160,Caldera,Holocene,U
1200-07-,Spectrum Range,Canada,Canada,57.43,-130.68,2430,Shield volcano,Holocene,U
1200-10-,Tseax River Cone,Canada,Canada,55.12,-128.9,609,Pyroclastic cone,Radiocarbon,D4
1200-031,Tuya Volc Field,Canada,Canada,59.367,-130.583,2123,Volcanic field,Holocene,U
1200-15-,Wells Gray-Clearwater,Canada,Canada,52.33,-120.57,2015,Cinder cone,Dendrochronology,D5
0805-07=,Akan,Japan,Hokkaido-Japan,43.38,144.02,1499,Caldera,Historical,D1
0805-06=,Daisetsu,Japan,Hokkaido-Japan,43.68,142.88,2290,Stratovolcano,Tephrochronology,D6
0805-011,E-san,Japan,Hokkaido-Japan,41.8,141.17,618,Stratovolcano,Historical,D3
0805-02=,Komaga-take,Japan,Hokkaido-Japan,42.07,140.68,1140,Stratovolcano,Historical,D1
0805-08=,Kutcharo,Japan,Hokkaido-Japan,43.55,144.43,1000,Caldera,Tephrochronology,D6
0805-034,Kuttara,Japan,Hokkaido-Japan,42.5,141.18,581,Stratovolcano,Tephrochronology,D3
0805-081,Mashu,Japan,Hokkaido-Japan,43.57,144.57,855,Caldera,Radiocarbon,D6
0805-031,Niseko,Japan,Hokkaido-Japan,42.88,140.63,1154,Stratovolcano,Holocene,U
0805-01=,Oshima-Oshima,Japan,Hokkaido-Japan,41.5,139.37,737,Stratovolcano,Historical,D4
0805-082,Rausu,Japan,Hokkaido-Japan,44.073,145.125,1660,Stratovolcano,Tephrochronology,D3
0805-041,Rishiri,Japan,Hokkaido-Japan,45.18,141.25,1719,Stratovolcano,Radiocarbon,D7
0805-062,Shikaribetsu Group,Japan,Hokkaido-Japan,43.28,143.08,1430,Lava dome,Holocene,U
0805-04=,Shikotsu,Japan,Hokkaido-Japan,42.7,141.33,1320,Caldera,Historical,D1
0805-09=,Shiretoko-Iwo-zan,Japan,Hokkaido-Japan,44.13,145.17,1563,Stratovolcano,Historical,D2
0805-05=,Tokachi,Japan,Hokkaido-Japan,43.42,142.68,2077,Stratovolcano,Historical,D1
0805-03=,Usu,Japan,Hokkaido-Japan,42.53,140.83,731,Stratovolcano,Historical,D1
0805-032,Yotei,Japan,Hokkaido-Japan,42.83,140.82,1893,Stratovolcano,Radiocarbon,D7
0803-001,Abu,Japan,Honshu-Japan,34.5,131.6,571,Shield volcano,Holocene,Unknown
0803-17=,Adatara,Japan,Honshu-Japan,37.62,140.28,1718,Stratovolcano,Historical,D1
0803-13=,Akagi,Japan,Honshu-Japan,36.53,139.18,1828,Stratovolcano,Historical,D6
0803-23=,Akita-Komaga-take,Japan,Honshu-Japan,39.75,140.8,1637,Stratovolcano,Historical,D1
0803-26=,Akita-Yake-yama,Japan,Honshu-Japan,39.97,140.77,1366,Complex volcano,Historical,D1
0803-11=,Asama,Japan,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1
0803-18=,Azuma,Japan,Honshu-Japan,37.73,140.25,2024,Stratovolcano,Historical,D1
0803-16=,Bandai,Japan,Honshu-Japan,37.6,140.08,1819,Stratovolcano,Historical,D3
0803-22=,Chokai,Japan,Honshu-Japan,39.08,140.03,2237,Stratovolcano,Historical,D1
0803-03=,Fuji,Japan,Honshu-Japan,35.35,138.73,3776,Stratovolcano,Historical,D4
0803-25=,Hachimantai,Japan,Honshu-Japan,39.95,140.85,1614,Stratovolcano,Holocene,Unknown
0803-28=,Hakkoda Group,Japan,Honshu-Japan,40.65,140.88,1585,Stratovolcano,Holocene,U
0803-02=,Hakone,Japan,Honshu-Japan,35.22,139.02,1438,Complex volcano,Radiocarbon,D7
0803-05=,Haku-san,Japan,Honshu-Japan,36.15,136.78,2702,Stratovolcano,Historical,D5
0803-122,Haruna,Japan,Honshu-Japan,36.47,138.88,1449,Stratovolcano,Anthropology,D6
0803-191,Hijiori,Japan,Honshu-Japan,38.6,140.18,516,Caldera,Radiocarbon,D7
0803-131,Hiuchi,Japan,Honshu-Japan,36.95,139.28,2346,Stratovolcano,Historical,D5
0803-27=,Iwaki,Japan,Honshu-Japan,40.65,140.3,1625,Stratovolcano,Historical,D3
0803-24=,Iwate,Japan,Honshu-Japan,39.85,141,2041,Complex volcano,Historical,D2
0803-01=,Izu-Tobu,Japan,Honshu-Japan,34.92,139.12,1406,Pyroclastic cone,Historical,D1
0803-21=,Kurikoma,Japan,Honshu-Japan,38.95,140.78,1628,Stratovolcano,Historical,D2
0803-12=,Kusatsu-Shirane,Japan,Honshu-Japan,36.62,138.55,2176,Stratovolcano,Historical,D1
0803-262,Megata,Japan,Honshu-Japan,39.95,139.73,291,Maar,Tephrochronology,D7
0803-10=,Myoko,Japan,Honshu-Japan,36.88,138.12,2446,Stratovolcano,Radiocarbon,D7
0803-141,Nantai,Japan,Honshu-Japan,36.77,139.5,2484,Stratovolcano,Holocene,U
0803-20=,Narugo,Japan,Honshu-Japan,38.73,140.73,462,Caldera,Historical,D6
0803-15=,Nasu,Japan,Honshu-Japan,37.12,139.97,1917,Stratovolcano,Historical,D2
0803-09=,Niigata-Yake-yama,Japan,Honshu-Japan,36.92,138.03,2400,Lava dome,Historical,D1
0803-14=,Nikko-Shirane,Japan,Honshu-Japan,36.8,139.38,2578,Shield volcano,Historical,D3
0803-06=,Norikura,Japan,Honshu-Japan,36.12,137.55,3026,Stratovolcano,Radiocarbon,D7
0803-151,Numazawa,Japan,Honshu-Japan,37.43,139.58,1100,Shield volcano,Radiocarbon,D7
0803-003,Oki-Dogo,Japan,Honshu-Japan,36.17,133.33,151,Shield volcano,Anthropology,U
0803-142,Omanago Group,Japan,Honshu-Japan,36.78,139.5,2367,Lava dome,Holocene,U
0803-04=,On-take,Japan,Honshu-Japan,35.9,137.48,3063,Complex volcano,Historical,D1
0803-29=,Osore-yama,Japan,Honshu-Japan,41.32,141.08,879,Stratovolcano,Historical,D4
0803-002,Sanbe,Japan,Honshu-Japan,35.13,132.62,1126,Caldera,Radiocarbon,D7
0803-121,Shiga,Japan,Honshu-Japan,36.7,138.52,2036,Shield volcano,Holocene,U
0803-143,Takahara,Japan,Honshu-Japan,36.9,139.78,1795,Stratovolcano,Holocene,U7
0803-08=,Tate-yama,Japan,Honshu-Japan,36.57,137.6,2621,Stratovolcano,Historical,D3
0803-031,Tateshina,Japan,Honshu-Japan,36.1,138.3,2530,Stratovolcano,Holocene,U
0803-271,Towada,Japan,Honshu-Japan,40.47,140.92,1159,Caldera,Historical,D6
0803-071,Washiba-Kumonotaira,Japan,Honshu-Japan,36.4,137.5,2924,Shield volcano,Tephrochronology,D7
0803-07=,Yake-dake,Japan,Honshu-Japan,36.22,137.58,2455,Stratovolcano,Historical,D1
0803-19=,Zao,Japan,Honshu-Japan,38.15,140.45,1841,Complex volcano,Historical,D2
0804-06=,Aoga-shima,Japan,Izu Is-Japan,32.45,139.77,423,Stratovolcano,Historical,D4
0804-07=,Bayonnaise Rocks,Japan,Izu Is-Japan,31.92,139.92,10,Submarine volcano,Historical,D1
0804-095,Doyo Seamount,Japan,Izu Is-Japan,27.683,140.8,-860,Submarine volcano,Fumarolic,U
0804-05=,Hachijo-jima,Japan,Izu Is-Japan,33.13,139.77,854,Stratovolcano,Historical,D5
0804-03=,Kozu-shima,Japan,Izu Is-Japan,34.22,139.15,574,Lava dome,Historical,D6
0804-042,Kurose Hole,Japan,Izu Is-Japan,33.4,139.683,-107,Submarine volcano,Holocene?,?
0804-041,Kurose Hole,Japan,Izu Is-Japan,33.4,139.68,-107,Submarine volcano,Holocene,Unknown
0804-04=,Miyake-jima,Japan,Izu Is-Japan,34.08,139.53,815,Stratovolcano,Historical,D1
0804-094,Mokuyo Seamount,Japan,Izu Is-Japan,28.317,140.567,-920,Submarine volcano,Fumarolic,U
0804-061,Myojun Knoll,Japan,Izu Is-Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown
0804-02=,Nii-jima,Japan,Izu Is-Japan,34.37,139.27,432,Lava dome,Historical,D6
