time,Chlorophyll,Northward Wind Speed,pCO2,pH,Weekly Northward Wind Speed
2020-07-01 00:00:00,,-1.427,,,
2020-07-02 00:00:00,,-0.755,,,-1.207
2020-07-03 00:00:00,,-1.488,,,-1.201
2020-07-04 00:00:00,,-0.539,,,-0.667
2020-07-05 00:00:00,,-1.827,,,-0.879
2020-07-06 00:00:00,,-1.167,,,-1.015
2020-07-07 00:00:00,,2.538,,,-1.131
2020-07-08 00:00:00,,-2.914,,,-1.159
2020-07-09 00:00:00,,-1.709,,,-0.833
2020-07-10 00:00:00,5.702,-2.302,214.862,8.067,-1.686
2020-07-11 00:00:00,4.304,-0.735,211.303,8.034,-2.978
2020-07-12 00:00:00,8.699,0.459,220.649,8.109,-3.519
2020-07-13 00:00:00,4.279,-7.136,271.777,8.013,-3.984
2020-07-14 00:00:00,2.968,-6.508,423.849,7.861,-4.173
2020-07-15 00:00:00,2.996,-6.702,,7.821,-4.903
2020-07-16 00:00:00,1.15,-4.963,,7.823,-5.958
2020-07-17 00:00:00,2.152,-3.622,606.124,7.828,-5.414
2020-07-18 00:00:00,5.877,-5.845,544.794,7.868,-5.075
2020-07-19 00:00:00,6.547,-6.932,492.825,7.927,-4.647
2020-07-20 00:00:00,4.357,-3.324,617.578,7.844,-4.366
2020-07-21 00:00:00,5.943,-4.134,549.038,7.889,-4.423
2020-07-22 00:00:00,8.951,-3.71,418.545,7.962,-4.475
2020-07-23 00:00:00,8.604,-2.991,411.211,7.985,-4.383
2020-07-24 00:00:00,10.914,-4.025,351.258,8.04,-4.158
2020-07-25 00:00:00,10.936,-6.206,347.303,8.082,-4.049
2020-07-26 00:00:00,10.998,-6.291,433.007,8.009,-4.178
2020-07-27 00:00:00,9.105,-1.748,404.255,7.945,-4.101
2020-07-28 00:00:00,6.937,-3.374,360.799,7.956,-3.325
2020-07-29 00:00:00,8.279,-4.608,369.557,8.014,-2.362
2020-07-30 00:00:00,10.156,-2.454,273.408,8.05,-1.348
2020-07-31 00:00:00,11.38,1.406,228.637,8.111,-0.907
2020-08-01 00:00:00,9.177,0.539,166.181,8.122,-0.923
2020-08-02 00:00:00,9.09,0.804,173.539,8.151,-0.668
2020-08-03 00:00:00,12.741,1.336,186.172,8.207,-0.076
2020-08-04 00:00:00,4.907,-3.486,189.608,8.247,-0.564
2020-08-05 00:00:00,3.745,-2.818,196.831,8.106,-1.224
2020-08-06 00:00:00,2.404,1.685,207.667,8.145,-2.387
2020-08-07 00:00:00,1.633,-2.008,211.8,8.032,-3.627
2020-08-08 00:00:00,1.71,-4.083,230.667,8.069,-3.82
2020-08-09 00:00:00,2.305,-7.336,370.919,8.04,-3.771
2020-08-10 00:00:00,3.022,-7.344,483.944,7.959,-4.709
2020-08-11 00:00:00,4.547,-4.838,468.245,7.96,-5.279
2020-08-12 00:00:00,3.112,-2.473,430.933,7.969,-5.595
2020-08-13 00:00:00,3.113,-4.882,555.042,7.917,-4.229
2020-08-14 00:00:00,3.076,-5.999,552.791,7.909,-2.99
2020-08-15 00:00:00,2.132,-6.293,606.066,7.832,-2.373
2020-08-16 00:00:00,3.896,2.225,517.089,7.849,-1.818
2020-08-17 00:00:00,6.564,1.332,440.454,7.908,-0.288
2020-08-18 00:00:00,6.037,-0.522,259.219,7.998,1.448
2020-08-19 00:00:00,3.646,1.409,266.044,7.985,2.157
2020-08-20 00:00:00,2.38,5.834,286.766,8.016,0.783
2020-08-21 00:00:00,3.045,6.151,312.634,8.092,-0.421
2020-08-22 00:00:00,2.555,-1.327,278.842,8.122,-1.082
2020-08-23 00:00:00,2.336,-7.398,291.655,8.097,-2.162
2020-08-24 00:00:00,3.405,-7.094,405.296,8.005,-3.817
2020-08-25 00:00:00,3.933,-5.149,533.236,7.913,-5.39
2020-08-26 00:00:00,2.735,-6.148,597.722,7.853,-6.023
2020-08-27 00:00:00,3.902,-5.757,570.175,7.858,-5.529
2020-08-28 00:00:00,3.889,-4.855,600.493,7.876,-4.892
2020-08-29 00:00:00,3.028,-5.761,601.305,7.823,-4.954
2020-08-30 00:00:00,4.472,-3.94,600.48,7.862,-5.057
2020-08-31 00:00:00,5.71,-2.633,577.459,7.886,-4.546
2020-09-01 00:00:00,7.491,-5.583,583.631,7.911,-3.249
2020-09-02 00:00:00,5.037,-6.87,605.972,7.851,-2.185
2020-09-03 00:00:00,3.718,-2.178,607.065,7.851,-2.429
2020-09-04 00:00:00,5.297,4.223,469.165,7.926,-2.915
2020-09-05 00:00:00,6.646,1.684,427.205,7.906,-2.6
2020-09-06 00:00:00,7.573,-5.643,397.912,7.973,-2.071
2020-09-07 00:00:00,8.766,-6.037,513.085,7.956,-1.371
2020-09-08 00:00:00,5.537,-3.379,541.302,7.938,-1.83
2020-09-09 00:00:00,5.071,-3.166,588.321,7.905,-2.093
2020-09-10 00:00:00,4.053,2.723,598.333,7.877,-1.389
2020-09-11 00:00:00,3.424,1.007,607.904,7.844,-0.104
2020-09-12 00:00:00,2.62,-0.157,591.527,7.839,0.842
2020-09-13 00:00:00,2.962,-0.715,584.412,7.869,1.464
2020-09-14 00:00:00,3.153,2.961,591.827,7.896,1.132
2020-09-15 00:00:00,6.441,3.245,449.735,7.969,1.205
2020-09-16 00:00:00,4.758,1.183,427.893,7.969,1.473
2020-09-17 00:00:00,3.645,0.4,478.679,7.949,1.38
2020-09-18 00:00:00,3.793,1.516,478.444,7.962,0.898
2020-09-19 00:00:00,3.777,1.72,440.798,7.964,0.652
2020-09-20 00:00:00,3.195,-1.364,430.306,7.942,1.726
2020-09-21 00:00:00,3.597,-0.416,462.48,7.955,2.508
2020-09-22 00:00:00,3.118,1.523,486.686,7.922,3.348
2020-09-23 00:00:00,3.006,8.7,485.192,7.984,3.524
2020-09-24 00:00:00,1.692,5.877,456.688,8.008,3.56
2020-09-25 00:00:00,1.298,7.392,443.563,8.022,3.026
2020-09-26 00:00:00,1.034,2.954,454.514,8.004,2.797
2020-09-27 00:00:00,0.679,-1.108,459.66,8.009,1.98
2020-09-28 00:00:00,0.594,-4.158,427.541,8.019,0.75
2020-09-29 00:00:00,3.195,-0.082,339.468,8.091,-0.661
2020-09-30 00:00:00,1.668,2.986,403.542,8.054,-1.845
2020-10-01 00:00:00,1.694,-2.737,392.081,8.034,-2.555
2020-10-02 00:00:00,2.848,-2.483,389.06,8.056,-2.831
2020-10-03 00:00:00,3.452,-5.334,363.578,8.091,-3.58
2020-10-04 00:00:00,1.812,-6.076,374.349,8.079,-4.209
2020-10-05 00:00:00,1.28,-6.09,367.088,8.088,-3.352
2020-10-06 00:00:00,1.071,-5.324,399.525,8.052,-2.297
2020-10-07 00:00:00,1.211,-1.416,438.382,8.019,-0.857
2020-10-08 00:00:00,1.727,3.26,400.35,8.041,0.84
2020-10-09 00:00:00,2.325,4.897,375.173,8.055,2.153
2020-10-10 00:00:00,3.671,4.752,339.456,8.114,3.685
2020-10-11 00:00:00,3.659,5.803,339.201,8.095,4.01
2020-10-12 00:00:00,3.058,3.098,375.069,8.085,2.863
2020-10-13 00:00:00,3.819,5.404,360.682,8.097,1.554
2020-10-14 00:00:00,2.256,0.853,394.392,8.057,0.513
2020-10-15 00:00:00,1.237,-4.766,405.366,8.048,0.069
2020-10-16 00:00:00,2.926,-4.266,342.446,8.112,-0.544
2020-10-17 00:00:00,2.793,-2.534,327.032,8.12,-1.663
2020-10-18 00:00:00,1.574,2.697,349.705,8.093,-2.687
2020-10-19 00:00:00,1.977,-1.193,348.073,8.091,-2.64
2020-10-20 00:00:00,2.585,-2.433,318.465,8.124,-2.006
2020-10-21 00:00:00,1.946,-6.313,321.167,8.136,-2.047
2020-10-22 00:00:00,1.858,-4.44,333.284,8.112,-3.042
2020-10-23 00:00:00,2.685,0.175,357.171,8.089,-3.249
2020-10-24 00:00:00,2.401,-2.825,360.394,8.082,-3.441
2020-10-25 00:00:00,3.543,-4.267,352.464,8.1,-3.208
2020-10-26 00:00:00,3.186,-2.644,366.766,8.044,-3.264
2020-10-27 00:00:00,5.54,-3.771,356.623,8.082,-3.176
2020-10-28 00:00:00,4.661,-4.684,348.405,8.05,-3.322
2020-10-29 00:00:00,6.795,-4.833,372.136,8.076,-2.863
2020-10-30 00:00:00,7.125,0.795,374.301,8.1,-2.17
2020-10-31 00:00:00,8.196,-3.848,319.527,8.116,-0.528
2020-11-01 00:00:00,8.517,-1.058,311.775,8.076,1.276
2020-11-02 00:00:00,9.312,2.208,267.463,8.115,2.534
2020-11-03 00:00:00,7.73,7.721,300.823,8.161,2.486
2020-11-04 00:00:00,5.184,7.947,319.765,8.154,1.894
2020-11-05 00:00:00,3.353,3.974,352.616,8.113,1.225
2020-11-06 00:00:00,2.804,0.455,339.46,8.127,1.207
2020-11-07 00:00:00,2.812,-7.992,354.981,8.112,0.424
2020-11-08 00:00:00,2.704,-5.741,389.599,8.097,-0.688
2020-11-09 00:00:00,2.667,2.085,354.326,8.117,-0.709
2020-11-10 00:00:00,2.314,2.242,381.26,8.103,0.132
2020-11-11 00:00:00,2.334,0.159,368.095,8.103,1.855
2020-11-12 00:00:00,3.15,3.825,332.191,8.146,3.459
2020-11-13 00:00:00,1.539,6.342,417.6,8.072,3.959
2020-11-14 00:00:00,0.98,4.07,455.377,8.028,5.118
2020-11-15 00:00:00,0.988,5.488,426.858,8.035,5.972
2020-11-16 00:00:00,0.74,5.586,446.723,8.029,5.961
2020-11-17 00:00:00,0.589,10.36,458.238,8.026,5.421
2020-11-18 00:00:00,0.682,6.136,455.748,8.021,4.725
2020-11-19 00:00:00,0.642,3.743,456.454,8.02,4.517
2020-11-20 00:00:00,0.656,2.565,445.106,8.033,3.889
2020-11-21 00:00:00,0.577,-0.806,436.568,8.038,3.305
2020-11-22 00:00:00,0.552,4.032,437.955,8.036,2.341
2020-11-23 00:00:00,0.657,1.196,427.554,8.04,1.649
2020-11-24 00:00:00,0.9,6.267,405.917,8.061,1.324
2020-11-25 00:00:00,0.908,-0.613,394.167,8.068,1.726
2020-11-26 00:00:00,0.674,-1.103,398.531,8.063,1.365
2020-11-27 00:00:00,0.347,0.296,404.419,8.06,1.662
2020-11-28 00:00:00,0.456,2.009,396.28,8.062,0.45
2020-11-29 00:00:00,0.619,1.499,395.702,8.065,0.722
2020-11-30 00:00:00,0.541,3.279,391.924,8.069,1.352
2020-12-01 00:00:00,0.71,-2.22,386.231,8.07,1.395
2020-12-02 00:00:00,0.728,1.291,391.059,8.069,1.48
2020-12-03 00:00:00,0.751,3.309,388.799,8.069,1.844
2020-12-04 00:00:00,0.916,0.595,378.423,8.075,1.666
2020-12-05 00:00:00,0.795,2.61,386.567,8.076,2.475
2020-12-06 00:00:00,0.795,4.046,385.12,8.073,1.975
2020-12-07 00:00:00,1.024,2.031,374.398,8.084,1.456
2020-12-08 00:00:00,0.87,3.443,382.778,8.077,1.612
2020-12-09 00:00:00,0.79,-2.207,388.176,8.071,1.303
2020-12-10 00:00:00,0.833,-0.326,384.261,8.072,1.429
2020-12-11 00:00:00,0.778,1.688,388.498,8.067,1.303
2020-12-12 00:00:00,0.729,0.445,386.362,8.071,2.089
2020-12-13 00:00:00,0.739,4.927,385.572,8.069,3.514
2020-12-14 00:00:00,0.693,1.148,386.488,8.073,3.456
2020-12-15 00:00:00,0.627,8.95,387.998,8.071,4.152
2020-12-16 00:00:00,0.654,7.766,390.198,8.07,4.951
