time,CE CO2 Mole Fraction Atmosphere (ppm),CE CO2 Mole Fraction Seawater (ppm),CE CO2 Flux Calculated (mol m-2 s-1),CP CO2 Mole Fraction Atmosphere (ppm),CP CO2 Mole Fraction Seawater (ppm),CP CO2 Flux Calculated (mol m-2 s-1)
1/1/17 0:00,403.9211087,333.0988871,,401.3299967,375.8022224,
1/1/17 1:00,404.0744425,341.3100043,,400.8033379,374.2066718,
1/1/17 2:00,404.5033332,347.6800028,,400.3133341,373.6611125,
1/1/17 3:00,404.8111064,346.9088881,,399.8455539,374.6877747,
1/1/17 4:00,406.2144504,349.4777798,,400.1388889,375.6088901,
1/1/17 5:00,405.4111125,353.6122165,,399.9144491,375.547777,-1.19E-07
1/1/17 6:00,405.2955526,350.5055576,,399.5833299,376.0655518,-8.34E-08
1/1/17 7:00,404.9488864,349.5633375,,399.5855577,376.9322272,-8.81E-08
1/1/17 8:00,405.1444397,348.6588881,-1.69E-07,400.6944512,375.2155592,-1.26E-07
1/1/17 9:00,404.9677768,343.6011115,-1.61E-07,402.5933363,377.178894,-9.84E-08
1/1/17 10:00,404.8866679,343.764445,-1.95E-07,403.2599996,378.1133321,-7.93E-08
1/1/17 11:00,404.531111,348.3722229,-1.74E-07,403.1977776,377.6044447,-7.91E-08
1/1/17 12:00,405.6277805,351.6299947,-1.67E-07,403.812222,377.3733351,-1.06E-07
1/1/17 13:00,405.8366631,350.6611125,-1.98E-07,403.4611104,376.7655538,-9.81E-08
1/1/17 14:00,405.4477844,355.6677755,-1.85E-07,404.3700019,376.8799981,-1.17E-07
1/1/17 15:00,404.5777757,357.5899963,-1.26E-07,405.0477736,376.6311069,-1.27E-07
1/1/17 16:00,404.6666701,359.2633328,-1.49E-07,404.4322205,373.7344428,-1.33E-07
1/1/17 17:00,403.9988878,359.5366686,-1.85E-07,406.1266717,373.947781,-1.17E-07
1/1/17 18:00,404.3155551,358.771108,,408.7555542,373.0144382,-1.06E-07
1/1/17 19:00,403.9577772,352.8477783,,407.1488885,373.487776,-8.02E-08
1/1/17 20:00,404.4233331,352.2899984,-2.16E-08,406.043335,373.8022224,-6.57E-08
1/1/17 21:00,404.8800049,351.0422194,-2.86E-08,405.5366686,374.3211127,-6.76E-08
1/1/17 22:00,404.8066711,348.7555542,,404.9677802,374.3766615,-6.42E-08
1/1/17 23:00,404.9199999,355.8100009,,404.9011061,374.5166694,-6.56E-08
1/2/17 0:00,404.8322177,358.1133321,,404.3722195,374.3777737,-4.40E-08
1/2/17 1:00,405.0011088,358.4733344,,403.3633321,374.2555542,-4.68E-08
1/2/17 2:00,404.8888855,358.1822272,-7.61E-09,404.1266683,373.3677809,-4.84E-08
1/2/17 3:00,404.5788913,350.1566637,-7.03E-09,404.1677755,373.3811069,-4.64E-08
1/2/17 4:00,404.3722229,346.6044413,-2.85E-09,404.1344401,373.2488844,-4.72E-08
1/2/17 5:00,404.6299981,345.5266622,-4.31E-09,404.0599976,373.0033332,-4.29E-08
1/2/17 6:00,407.0666673,346.0811123,-3.00E-08,404.3733385,373.1088901,-3.13E-08
1/2/17 7:00,406.8055488,344.9299995,-3.68E-08,404.2144402,373.0366686,-4.03E-08
1/2/17 8:00,407.4533318,347.9533318,-3.48E-08,403.683336,373.0444438,-3.33E-08
1/2/17 9:00,407.3844469,346.4388902,-4.71E-08,404.5466614,363.0233358,-4.98E-08
1/2/17 10:00,407.5755514,345.2088928,-1.71E-08,404.3566623,373.7344428,-3.80E-08
1/2/17 11:00,407.1766697,344.3255547,,404.6299981,374.1500041,-4.05E-08
1/2/17 12:00,407.1733331,343.0599942,,404.6966654,373.8577745,-3.25E-08
1/2/17 13:00,407.4422268,343.6666667,,404.7733358,373.8511081,-3.54E-08
1/2/17 14:00,407.52889,344.9000041,,404.0988905,374.0055508,-4.37E-08
1/2/17 15:00,408.5255568,344.9477743,,403.4588928,376.6333381,-4.08E-08
1/2/17 16:00,409.6177775,343.9699978,,403.4155579,377.8944397,-3.85E-08
1/2/17 17:00,410.5999993,342.5033332,,403.2455512,378.3944465,-4.66E-08
1/2/17 18:00,411.7655572,341.0366618,,402.7800022,376.2733324,-6.23E-08
1/2/17 19:00,412.2333306,337.0055508,,402.6900024,376.0244446,-7.18E-08
1/2/17 20:00,412.0155538,337.0466682,,402.4322205,375.7711114,-7.74E-08
1/2/17 21:00,411.0799967,336.6633369,,402.5077752,375.1522251,-8.20E-08
1/2/17 22:00,410.6555549,335.7500034,,401.9711134,373.2322218,-9.08E-08
1/2/17 23:00,410.6788873,337.2222256,,401.485555,372.6233283,-1.08E-07
1/3/17 0:00,409.8466593,336.5355564,,400.8733351,372.8177795,
1/3/17 1:00,409.7100016,338.1355591,,400.7966682,371.8988885,
1/3/17 2:00,408.7011108,340.5388862,,400.8733351,372.0488858,
1/3/17 3:00,408.6955532,339.9644436,,400.2755602,372.0733303,
1/3/17 4:00,409.2344462,340.0011122,,400.068885,372.1377767,
1/3/17 5:00,408.8844469,341.0788879,,400.1222229,373.2333374,-1.32E-07
1/3/17 6:00,409.3722229,339.0733371,,400.3644443,373.6011149,-1.27E-07
1/3/17 7:00,409.8555569,337.8011102,,399.9955546,372.9011129,-1.39E-07
1/3/17 8:00,410.4533352,338.1288859,,399.8977831,373.1644491,-1.47E-07
1/3/17 9:00,409.2644416,344.9511108,,400.0444472,371.8244425,-1.53E-07
1/3/17 10:00,409.7222256,345.9555528,,400.1266649,372.8022291,-1.38E-07
1/3/17 11:00,410.0433282,349.4000007,,400.0933329,373.0644463,-1.32E-07
1/3/17 12:00,409.681115,347.935557,,399.6577759,373.706665,-1.20E-07
1/3/17 13:00,410.6200019,346.3055589,,399.5,374.2966648,-1.28E-07
1/3/17 14:00,409.7544488,345.8977729,,399.4599982,374.6077779,-1.37E-07
1/3/17 15:00,409.4244419,343.020006,,399.7177802,375.9511108,-1.25E-07
1/3/17 16:00,410.7366638,343.481113,,399.9699978,377.3211093,-1.07E-07
1/3/17 17:00,410.7388848,344.6688911,,399.5533312,377.9533386,-8.94E-08
1/3/17 18:00,410.9433356,344.7411126,,399.733334,378.1577793,-6.76E-08
1/3/17 19:00,410.7255554,342.995558,,399.8266669,378.2166646,-6.25E-08
1/3/17 20:00,411.1633369,343.3488905,,399.7844408,379.3433295,-5.16E-08
1/3/17 21:00,411.8933377,339.043335,,399.3677775,367.8399997,-3.04E-08
1/3/17 22:00,410.6233317,339.302219,,398.6299981,380.0800001,-2.01E-08
1/3/17 23:00,410.6766697,339.7766622,,398.985555,380.0877719,-1.20E-08
1/4/17 0:00,409.9633348,340.6822238,,397.9033407,381.1622213,-8.94E-09
1/4/17 1:00,410.0922173,341.1477797,,398.1933322,380.9822184,-2.83E-08
1/4/17 2:00,409.5688883,340.8755527,,398.1322191,381.7566664,-3.95E-08
1/4/17 3:00,409.1177741,340.0122172,,400.7088894,382.7533298,-5.03E-08
1/4/17 4:00,408.8211127,338.9411112,,400.5811089,383.9788886,-4.96E-08
1/4/17 5:00,408.4477776,343.7944472,,400.1422255,384.7911106,-6.27E-08
1/4/17 6:00,408.0777825,343.6233351,,401.5399984,384.762224,-9.38E-08
1/4/17 7:00,408.8699951,349.9722256,,402.3055556,384.8266669,-8.83E-08
1/4/17 8:00,408.7677782,353.5422228,,409.2433302,385.5977783,-9.82E-08
1/4/17 9:00,408.3377719,353.8122253,,413.4188911,386.6511095,-1.03E-07
