time,relative_humidity,air_temperature,eastward_wind,northward_wind,netsirr,wind_speed,wind_direction,wind_direction360
2020-09-06 00:00,91.141,13.574,0.569,-3.987,351.313,4.028,171.872,171.872
2020-09-06 01:00,92.288,14.050,0.081,-5.505,171.621,5.506,179.160,179.160
2020-09-06 02:00,93.501,13.768,-0.534,-6.223,30.048,6.245,-175.097,184.903
2020-09-06 03:00,94.084,13.561,-0.851,-6.320,3.194,6.377,-172.331,187.669
2020-09-06 04:00,94.627,13.277,-0.666,-5.769,3.131,5.808,-173.415,186.585
2020-09-06 05:00,93.870,13.168,-0.135,-5.476,3.159,5.478,-178.583,181.417
2020-09-06 06:00,92.449,13.284,-0.489,-5.738,3.202,5.759,-175.130,184.870
2020-09-06 07:00,93.108,12.862,-0.927,-4.879,3.049,4.966,-169.239,190.761
2020-09-06 08:00,94.106,12.442,-0.962,-3.726,2.999,3.849,-165.520,194.480
2020-09-06 09:00,93.505,12.468,-1.493,-4.383,3.183,4.630,-161.186,198.814
2020-09-06 10:00,94.490,12.010,-1.606,-4.263,3.194,4.556,-159.353,200.647
2020-09-06 11:00,94.252,12.096,-1.578,-4.063,3.237,4.359,-158.773,201.227
2020-09-06 12:00,95.761,11.432,-2.130,-2.946,3.076,3.635,-144.132,215.868
2020-09-06 13:00,96.047,11.374,-2.447,-3.917,6.100,4.619,-148.002,211.998
2020-09-06 14:00,96.565,11.633,-2.469,-5.577,35.414,6.099,-156.119,203.881
2020-09-06 15:00,97.934,11.471,-2.689,-6.140,81.695,6.703,-156.344,203.656
2020-09-06 16:00,98.243,11.516,-1.803,-6.665,192.326,6.904,-164.862,195.138
2020-09-06 17:00,98.216,11.526,-1.694,-6.940,297.009,7.144,-166.280,193.720
2020-09-06 18:00,98.230,11.929,-1.804,-6.975,388.879,7.204,-165.498,194.502
2020-09-06 19:00,98.168,12.021,-0.765,-7.383,465.745,7.423,-174.086,185.914
2020-09-06 20:00,98.190,12.077,-0.824,-6.964,558.870,7.013,-173.250,186.750
2020-09-06 21:00,97.851,12.199,-0.793,-6.165,576.584,6.215,-172.666,187.334
2020-09-06 22:00,97.591,12.245,-0.295,-8.037,373.162,8.042,-177.899,182.101
2020-09-06 23:00,98.260,11.989,-0.814,-7.386,242.467,7.430,-173.712,186.288
2020-09-07 00:00,98.633,11.733,-0.414,-8.085,147.755,8.096,-177.071,182.929
2020-09-07 01:00,99.011,11.432,-1.061,-7.832,58.907,7.903,-172.285,187.715
2020-09-07 02:00,99.413,11.502,-1.238,-8.347,12.346,8.438,-171.562,188.438
2020-09-07 03:00,99.596,11.749,-0.044,-9.877,4.479,9.877,-179.743,180.257
2020-09-07 04:00,99.671,11.611,-0.797,-8.862,4.386,8.898,-174.859,185.141
2020-09-07 05:00,99.758,11.571,-0.963,-8.258,4.391,8.314,-173.348,186.652
2020-09-07 06:00,99.802,11.288,-1.003,-7.692,4.355,7.757,-172.567,187.433
2020-09-07 07:00,99.825,10.926,0.268,-7.709,4.290,7.714,178.008,178.008
2020-09-07 08:00,99.849,10.534,-1.302,-5.415,4.341,5.569,-166.479,193.521
2020-09-07 09:00,99.967,10.799,-1.272,-5.548,4.445,5.692,-167.087,192.913
2020-09-07 10:00,100.043,10.837,-0.880,-5.708,4.418,5.776,-171.235,188.765
2020-09-07 11:00,100.141,10.868,-0.432,-4.435,4.363,4.456,-174.430,185.570
2020-09-07 12:00,100.204,10.833,-0.444,-3.842,4.426,3.868,-173.408,186.592
2020-09-07 13:00,100.329,10.897,-0.448,-5.092,5.716,5.112,-174.971,185.029
2020-09-07 14:00,100.354,10.763,-0.454,-4.437,33.862,4.460,-174.154,185.846
2020-09-07 15:00,100.351,10.591,-0.393,-4.332,104.563,4.350,-174.821,185.179
2020-09-07 16:00,100.263,10.897,-0.713,-5.809,234.603,5.853,-173.000,187.000
2020-09-07 17:00,100.025,10.603,-0.192,-3.816,330.643,3.821,-177.112,182.888
2020-09-07 18:00,99.851,10.643,-0.108,-4.177,463.844,4.179,-178.516,181.484
2020-09-07 19:00,99.652,11.079,0.245,-4.763,575.502,4.769,177.052,177.052
2020-09-07 20:00,99.597,11.275,0.117,-5.539,571.212,5.540,178.795,178.795
2020-09-07 21:00,99.554,11.174,0.048,-6.046,570.385,6.046,179.546,179.546
2020-09-07 22:00,99.410,11.056,0.507,-5.043,563.990,5.068,174.263,174.263
2020-09-07 23:00,99.412,11.033,0.202,-4.227,513.307,4.232,177.261,177.261
2020-09-08 00:00,99.167,11.825,0.388,-4.358,343.633,4.376,174.919,174.919
2020-09-08 01:00,94.578,12.536,-1.017,-4.622,161.360,4.732,-167.589,192.411
2020-09-08 02:00,88.079,12.828,-1.373,-6.587,22.938,6.729,-168.223,191.777
2020-09-08 03:00,76.544,14.165,-2.543,-6.049,5.475,6.562,-157.197,202.803
2020-09-08 04:00,46.496,19.307,-6.248,-3.983,5.086,7.410,-122.515,237.485
2020-09-08 05:00,42.255,18.781,-7.356,-1.432,3.474,7.495,-101.018,258.982
2020-09-08 06:00,36.662,18.938,-7.378,-2.116,3.323,7.676,-105.999,254.001
2020-09-08 07:00,32.587,18.794,-5.900,-2.306,3.471,6.335,-111.345,248.655
2020-09-08 08:00,33.675,17.943,-6.480,-2.366,3.322,6.899,-110.059,249.941
2020-09-08 09:00,36.704,16.853,-6.180,-2.920,3.244,6.835,-115.288,244.712
2020-09-08 10:00,34.440,17.034,-7.146,-2.038,3.904,7.431,-105.919,254.081
2020-09-08 11:00,34.259,16.664,-7.190,-1.397,3.599,7.324,-100.999,259.001
2020-09-08 12:00,35.979,16.131,-6.489,-2.143,3.282,6.834,-108.273,251.727
2020-09-08 13:00,35.207,16.057,-6.501,-1.279,3.941,6.625,-101.132,258.868
2020-09-08 14:00,30.660,16.835,-4.906,-1.604,12.548,5.162,-108.104,251.896
2020-09-08 15:00,27.466,17.454,-2.975,-1.799,28.052,3.477,-121.162,238.838
2020-09-08 16:00,31.243,16.814,-3.251,-2.953,58.403,4.391,-132.249,227.751
2020-09-08 17:00,37.734,15.492,-3.924,-3.520,70.483,5.271,-131.888,228.112
2020-09-08 18:00,42.560,14.783,-0.787,-3.957,114.462,4.035,-168.750,191.250
2020-09-08 19:00,43.865,14.771,-0.379,-3.864,81.765,3.883,-174.396,185.604
2020-09-08 20:00,42.771,15.437,-0.958,-4.215,78.021,4.322,-167.193,192.807
2020-09-08 21:00,52.387,14.344,-1.395,-4.524,79.753,4.734,-162.864,197.136
2020-09-08 22:00,57.304,13.736,-0.991,-5.386,79.953,5.477,-169.570,190.430
2020-09-08 23:00,58.352,13.740,-1.047,-5.683,63.159,5.778,-169.560,190.440
2020-09-09 00:00,58.201,13.950,-1.268,-5.260,31.218,5.411,-166.450,193.550
2020-09-09 01:00,59.346,13.919,-0.120,-4.049,13.595,4.050,-178.295,181.705
2020-09-09 02:00,57.854,13.899,-1.089,-4.276,5.703,4.413,-165.713,194.287
2020-09-09 03:00,65.289,12.804,0.775,-3.331,3.589,3.420,166.902,166.902
2020-09-09 04:00,46.186,15.650,-2.196,-4.514,5.440,5.020,-154.060,205.940
2020-09-09 05:00,38.879,16.776,-2.726,-4.066,4.004,4.895,-146.159,213.841
2020-09-09 06:00,40.771,16.574,-3.364,-4.670,4.145,5.755,-144.233,215.767
2020-09-09 07:00,40.481,16.539,-2.837,-4.465,2.403,5.290,-147.570,212.430
2020-09-09 08:00,42.197,16.070,-1.966,-1.830,4.054,2.686,-132.957,227.043
2020-09-09 09:00,32.795,17.931,-2.540,-1.964,3.243,3.211,-127.723,232.277
2020-09-09 10:00,41.062,16.102,-2.668,-2.964,2.635,3.988,-138.005,221.995
2020-09-09 11:00,38.428,16.427,-2.805,-3.633,3.367,4.590,-142.331,217.669
2020-09-09 12:00,44.033,15.424,-3.195,-1.640,2.682,3.591,-117.176,242.824
2020-09-09 13:00,43.021,15.590,-5.779,-0.894,4.174,5.847,-98.796,261.204
2020-09-09 14:00,38.200,16.577,-1.858,-1.211,12.465,2.218,-123.109,236.891
2020-09-09 15:00,39.880,16.012,-3.100,-2.935,48.115,4.270,-133.434,226.566
2020-09-09 16:00,33.911,17.445,-2.619,-1.653,70.584,3.097,-122.265,237.735
2020-09-09 17:00,37.921,16.557,-2.188,-1.685,100.241,2.762,-127.607,232.393
2020-09-09 18:00,32.048,18.322,-2.874,-1.999,112.806,3.501,-124.826,235.174
2020-09-09 19:00,45.934,15.623,-1.011,-3.478,167.840,3.622,-163.785,196.215
2020-09-09 20:00,35.821,18.142,-2.301,-3.958,251.803,4.578,-149.832,210.168
2020-09-09 21:00,37.577,17.863,-2.242,-4.019,214.428,4.602,-150.841,209.159
2020-09-09 22:00,36.897,17.909,-1.780,-3.743,142.723,4.145,-154.569,205.431
2020-09-09 23:00,23.450,20.745,-1.999,-3.746,107.676,4.246,-151.913,208.087
2020-09-10 00:00,31.292,19.786,-0.243,-2.671,72.288,2.682,-174.793,185.207
2020-09-10 01:00,76.315,12.560,-0.884,3.745,25.887,3.848,-13.287,346.713
2020-09-10 02:00,92.059,10.875,-0.056,4.656,6.659,4.656,-0.685,359.315
2020-09-10 03:00,96.285,10.717,-0.527,3.757,3.602,3.794,-7.980,352.020
2020-09-10 04:00,97.527,10.726,-0.019,2.840,3.715,2.840,-0.375,359.625
2020-09-10 05:00,98.298,10.317,-0.688,2.122,3.523,2.231,-17.959,342.041
2020-09-10 06:00,98.939,10.000,-1.872,1.103,3.700,2.173,-59.492,300.508
2020-09-10 07:00,99.227,10.184,-1.061,2.344,3.923,2.573,-24.360,335.640
2020-09-10 08:00,99.249,10.273,-0.840,2.365,3.882,2.510,-19.558,340.442
2020-09-10 09:00,99.584,10.154,-1.076,2.226,3.720,2.472,-25.797,334.203
2020-09-10 10:00,100.177,10.177,-0.724,2.124,3.835,2.244,-18.823,341.177
2020-09-10 11:00,100.935,9.737,-0.030,2.210,3.674,2.210,-0.773,359.227
2020-09-10 12:00,101.639,9.288,-0.449,2.662,3.843,2.699,-9.575,350.425
2020-09-10 13:00,102.027,9.487,-0.387,3.749,4.675,3.769,-5.899,354.101
2020-09-10 14:00,102.050,9.308,-0.458,3.105,15.570,3.139,-8.399,351.601
2020-09-10 15:00,102.055,8.931,0.601,2.881,36.392,2.943,11.781,11.781
2020-09-10 16:00,102.070,8.917,0.540,3.277,63.036,3.321,9.355,9.355
2020-09-10 17:00,102.079,9.053,0.351,3.579,87.636,3.596,5.599,5.599
2020-09-10 18:00,102.096,9.255,0.711,3.444,107.681,3.516,11.665,11.665
2020-09-10 19:00,102.108,9.334,0.358,2.635,112.104,2.659,7.729,7.729
2020-09-10 20:00,102.114,9.240,-0.846,2.478,98.908,2.618,-18.843,341.157
2020-09-10 21:00,102.130,9.273,-0.902,3.509,71.379,3.624,-14.421,345.579
2020-09-10 22:00,102.154,9.431,-0.771,3.881,61.830,3.957,-11.240,348.760
2020-09-10 23:00,102.173,9.325,-1.499,3.319,42.556,3.642,-24.307,335.693
2020-09-11 00:00,102.219,9.756,-0.996,3.352,23.652,3.497,-16.556,343.444
2020-09-11 01:00,102.260,9.962,-0.762,4.305,12.587,4.372,-10.033,349.967
2020-09-11 02:00,102.293,9.988,-1.230,3.328,5.486,3.548,-20.282,339.718
2020-09-11 03:00,102.321,9.974,-1.496,2.373,4.390,2.805,-32.221,327.779
2020-09-11 04:00,102.350,9.974,-0.994,2.491,4.448,2.682,-21.759,338.241
2020-09-11 05:00,102.369,9.913,-0.213,2.489,4.415,2.498,-4.902,355.098
2020-09-11 06:00,102.397,9.997,0.707,2.396,4.453,2.498,16.442,16.442
2020-09-11 07:00,102.411,9.854,0.306,2.393,4.273,2.412,7.299,7.299
2020-09-11 08:00,102.414,9.546,-1.607,1.218,4.325,2.016,-52.846,307.154
2020-09-11 09:00,102.428,9.478,-2.210,0.762,4.404,2.337,-70.983,289.017
2020-09-11 10:00,102.444,9.420,-2.444,0.360,4.364,2.471,-81.632,278.368
2020-09-11 11:00,102.454,9.260,-2.539,-0.419,4.363,2.573,-99.381,260.619
2020-09-11 12:00,102.474,9.329,-2.800,-1.032,4.487,2.984,-110.222,249.778
2020-09-11 13:00,102.511,9.595,-2.909,-0.895,4.605,3.044,-107.107,252.893
2020-09-11 14:00,102.525,9.471,-2.780,-0.101,12.660,2.782,-92.088,267.912
2020-09-11 15:00,102.534,9.389,-2.400,1.256,32.881,2.709,-62.383,297.617
2020-09-11 16:00,102.532,9.292,-2.150,1.279,68.900,2.502,-59.244,300.756
2020-09-11 17:00,102.531,9.373,-2.234,0.562,103.185,2.303,-75.874,284.126
2020-09-11 18:00,102.535,9.611,-2.057,0.413,139.614,2.098,-78.655,281.345
2020-09-11 19:00,102.551,10.159,-1.249,-0.117,150.063,1.254,-95.348,264.652
2020-09-11 20:00,102.556,10.424,-0.609,-0.916,160.603,1.100,-146.372,213.628
