time,depth,temperature,pressure,density,salinity
2024-04-19 11:57:00,505.000,4.957,510.206,1029.387,34.170
2024-04-19 11:58:00,505.000,4.957,510.208,1029.387,34.170
2024-04-19 11:59:00,505.000,4.955,510.142,1029.387,34.170
2024-04-19 11:59:00,504.000,4.958,508.884,1029.381,34.170
2024-04-19 11:59:00,503.000,4.957,507.853,1029.376,34.170
2024-04-19 11:59:00,502.000,4.954,506.840,1029.371,34.169
2024-04-19 11:59:00,501.000,4.952,505.783,1029.367,34.169
2024-04-19 11:59:00,500.000,4.954,504.820,1029.362,34.169
2024-04-19 11:59:00,499.000,4.962,503.977,1029.358,34.169
2024-04-19 12:00:00,499.000,4.964,503.420,1029.354,34.169
2024-04-19 12:00:00,498.000,4.964,502.707,1029.351,34.169
2024-04-19 12:00:00,497.000,4.964,501.723,1029.347,34.169
2024-04-19 12:00:00,496.000,4.964,500.737,1029.342,34.169
2024-04-19 12:00:00,495.000,4.963,499.753,1029.337,34.169
2024-04-19 12:00:00,494.000,4.964,498.767,1029.333,34.168
2024-04-19 12:00:00,493.000,4.964,497.642,1029.327,34.168
2024-04-19 12:00:00,492.000,4.967,496.657,1029.322,34.167
2024-04-19 12:00:00,491.000,4.972,495.680,1029.315,34.166
2024-04-19 12:00:00,490.000,4.980,494.697,1029.308,34.164
2024-04-19 12:00:00,489.000,4.986,493.717,1029.301,34.161
2024-04-19 12:00:00,488.000,4.989,492.595,1029.292,34.157
2024-04-19 12:00:00,487.000,4.989,491.613,1029.285,34.154
2024-04-19 12:00:00,486.000,4.990,490.632,1029.279,34.152
2024-04-19 12:00:00,485.000,4.990,489.660,1029.274,34.151
2024-04-19 12:00:00,484.000,4.990,488.680,1029.269,34.151
2024-04-19 12:00:00,483.000,4.991,487.567,1029.263,34.149
2024-04-19 12:00:00,482.000,4.992,486.870,1029.259,34.149
2024-04-19 12:01:00,482.000,4.993,486.450,1029.256,34.148
2024-04-19 12:01:00,481.000,4.995,485.618,1029.252,34.148
2024-04-19 12:01:00,480.000,4.995,484.507,1029.247,34.148
2024-04-19 12:01:00,479.000,4.984,483.533,1029.241,34.144
2024-04-19 12:01:00,478.000,4.971,482.555,1029.236,34.142
2024-04-19 12:01:00,477.000,4.975,481.462,1029.230,34.141
2024-04-19 12:01:00,476.000,4.976,480.490,1029.225,34.141
2024-04-19 12:01:00,475.000,4.987,479.522,1029.220,34.142
2024-04-19 12:01:00,474.000,4.993,478.553,1029.215,34.141
2024-04-19 12:01:00,473.000,4.989,477.582,1029.210,34.140
2024-04-19 12:01:00,472.000,4.984,476.475,1029.204,34.139
2024-04-19 12:01:00,471.000,4.988,475.507,1029.198,34.138
2024-04-19 12:01:00,470.000,4.990,474.540,1029.193,34.137
2024-04-19 12:01:00,469.000,5.024,473.438,1029.184,34.138
2024-04-19 12:01:00,468.000,5.043,472.470,1029.176,34.136
2024-04-19 12:01:00,467.000,5.050,471.498,1029.172,34.137
2024-04-19 12:01:00,466.000,5.051,470.530,1029.166,34.136
2024-04-19 12:02:00,466.000,5.046,469.980,1029.164,34.136
2024-04-19 12:02:00,465.000,5.047,469.430,1029.161,34.136
2024-04-19 12:02:00,464.000,5.045,468.460,1029.154,34.132
2024-04-19 12:02:00,463.000,5.080,467.363,1029.144,34.132
2024-04-19 12:02:00,462.000,5.108,466.390,1029.135,34.130
2024-04-19 12:02:00,461.000,5.112,465.433,1029.128,34.128
2024-04-19 12:02:00,460.000,5.115,464.325,1029.118,34.122
2024-04-19 12:02:00,459.000,5.105,463.363,1029.112,34.118
2024-04-19 12:02:00,458.000,5.118,462.397,1029.105,34.116
2024-04-19 12:02:00,457.000,5.121,461.303,1029.097,34.113
2024-04-19 12:02:00,456.000,5.116,460.330,1029.092,34.112
2024-04-19 12:02:00,455.000,5.116,459.373,1029.086,34.110
2024-04-19 12:02:00,454.000,5.121,458.272,1029.079,34.108
2024-04-19 12:02:00,453.000,5.125,457.310,1029.072,34.106
2024-04-19 12:02:00,452.000,5.143,456.345,1029.064,34.104
2024-04-19 12:02:00,451.000,5.159,455.257,1029.056,34.103
2024-04-19 12:02:00,450.000,5.177,454.163,1029.049,34.103
2024-04-19 12:03:00,449.000,5.193,453.207,1029.042,34.102
2024-04-19 12:03:00,448.000,5.198,452.240,1029.037,34.103
2024-04-19 12:03:00,447.000,5.199,451.147,1029.033,34.104
2024-04-19 12:03:00,446.000,5.203,450.193,1029.028,34.105
2024-04-19 12:03:00,445.000,5.217,449.237,1029.023,34.106
2024-04-19 12:03:00,444.000,5.235,448.137,1029.015,34.105
2024-04-19 12:03:00,443.000,5.246,447.183,1029.007,34.102
2024-04-19 12:03:00,442.000,5.261,446.237,1029.002,34.103
2024-04-19 12:03:00,441.000,5.273,445.145,1028.995,34.103
2024-04-19 12:03:00,440.000,5.276,444.183,1028.990,34.103
2024-04-19 12:03:00,439.000,5.276,443.220,1028.985,34.103
2024-04-19 12:03:00,438.000,5.291,442.132,1028.978,34.102
2024-04-19 12:03:00,437.000,5.302,441.045,1028.970,34.101
2024-04-19 12:03:00,436.000,5.305,440.087,1028.966,34.101
2024-04-19 12:03:00,435.000,5.305,439.123,1028.962,34.101
2024-04-19 12:03:00,434.000,5.306,438.035,1028.957,34.102
2024-04-19 12:03:00,433.000,5.307,437.350,1028.954,34.102
2024-04-19 12:04:00,433.000,5.310,436.940,1028.952,34.102
2024-04-19 12:04:00,432.000,5.320,436.130,1028.946,34.101
2024-04-19 12:04:00,431.000,5.328,435.035,1028.939,34.100
2024-04-19 12:04:00,430.000,5.333,434.090,1028.934,34.100
2024-04-19 12:04:00,429.000,5.339,433.130,1028.928,34.099
2024-04-19 12:04:00,428.000,5.343,432.045,1028.922,34.099
2024-04-19 12:04:00,427.000,5.345,430.955,1028.917,34.099
2024-04-19 12:04:00,426.000,5.345,430.010,1028.913,34.099
2024-04-19 12:04:00,425.000,5.345,429.055,1028.909,34.099
2024-04-19 12:04:00,424.000,5.349,427.980,1028.903,34.099
2024-04-19 12:04:00,423.000,5.361,426.887,1028.895,34.097
2024-04-19 12:04:00,422.000,5.368,425.947,1028.888,34.095
2024-04-19 12:04:00,421.000,5.383,424.995,1028.879,34.092
2024-04-19 12:04:00,420.000,5.388,423.910,1028.873,34.091
2024-04-19 12:04:00,419.000,5.390,422.960,1028.868,34.091
2024-04-19 12:04:00,418.000,5.392,422.010,1028.864,34.091
2024-04-19 12:04:00,417.000,5.396,421.200,1028.859,34.091
2024-04-19 12:05:00,417.000,5.397,420.650,1028.857,34.091
2024-04-19 12:05:00,416.000,5.398,419.842,1028.853,34.091
2024-04-19 12:05:00,415.000,5.401,418.887,1028.848,34.091
2024-04-19 12:05:00,414.000,5.404,417.945,1028.843,34.090
2024-04-19 12:05:00,413.000,5.410,416.855,1028.836,34.089
2024-04-19 12:05:00,412.000,5.416,415.777,1028.829,34.088
2024-04-19 12:05:00,411.000,5.418,414.830,1028.824,34.087
2024-04-19 12:05:00,410.000,5.425,413.880,1028.818,34.086
2024-04-19 12:05:00,409.000,5.430,412.800,1028.811,34.085
2024-04-19 12:05:00,408.000,5.432,411.847,1028.807,34.085
2024-04-19 12:05:00,407.000,5.439,410.892,1028.800,34.083
2024-04-19 12:05:00,406.000,5.448,409.815,1028.793,34.081
2024-04-19 12:05:00,405.000,5.456,408.735,1028.786,34.080
2024-04-19 12:05:00,404.000,5.463,407.797,1028.780,34.079
2024-04-19 12:05:00,403.000,5.468,406.850,1028.774,34.078
2024-04-19 12:05:00,402.000,5.474,405.780,1028.768,34.077
2024-04-19 12:05:00,401.000,5.476,404.965,1028.764,34.077
2024-04-19 12:06:00,401.000,5.478,404.445,1028.761,34.077
2024-04-19 12:06:00,400.000,5.480,403.642,1028.757,34.077
2024-04-19 12:06:00,399.000,5.486,402.697,1028.751,34.077
2024-04-19 12:06:00,398.000,5.497,401.763,1028.744,34.074
2024-04-19 12:06:00,397.000,5.503,400.688,1028.738,34.074
2024-04-19 12:06:00,396.000,5.509,399.608,1028.731,34.073
2024-04-19 12:06:00,395.000,5.515,398.670,1028.726,34.072
2024-04-19 12:06:00,394.000,5.521,397.728,1028.720,34.072
2024-04-19 12:06:00,393.000,5.524,396.650,1028.714,34.071
2024-04-19 12:06:00,392.000,5.529,395.573,1028.709,34.071
2024-04-19 12:06:00,391.000,5.532,394.647,1028.704,34.071
2024-04-19 12:06:00,390.000,5.535,393.700,1028.699,34.071
2024-04-19 12:06:00,389.000,5.536,392.623,1028.694,34.071
2024-04-19 12:06:00,388.000,5.537,391.550,1028.689,34.071
2024-04-19 12:06:00,387.000,5.538,390.610,1028.684,34.071
