depth_bin,depth,temperature,pressure,density,salinity,site,date
5.000,,,,,,CP,2020-08-31
10.000,,,,,,CP,2020-08-31
15.000,,,,,,CP,2020-08-31
20.000,,,,,,CP,2020-08-31
25.000,27.000,9.998,27.319,1025.213,32.610,CP,2020-08-31
30.000,29.526,9.476,29.737,1025.321,32.625,CP,2020-08-31
35.000,35.130,9.185,35.391,1025.499,32.759,CP,2020-08-31
40.000,40.000,9.185,40.308,1025.641,32.912,CP,2020-08-31
45.000,45.087,10.318,45.451,1025.774,33.296,CP,2020-08-31
50.000,49.952,12.304,50.369,1025.950,33.958,CP,2020-08-31
55.000,55.174,12.806,55.584,1026.132,34.288,CP,2020-08-31
60.000,60.000,13.076,60.472,1026.279,34.520,CP,2020-08-31
65.000,65.095,13.295,65.628,1026.452,34.769,CP,2020-08-31
70.000,69.955,13.489,70.503,1026.553,34.924,CP,2020-08-31
75.000,75.000,13.376,75.585,1026.644,34.982,CP,2020-08-31
80.000,80.000,13.502,80.596,1026.736,35.106,CP,2020-08-31
85.000,84.905,13.583,85.555,1026.801,35.183,CP,2020-08-31
90.000,90.136,13.665,90.879,1026.868,35.261,CP,2020-08-31
95.000,94.905,13.494,95.634,1026.932,35.270,CP,2020-08-31
100.000,100.000,13.254,100.778,1026.994,35.256,CP,2020-08-31
105.000,105.045,13.418,105.878,1027.051,35.345,CP,2020-08-31
110.000,110.000,13.531,110.875,1027.098,35.408,CP,2020-08-31
115.000,115.136,13.538,116.061,1027.143,35.437,CP,2020-08-31
120.000,119.905,13.442,120.841,1027.189,35.442,CP,2020-08-31
125.000,125.000,13.545,126.004,1027.235,35.500,CP,2020-08-31
130.000,129.957,13.545,130.999,1027.280,35.530,CP,2020-08-31
135.000,135.000,13.490,136.106,1027.334,35.555,CP,2020-08-31
140.000,140.182,13.513,141.319,1027.382,35.594,CP,2020-08-31
145.000,145.074,13.493,146.231,1027.420,35.610,CP,2020-08-31
150.000,150.000,13.404,151.212,1027.463,35.612,CP,2020-08-31
155.000,155.107,13.395,156.359,1027.504,35.634,CP,2020-08-31
160.000,160.000,13.248,161.300,1027.547,35.622,CP,2020-08-31
165.000,165.000,13.104,166.365,1027.593,35.614,CP,2020-08-31
170.000,170.000,13.043,171.360,1027.630,35.616,CP,2020-08-31
175.000,175.000,12.945,176.439,1027.672,35.615,CP,2020-08-31
180.000,180.094,12.799,181.565,1027.716,35.604,CP,2020-08-31
185.000,185.030,12.667,186.529,1027.757,35.595,CP,2020-08-31
190.000,190.000,12.514,191.547,1027.797,35.577,CP,2020-08-31
195.000,195.000,12.288,196.617,1027.840,35.545,CP,2020-08-31
200.000,199.906,12.006,201.541,1027.893,35.514,CP,2020-08-31
205.000,204.969,11.728,206.634,1027.950,35.488,CP,2020-08-31
210.000,209.970,11.522,211.713,1027.994,35.464,CP,2020-08-31
215.000,214.968,11.297,216.720,1028.039,35.439,CP,2020-08-31
220.000,220.250,11.096,222.063,1028.087,35.420,CP,2020-08-31
225.000,224.923,10.811,226.775,1028.137,35.389,CP,2020-08-31
230.000,230.000,10.653,231.892,1028.175,35.371,CP,2020-08-31
235.000,235.107,10.424,237.101,1028.222,35.349,CP,2020-08-31
240.000,239.923,10.267,241.923,1028.260,35.333,CP,2020-08-31
245.000,245.000,10.094,247.049,1028.298,35.313,CP,2020-08-31
250.000,250.038,9.868,252.133,1028.346,35.293,CP,2020-08-31
255.000,254.792,9.696,256.948,1028.387,35.280,CP,2020-08-31
260.000,260.000,9.507,262.171,1028.428,35.261,CP,2020-08-31
265.000,265.130,9.371,267.327,1028.464,35.247,CP,2020-08-31
