date,30m Temp,90m Temp,350m Temp,1000m Temp,30m Density,90m Density,350m Density,1000m Density,30m Potential Density,90m Potential Density,350m Potential Density,1000m Potential Density
2015-01-01,,,,,,,,,,,,
2015-01-02,,,,,,,,,,,,
2015-01-03,,,,,,,,,,,,
2015-01-04,,,,,,,,,,,,
2015-01-05,4.442,4.44,4.31,3.769,1027.81,1028.089,1029.317,1032.4,27.704,27.694,27.703,27.744
2015-01-06,4.416,4.415,4.309,3.737,1027.812,1028.091,1029.318,1032.4,27.706,27.696,27.703,27.742
2015-01-07,4.381,4.382,4.291,3.71,1027.814,1028.093,1029.319,1032.4,27.708,27.697,27.704,27.742
2015-01-08,4.326,4.328,4.273,3.695,1027.818,1028.097,1029.321,1032.401,27.711,27.701,27.705,27.741
2015-01-09,4.262,4.265,4.247,3.665,1027.822,1028.101,1029.324,1032.402,27.714,27.704,27.707,27.74
2015-01-10,4.206,4.212,4.209,3.629,1027.827,1028.106,1029.328,1032.403,27.718,27.707,27.709,27.739
2015-01-11,4.142,4.151,4.163,3.59,1027.831,1028.11,1029.332,1032.404,27.721,27.71,27.712,27.738
2015-01-12,4.086,4.095,4.109,3.564,1027.834,1028.113,1029.336,1032.405,27.723,27.712,27.715,27.738
2015-01-13,4.039,4.048,4.063,3.568,1027.837,1028.116,1029.339,1032.405,27.726,27.715,27.717,27.738
2015-01-14,4.004,4.014,4.033,3.584,1027.838,1028.117,1029.341,1032.405,27.727,27.717,27.719,27.739
2015-01-15,3.99,3.998,4.012,3.596,1027.838,1028.118,1029.341,1032.404,27.729,27.718,27.721,27.739
2015-01-16,3.969,3.977,3.989,3.589,1027.839,1028.119,1029.343,1032.404,27.73,27.719,27.722,27.739
2015-01-17,3.956,3.963,3.971,3.586,1027.839,1028.118,1029.343,1032.403,27.731,27.72,27.723,27.739
2015-01-18,3.954,3.96,3.968,3.598,1027.838,1028.118,1029.343,1032.403,27.73,27.72,27.723,27.739
2015-01-19,3.951,3.957,3.967,3.616,1027.838,1028.119,1029.343,1032.403,27.73,27.72,27.723,27.74
2015-01-20,3.944,3.949,3.959,3.609,1027.84,1028.12,1029.345,1032.404,27.731,27.72,27.724,27.74
2015-01-21,3.939,3.944,3.952,3.597,1027.841,1028.121,1029.346,1032.405,27.731,27.721,27.724,27.74
2015-01-22,3.928,3.935,3.949,3.595,1027.842,1028.122,1029.347,1032.405,27.732,27.721,27.724,27.739
2015-01-23,3.921,3.928,3.943,3.604,1027.842,1028.122,1029.347,1032.404,27.733,27.722,27.725,27.738
2015-01-24,3.916,3.923,3.944,3.606,1027.843,1028.123,1029.347,1032.404,27.734,27.723,27.726,27.738
2015-01-25,3.905,3.913,3.935,3.604,1027.844,1028.123,1029.347,1032.403,27.735,27.725,27.727,27.739
2015-01-26,3.898,3.905,3.925,3.602,1027.844,1028.124,1029.348,1032.402,27.737,27.726,27.728,27.738
2015-01-27,3.891,3.899,3.92,3.613,1027.844,1028.123,1029.347,1032.401,27.737,27.726,27.729,27.738
2015-01-28,3.877,3.884,3.906,3.613,1027.844,1028.123,1029.347,1032.4,27.739,27.727,27.729,27.739
2015-01-29,3.863,3.87,3.888,3.612,1027.846,1028.125,1029.349,1032.402,27.739,27.728,27.73,27.739
2015-01-30,3.846,3.853,3.87,3.605,1027.851,1028.13,1029.354,1032.406,27.74,27.729,27.731,27.739
2015-01-31,3.879,3.883,3.864,3.61,1027.857,1028.137,1029.362,1032.414,27.739,27.727,27.731,27.74
2015-02-01,3.913,3.914,3.862,3.613,1027.865,1028.144,1029.371,1032.422,27.737,27.726,27.731,27.74
