Date,Chlorophyll,Salinity,Temperature,Nitrate,Shortwave Irradiance
2021-01-01,0.464,33.526,11.767,3.143,54.073
2021-01-02,0.402,34.724,14.347,2.644,52.051
2021-01-03,0.386,35.007,14.93,2.442,48.627
2021-01-04,0.48,33.994,12.629,2.841,59.543
2021-01-05,0.517,33.487,11.474,3.039,63.182
2021-01-06,0.496,33.249,11.02,3.066,53.906
2021-01-07,0.534,33.305,11.058,2.99,56.033
2021-01-08,0.572,33.348,10.985,3.095,60.401
2021-01-09,0.506,33.252,10.845,3.275,70.939
2021-01-10,0.389,33.26,10.878,3.84,73.375
2021-01-11,0.438,33.178,10.677,3.715,67.037
2021-01-12,0.471,33.107,10.383,3.926,63.013
2021-01-13,0.514,33.114,10.402,3.903,67.611
2021-01-14,0.425,33.12,10.449,3.916,68.916
2021-01-15,0.555,33.036,10.25,3.733,68.895
2021-01-16,0.674,33.231,10.482,3.659,63.507
2021-01-17,0.673,33.293,10.587,3.757,57.631
2021-01-18,,,,3.967,61.032
2021-01-19,,,,3.656,60.27
2021-01-20,,,,3.988,58.966
2021-01-21,0.561,33.24,9.92,4.113,72.253
2021-01-22,0.51,33.276,10.104,4.122,78.822
2021-01-23,0.519,33.334,10.112,3.888,76.174
2021-01-24,0.483,33.462,10.242,3.877,81.795
2021-01-25,0.517,33.522,10.223,3.902,74.549
2021-01-26,0.582,33.424,9.852,3.915,71.16
2021-01-27,0.654,33.212,9.215,3.838,74.32
2021-01-28,0.688,33.327,9.413,3.633,65.127
2021-01-29,0.535,33.394,9.628,4.122,51.014
2021-01-30,0.605,33.278,8.868,4.225,49.925
2021-01-31,0.603,33.582,9.594,4.189,49.789
2021-02-01,0.647,33.658,9.777,3.708,51.641
2021-02-02,0.753,33.506,9.584,3.655,50.391
2021-02-03,0.575,33.601,9.843,4.369,61.128
2021-02-04,0.609,33.711,9.86,4.066,53.613
2021-02-05,0.546,33.515,9.191,4.097,73.322
2021-02-06,0.538,33.508,9.25,4.097,70.048
2021-02-07,0.562,33.208,8.465,4.13,76.894
2021-02-08,0.505,33.36,8.724,4.456,76.326
2021-02-09,0.575,33.392,8.562,4.358,92.592
2021-02-10,0.586,33.676,9.301,4.357,77.284
2021-02-11,0.681,33.63,9.001,4.271,84.781
2021-02-12,0.65,33.343,8.158,4.294,68.739
2021-02-13,0.694,33.741,9.194,4.251,69.694
2021-02-14,0.621,33.185,7.833,4.176,75.675
2021-02-15,0.593,32.953,7.193,3.836,73.347
2021-02-16,0.63,33.11,7.568,4.031,56.12
2021-02-17,0.451,33.008,7.418,5.076,66.323
2021-02-18,0.471,32.963,7.258,5.23,72.46
2021-02-19,0.485,33.194,7.67,4.859,72.405
2021-02-20,0.472,33.081,7.345,4.869,86.998
2021-02-21,0.389,33.363,8.132,5.12,91.414
2021-02-22,0.458,33.595,8.556,5.423,117.098
2021-02-23,0.518,33.576,8.342,5.55,142.043
2021-02-24,0.496,33.54,8.172,5.719,131.095
2021-02-25,0.475,33.297,7.634,5.615,121.647
2021-02-26,0.539,33.225,7.424,5.423,119.625
2021-02-27,0.729,33.017,6.987,5.099,128.849
2021-02-28,0.74,33.093,7.174,5.143,130.803
2021-03-01,0.833,32.999,7.046,5.089,125.904
2021-03-02,0.602,33.074,7.121,5.387,129.611
2021-03-03,0.627,33.193,7.283,5.325,143.838
2021-03-04,0.825,33.251,7.397,4.9,158.921
2021-03-05,0.804,33.34,7.51,4.748,186.836
2021-03-06,0.946,33.285,7.268,4.256,183.442
2021-03-07,1.041,33.248,7.065,3.891,186.299
2021-03-08,0.972,33.378,7.273,3.979,189.118
2021-03-09,0.941,33.516,7.602,4.032,167.398
2021-03-10,1.011,33.389,7.499,3.799,182.55
2021-03-11,1.139,33.318,7.456,3.061,193.107
2021-03-12,1.224,33.432,7.728,3.101,190.331
2021-03-13,1.153,33.628,8.161,2.875,185.826
2021-03-14,1.137,33.765,8.435,2.381,171.164
2021-03-15,1.001,33.525,7.708,2.556,153.73
