Date,Salinity,Irradiance,Temperature,Chlorophyll,Chlorophyll2,Prediction1,Nitrate,Nitrate2,Prediction2
2019-01-01,,,,,,,,4.272,
2019-01-02,33.137,59.491,9.309,,1.29,,,4.317,
2019-01-03,33.065,60.823,9.031,,1.347,,,4.288,
2019-01-04,32.911,70.852,8.81,,0.763,,,4.663,
2019-01-05,32.971,64.621,8.96,,0.692,,,4.727,
2019-01-06,32.925,66.257,8.804,,0.668,,,4.887,
2019-01-07,32.964,65.613,8.718,,0.654,,,5.023,
2019-01-08,33.218,63.474,8.825,,1.036,,,5.105,
2019-01-09,33.19,76.216,8.871,,0.702,,,5.566,
2019-01-10,33.105,70.909,8.68,,0.644,,,5.737,
2019-01-11,33.01,61.81,8.383,,0.573,,,5.786,
2019-01-12,32.942,77.226,8.204,,0.508,,,5.907,
2019-01-13,32.939,69.121,8.17,,0.59,,,5.899,
2019-01-14,33.068,80.34,8.108,,0.544,,,6.079,
2019-01-15,33.196,78.245,8.134,,0.621,,,5.294,
2019-01-16,33.465,68.358,8.714,,0.781,,,5.668,
2019-01-17,33.29,65.681,8.193,,0.766,,,5.635,
2019-01-18,33.501,61.142,8.527,,0.961,,,5.97,
2019-01-19,33.504,65.566,8.625,,0.913,,,6.026,
2019-01-20,,66.667,,,,,,6.045,
2019-01-21,34.353,56.99,11.019,,0.435,,,6.565,
2019-01-22,33.41,57.941,8.168,,0.582,,,6.433,
2019-01-23,33.226,69.951,7.708,,0.66,,,6.536,
2019-01-24,33.239,85.362,7.851,,0.626,,,6.377,
2019-01-25,32.993,86.813,7.42,,0.625,,,6.225,
2019-01-26,32.897,80.692,7.201,,0.593,,,6.027,
2019-01-27,32.901,89.894,6.876,,0.634,,,6.414,
2019-01-28,32.975,89.924,7.0,,0.824,,,5.868,
2019-01-29,33.431,95.08,8.1,,0.957,,,6.119,
2019-01-30,33.177,93.303,7.397,,0.899,,,6.314,
2019-01-31,33.006,94.399,6.855,,0.626,,,6.812,
2019-02-01,33.206,97.014,7.312,,0.792,,,6.411,
2019-02-02,33.115,95.464,6.986,,0.794,,,6.214,
2019-02-03,33.035,100.645,6.611,,0.794,,,6.341,
2019-02-04,33.089,101.462,6.848,,0.996,,,6.101,
2019-02-05,33.154,98.627,7.04,,0.92,,,6.326,
