Year,Accumulation,Oxygen Isotopes,Global Temperature Anomaly,Southern Hemisphere Temperature Anomaly,South of 64S Temperature Anomaly
1905,1.63,-19.61,-0.306,-0.284,-0.351
1915,1.6,-19.75,-0.319,-0.264,-0.581
1925,1.54,-19.83,-0.237,-0.296,-0.934
1935,1.46,-19.93,-0.123,-0.241,-0.951
1945,1.47,-19.94,0.045,-0.023,-0.656
1955,1.79,-19.62,-0.047,-0.115,-0.23
1965,1.75,-19.81,-0.031,-0.058,-0.145
1975,1.83,-19.85,0.035,0.117,0.231
1985,2.1,-19.27,0.247,0.306,0.28
1995,2.41,-19.37,0.387,0.356,0.292
2005,2.71,-18.82,0.593,0.468,0.589
