date,Chlorophyll-a,CDOM,OBS,Temperature,Salinity
2015-04-05 00:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 01:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 02:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 03:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 04:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 05:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 06:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 07:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 08:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 09:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 10:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 11:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 12:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 13:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 14:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 15:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 16:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 17:00:00,1.0293,3.077,0.00618998,11.7199,29.7882
2015-04-05 18:00:00,0.9782,3.3485,0.00402129,11.8545,30.0218
2015-04-05 19:00:00,1.2556,2.896,0.00390973,11.8694,30.2943
2015-04-05 20:00:00,1.0439,2.6245,0.00631388,11.534,29.8855
2015-04-05 21:00:00,1.2775,2.8055,0.00592972,11.4969,29.8397
2015-04-05 22:00:00,0.9928,2.896,0.00480195,11.4448,30.3908
2015-04-05 23:00:00,1.3651,2.715,0.00539679,11.4297,30.3241
2015-04-06 00:00:00,1.5622,2.715,0.00618992,11.4758,30.1686
2015-04-06 01:00:00,1.4527,2.715,0.00565705,11.5792,30.2453
2015-04-06 02:00:00,1.5841,2.896,0.00457892,11.9092,30.262
2015-04-06 03:00:00,1.5257,3.077,0.00492596,11.9079,29.8002
2015-04-06 04:00:00,1.3724,3.1675,0.00418243,11.9092,29.6763
2015-04-06 05:00:00,1.4454,3.258,0.00386026,11.9418,29.4665
2015-04-06 06:00:00,1.3797,3.258,0.00409566,11.9029,29.9083
2015-04-06 07:00:00,1.2848,3.258,0.00403372,11.9206,29.7555
2015-04-06 08:00:00,1.3359,3.3485,0.00374871,11.9164,29.5502
2015-04-06 09:00:00,1.241,3.077,0.00331493,11.888,29.9821
2015-04-06 10:00:00,1.2629,3.1675,0.00446747,11.9212,29.5902
2015-04-06 11:00:00,2.0002,3.3485,0.00677251,11.9341,29.0754
2015-04-06 12:00:00,1.2921,3.258,0.00355041,11.91,29.7821
2015-04-06 13:00:00,1.2337,2.896,0.00295549,11.8033,30.5537
2015-04-06 14:00:00,0.8614,2.896,0.00241017,11.8201,30.9943
2015-04-06 15:00:00,0.8687,2.896,0.00203838,11.8656,31.2128
2015-04-06 16:00:00,0.9052,2.6245,0.00254645,11.8661,31.3433
2015-04-06 17:00:00,0.7227,2.8055,0.00243492,11.879,31.3362
2015-04-06 18:00:00,0.9125,3.3485,0.00626441,11.5921,29.0361
2015-04-06 19:00:00,0.9563,2.715,0.00602895,11.8313,29.1649
2015-04-06 20:00:00,0.949,3.258,0.0062892,11.86,29.059
2015-04-06 21:00:00,1.1169,2.9865,0.0061777,11.8934,28.8078
2015-04-06 22:00:00,1.1096,3.077,0.00540936,11.9023,28.9126
2015-04-06 23:00:00,1.1826,2.896,0.00516146,11.8687,29.3925
2015-04-07 00:00:00,1.3797,3.077,0.0059174,11.8966,29.3182
2015-04-07 01:00:00,1.5257,3.1675,0.00522341,11.9009,29.4889
2015-04-07 02:00:00,0.8176,2.534,0.00298021,11.897,31.1541
2015-04-07 03:00:00,0.7592,2.715,0.00214992,11.8926,31.1067
2015-04-07 04:00:00,1.0658,2.8055,0.00311659,11.8251,30.536
2015-04-07 05:00:00,0.8395,2.715,0.00296785,11.8492,30.8194
2015-04-07 06:00:00,1.3651,3.077,0.00413285,11.86,29.8222
2015-04-07 07:00:00,1.5403,3.3485,0.00505,11.8919,28.7695
2015-04-07 08:00:00,1.8907,3.5295,0.00715682,11.8453,27.6605
2015-04-07 09:00:00,1.2994,3.077,0.00450469,11.9326,29.1616
2015-04-07 10:00:00,1.3286,2.715,0.00414526,11.8949,29.6337
2015-04-07 11:00:00,0.9855,2.896,0.00345121,11.875,30.3143
2015-04-07 12:00:00,0.7811,2.896,0.00263327,11.885,30.7551
2015-04-07 13:00:00,1.6498,3.1675,0.00631396,11.9228,29.3388
2015-04-07 14:00:00,1.1388,2.9865,0.00395937,11.9211,29.6853
2015-04-07 15:00:00,1.6936,3.258,0.00518631,11.9099,28.7932
2015-04-07 16:00:00,0.8614,2.8055,0.00316615,11.8219,30.6239
2015-04-07 17:00:00,0.9344,2.4435,0.00275718,11.7533,30.7912
2015-04-07 18:00:00,1.0512,2.4435,0.00343874,11.6928,30.9077
2015-04-07 19:00:00,1.8542,3.439,0.00628924,11.9232,28.728
2015-04-07 20:00:00,1.2921,2.715,0.00445505,11.9497,29.7808
