date,Chlorophyll-a
2015-06-01 00:00:00,6.1105
2015-06-01 01:00:00,7.9981
2015-06-01 02:00:00,11.3498
2015-06-01 03:00:00,12.2573
2015-06-01 04:00:00,9.7526
2015-06-01 05:00:00,13.9392
2015-06-01 06:00:00,13.1285
2015-06-01 07:00:00,9.3533
2015-06-01 08:00:00,9.4259
2015-06-01 09:00:00,8.3853
2015-06-01 10:00:00,7.1632
2015-06-01 11:00:00,9.075
2015-06-01 12:00:00,10.9263
2015-06-01 13:00:00,10.7448
2015-06-01 14:00:00,10.0188
2015-06-01 15:00:00,8.833
2015-06-01 16:00:00,10.1398
2015-06-01 17:00:00,10.3818
2015-06-01 18:00:00,10.4181
2015-06-01 19:00:00,4.6101
2015-06-01 20:00:00,4.6827
2015-06-01 21:00:00,4.235
2015-06-01 22:00:00,5.5418
2015-06-01 23:00:00,7.8287
2015-06-02 00:00:00,9.3775
2015-06-02 01:00:00,10.7932
2015-06-02 02:00:00,10.1398
2015-06-02 03:00:00,11.2893
2015-06-02 04:00:00,10.5875
2015-06-02 05:00:00,12.6929
2015-06-02 06:00:00,12.342
2015-06-02 07:00:00,3.8599
2015-06-02 08:00:00,4.0414
2015-06-02 09:00:00,2.7951
2015-06-02 10:00:00,2.7951
2015-06-02 11:00:00,4.7432
2015-06-02 12:00:00,6.3888
2015-06-02 13:00:00,7.1027
2015-06-02 14:00:00,11.9306
2015-06-02 15:00:00,12.9954
2015-06-02 16:00:00,11.5676
2015-06-02 17:00:00,10.5028
2015-06-02 18:00:00,10.8537
2015-06-02 19:00:00,8.349
2015-06-02 20:00:00,4.7795
2015-06-02 21:00:00,3.7631
2015-06-02 22:00:00,2.9766
2015-06-02 23:00:00,3.9567
2015-06-03 00:00:00,4.1382
2015-06-03 01:00:00,15.2944
2015-06-03 02:00:00,7.9981
2015-06-03 03:00:00,9.0871
2015-06-03 04:00:00,9.6437
2015-06-03 05:00:00,8.6152
2015-06-03 06:00:00,6.5945
2015-06-03 07:00:00,5.808
2015-06-03 08:00:00,5.9048
2015-06-03 09:00:00,5.3724
2015-06-03 10:00:00,4.7795
2015-06-03 11:00:00,4.9005
2015-06-03 12:00:00,4.8037
2015-06-03 13:00:00,4.9973
2015-06-03 14:00:00,6.8849
2015-06-03 15:00:00,7.6593
2015-06-03 16:00:00,8.4095
2015-06-03 17:00:00,10.6601
2015-06-03 18:00:00,9.5711
2015-06-03 19:00:00,9.559
2015-06-03 20:00:00,13.8666
2015-06-03 21:00:00,5.7959
2015-06-03 22:00:00,4.5133
2015-06-03 23:00:00,3.2791
2015-06-04 00:00:00,3.872
2015-06-04 01:00:00,4.719
2015-06-04 02:00:00,5.2877
2015-06-04 03:00:00,8.0102
2015-06-04 04:00:00,5.808
2015-06-04 05:00:00,7.6835
2015-06-04 06:00:00,7.8287
2015-06-04 07:00:00,8.1312
2015-06-04 08:00:00,7.5262
2015-06-04 09:00:00,8.0707
2015-06-04 10:00:00,7.9497
2015-06-04 11:00:00,8.228
2015-06-04 12:00:00,7.4899
2015-06-04 13:00:00,8.0223
2015-06-04 14:00:00,8.0707
2015-06-04 15:00:00,8.107
2015-06-04 16:00:00,8.1554
2015-06-04 17:00:00,9.1476
2015-06-04 18:00:00,9.9099
2015-06-04 19:00:00,8.5789
2015-06-04 20:00:00,9.075
2015-06-04 21:00:00,8.2885
2015-06-04 22:00:00,8.0949
2015-06-04 23:00:00,7.9739
2015-06-05 00:00:00,7.9981
2015-06-05 01:00:00,8.0949
2015-06-05 02:00:00,8.1433
2015-06-05 03:00:00,7.3326
2015-06-05 04:00:00,7.4657
2015-06-05 05:00:00,8.9661
2015-06-05 06:00:00,7.9255
2015-06-05 07:00:00,6.7881
2015-06-05 08:00:00,8.0828
2015-06-05 09:00:00,9.4743
2015-06-05 10:00:00,9.5469
2015-06-05 11:00:00,7.6835
2015-06-05 12:00:00,7.6956
2015-06-05 13:00:00,9.3896
2015-06-05 14:00:00,9.8131
2015-06-05 15:00:00,9.9946
2015-06-05 16:00:00,10.1035
2015-06-05 17:00:00,12.947
2015-06-05 18:00:00,13.3826
2015-06-05 19:00:00,14.7983
2015-06-05 20:00:00,15.3791
2015-06-05 21:00:00,16.4076
2015-06-05 22:00:00,16.456
2015-06-05 23:00:00,15.4638
2015-06-06 00:00:00,15.2702
2015-06-06 01:00:00,10.8416
2015-06-06 02:00:00,13.2979
2015-06-06 03:00:00,14.2901
2015-06-06 04:00:00,16.335
2015-06-06 05:00:00,14.4353
2015-06-06 06:00:00,17.3635
2015-06-06 07:00:00,15.9236
2015-06-06 08:00:00,8.1917
2015-06-06 09:00:00,7.3205
2015-06-06 10:00:00,8.6273
2015-06-06 11:00:00,9.5227
2015-06-06 12:00:00,NaN
2015-06-06 13:00:00,9.8857
2015-06-06 14:00:00,10.0188
2015-06-06 15:00:00,13.6609
2015-06-06 16:00:00,10.0914
2015-06-06 17:00:00,8.6273
2015-06-06 18:00:00,9.3775
2015-06-06 19:00:00,4.1987
2015-06-06 20:00:00,4.3923
2015-06-06 21:00:00,6.3888
2015-06-06 22:00:00,9.3291
2015-06-06 23:00:00,9.1597
2015-06-07 00:00:00,14.5926
2015-06-07 01:00:00,14.9435
2015-06-07 02:00:00,13.7456
2015-06-07 03:00:00,14.4837
2015-06-07 04:00:00,5.6507
2015-06-07 05:00:00,6.2194
2015-06-07 06:00:00,7.6956
2015-06-07 07:00:00,7.0059
2015-06-07 08:00:00,7.4294
2015-06-07 09:00:00,6.5098
