date,Coastal Endurance,Coastal Pioneer,Global Irminger Sea,Global Station Papa
2015-09-01 00:00:00,3.6542,1.1858,1.1374,1.7061
2015-09-01 01:00:00,3.4727,1.1737,1.1253,1.8029
2015-09-01 02:00:00,3.4848,1.1616,1.2221,1.6456
2015-09-01 03:00:00,3.2307,1.1616,1.3068,1.5609
2015-09-01 04:00:00,3.2428,1.1737,1.3552,1.694
2015-09-01 05:00:00,3.146,1.1374,1.2947,1.8755
2015-09-01 06:00:00,3.1218,1.1616,1.1132,1.7545
2015-09-01 07:00:00,3.1581,1.1495,0.9438,1.815
2015-09-01 08:00:00,3.1581,1.1374,0.8954,1.7666
2015-09-01 09:00:00,3.1097,1.1253,1.0285,1.936
2015-09-01 10:00:00,2.783,1.1616,0.9559,1.8271
2015-09-01 11:00:00,3.6058,1.1737,0.5566,1.815
2015-09-01 12:00:00,3.0129,1.1858,0.6655,1.7787
2015-09-01 13:00:00,3.8841,1.1737,0.8591,1.7666
2015-09-01 14:00:00,3.3154,1.1737,0.9438,1.7061
2015-09-01 15:00:00,3.0613,1.1858,0.9075,1.5367
2015-09-01 16:00:00,3.2549,1.1495,0.9559,1.2947
2015-09-01 17:00:00,3.6784,1.1374,0.8833,1.5367
2015-09-01 18:00:00,3.7752,1.1495,0.8954,1.3915
2015-09-01 19:00:00,3.3638,1.1495,0.9196,1.3915
2015-09-01 20:00:00,3.7389,1.21,0.726,1.331
2015-09-01 21:00:00,4.5496,1.21,0.8349,1.3794
2015-09-01 22:00:00,4.0414,1.1737,0.847,1.6093
2015-09-01 23:00:00,3.6421,1.1858,0.8591,2.0812
2015-09-02 00:00:00,4.1261,1.1495,0.8107,1.3794
2015-09-02 01:00:00,3.751,1.1253,0.8107,1.6819
2015-09-02 02:00:00,4.1987,1.1616,0.8228,2.42
2015-09-02 03:00:00,4.6706,1.1616,0.968,1.4883
2015-09-02 04:00:00,5.082,1.1495,0.9801,1.8513
2015-09-02 05:00:00,5.1062,1.1374,0.9196,1.7787
2015-09-02 06:00:00,4.4044,1.1495,0.968,1.9239
2015-09-02 07:00:00,5.324,1.1132,0.9075,1.9118
2015-09-02 08:00:00,4.0898,1.1495,0.9559,1.9118
2015-09-02 09:00:00,4.598,1.1132,0.9196,1.9481
2015-09-02 10:00:00,4.9368,1.1858,0.7986,1.8634
2015-09-02 11:00:00,3.993,1.1495,0.7381,1.7666
2015-09-02 12:00:00,5.1304,1.2221,0.847,1.7182
2015-09-02 13:00:00,6.0258,1.1616,0.968,1.8029
2015-09-02 14:00:00,6.6066,1.1616,0.9922,1.7061
2015-09-02 15:00:00,6.7881,1.1374,1.1374,1.7182
2015-09-02 16:00:00,6.3888,1.1858,1.2342,1.7908
2015-09-02 17:00:00,6.8244,1.1616,1.2221,1.5972
2015-09-02 18:00:00,7.3084,1.2342,1.1737,1.4883
2015-09-02 19:00:00,6.9817,1.1979,1.1737,1.5488
2015-09-02 20:00:00,7.4536,1.2221,1.3068,1.7182
2015-09-02 21:00:00,6.8365,1.2584,0.9317,1.5125
2015-09-02 22:00:00,6.4251,1.1737,0.9801,1.5851
2015-09-02 23:00:00,7.26,1.1737,1.21,1.6456
2015-09-03 00:00:00,8.5547,1.1858,1.0648,1.5125
2015-09-03 01:00:00,6.3041,1.1737,0.7502,1.5367
2015-09-03 02:00:00,5.3119,1.1737,0.7744,1.5972
2015-09-03 03:00:00,5.5902,1.1737,0.7018,1.7061
2015-09-03 04:00:00,8.107,1.1495,0.7744,1.936
2015-09-03 05:00:00,7.4657,1.1616,0.8591,2.2869
2015-09-03 06:00:00,8.2764,1.1616,0.847,2.2748
2015-09-03 07:00:00,7.4294,1.1737,0.7744,2.7104
2015-09-03 08:00:00,6.2073,1.1616,0.7502,2.1054
2015-09-03 09:00:00,7.2479,1.1616,0.7744,2.0812
2015-09-03 10:00:00,5.1062,1.1737,0.7865,2.1417
2015-09-03 11:00:00,8.0707,1.1495,0.7744,2.057
2015-09-03 12:00:00,9.3412,1.1737,0.7744,1.8634
2015-09-03 13:00:00,8.7967,1.1616,0.9317,1.7545
2015-09-03 14:00:00,7.7682,1.1495,0.9317,1.6214
2015-09-03 15:00:00,8.1675,1.1616,0.7744,1.7787
2015-09-03 16:00:00,6.0863,1.1737,0.9438,1.7182
2015-09-03 17:00:00,9.3291,1.1737,0.9075,1.7182
2015-09-03 18:00:00,11.2893,1.3068,1.0164,1.6335
2015-09-03 19:00:00,8.712,1.2221,1.1011,1.6093
2015-09-03 20:00:00,10.4665,1.2342,1.1495,1.4762
2015-09-03 21:00:00,8.6999,1.2342,1.1132,1.6335
2015-09-03 22:00:00,8.2885,1.1616,0.9801,2.0449
2015-09-03 23:00:00,10.1519,1.1616,1.1011,1.6456
2015-09-04 00:00:00,9.6316,1.1495,1.1253,1.5609
2015-09-04 01:00:00,9.5711,1.1858,1.0164,1.5609
2015-09-04 02:00:00,6.3283,1.1979,0.9317,2.42
2015-09-04 03:00:00,8.4821,1.1616,0.9075,1.9723
2015-09-04 04:00:00,8.6273,1.1616,0.8712,1.8271
2015-09-04 05:00:00,6.9696,1.1495,0.8833,1.6577
2015-09-04 06:00:00,7.5988,1.1858,1.0406,1.7908
2015-09-04 07:00:00,7.9497,1.1737,0.9801,1.815
2015-09-04 08:00:00,8.1675,1.1737,1.0164,1.6698
2015-09-04 09:00:00,6.7518,1.1616,0.9196,1.8634
2015-09-04 10:00:00,7.8166,1.1737,1.1979,1.6698
2015-09-04 11:00:00,7.8892,1.1858,1.2584,1.4883
2015-09-04 12:00:00,8.6515,1.2463,1.331,1.5851
2015-09-04 13:00:00,NaN,1.1979,1.2947,1.5367
2015-09-04 14:00:00,6.9817,1.1979,1.4278,1.4762
2015-09-04 15:00:00,6.1589,1.21,1.2947,1.9844
2015-09-04 16:00:00,5.5418,1.2463,1.3189,1.7787
2015-09-04 17:00:00,6.8728,1.2947,1.0648,1.5246
2015-09-04 18:00:00,7.623,1.2221,0.9559,1.3552
2015-09-04 19:00:00,7.9739,1.2221,1.089,1.4278
2015-09-04 20:00:00,8.3248,1.2826,1.1858,1.4036
2015-09-04 21:00:00,9.1839,1.2584,1.3794,1.4036
2015-09-04 22:00:00,11.4345,1.2584,1.3673,1.4157
2015-09-04 23:00:00,7.3447,1.2826,0.8107,1.5609
2015-09-05 00:00:00,7.3205,1.2463,1.1495,1.2947
2015-09-05 01:00:00,8.1917,1.21,1.1253,1.3794
2015-09-05 02:00:00,7.5746,1.2342,1.1495,1.4157
2015-09-05 03:00:00,6.8486,1.21,1.2342,1.3794
2015-09-05 04:00:00,6.5703,1.21,1.0527,1.8634
2015-09-05 05:00:00,6.1105,1.21,0.9559,1.9239
2015-09-05 06:00:00,6.5703,1.1979,0.9559,1.9965
2015-09-05 07:00:00,5.687,1.1858,0.9075,1.4883
2015-09-05 08:00:00,5.9653,1.1616,0.9922,1.8513
2015-09-05 09:00:00,4.8279,1.2221,0.8712,1.7545
2015-09-05 10:00:00,5.6386,1.1616,0.9922,1.4157
2015-09-05 11:00:00,4.8884,1.1979,1.0648,1.4278
2015-09-05 12:00:00,5.7233,1.2221,1.1132,1.3068
2015-09-05 13:00:00,4.4286,1.2342,0.8107,1.2342
2015-09-05 14:00:00,3.7147,1.2463,1.1979,1.4278
2015-09-05 15:00:00,5.8564,1.1616,1.21,1.8029
2015-09-05 16:00:00,6.3404,1.1374,1.2342,2.0207
2015-09-05 17:00:00,7.0664,1.1737,1.5125,1.6335
2015-09-05 18:00:00,6.4856,1.1979,1.1253,1.5367
2015-09-05 19:00:00,8.107,1.1737,1.0406,1.573
2015-09-05 20:00:00,8.3369,1.1616,0.9559,1.573
2015-09-05 21:00:00,9.1355,1.1737,0.7865,1.4762
2015-09-05 22:00:00,10.6722,1.2221,0.7502,1.3431
2015-09-05 23:00:00,7.6835,1.1737,1.0043,1.5125
2015-09-06 00:00:00,6.7881,1.1616,0.8712,1.4157
2015-09-06 01:00:00,5.4692,1.1858,0.7381,1.4278
2015-09-06 02:00:00,5.445,1.1374,0.968,1.5246
2015-09-06 03:00:00,5.6749,1.1616,0.968,1.4762
2015-09-06 04:00:00,7.7077,1.1495,0.9196,1.6335
2015-09-06 05:00:00,6.8002,1.1495,0.9438,1.3915
2015-09-06 06:00:00,7.3447,1.1495,0.9196,1.3431
2015-09-06 07:00:00,4.84,1.1374,0.8349,1.4762
2015-09-06 08:00:00,6.0137,1.1495,0.8712,1.7908
2015-09-06 09:00:00,4.5012,1.1495,0.8228,1.573
2015-09-06 10:00:00,4.9247,1.1737,0.847,2.0449
2015-09-06 11:00:00,4.961,1.1858,0.7623,1.6698
2015-09-06 12:00:00,5.1062,1.2221,0.7744,1.5004
2015-09-06 13:00:00,5.3845,1.1858,0.7502,1.4399
2015-09-06 14:00:00,5.1909,1.1979,0.8591,1.5125
2015-09-06 15:00:00,6.1105,1.1495,0.8712,1.452
2015-09-06 16:00:00,6.6308,1.1495,0.847,1.2342
2015-09-06 17:00:00,5.8806,1.1979,0.8591,1.5367
2015-09-06 18:00:00,5.1425,1.1858,0.8349,1.3552
2015-09-06 19:00:00,5.1546,1.1979,0.8712,1.3552
2015-09-06 20:00:00,5.3845,1.1737,0.9317,1.5488
2015-09-06 21:00:00,5.1667,1.21,0.9317,3.5332
2015-09-06 22:00:00,5.7717,1.2221,0.8349,1.4157
2015-09-06 23:00:00,6.0258,1.1737,0.9196,1.5367
2015-09-07 00:00:00,6.5098,1.1616,0.8954,1.4883
2015-09-07 01:00:00,6.4614,1.1495,0.8833,1.4762
2015-09-07 02:00:00,6.3404,1.1374,0.9075,1.6577
2015-09-07 03:00:00,6.5219,1.1616,0.8954,1.6698
2015-09-07 04:00:00,6.1589,1.1616,0.8591,1.5972
2015-09-07 05:00:00,5.7112,1.1858,0.9317,1.7182
2015-09-07 06:00:00,5.4813,1.1737,0.8954,1.5488
2015-09-07 07:00:00,5.0094,1.1737,0.8228,1.5851
2015-09-07 08:00:00,5.445,1.1495,0.8107,1.3915
2015-09-07 09:00:00,6.0984,1.21,0.8107,1.5125
2015-09-07 10:00:00,6.8002,1.1737,0.8591,1.5972
2015-09-07 11:00:00,4.5496,1.2221,0.9438,1.7061
2015-09-07 12:00:00,4.9489,1.1979,0.9196,9.3654
2015-09-07 13:00:00,5.0578,1.1737,0.8833,1.3552
2015-09-07 14:00:00,5.4329,1.1495,0.8349,1.3189
2015-09-07 15:00:00,4.6222,1.1858,0.8228,1.4399
2015-09-07 16:00:00,4.6706,1.1616,0.8954,1.2947
2015-09-07 17:00:00,6.6792,1.2221,0.8591,1.3189
2015-09-07 18:00:00,5.4813,1.1616,0.8954,1.3431
2015-09-07 19:00:00,6.6913,1.2221,0.968,3.0492
2015-09-07 20:00:00,6.0621,1.1979,1.0769,13.5036
2015-09-07 21:00:00,6.2678,1.2342,0.9438,1.3794
2015-09-07 22:00:00,5.5539,1.2221,0.9559,1.3915
2015-09-07 23:00:00,4.9973,1.2584,0.8954,1.4883
2015-09-08 00:00:00,6.1952,1.2342,1.089,1.6093
2015-09-08 01:00:00,5.6265,1.2463,1.1253,1.6214
2015-09-08 02:00:00,5.1062,1.2463,1.3189,1.5246
2015-09-08 03:00:00,5.3603,1.2705,1.2705,1.5609
2015-09-08 04:00:00,5.8443,1.2463,1.4036,1.5125
2015-09-08 05:00:00,6.5219,1.2463,1.2947,1.3431
2015-09-08 06:00:00,5.9048,1.2342,1.3794,1.3189
2015-09-08 07:00:00,5.3603,1.2342,1.3068,1.1132
2015-09-08 08:00:00,5.7112,1.2221,1.3552,1.1858
2015-09-08 09:00:00,4.9247,1.2463,1.331,1.573
2015-09-08 10:00:00,5.6749,1.2342,1.3794,1.6335
2015-09-08 11:00:00,6.2194,1.2826,1.331,1.2463
2015-09-08 12:00:00,6.171,1.2221,1.4036,1.2463
2015-09-08 13:00:00,4.4286,1.2342,1.452,1.3189
2015-09-08 14:00:00,4.2108,1.1858,1.4157,1.5367
2015-09-08 15:00:00,4.1503,1.21,1.2342,1.2947
2015-09-08 16:00:00,4.2108,1.2826,1.4157,1.2947
