date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-05-01 00:00:00,4.7916,4.3435,26.6442,9.4622
2015-05-01 01:00:00,4.114,5.3582,26.7894,9.6195
2015-05-01 02:00:00,3.2912,4.8983,26.6442,9.6074
2015-05-01 03:00:00,4.2471,8.8549,26.7168,9.7405
2015-05-01 04:00:00,3.8962,6.2342,26.8983,9.8373
2015-05-01 05:00:00,3.7752,4.4676,26.8015,9.9583
2015-05-01 06:00:00,3.4364,2.6645,26.8499,10.0309
2015-05-01 07:00:00,3.7268,2.6499,26.983,10.0793
2015-05-01 08:00:00,3.7389,3.6281,26.8741,9.9583
2015-05-01 09:00:00,3.5695,2.3506,26.8862,9.9825
2015-05-01 10:00:00,3.5332,3.6208,27.0193,10.0309
2015-05-01 11:00:00,3.4727,3.8763,26.8378,10.1035
2015-05-01 12:00:00,3.5937,3.3653,26.8257,9.317
2015-05-01 13:00:00,3.8962,3.4018,26.8136,9.1234
2015-05-01 14:00:00,3.6542,2.6134,26.5837,0.0121
2015-05-01 15:00:00,3.2549,2.6207,26.5837,0.0242
2015-05-01 16:00:00,3.4485,2.6134,26.5716,0.0242
2015-05-01 17:00:00,3.7268,2.2922,26.3054,0.0242
2015-05-01 18:00:00,3.4606,1.4308,26.3054,0.0242
2015-05-01 19:00:00,3.8478,2.2484,26.4264,0.0242
2015-05-01 20:00:00,3.5332,2.7959,26.2328,0.0242
2015-05-01 21:00:00,3.5695,3.1755,26.3054,8.6152
2015-05-01 22:00:00,3.7389,3.8325,26.5474,0.0242
2015-05-01 23:00:00,3.3517,3.3799,26.5111,8.9177
2015-05-02 00:00:00,3.2065,3.3872,26.6563,9.6921
2015-05-02 01:00:00,2.8677,3.2704,26.8378,9.922
2015-05-02 02:00:00,NaN,3.2777,26.7652,9.9946
2015-05-02 03:00:00,2.6136,2.7594,26.7531,9.9704
2015-05-02 04:00:00,2.5289,2.3871,26.8741,9.922
2015-05-02 05:00:00,2.6862,2.19,26.7531,9.9099
2015-05-02 06:00:00,2.7346,2.2192,26.8378,9.8131
2015-05-02 07:00:00,3.5332,2.4382,26.9346,9.8252
2015-05-02 08:00:00,3.1944,2.2703,26.8136,9.7526
2015-05-02 09:00:00,3.1218,2.3068,26.8499,9.7405
2015-05-02 10:00:00,3.5574,2.0221,26.9951,9.6679
2015-05-02 11:00:00,4.5375,2.2922,26.8378,9.6195
2015-05-02 12:00:00,3.9325,2.3871,26.8136,9.5227
2015-05-02 13:00:00,5.7354,2.1681,26.3901,NaN
2015-05-02 14:00:00,7.1269,2.1097,26.2449,NaN
2015-05-02 15:00:00,5.5297,2.1389,26.1965,0.6292
2015-05-02 16:00:00,6.4614,2.0294,26.0755,0.4235
2015-05-02 17:00:00,8.1433,1.6571,25.8577,0.4235
2015-05-02 18:00:00,7.0785,1.5622,25.773,0.5324
2015-05-02 19:00:00,2.3353,1.5111,26.0029,0.3872
2015-05-02 20:00:00,3.0371,1.4016,26.0876,0.4961
2015-05-02 21:00:00,2.3353,1.6717,26.2812,0.7381
2015-05-02 22:00:00,1.9239,1.6279,26.499,0.7744
2015-05-02 23:00:00,2.057,1.6717,26.4022,0.7018
2015-05-03 00:00:00,1.9118,1.4527,26.5111,0.7139
2015-05-03 01:00:00,2.4079,2.7083,26.6563,0.6413
2015-05-03 02:00:00,2.5773,2.92,26.5353,0.726
2015-05-03 03:00:00,2.5168,2.5258,26.6079,0.6776
2015-05-03 04:00:00,2.9282,2.7594,26.741,0.8712
2015-05-03 05:00:00,4.0293,1.898,26.5837,1.3552
2015-05-03 06:00:00,2.8435,2.117,26.6079,0.8228
2015-05-03 07:00:00,2.5289,2.1024,26.6926,0.8712
2015-05-03 08:00:00,2.5289,2.3287,26.5353,0.968
2015-05-03 09:00:00,2.5773,2.6061,26.5958,0.7865
2015-05-03 10:00:00,2.42,2.5915,26.7531,0.9317
2015-05-03 11:00:00,2.7951,3.5697,26.1239,0.7018
2015-05-03 12:00:00,4.7916,2.92,25.7609,0.6534
2015-05-03 13:00:00,NaN,2.8689,25.5673,0.5445
2015-05-03 14:00:00,4.477,2.8543,25.5068,0.4719
2015-05-03 15:00:00,5.1062,4.7231,25.3979,0.3993
2015-05-03 16:00:00,2.5773,3.5259,25.6278,0.2662
2015-05-03 17:00:00,2.6499,4.7231,25.4221,0.4598
2015-05-03 18:00:00,1.6214,4.9348,25.531,0.5203
2015-05-03 19:00:00,1.5367,3.2631,25.773,0.3751
2015-05-03 20:00:00,1.694,5.475,25.7367,0.5203
2015-05-03 21:00:00,1.6093,2.8908,25.8093,0.8107
2015-05-03 22:00:00,2.0086,3.4748,26.0029,0.8349
2015-05-03 23:00:00,1.8634,7.5044,25.894,0.6897
2015-05-04 00:00:00,1.8755,7.8402,26.0513,0.7381
2015-05-04 01:00:00,1.9239,7.7234,26.2207,0.5929
2015-05-04 02:00:00,2.4926,10.0886,26.0997,0.5929
2015-05-04 03:00:00,NaN,5.9787,26.1723,0.7018
2015-05-04 04:00:00,5.3119,4.4749,26.2812,0.6171
2015-05-04 05:00:00,3.6905,5.4166,26.1481,0.605
2015-05-04 06:00:00,3.5816,4.9932,26.136,0.6292
2015-05-04 07:00:00,3.1581,4.3362,26.2812,0.4477
2015-05-04 08:00:00,3.4485,4.6574,26.1118,0.8833
2015-05-04 09:00:00,2.7104,4.8983,26.1844,0.5808
2015-05-04 10:00:00,3.146,5.1465,26.2812,0.7502
2015-05-04 11:00:00,3.9083,4.4603,25.894,0.6171
2015-05-04 12:00:00,6.4735,5.2633,25.7125,0.605
2015-05-04 13:00:00,5.1909,5.1757,25.3495,0.3751
2015-05-04 14:00:00,4.2592,5.4458,25.047,0.363
2015-05-04 15:00:00,3.0734,5.3874,24.926,0.3509
2015-05-04 16:00:00,7.2237,4.4457,25.1075,0.3267
2015-05-04 17:00:00,4.6585,5.0808,24.9623,0.4477
2015-05-04 18:00:00,2.8072,4.1756,25.0954,0.2783
2015-05-04 19:00:00,2.1659,3.8252,25.2043,0.3751
2015-05-04 20:00:00,2.1901,3.358,25.4947,0.4477
2015-05-04 21:00:00,2.3474,2.8251,25.41,0.605
2015-05-04 22:00:00,3.7752,3.285,NaN,0.6776
2015-05-04 23:00:00,4.8763,2.8251,NaN,0.5687
