date,Washington Chl-a,Washington Nitrate,Irminger Chl-a,Irminger Nitrate
2015-04-15 17:00:00,0.565529,0.733279,NaN,NaN
2015-04-15 18:00:00,0.546173,0.720207,NaN,NaN
2015-04-15 19:00:00,0.514333,0.739494,NaN,NaN
2015-04-15 20:00:00,0.503419,0.741553,NaN,NaN
2015-04-15 21:00:00,0.501838,0.793933,NaN,NaN
2015-04-15 22:00:00,0.52717,0.774697,NaN,NaN
2015-04-15 23:00:00,0.594907,0.796207,NaN,NaN
2015-04-16 00:00:00,0.668228,0.684988,NaN,NaN
2015-04-16 01:00:00,0.790682,0.673248,NaN,NaN
2015-04-16 02:00:00,0.836769,0.731513,NaN,NaN
2015-04-16 03:00:00,0.774244,0.761182,NaN,NaN
2015-04-16 04:00:00,0.760603,0.772206,NaN,NaN
2015-04-16 05:00:00,0.81738,0.787497,NaN,NaN
2015-04-16 06:00:00,0.856705,0.719845,NaN,NaN
2015-04-16 07:00:00,0.860847,0.765768,NaN,NaN
2015-04-16 08:00:00,0.892367,0.738706,NaN,NaN
2015-04-16 09:00:00,0.96841,0.713377,NaN,NaN
2015-04-16 10:00:00,0.925775,0.709827,NaN,NaN
2015-04-16 11:00:00,0.947289,0.695279,NaN,NaN
2015-04-16 12:00:00,0.967012,0.712879,NaN,NaN
2015-04-16 13:00:00,0.927626,0.755755,NaN,NaN
2015-04-16 14:00:00,0.906169,0.714019,NaN,NaN
2015-04-16 15:00:00,0.785055,0.796523,NaN,NaN
2015-04-16 16:00:00,0.65081,0.739562,NaN,NaN
2015-04-16 17:00:00,0.604585,0.700391,NaN,NaN
2015-04-16 18:00:00,0.578028,0.727941,NaN,NaN
2015-04-16 19:00:00,0.56188,0.678494,NaN,NaN
2015-04-16 20:00:00,0.499761,0.735059,NaN,NaN
2015-04-16 21:00:00,0.491611,0.741131,NaN,NaN
2015-04-16 22:00:00,0.492774,0.680321,NaN,NaN
2015-04-16 23:00:00,0.506583,0.679583,NaN,NaN
2015-04-17 00:00:00,0.594099,0.693793,NaN,NaN
2015-04-17 01:00:00,0.773676,0.773204,NaN,NaN
2015-04-17 02:00:00,0.795626,0.849466,NaN,NaN
2015-04-17 03:00:00,0.801767,0.864872,NaN,NaN
2015-04-17 04:00:00,0.831881,0.845549,NaN,NaN
2015-04-17 05:00:00,0.873706,0.884366,NaN,NaN
2015-04-17 06:00:00,0.825996,0.849083,NaN,NaN
2015-04-17 07:00:00,1.00498,2.22735,NaN,NaN
2015-04-17 08:00:00,0.744282,0.796234,NaN,NaN
2015-04-17 09:00:00,0.729741,0.811656,NaN,NaN
2015-04-17 10:00:00,0.716578,0.81261,NaN,NaN
2015-04-17 11:00:00,0.665919,0.790152,NaN,NaN
2015-04-17 12:00:00,0.650341,0.785603,NaN,NaN
2015-04-17 13:00:00,0.649431,0.820216,NaN,NaN
2015-04-17 14:00:00,0.733107,0.878296,NaN,NaN
2015-04-17 15:00:00,0.922632,1.02692,NaN,NaN
