date,Chlorophyll-a,CDOM,TVSC,OBS,TSCPS
2015-04-05 00:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 01:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 02:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 03:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 04:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 05:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 06:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 07:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 08:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 09:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 10:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 11:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 12:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 13:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 14:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 15:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 16:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 17:00:00,NaN,NaN,NaN,NaN,NaN
2015-04-05 18:00:00,0.9782,3.3485,0.000597558,NaN,NaN
2015-04-05 19:00:00,1.2556,2.896,0.000581061,NaN,NaN
2015-04-05 20:00:00,1.0439,2.6245,0.000936663,NaN,NaN
2015-04-05 21:00:00,1.2775,2.8055,0.00087984,NaN,NaN
2015-04-05 22:00:00,0.9928,2.896,0.000713037,NaN,NaN
2015-04-05 23:00:00,1.3651,2.715,0.000801021,NaN,NaN
2015-04-06 00:00:00,1.5622,2.715,0.000918333,NaN,NaN
2015-04-06 01:00:00,1.4527,2.715,0.000839514,NaN,NaN
2015-04-06 02:00:00,1.5841,2.896,0.000680043,NaN,NaN
2015-04-06 03:00:00,1.5257,3.077,0.000731367,NaN,NaN
2015-04-06 04:00:00,1.3724,3.1675,0.000621387,NaN,NaN
2015-04-06 05:00:00,1.4454,3.258,0.000573729,NaN,NaN
2015-04-06 06:00:00,1.3797,3.258,0.000608556,NaN,NaN
2015-04-06 07:00:00,1.2848,3.258,0.000599391,NaN,NaN
2015-04-06 08:00:00,1.3359,3.3485,0.000557232,NaN,NaN
2015-04-06 09:00:00,1.241,3.077,0.000493077,NaN,NaN
2015-04-06 10:00:00,1.2629,3.1675,0.000663546,NaN,NaN
2015-04-06 11:00:00,2.0002,3.3485,0.00100448,NaN,NaN
2015-04-06 12:00:00,1.2921,3.258,0.000527904,NaN,NaN
2015-04-06 13:00:00,1.2337,2.896,0.00043992,NaN,NaN
2015-04-06 14:00:00,0.8614,2.896,0.000359268,NaN,NaN
2015-04-06 15:00:00,0.8687,2.896,0.000304278,NaN,NaN
2015-04-06 16:00:00,0.9052,2.6245,0.000379431,NaN,NaN
2015-04-06 17:00:00,0.7227,2.8055,0.000362934,NaN,NaN
2015-04-06 18:00:00,0.9125,3.3485,0.000929331,NaN,NaN
2015-04-06 19:00:00,0.9563,2.715,0.000894504,NaN,NaN
2015-04-06 20:00:00,0.949,3.258,0.000932997,NaN,NaN
2015-04-06 21:00:00,1.1169,2.9865,0.0009165,NaN,NaN
2015-04-06 22:00:00,1.1096,3.077,0.000802854,NaN,NaN
2015-04-06 23:00:00,1.1826,2.896,0.000766194,NaN,NaN
2015-04-07 00:00:00,1.3797,3.077,0.000878007,NaN,NaN
2015-04-07 01:00:00,1.5257,3.1675,0.000775359,NaN,NaN
2015-04-07 02:00:00,0.8176,2.534,0.000443586,NaN,NaN
2015-04-07 03:00:00,0.7592,2.715,0.000320775,NaN,NaN
2015-04-07 04:00:00,1.0658,2.8055,0.000463749,NaN,NaN
2015-04-07 05:00:00,0.8395,2.715,0.000441753,NaN,NaN
2015-04-07 06:00:00,1.3651,3.077,0.000614055,NaN,NaN
2015-04-07 07:00:00,1.5403,3.3485,0.000749697,NaN,NaN
2015-04-07 08:00:00,1.8907,3.5295,0.00106131,NaN,NaN
2015-04-07 09:00:00,1.2994,3.077,0.000669045,NaN,NaN
2015-04-07 10:00:00,1.3286,2.715,0.000615888,NaN,NaN
2015-04-07 11:00:00,0.9855,2.896,0.00051324,NaN,NaN
2015-04-07 12:00:00,0.7811,2.896,0.000392262,NaN,NaN
2015-04-07 13:00:00,1.6498,3.1675,0.000936663,NaN,NaN
2015-04-07 14:00:00,1.1388,2.9865,0.000588393,NaN,NaN
2015-04-07 15:00:00,1.6936,3.258,0.00076986,NaN,NaN
2015-04-07 16:00:00,0.8614,2.8055,0.000471081,NaN,NaN
2015-04-07 17:00:00,0.9344,2.4435,0.000410592,NaN,NaN
2015-04-07 18:00:00,1.0512,2.4435,0.000511407,NaN,NaN
2015-04-07 19:00:00,1.8542,3.439,0.000932997,NaN,NaN
2015-04-07 20:00:00,1.2921,2.715,0.000661713,NaN,NaN
2015-04-07 21:00:00,0.8614,2.715,0.000509574,NaN,NaN
2015-04-07 22:00:00,0.8979,2.353,0.000584727,NaN,NaN
2015-04-07 23:00:00,2.6061,3.439,0.0014554,NaN,NaN
