date,Pacific,Atlantic
2015-03-17 00:00:00,1.5972,NaN
2015-03-17 04:00:00,1.7424,NaN
2015-03-17 08:00:00,1.7303,NaN
2015-03-17 12:00:00,1.6093,NaN
2015-03-17 16:00:00,1.0406,NaN
2015-03-17 20:00:00,1.0164,-0.0242
2015-03-18 00:00:00,1.5972,1.2463
2015-03-18 04:00:00,1.6698,1.1858
2015-03-18 08:00:00,1.6214,1.0527
2015-03-18 12:00:00,1.573,0.9438
2015-03-18 16:00:00,1.1011,1.2463
2015-03-18 20:00:00,1.21,1.331
2015-03-19 00:00:00,1.5125,1.2826
2015-03-19 04:00:00,1.6093,1.2342
2015-03-19 08:00:00,1.5004,1.1979
2015-03-19 12:00:00,1.5004,0.968
2015-03-19 16:00:00,1.2705,1.2221
2015-03-19 20:00:00,1.2826,1.1495
2015-03-20 00:00:00,1.5125,1.3794
2015-03-20 04:00:00,1.6335,1.6214
2015-03-20 08:00:00,1.5609,1.21
2015-03-20 12:00:00,1.5246,1.0285
2015-03-20 16:00:00,1.2342,1.452
2015-03-20 20:00:00,1.1253,1.2947
2015-03-21 00:00:00,1.5488,1.1737
2015-03-21 04:00:00,1.6819,0.9438
2015-03-21 08:00:00,1.5609,1.0769
2015-03-21 12:00:00,1.4883,0.8591
2015-03-21 16:00:00,1.1737,1.2826
2015-03-21 20:00:00,1.1132,1.2463
2015-03-22 00:00:00,1.452,1.0285
2015-03-22 04:00:00,1.5972,1.4278
2015-03-22 08:00:00,1.5488,0.8107
2015-03-22 12:00:00,1.5004,1.3552
2015-03-22 16:00:00,1.4036,1.1132
2015-03-22 20:00:00,1.4157,0.5929
2015-03-23 00:00:00,1.4883,0.6292
2015-03-23 04:00:00,1.7666,1.8876
2015-03-23 08:00:00,1.6456,0.7623
2015-03-23 12:00:00,1.5246,1.4157
2015-03-23 16:00:00,1.4641,1.1858
2015-03-23 20:00:00,1.4762,0.9317
2015-03-24 00:00:00,1.5488,1.0648
2015-03-24 04:00:00,1.6456,1.6214
2015-03-24 08:00:00,1.6093,0.8954
2015-03-24 12:00:00,1.5367,0.6534
2015-03-24 16:00:00,1.0043,1.089
