date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-04-05 00:00:00,NaN,NaN,NaN,NaN
2015-04-05 01:00:00,0.0366,NaN,NaN,NaN
2015-04-05 02:00:00,0.0732,NaN,NaN,NaN
2015-04-05 03:00:00,0.0976,NaN,NaN,NaN
2015-04-05 04:00:00,0.122,NaN,NaN,NaN
2015-04-05 05:00:00,0.1464,NaN,NaN,NaN
2015-04-05 06:00:00,0.1708,NaN,NaN,NaN
2015-04-05 07:00:00,NaN,NaN,NaN,NaN
2015-04-05 08:00:00,NaN,NaN,NaN,NaN
2015-04-05 09:00:00,0.1586,NaN,NaN,NaN
2015-04-05 10:00:00,0.2074,NaN,NaN,NaN
2015-04-05 11:00:00,NaN,NaN,NaN,NaN
2015-04-05 12:00:00,NaN,NaN,NaN,NaN
2015-04-05 13:00:00,NaN,NaN,NaN,NaN
2015-04-05 14:00:00,NaN,NaN,NaN,NaN
2015-04-05 15:00:00,NaN,NaN,NaN,NaN
2015-04-05 16:00:00,NaN,NaN,NaN,NaN
2015-04-05 17:00:00,NaN,NaN,NaN,NaN
2015-04-05 18:00:00,NaN,0.9782,NaN,NaN
2015-04-05 19:00:00,NaN,1.2556,NaN,NaN
2015-04-05 20:00:00,NaN,1.0439,NaN,NaN
2015-04-05 21:00:00,NaN,1.2775,NaN,NaN
2015-04-05 22:00:00,NaN,0.9928,NaN,NaN
2015-04-05 23:00:00,NaN,1.3651,NaN,NaN
2015-04-06 00:00:00,NaN,1.5622,NaN,NaN
2015-04-06 01:00:00,0.5978,1.4527,NaN,NaN
2015-04-06 02:00:00,NaN,1.5841,NaN,NaN
2015-04-06 03:00:00,NaN,1.5257,NaN,NaN
2015-04-06 04:00:00,0.915,1.3724,NaN,NaN
2015-04-06 05:00:00,NaN,1.4454,NaN,NaN
2015-04-06 06:00:00,NaN,1.3797,NaN,NaN
2015-04-06 07:00:00,NaN,1.2848,NaN,NaN
2015-04-06 08:00:00,1.3298,1.3359,NaN,NaN
2015-04-06 09:00:00,1.647,1.241,NaN,NaN
2015-04-06 10:00:00,NaN,1.2629,NaN,NaN
2015-04-06 11:00:00,1.8422,2.0002,NaN,NaN
2015-04-06 12:00:00,NaN,1.2921,NaN,NaN
2015-04-06 13:00:00,2.0252,1.2337,NaN,NaN
2015-04-06 14:00:00,NaN,0.8614,NaN,NaN
2015-04-06 15:00:00,2.5986,0.8687,NaN,NaN
2015-04-06 16:00:00,2.5498,0.9052,NaN,NaN
2015-04-06 17:00:00,2.5132,0.7227,NaN,NaN
2015-04-06 18:00:00,NaN,0.9125,NaN,NaN
2015-04-06 19:00:00,NaN,0.9563,NaN,NaN
2015-04-06 20:00:00,NaN,0.949,NaN,NaN
2015-04-06 21:00:00,NaN,1.1169,NaN,NaN
2015-04-06 22:00:00,NaN,1.1096,NaN,NaN
2015-04-06 23:00:00,NaN,1.1826,NaN,NaN
2015-04-07 00:00:00,NaN,1.3797,NaN,NaN
2015-04-07 01:00:00,3.1232,1.5257,NaN,NaN
2015-04-07 02:00:00,2.562,0.8176,NaN,NaN
2015-04-07 03:00:00,NaN,0.7592,NaN,NaN
2015-04-07 04:00:00,NaN,1.0658,NaN,NaN
2015-04-07 05:00:00,3.172,0.8395,NaN,NaN
2015-04-07 06:00:00,3.294,1.3651,NaN,NaN
2015-04-07 07:00:00,NaN,1.5403,NaN,NaN
2015-04-07 08:00:00,3.172,1.8907,NaN,NaN
2015-04-07 09:00:00,3.477,1.2994,NaN,NaN
2015-04-07 10:00:00,NaN,1.3286,NaN,NaN
2015-04-07 11:00:00,3.6356,0.9855,NaN,NaN
2015-04-07 12:00:00,3.416,0.7811,NaN,NaN
2015-04-07 13:00:00,NaN,1.6498,NaN,NaN
2015-04-07 14:00:00,3.8674,1.1388,NaN,NaN
2015-04-07 15:00:00,3.6844,1.6936,NaN,NaN
2015-04-07 16:00:00,3.3428,0.8614,NaN,NaN
2015-04-07 17:00:00,3.477,0.9344,NaN,NaN
2015-04-07 18:00:00,NaN,1.0512,NaN,NaN
2015-04-07 19:00:00,NaN,1.8542,NaN,NaN
2015-04-07 20:00:00,NaN,1.2921,NaN,NaN
2015-04-07 21:00:00,NaN,0.8614,NaN,NaN
2015-04-07 22:00:00,NaN,0.8979,NaN,NaN
2015-04-07 23:00:00,NaN,2.6061,NaN,NaN
2015-04-08 00:00:00,NaN,1.4527,NaN,NaN
2015-04-08 01:00:00,NaN,2.0148,NaN,NaN
2015-04-08 02:00:00,NaN,1.6936,NaN,NaN
2015-04-08 03:00:00,NaN,1.387,NaN,NaN
2015-04-08 04:00:00,NaN,1.8104,NaN,NaN
2015-04-08 05:00:00,NaN,1.825,NaN,NaN
2015-04-08 06:00:00,NaN,1.9564,NaN,NaN
2015-04-08 07:00:00,NaN,2.0586,NaN,NaN
2015-04-08 08:00:00,NaN,1.1461,NaN,NaN
2015-04-08 09:00:00,NaN,1.5184,NaN,NaN
2015-04-08 10:00:00,NaN,2.117,NaN,NaN
2015-04-08 11:00:00,NaN,1.4673,NaN,NaN
2015-04-08 12:00:00,NaN,2.1608,NaN,NaN
2015-04-08 13:00:00,NaN,2.0075,NaN,NaN
2015-04-08 14:00:00,NaN,0.9125,NaN,NaN
2015-04-08 15:00:00,NaN,1.1096,NaN,NaN
2015-04-08 16:00:00,NaN,1.3797,NaN,NaN
2015-04-08 17:00:00,NaN,0.8103,NaN,NaN
2015-04-08 18:00:00,NaN,0.8614,NaN,NaN
2015-04-08 19:00:00,NaN,1.8907,NaN,NaN
2015-04-08 20:00:00,NaN,1.4016,NaN,NaN
2015-04-08 21:00:00,NaN,1.0585,NaN,NaN
2015-04-08 22:00:00,NaN,1.1169,NaN,NaN
2015-04-08 23:00:00,NaN,2.1097,NaN,NaN
2015-04-09 00:00:00,NaN,1.5111,NaN,NaN
2015-04-09 01:00:00,7.9666,1.46,NaN,NaN
2015-04-09 02:00:00,NaN,1.2702,NaN,NaN
2015-04-09 03:00:00,8.4546,0.9052,NaN,NaN
2015-04-09 04:00:00,10.614,0.9417,NaN,NaN
2015-04-09 05:00:00,11.0898,0.9125,NaN,NaN
2015-04-09 06:00:00,14.579,0.9709,NaN,NaN
2015-04-09 07:00:00,NaN,0.9271,NaN,NaN
2015-04-09 08:00:00,11.8584,0.8979,NaN,NaN
2015-04-09 09:00:00,15.677,0.9636,NaN,NaN
2015-04-09 10:00:00,13.8836,0.7592,NaN,NaN
2015-04-09 11:00:00,12.9076,1.0585,NaN,NaN
2015-04-09 12:00:00,NaN,1.0366,NaN,NaN
2015-04-09 13:00:00,NaN,0.8687,NaN,NaN
2015-04-09 14:00:00,NaN,0.7957,NaN,NaN
2015-04-09 15:00:00,NaN,0.7154,NaN,NaN
2015-04-09 16:00:00,NaN,0.7081,NaN,NaN
2015-04-09 17:00:00,NaN,0.7227,NaN,NaN
2015-04-09 18:00:00,NaN,0.5694,NaN,NaN
2015-04-09 19:00:00,NaN,0.4745,NaN,NaN
2015-04-09 20:00:00,NaN,0.511,NaN,NaN
2015-04-09 21:00:00,NaN,0.4964,NaN,NaN
2015-04-09 22:00:00,NaN,0.5329,NaN,NaN
2015-04-09 23:00:00,NaN,0.6862,NaN,NaN
2015-04-10 00:00:00,NaN,0.7154,NaN,NaN
2015-04-10 01:00:00,NaN,0.7519,NaN,NaN
2015-04-10 02:00:00,NaN,0.7738,NaN,NaN
2015-04-10 03:00:00,NaN,0.6205,NaN,NaN
2015-04-10 04:00:00,NaN,0.584,NaN,NaN
2015-04-10 05:00:00,NaN,0.6935,NaN,NaN
2015-04-10 06:00:00,1.8392,0.5037,NaN,NaN
2015-04-10 07:00:00,1.8634,0.5256,NaN,NaN
2015-04-10 08:00:00,1.8634,0.5475,NaN,NaN
2015-04-10 09:00:00,1.8392,0.5475,NaN,NaN
2015-04-10 10:00:00,NaN,0.5621,NaN,NaN
2015-04-10 11:00:00,1.6698,0.5548,NaN,NaN
2015-04-10 12:00:00,1.8029,0.7154,NaN,NaN
2015-04-10 13:00:00,1.9481,0.584,NaN,NaN
2015-04-10 14:00:00,1.8029,0.6059,NaN,NaN
2015-04-10 15:00:00,1.8513,0.6059,NaN,NaN
2015-04-10 16:00:00,1.9118,0.657,NaN,NaN
2015-04-10 17:00:00,2.1296,0.6789,NaN,NaN
2015-04-10 18:00:00,2.0207,0.6132,NaN,NaN
2015-04-10 19:00:00,2.8798,0.584,NaN,NaN
2015-04-10 20:00:00,3.1097,0.657,NaN,NaN
2015-04-10 21:00:00,2.6983,0.7154,NaN,NaN
2015-04-10 22:00:00,2.42,0.8906,NaN,NaN
2015-04-10 23:00:00,2.0812,1.0804,NaN,NaN
2015-04-11 00:00:00,1.8513,1.0512,NaN,NaN
2015-04-11 01:00:00,1.8634,1.095,NaN,NaN
2015-04-11 02:00:00,1.8029,0.9563,NaN,NaN
2015-04-11 03:00:00,1.6819,0.9417,NaN,NaN
2015-04-11 04:00:00,1.7545,0.9052,NaN,NaN
2015-04-11 05:00:00,1.6577,0.8468,NaN,NaN
2015-04-11 06:00:00,1.6819,0.9125,NaN,NaN
2015-04-11 07:00:00,1.5851,0.9198,NaN,NaN
2015-04-11 08:00:00,1.7182,0.9198,NaN,NaN
2015-04-11 09:00:00,1.7908,0.9052,NaN,NaN
2015-04-11 10:00:00,1.8755,0.9709,NaN,NaN
2015-04-11 11:00:00,1.9844,0.9928,NaN,NaN
2015-04-11 12:00:00,1.8755,1.0658,NaN,NaN
2015-04-11 13:00:00,1.9844,1.0585,NaN,NaN
2015-04-11 14:00:00,2.0086,1.0074,NaN,NaN
2015-04-11 15:00:00,2.1417,1.0512,NaN,NaN
2015-04-11 16:00:00,2.6499,0.9928,NaN,NaN
2015-04-11 17:00:00,2.904,0.657,NaN,NaN
2015-04-11 18:00:00,2.9282,0.5913,NaN,NaN
2015-04-11 19:00:00,2.8435,0.5548,NaN,NaN
2015-04-11 20:00:00,3.0734,0.5402,NaN,NaN
2015-04-11 21:00:00,3.1097,0.5329,NaN,NaN
2015-04-11 22:00:00,3.3275,0.657,NaN,NaN
2015-04-11 23:00:00,3.1218,0.5329,NaN,NaN
2015-04-12 00:00:00,3.2791,0.5986,NaN,NaN
2015-04-12 01:00:00,3.3275,0.6789,NaN,NaN
2015-04-12 02:00:00,3.3638,0.73,NaN,NaN
2015-04-12 03:00:00,3.4606,0.8322,NaN,NaN
2015-04-12 04:00:00,3.3154,0.7957,NaN,NaN
2015-04-12 05:00:00,3.4606,0.7884,NaN,NaN
2015-04-12 06:00:00,3.8115,0.7373,NaN,NaN
2015-04-12 07:00:00,3.0492,0.7008,NaN,NaN
2015-04-12 08:00:00,3.1339,0.7738,NaN,NaN
2015-04-12 09:00:00,3.3396,0.7008,NaN,NaN
2015-04-12 10:00:00,3.6058,0.6862,NaN,NaN
2015-04-12 11:00:00,3.5453,0.6935,NaN,NaN
2015-04-12 12:00:00,3.3154,0.6935,NaN,NaN
2015-04-12 13:00:00,3.8236,0.7008,NaN,NaN
2015-04-12 14:00:00,3.3396,0.6424,NaN,NaN
2015-04-12 15:00:00,3.2186,0.6862,NaN,NaN
2015-04-12 16:00:00,3.5816,0.5986,NaN,NaN
2015-04-12 17:00:00,2.42,0.6205,NaN,NaN
2015-04-12 18:00:00,2.4684,0.4818,NaN,NaN
2015-04-12 19:00:00,2.5773,0.4891,NaN,NaN
2015-04-12 20:00:00,2.3837,0.4672,NaN,NaN
2015-04-12 21:00:00,2.4442,0.4234,NaN,NaN
2015-04-12 22:00:00,2.7346,0.4599,NaN,NaN
2015-04-12 23:00:00,3.9446,0.4526,NaN,NaN
2015-04-13 00:00:00,3.5453,0.4964,NaN,NaN
2015-04-13 01:00:00,4.356,NaN,NaN,NaN
2015-04-13 02:00:00,2.8435,NaN,NaN,NaN
2015-04-13 03:00:00,3.0976,NaN,NaN,NaN
2015-04-13 04:00:00,3.5211,NaN,NaN,NaN
2015-04-13 05:00:00,2.7104,NaN,NaN,NaN
2015-04-13 06:00:00,2.9766,NaN,NaN,NaN
2015-04-13 07:00:00,3.7268,NaN,NaN,NaN
2015-04-13 08:00:00,3.4727,NaN,NaN,NaN
2015-04-13 09:00:00,2.7346,NaN,NaN,NaN
2015-04-13 10:00:00,2.5652,NaN,NaN,NaN
2015-04-13 11:00:00,2.8556,NaN,NaN,NaN
2015-04-13 12:00:00,2.4321,NaN,NaN,NaN
2015-04-13 13:00:00,2.8798,NaN,NaN,NaN
2015-04-13 14:00:00,2.904,NaN,NaN,NaN
2015-04-13 15:00:00,2.7467,NaN,NaN,NaN
2015-04-13 16:00:00,2.7346,NaN,NaN,NaN
2015-04-13 17:00:00,2.8677,NaN,NaN,NaN
2015-04-13 18:00:00,3.4122,NaN,NaN,NaN
2015-04-13 19:00:00,3.3759,NaN,NaN,NaN
2015-04-13 20:00:00,3.6542,NaN,NaN,NaN
2015-04-13 21:00:00,4.2592,NaN,NaN,NaN
