pressure,site,temperature,salinity,density,sigma0,lat,lon
5,1,6.68,34.64,1027.217,27.182,53.66086,-38.72479333
15,1,6.53,34.64,1027.272,27.201,53.66086,-38.72479333
25,1,6.21,34.64,1027.354,27.239,53.66086,-38.72479333
35,1,5.84,34.65,1027.462,27.299,53.66086,-38.72479333
45,1,5.20,34.68,1027.607,27.399,53.66086,-38.72479333
55,1,4.91,34.68,1027.691,27.437,53.66086,-38.72479333
65,1,4.53,34.70,1027.794,27.492,53.66086,-38.72479333
75,1,4.33,34.71,1027.874,27.524,53.66086,-38.72479333
85,1,4.24,34.72,1027.934,27.538,53.66086,-38.72479333
95,1,4.20,34.72,1027.989,27.546,53.66086,-38.72479333
105,1,4.15,34.72,1028.044,27.555,53.66086,-38.72479333
115,1,4.17,34.74,1028.102,27.566,53.66086,-38.72479333
125,1,4.18,34.75,1028.150,27.568,53.66086,-38.72479333
135,1,4.17,34.75,1028.202,27.575,53.66086,-38.72479333
145,1,4.22,34.77,1028.254,27.582,53.66086,-38.72479333
155,1,4.17,34.77,1028.308,27.591,53.66086,-38.72479333
165,1,4.13,34.78,1028.370,27.602,53.66086,-38.72479333
175,1,4.04,34.78,1028.426,27.612,53.66086,-38.72479333
185,1,3.93,34.78,1028.486,27.624,53.66086,-38.72479333
195,1,4.00,34.80,1028.539,27.632,53.66086,-38.72479333
205,1,3.95,34.80,1028.593,27.639,53.66086,-38.72479333
215,1,3.87,34.80,1028.644,27.644,53.66086,-38.72479333
225,1,3.95,34.82,1028.693,27.649,53.66086,-38.72479333
235,1,4.07,34.84,1028.749,27.659,53.66086,-38.72479333
245,1,4.07,34.85,1028.800,27.664,53.66086,-38.72479333
255,1,4.11,34.86,1028.851,27.669,53.66086,-38.72479333
265,1,4.11,34.87,1028.904,27.675,53.66086,-38.72479333
275,1,4.15,34.88,1028.954,27.679,53.66086,-38.72479333
285,1,4.20,34.89,1029.006,27.685,53.66086,-38.72479333
295,1,4.20,34.90,1029.057,27.691,53.66086,-38.72479333
305,1,4.17,34.90,1029.105,27.694,53.66086,-38.72479333
315,1,4.16,34.91,1029.158,27.699,53.66086,-38.72479333
325,1,4.10,34.90,1029.207,27.703,53.66086,-38.72479333
335,1,4.05,34.90,1029.262,27.709,53.66086,-38.72479333
345,1,4.04,34.91,1029.312,27.713,53.66086,-38.72479333
355,1,4.02,34.91,1029.364,27.717,53.66086,-38.72479333
365,1,3.99,34.91,1029.413,27.720,53.66086,-38.72479333
375,1,3.97,34.91,1029.461,27.722,53.66086,-38.72479333
385,1,3.97,34.91,1029.510,27.724,53.66086,-38.72479333
395,1,3.96,34.91,1029.556,27.727,53.66086,-38.72479333
405,1,3.94,34.91,1029.598,27.729,53.66086,-38.72479333
415,1,3.93,34.91,1029.653,27.730,53.66086,-38.72479333
425,1,3.91,34.91,1029.702,27.732,53.66086,-38.72479333
435,1,3.90,34.91,1029.749,27.733,53.66086,-38.72479333
445,1,3.88,34.91,1029.797,27.735,53.66086,-38.72479333
455,1,3.86,34.91,1029.846,27.736,53.66086,-38.72479333
465,1,3.86,34.91,1029.893,27.738,53.66086,-38.72479333
475,1,3.84,34.91,1029.940,27.738,53.66086,-38.72479333
485,1,3.83,34.91,1029.987,27.740,53.66086,-38.72479333
495,1,3.82,34.91,1030.035,27.741,53.66086,-38.72479333
505,1,3.81,34.91,1030.083,27.742,53.66086,-38.72479333
515,1,3.80,34.91,1030.129,27.743,53.66086,-38.72479333
525,1,3.79,34.91,1030.176,27.744,53.66086,-38.72479333
535,1,3.78,34.91,1030.223,27.745,53.66086,-38.72479333
545,1,3.76,34.91,1030.272,27.747,53.66086,-38.72479333
555,1,3.75,34.91,1030.318,27.747,53.66086,-38.72479333
565,1,3.75,34.91,1030.364,27.747,53.66086,-38.72479333
575,1,3.73,34.91,1030.411,27.749,53.66086,-38.72479333
585,1,3.72,34.91,1030.458,27.749,53.66086,-38.72479333
595,1,3.70,34.91,1030.506,27.750,53.66086,-38.72479333
605,1,3.68,34.91,1030.554,27.752,53.66086,-38.72479333
615,1,3.68,34.91,1030.600,27.752,53.66086,-38.72479333
625,1,3.68,34.91,1030.647,27.753,53.66086,-38.72479333
635,1,3.69,34.91,1030.694,27.754,53.66086,-38.72479333
645,1,3.68,34.91,1030.741,27.754,53.66086,-38.72479333
655,1,3.68,34.91,1030.787,27.754,53.66086,-38.72479333
665,1,3.68,34.91,1030.832,27.754,53.66086,-38.72479333
675,1,3.66,34.91,1030.878,27.755,53.66086,-38.72479333
685,1,3.65,34.91,1030.926,27.755,53.66086,-38.72479333
695,1,3.65,34.91,1030.973,27.756,53.66086,-38.72479333
705,1,3.62,34.90,1031.018,27.757,53.66086,-38.72479333
715,1,3.59,34.90,1031.067,27.758,53.66086,-38.72479333
725,1,3.57,34.90,1031.114,27.758,53.66086,-38.72479333
735,1,3.59,34.90,1031.159,27.759,53.66086,-38.72479333
745,1,3.61,34.91,1031.205,27.759,53.66086,-38.72479333
