time,Barometric Pressure,Wind Speed,Significant Wave Height
2018-03-01T00:00:00Z,1014.319,6.751,1.33
2018-03-01T01:00:00Z,1014.01,7.735,1.34
2018-03-01T02:00:00Z,1013.698,7.292,1.34
2018-03-01T03:00:00Z,1013.269,7.623,1.47
2018-03-01T04:00:00Z,1012.907,6.055,1.31
2018-03-01T05:00:00Z,1012.837,6.157,1.47
2018-03-01T06:00:00Z,1012.504,5.075,1.55
2018-03-01T07:00:00Z,1012.059,5.338,1.51
2018-03-01T08:00:00Z,1011.686,5.054,1.56
2018-03-01T09:00:00Z,1011.632,4.728,1.5
2018-03-01T10:00:00Z,1011.078,4.453,1.28
2018-03-01T11:00:00Z,1011.286,4.519,1.19
2018-03-01T12:00:00Z,1011.561,4.433,1.51
2018-03-01T13:00:00Z,1011.483,3.097,1.29
2018-03-01T14:00:00Z,1011.362,1.885,1.48
2018-03-01T15:00:00Z,1011.395,1.485,1.39
2018-03-01T16:00:00Z,1011.494,1.33,1.29
2018-03-01T17:00:00Z,1010.755,0.733,1.19
2018-03-01T18:00:00Z,1010.13,0.714,1.39
2018-03-01T19:00:00Z,1009.362,2.366,1.37
2018-03-01T20:00:00Z,1008.837,3.119,1.35
2018-03-01T21:00:00Z,1008.164,3.901,1.09
2018-03-01T22:00:00Z,1006.918,4.473,1.31
2018-03-01T23:00:00Z,1006.069,5.943,1.12
2018-03-02T00:00:00Z,1004.768,6.827,1.07
2018-03-02T01:00:00Z,1004.415,7.084,1.02
2018-03-02T02:00:00Z,1003.478,6.902,1.25
2018-03-02T03:00:00Z,1001.88,6.933,1.09
2018-03-02T04:00:00Z,999.695,7.342,1.34
2018-03-02T05:00:00Z,997.359,7.586,1.46
2018-03-02T06:00:00Z,994.919,8.449,1.59
2018-03-02T07:00:00Z,992.307,8.592,1.62
2018-03-02T08:00:00Z,989.226,9.493,1.69
2018-03-02T09:00:00Z,987.017,8.198,1.76
2018-03-02T10:00:00Z,984.318,7.706,2.44
2018-03-02T11:00:00Z,982.66,6.207,2.38
2018-03-02T12:00:00Z,981.901,3.778,2.74
2018-03-02T13:00:00Z,981.163,3.87,3.11
2018-03-02T14:00:00Z,980.34,6.231,2.5
2018-03-02T15:00:00Z,979.234,6.633,2.15
2018-03-02T16:00:00Z,978.053,6.878,2.78
2018-03-02T17:00:00Z,976.634,5.325,2.54
2018-03-02T18:00:00Z,975.855,3.855,3.06
2018-03-02T19:00:00Z,976.286,2.639,3.19
2018-03-02T20:00:00Z,977.25,4.276,2.86
2018-03-02T21:00:00Z,978.922,8.463,3.59
2018-03-02T22:00:00Z,980.424,14.815,2.68
2018-03-02T23:00:00Z,981.519,17.67,3.35
2018-03-03T00:00:00Z,982.021,19.091,4.03
2018-03-03T01:00:00Z,983.689,16.35,6.15
2018-03-03T02:00:00Z,988.092,17.708,7.48
2018-03-03T03:00:00Z,991.169,17.398,5.68
2018-03-03T04:00:00Z,992.929,17.195,6.1
2018-03-03T05:00:00Z,994.249,16.376,5.8
2018-03-03T06:00:00Z,995.193,16.169,6.84
2018-03-03T07:00:00Z,995.503,17.622,6.12
2018-03-03T08:00:00Z,995.794,18.129,5.24
2018-03-03T09:00:00Z,996.318,18.735,6.34
2018-03-03T10:00:00Z,997.348,18.591,6.18
2018-03-03T11:00:00Z,999.041,16.876,6.73
2018-03-03T12:00:00Z,1000.493,16.616,5.31
2018-03-03T13:00:00Z,1001.8,16.336,6.82
2018-03-03T14:00:00Z,1002.928,15.317,5.96
2018-03-03T15:00:00Z,1004.013,15.744,5.44
2018-03-03T16:00:00Z,1004.784,16.191,7.78
2018-03-03T17:00:00Z,1005.312,16.553,6.87
2018-03-03T18:00:00Z,1006.334,15.771,7.32
2018-03-03T19:00:00Z,1007.147,15.46,4.85
2018-03-03T20:00:00Z,1007.831,15.975,6.64
2018-03-03T21:00:00Z,1008.855,15.626,7.25
2018-03-03T22:00:00Z,1009.507,15.398,6.43
2018-03-03T23:00:00Z,1010.299,15.438,5.29
2018-03-04T00:00:00Z,1010.755,14.952,6.93
2018-03-04T01:00:00Z,1011.164,14.295,5.93
2018-03-04T02:00:00Z,1010.828,14.647,5.74
2018-03-04T03:00:00Z,1010.969,14.402,5.9
2018-03-04T04:00:00Z,1011.332,13.686,4.62
2018-03-04T05:00:00Z,1011.649,13.666,5.5
2018-03-04T06:00:00Z,1011.437,13.758,5.91
2018-03-04T07:00:00Z,1011.29,13.472,5.25
2018-03-04T08:00:00Z,1011.34,13.411,5.05
2018-03-04T09:00:00Z,1011.618,14.04,5.17
2018-03-04T10:00:00Z,1012.225,14.141,4.96
2018-03-04T11:00:00Z,1012.578,14.03,4.89
2018-03-04T12:00:00Z,1013.077,13.442,5.27
2018-03-04T13:00:00Z,1013.081,13.264,4.55
2018-03-04T14:00:00Z,1013.402,12.711,5.56
2018-03-04T15:00:00Z,1013.483,12.384,4.45
2018-03-04T16:00:00Z,1013.394,11.688,4.55
2018-03-04T17:00:00Z,1013.277,11.765,3.81
2018-03-04T18:00:00Z,1012.928,11.491,3.74
2018-03-04T19:00:00Z,1012.879,11.395,3.77
2018-03-04T20:00:00Z,1013.195,11.641,4.25
2018-03-04T21:00:00Z,1013.122,11.091,3.6
2018-03-04T22:00:00Z,1013.359,10.922,3.81
2018-03-04T23:00:00Z,1013.428,11.083,3.99
2018-03-05T00:00:00Z,1013.2,10.615,2.9
2018-03-05T01:00:00Z,1013.041,9.396,3.03
2018-03-05T02:00:00Z,1012.53,9.291,3.13
2018-03-05T03:00:00Z,1011.739,9.48,3.33
2018-03-05T04:00:00Z,1011.091,10.517,3.36
2018-03-05T05:00:00Z,1010.493,11.295,3.22
2018-03-05T06:00:00Z,1009.911,11.795,3.08
2018-03-05T07:00:00Z,1009.19,12.31,3.36
2018-03-05T08:00:00Z,1008.558,13.39,2.9
2018-03-05T09:00:00Z,1008.299,13.854,3.54
2018-03-05T10:00:00Z,1008.308,13.912,3.52
2018-03-05T11:00:00Z,1008.612,14.093,3.74
2018-03-05T12:00:00Z,1008.454,13.857,4.37
2018-03-05T13:00:00Z,1008.038,13.696,4.88
2018-03-05T14:00:00Z,1007.99,13.507,4.15
2018-03-05T15:00:00Z,1008.111,13.205,4.56
2018-03-05T16:00:00Z,1008.652,12.651,4.65
2018-03-05T17:00:00Z,1008.894,13.122,5.03
2018-03-05T18:00:00Z,1009.271,13.968,4.45
2018-03-05T19:00:00Z,1010.007,14.069,4.04
2018-03-05T20:00:00Z,1010.586,13.856,4.79
2018-03-05T21:00:00Z,1011.066,13.79,4.99
2018-03-05T22:00:00Z,1011.532,13.433,5.24
2018-03-05T23:00:00Z,1012.081,13.583,4.27
2018-03-06T00:00:00Z,1012.219,13.089,5.67
2018-03-06T01:00:00Z,1012.621,12.87,5.25
2018-03-06T02:00:00Z,1012.807,12.802,5.01
2018-03-06T03:00:00Z,1012.815,11.692,4.98
2018-03-06T04:00:00Z,1012.89,11.677,4.27
2018-03-06T05:00:00Z,1013.083,10.904,4.63
2018-03-06T06:00:00Z,1013.212,10.465,3.57
2018-03-06T07:00:00Z,1013.053,10.172,3.96
2018-03-06T08:00:00Z,1012.923,9.849,4.78
2018-03-06T09:00:00Z,1013.287,9.059,4.27
2018-03-06T10:00:00Z,1013.942,9.117,4.14
2018-03-06T11:00:00Z,1014.71,8.423,3.97
2018-03-06T12:00:00Z,1015.204,8.688,3.39
2018-03-06T13:00:00Z,1015.525,8.58,4
2018-03-06T14:00:00Z,1016.1,7.898,4.15
2018-03-06T15:00:00Z,1016.089,7.644,3.5
2018-03-06T16:00:00Z,1016.09,7.352,3.33
2018-03-06T17:00:00Z,1015.554,7.595,2.92
2018-03-06T18:00:00Z,1014.96,7.545,3.33
