time,Barometric Pressure,Wind Speed,Significant Wave Height
2018-01-01T00:00:00Z,1020.948,9.37,2.39
2018-01-01T01:00:00Z,1020.95,8.592,1.92
2018-01-01T02:00:00Z,1020.924,9.113,2.22
2018-01-01T03:00:00Z,1021.428,8.78,1.99
2018-01-01T04:00:00Z,1021.148,8.641,1.94
2018-01-01T05:00:00Z,1020.885,9.133,1.66
2018-01-01T06:00:00Z,1021.219,8.956,2.1
2018-01-01T07:00:00Z,1021.332,9.34,2.25
2018-01-01T08:00:00Z,1021.276,8.853,2.48
2018-01-01T09:00:00Z,1020.871,9.083,1.79
2018-01-01T10:00:00Z,1021.466,8.756,2.2
2018-01-01T11:00:00Z,1021.879,8.712,1.92
2018-01-01T12:00:00Z,1022.219,9.153,2.34
2018-01-01T13:00:00Z,1022.756,9.218,1.83
2018-01-01T14:00:00Z,1023.028,9.871,2.03
2018-01-01T15:00:00Z,1023.25,9.813,2.04
2018-01-01T16:00:00Z,1022.689,9.777,2.19
2018-01-01T17:00:00Z,1022.225,9.741,2.24
2018-01-01T18:00:00Z,1022.042,10.032,2.17
2018-01-01T19:00:00Z,1022.197,10.227,2.35
2018-01-01T20:00:00Z,1022.464,10.309,2.05
2018-01-01T21:00:00Z,1022.777,9.764,2.46
2018-01-01T22:00:00Z,1023.193,10.385,2.45
2018-01-01T23:00:00Z,1023.754,10.541,2.39
2018-01-02T00:00:00Z,1024.278,11.661,2
2018-01-02T01:00:00Z,1024.804,12.442,2.94
2018-01-02T02:00:00Z,1025.141,10.99,2.77
2018-01-02T03:00:00Z,1025.265,10.027,2.39
2018-01-02T04:00:00Z,1024.951,8.449,2.53
2018-01-02T05:00:00Z,1024.316,8.239,2.47
2018-01-02T06:00:00Z,1024.123,9.351,2.21
2018-01-02T07:00:00Z,1024.138,9.4,2.1
2018-01-02T08:00:00Z,1023.812,9.259,1.98
2018-01-02T09:00:00Z,1023.657,9.657,2.42
2018-01-02T10:00:00Z,1023.877,10.407,2
2018-01-02T11:00:00Z,1024.34,10.155,2.32
2018-01-02T12:00:00Z,1024.81,10.468,2.54
2018-01-02T13:00:00Z,1025.568,10.441,2.24
2018-01-02T14:00:00Z,1026.382,10.852,2.15
2018-01-02T15:00:00Z,1026.627,10.827,2.52
2018-01-02T16:00:00Z,1026.198,10.349,2.29
2018-01-02T17:00:00Z,1025.638,10.447,2.96
2018-01-02T18:00:00Z,1025.157,9.808,3.25
2018-01-02T19:00:00Z,1025.508,9.017,2.19
2018-01-02T20:00:00Z,1025.871,9.003,2.52
2018-01-02T21:00:00Z,1025.719,7.398,2.59
2018-01-02T22:00:00Z,1025.794,6.31,2.39
2018-01-02T23:00:00Z,1025.807,6.212,1.68
2018-01-03T00:00:00Z,1025.946,6.667,1.63
2018-01-03T01:00:00Z,1025.714,7.427,1.5
2018-01-03T02:00:00Z,1025.518,8.376,1.64
2018-01-03T03:00:00Z,1025.154,8.96,1.61
2018-01-03T04:00:00Z,1024.981,9.115,1.94
2018-01-03T05:00:00Z,1024.988,8.279,1.68
2018-01-03T06:00:00Z,1025.243,8.38,1.75
2018-01-03T07:00:00Z,1025.627,8.712,1.46
2018-01-03T08:00:00Z,1025.52,8.258,1.93
2018-01-03T09:00:00Z,1025.293,7.454,1.57
2018-01-03T10:00:00Z,1025.549,7.047,1.65
2018-01-03T11:00:00Z,1025.869,6.895,1.69
2018-01-03T12:00:00Z,1026.198,6.6,1.52
2018-01-03T13:00:00Z,1026.499,5.964,1.63
2018-01-03T14:00:00Z,1026.962,6.425,1.47
2018-01-03T15:00:00Z,1026.649,6.216,1.49
2018-01-03T16:00:00Z,1025.749,5.871,1.59
2018-01-03T17:00:00Z,1025.169,5.592,1.36
2018-01-03T18:00:00Z,1024.412,4.13,1.1
2018-01-03T19:00:00Z,1023.64,2.467,1.11
2018-01-03T20:00:00Z,1022.7,0.799,0.91
2018-01-03T21:00:00Z,1022.013,1.807,0.91
2018-01-03T22:00:00Z,1022.185,4.04,0.97
2018-01-03T23:00:00Z,1021.377,4.532,0.88
2018-01-04T00:00:00Z,1020.239,5.322,0.83
2018-01-04T01:00:00Z,1019.73,5.975,0.67
2018-01-04T02:00:00Z,1018.569,6.749,0.67
2018-01-04T03:00:00Z,1016.513,8.816,0.87
2018-01-04T04:00:00Z,1014.386,9.69,1.04
2018-01-04T05:00:00Z,1011.754,10.37,1.19
2018-01-04T06:00:00Z,1008.887,11.227,1.47
2018-01-04T07:00:00Z,1005.882,11.809,1.95
2018-01-04T08:00:00Z,1002.238,12.653,2.07
2018-01-04T09:00:00Z,998.841,13.326,2.58
2018-01-04T10:00:00Z,993.652,15.463,3.37
2018-01-04T11:00:00Z,988.031,17.406,3.52
2018-01-04T12:00:00Z,983.621,17.855,4.08
2018-01-04T13:00:00Z,981.458,16.917,5.08
2018-01-04T14:00:00Z,978.789,16.272,5.95
2018-01-04T15:00:00Z,974.726,15.984,6.28
2018-01-04T16:00:00Z,971.92,15.194,5.29
2018-01-04T17:00:00Z,,17.912,6.93
2018-01-04T18:00:00Z,,18.644,6.12
2018-01-04T19:00:00Z,,18.528,8.46
2018-01-04T20:00:00Z,971.812,17.45,7.73
2018-01-04T21:00:00Z,973.871,16.469,6.89
2018-01-04T22:00:00Z,977.792,16.599,6.81
2018-01-04T23:00:00Z,981.626,15.88,7.12
2018-01-05T00:00:00Z,984.737,16.018,8.45
2018-01-05T01:00:00Z,987.597,16.333,8.2
2018-01-05T02:00:00Z,989.832,15.865,7.9
2018-01-05T03:00:00Z,991.766,14.599,7.01
2018-01-05T04:00:00Z,993.214,13.807,7.39
2018-01-05T05:00:00Z,994.021,13.103,5.61
2018-01-05T06:00:00Z,994.494,12.276,5.8
2018-01-05T07:00:00Z,995.856,12.168,5.5
2018-01-05T08:00:00Z,996.78,12.549,4.01
2018-01-05T09:00:00Z,997.493,13.07,3.77
2018-01-05T10:00:00Z,998.274,13.488,3.81
2018-01-05T11:00:00Z,999.262,14,4.14
2018-01-05T12:00:00Z,1000.125,14.76,5.08
2018-01-05T13:00:00Z,1001.146,14.188,4.93
2018-01-05T14:00:00Z,1002.139,14.249,5.84
2018-01-05T15:00:00Z,1002.867,14.807,4.08
2018-01-05T16:00:00Z,1002.87,14.875,4.27
2018-01-05T17:00:00Z,1002.953,14.282,4.29
2018-01-05T18:00:00Z,1003.297,15.249,3.88
2018-01-05T19:00:00Z,1004.082,14.74,5.11
2018-01-05T20:00:00Z,1005.059,14.969,4.99
2018-01-05T21:00:00Z,1006.06,14.917,5.03
2018-01-05T22:00:00Z,1007.199,15.249,4.77
2018-01-05T23:00:00Z,1008.238,15.603,5.53
2018-01-06T00:00:00Z,1009.263,16.838,6.05
2018-01-06T01:00:00Z,1009.897,16.646,6.13
2018-01-06T02:00:00Z,1010.898,16.421,4.97
2018-01-06T03:00:00Z,1011.369,15.342,5.57
2018-01-06T04:00:00Z,1011.925,14.66,6.25
2018-01-06T05:00:00Z,1012.512,15.035,5.11
2018-01-06T06:00:00Z,1013.394,14.484,5.51
2018-01-06T07:00:00Z,1014.033,14.971,5.19
2018-01-06T08:00:00Z,1014.46,14.176,5.55
2018-01-06T09:00:00Z,1014.935,14.489,4.86
2018-01-06T10:00:00Z,1015.626,14.427,5.48
2018-01-06T11:00:00Z,1015.84,14.773,4.7
2018-01-06T12:00:00Z,1016.619,14.564,4.37
2018-01-06T13:00:00Z,1017.487,14.353,3.33
2018-01-06T14:00:00Z,1017.592,13.211,5.14
2018-01-06T15:00:00Z,1017.708,13.094,3.7
2018-01-06T16:00:00Z,1017.392,12.517,3.89
2018-01-06T17:00:00Z,1017.182,12.263,3.6
2018-01-06T18:00:00Z,1017.286,12.241,4.45
2018-01-06T19:00:00Z,1017.755,11.716,3.66
2018-01-06T20:00:00Z,1018.743,11.697,3.1
2018-01-06T21:00:00Z,1019.345,11.544,3.2
2018-01-06T22:00:00Z,1020.377,11.254,2.92
2018-01-06T23:00:00Z,1021.314,10.954,3.25
2018-01-07T00:00:00Z,1021.769,11.169,2.96
2018-01-07T01:00:00Z,1022.42,11.082,2.9
2018-01-07T02:00:00Z,1022.941,11.568,3.04
2018-01-07T03:00:00Z,1023.467,11.301,3.07
2018-01-07T04:00:00Z,1023.837,11.401,3.34
2018-01-07T05:00:00Z,1024.206,11.671,3.56
2018-01-07T06:00:00Z,1024.709,11.55,2.93
2018-01-07T07:00:00Z,1025.569,11.718,2.85
2018-01-07T08:00:00Z,1026.513,11.629,3.22
2018-01-07T09:00:00Z,1027.517,11.759,3.52
2018-01-07T10:00:00Z,1028.438,11.805,2.48
2018-01-07T11:00:00Z,1029.673,11.325,2.4
2018-01-07T12:00:00Z,1030.513,10.754,2.7
2018-01-07T13:00:00Z,1031.413,10.495,2.63
2018-01-07T14:00:00Z,1032.434,9.222,2.33
2018-01-07T15:00:00Z,1032.191,8.138,2.52
2018-01-07T16:00:00Z,1031.542,7.662,2.3
2018-01-07T17:00:00Z,1031.346,6.858,2.04
2018-01-07T18:00:00Z,1031.458,6.227,1.64
2018-01-07T19:00:00Z,1031.518,5.743,1.5
2018-01-07T20:00:00Z,1031.705,5.054,1.54
2018-01-07T21:00:00Z,1031.707,4.84,1.24
2018-01-07T22:00:00Z,1031.723,4.929,1.12
2018-01-07T23:00:00Z,1031.763,6.129,1.1
2018-01-08T00:00:00Z,1031.246,6.533,1.03
2018-01-08T01:00:00Z,1030.692,7.161,0.97
2018-01-08T02:00:00Z,1029.841,8.147,1.03
2018-01-08T03:00:00Z,1029.132,9.328,1.08
2018-01-08T04:00:00Z,1028.31,10.617,1.27
2018-01-08T05:00:00Z,1027.719,10.622,1.54
2018-01-08T06:00:00Z,1027.272,10.969,1.58
2018-01-08T07:00:00Z,1027.082,10.864,2.39
2018-01-08T08:00:00Z,1026.546,10.735,1.72
2018-01-08T09:00:00Z,1026.256,10.586,2.38
2018-01-08T10:00:00Z,1026.343,10.16,2.28
2018-01-08T11:00:00Z,1026.258,9.245,2.69
2018-01-08T12:00:00Z,1026.069,9.804,2.51
2018-01-08T13:00:00Z,1025.645,9.547,2.68
2018-01-08T14:00:00Z,1025.408,9.163,2.41
2018-01-08T15:00:00Z,1024.484,8.918,2.17
2018-01-08T16:00:00Z,1022.87,10.044,2.26
2018-01-08T17:00:00Z,1021.832,10.88,2.07
2018-01-08T18:00:00Z,1021.294,10.779,2.54
2018-01-08T19:00:00Z,1020.717,10.878,2.59
2018-01-08T20:00:00Z,1020.08,11.079,3.07
2018-01-08T21:00:00Z,1019.209,11.568,3.13
2018-01-08T22:00:00Z,1018.625,11.533,3.12
2018-01-08T23:00:00Z,1018.354,11.478,3.03
2018-01-09T00:00:00Z,1018.165,10.792,3.97
2018-01-09T01:00:00Z,1017.925,10.197,3.69
2018-01-09T02:00:00Z,1017.732,11.143,3.37
2018-01-09T03:00:00Z,1017.625,10.248,3.43
2018-01-09T04:00:00Z,1017.323,10.333,3.6
2018-01-09T05:00:00Z,1016.516,9.172,2.6
2018-01-09T06:00:00Z,1015.973,9.143,2.7
2018-01-09T07:00:00Z,1015.956,10.391,2.81
2018-01-09T08:00:00Z,1016.004,10.102,2.46
2018-01-09T09:00:00Z,1016.194,9.594,2.57
2018-01-09T10:00:00Z,1016.435,9.62,2.99
2018-01-09T11:00:00Z,1016.858,10.519,2.86
2018-01-09T12:00:00Z,1017.223,10.492,3.05
2018-01-09T13:00:00Z,1017.792,10.71,2.67
2018-01-09T14:00:00Z,1018.569,10.745,3.69
2018-01-09T15:00:00Z,1018.781,10.566,3.02
2018-01-09T16:00:00Z,1018.483,10.15,2.66
2018-01-09T17:00:00Z,1018,10.085,2.61
2018-01-09T18:00:00Z,1018.245,9.427,2.57
2018-01-09T19:00:00Z,1018.785,8.796,2.87
2018-01-09T20:00:00Z,1019.727,8.529,2.54
2018-01-09T21:00:00Z,1020.611,8.646,2.17
2018-01-09T22:00:00Z,1021.651,8.776,2.26
2018-01-09T23:00:00Z,1022.786,8.295,2.33
2018-01-10T00:00:00Z,1023.811,8.454,2.32
2018-01-10T01:00:00Z,1024.657,8.3,1.85
2018-01-10T02:00:00Z,1025.356,8.76,2.18
2018-01-10T03:00:00Z,1026.352,9.266,2.01
